,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-20 16:11:28,2021-10-18,NKE,Comstock Elizabeth J,Dir,S - Sale+OE,$158.72,"-14,000","18,839",-43%,"-$2,222,010",,,,
2,D,2021-10-19 16:18:24,2021-10-15,NKE,Krane Hilary K,"EVP, CAO, GC",S - Sale+OE,$157.80,"-10,750","151,455",-7%,"-$1,696,350",,,,
3,D,2021-10-15 16:16:15,2021-10-13,NKE,Parker Mark G,Exec COB,S - Sale+OE,$154.99,"-100,000","1,442,506",-6%,"-$15,498,558",,,,
4,,2021-08-06 16:24:59,2021-08-05,NKE,Campion Andrew,COO,S - Sale,$171.50,"-7,125","98,739",-7%,"-$1,221,938",,,,
5,D,2021-08-05 16:21:28,2021-08-03,NKE,Friend Matthew,EVP: CFO,S - Sale+OE,$170.00,"-43,000","70,025",-38%,"-$7,310,000",,,,
6,D,2021-07-15 16:54:28,2021-07-14,NKE,Krane Hilary K,"EVP, CAO, GC",S - Sale+OE,$161.87,"-15,000","150,407",-9%,"-$2,428,050",,,,
7,D,2021-07-12 16:41:09,2021-07-08,NKE,Parker Mark G,Exec COB,S - Sale+OE,$160.16,"-140,000","1,460,317",-9%,"-$22,422,400",,,,
8,D,2021-07-07 16:48:56,2021-07-02,NKE,Krane Hilary K,"EVP, CAO, GC",S - Sale+OE,$159.00,"-16,000","150,407",-10%,"-$2,544,000",,,,
9,D,2021-07-01 17:06:03,2021-06-29,NKE,Abston Chris L,VP: CORP CONTROLLER,S - Sale+OE,$155.00,"-18,000","3,289",-85%,"-$2,790,000",,,,
10,D,2021-07-01 17:02:35,2021-06-29,NKE,Matheson Monique S.,EVP: HR,S - Sale+OE,$155.57,"-40,391","100,231",-29%,"-$6,283,702",,,,
11,D,2021-06-29 18:35:50,2021-06-25,NKE,O'Neill Heidi,"PRES: CONSUMER, MKTPLC",S - Sale+OE,$152.00,"-25,000","122,956",-17%,"-$3,800,000",,,,
12,D,2021-06-29 18:30:13,2021-06-25,NKE,Krane Hilary K,"EVP, CAO, GC",S - Sale+OE,$153.16,"-21,500","150,407",-13%,"-$3,293,000",,,,
13,D,2021-06-29 18:25:17,2021-06-25,NKE,Abston Chris L,VP: CORP CONTROLLER,S - Sale+OE,$152.00,"-16,500","3,258",-84%,"-$2,508,000",,,,
