,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-03-10 16:58:06,2021-03-08,NLSN,De Luca Guerrino,Dir,P - Purchase,$25.26,"+3,971","32,080",+14%,"+$100,311",,,,
2,,2020-03-09 16:09:35,2020-03-06,NLSN,Attwood James A Jr,Dir,P - Purchase,$16.33,"+250,000","325,747",+330%,"+$4,082,500",,,,
3,,2020-03-02 06:42:51,2020-02-28,NLSN,Kenny David W,CEO,P - Purchase,$18.08,"+55,400","642,476",+9%,"+$1,001,632",,,,
4,,2018-12-04 16:11:47,2018-12-03,NLSN,Charlton Jeffrey,"SVP, Corporate Controller",S - Sale,$27.46,"-6,337","19,935",-24%,"-$173,982",,,,
5,D,2018-05-01 16:04:10,2018-04-27,NLSN,Pozen Robert C,Dir,S - Sale+OE,$31.96,"-12,210","211,802",-5%,"-$390,207",,,,
6,,2018-03-12 16:30:16,2018-03-08,NLSN,Jackson Jamere,CFO,S - Sale,$32.97,"-19,000","71,432",-21%,"-$626,430",,,,
7,,2017-12-18 16:32:02,2017-12-14,NLSN,Jackson Jamere,CFO,S - Sale,$36.30,"-16,000","93,138",-15%,"-$580,800",,,,
8,,2017-12-01 16:23:12,2017-12-01,NLSN,Barns Dwight,CEO,P - Purchase,$36.86,"+13,631","348,556",+4%,"+$502,439",,,,
9,,2017-11-22 11:02:47,2017-11-21,NLSN,Charlton Jeffrey,"SVP, Corporate Controller",S - Sale,$36.01,"-3,080","10,100",-23%,"-$110,911",,,,
10,,2017-11-15 16:30:10,2017-11-13,NLSN,De Luca Guerrino,Dir,P - Purchase,$36.54,"+1,369","3,708",+59%,"+$50,017",,,,
11,M,2017-09-13 21:04:25,2016-02-29,NLSN,Charlton Jeffrey,"SVP, Corporate Controller",S - Sale,$49.21,"-3,762","9,603",-28%,"-$185,129",,,,
12,D,2017-09-08 16:39:35,2017-09-06,NLSN,Hoguet Karen M,Dir,S - Sale+OE,$39.01,"-18,620","31,808",-37%,"-$726,418",,,,
13,,2017-08-04 12:27:45,2017-08-03,NLSN,Hasker Stephen,Global Pres,S - Sale,$43.00,"-20,930","79,341",-21%,"-$899,990",,,,
14,,2017-05-31 12:19:00,2017-05-30,NLSN,Jackson Jamere,CFO,S - Sale,$38.55,"-11,500","87,888",-12%,"-$443,325",,,,
15,,2017-05-01 16:25:22,2017-04-28,NLSN,Charlton Jeffrey,"SVP, Corporate Controller",S - Sale,$41.34,"-1,824","13,297",-12%,"-$75,395",-1,-1,,
16,D,2017-03-29 11:57:03,2017-03-27,NLSN,Barns Dwight,CEO,S - Sale+OE,$40.82,"-46,947","256,883",-15%,"-$1,916,377",-1,+1,-3,
