,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-18 17:53:34,2021-08-17,NOC,Jones Thomas H,"CVP, Pres Aeronautics Systems",S - Sale,$370.00,-235,"2,268",-9%,"-$86,950",,,,
2,,2021-08-09 16:29:24,2021-08-05,NOC,Caylor Mark A,"CVP, Pres, Mission Systems",S - Sale,$358.65,"-4,386","13,028",-25%,"-$1,573,039",,,,
3,,2021-08-05 18:48:02,2021-08-03,NOC,Jones Thomas H,"CVP, Pres Aeronautics Systems",S - Sale,$361.35,-470,"2,503",-16%,"-$169,835",,,,
4,,2021-05-05 13:07:24,2021-05-03,NOC,Caylor Mark A,"CVP, Pres, Mission Systems",S - Sale,$352.04,"-2,961","17,414",-15%,"-$1,042,390",,,,
5,,2021-05-05 13:07:22,2021-05-03,NOC,Cheston Sheila C.,"Corp. VP, GC",S - Sale,$352.04,"-5,037","29,281",-15%,"-$1,773,225",,,,
6,,2021-05-05 13:07:07,2021-05-03,NOC,Kalan Lesley A,"CVP, Chief Strategy, Dev Ofc",S - Sale,$352.04,"-2,312","10,019",-19%,"-$813,916",,,,
7,,2021-05-05 13:06:57,2021-05-03,NOC,Warden Kathy J,"COB, CEO, Pres",S - Sale,$352.04,"-4,916","114,040",-4%,"-$1,730,629",,,,
8,,2021-03-12 09:09:57,2021-03-10,NOC,Addison Ann M,"Corp VP, CHRO",S - Sale,$299.78,-955,"3,854",-20%,"-$286,291",,,,
9,,2021-03-10 17:11:19,2021-03-08,NOC,Kalan Lesley A,"CVP, Chief Strategy, Dev Ofc",S - Sale,$308.31,"-1,560","12,331",-11%,"-$480,956",,,,
10,,2021-03-09 10:09:31,2021-03-05,NOC,Purvis Shawn N,"CVP, Pres, Enterprise Svcs",S - Sale,$300.25,"-4,389","6,149",-42%,"-$1,317,797",,,,
11,,2021-03-02 15:22:01,2021-02-26,NOC,Perry David T,CVP Chief Global Bus Off,S - Sale,$299.72,"-5,552","8,000",-41%,"-$1,664,045",,,,
12,,2021-02-24 16:57:50,2021-02-22,NOC,Hardesty Michael A,"Corp VP, Controller, CAO",S - Sale,$295.10,-280,"4,043",-6%,"-$82,628",,,,
13,,2021-02-24 14:10:53,2021-02-22,NOC,Pamiljans Janis G,Corporate VP,S - Sale,$295.10,"-2,417","14,767",-14%,"-$713,257",,,,
14,M,2021-02-22 21:10:13,2021-02-18,NOC,Pamiljans Janis G,Corporate VP,S - Sale,$297.71,"-2,897","17,170",-14%,"-$862,466",,,,
15,,2021-02-22 16:07:18,2021-02-18,NOC,Hardesty Michael A,"Corp VP, Controller, CAO",S - Sale,$295.80,-940,"4,323",-18%,"-$278,052",,,,
16,D,2021-02-18 20:40:47,2021-02-16,NOC,Hardesty Michael A,"Corp VP, Controller, CAO",S - Sale+OE,$296.87,"-1,016","5,263",-16%,"-$301,620",,,,
17,,2021-02-08 15:24:51,2021-02-04,NOC,Petryszyn Mary D,"CVP, Pres, Defense Systems",S - Sale,$302.93,-968,"6,539",-13%,"-$293,237",,,,
18,,2020-08-10 17:36:13,2020-08-07,NOC,Perry David T,CVP Chief Global Bus Off,S - Sale,$326.83,"-5,091","10,086",-34%,"-$1,663,892",,,,
19,,2020-03-12 16:55:35,2020-03-10,NOC,Caylor Mark A,"CVP, Pres, Mission Systems",S - Sale,$324.69,"-3,340","14,451",-19%,"-$1,084,465",,,,
20,,2020-02-26 18:51:55,2020-02-25,NOC,Caylor Mark A,"CVP, Pres, Mission Systems",S - Sale,$361.07,"-4,805","17,791",-21%,"-$1,734,941",,,,
21,,2020-02-21 21:26:41,2020-02-20,NOC,Perry David T,CVP Chief Global Bus Off,S - Sale,$365.28,"-2,606","15,172",-15%,"-$951,920",,,,
22,,2020-02-21 21:26:38,2020-02-20,NOC,Pamiljans Janis G,"CVP, Pres, Aeronautics Systems",S - Sale,$365.28,-175,"14,047",-1%,"-$63,924",,,,
23,,2020-02-21 21:26:33,2020-02-20,NOC,Kalan Lesley A,"CVP, Chief Strategy, Dev Ofc",S - Sale,$365.28,-245,"10,770",-2%,"-$89,494",,,,
24,,2020-02-21 21:26:29,2020-02-20,NOC,Hardesty Michael A,"Corp VP, Controller, CAO",S - Sale,$365.28,-209,"4,396",-5%,"-$76,344",,,,
25,,2020-02-21 21:26:25,2020-02-20,NOC,Cheston Sheila C.,"Corp. VP, GC",S - Sale,$365.28,-824,"31,346",-3%,"-$300,991",,,,
26,D,2020-02-20 17:55:35,2020-02-18,NOC,Petryszyn Mary D,"CVP, Pres, Defense Systems",S - Sale+OE,$370.95,"-1,200","7,507",-14%,"-$445,135",,,,
27,D,2020-02-20 17:55:17,2020-02-18,NOC,Pamiljans Janis G,"CVP, Pres, Aeronautics Systems",S - Sale+OE,$367.26,"-5,674","14,221",-29%,"-$2,083,833",,,,
28,D,2020-02-20 17:53:52,2020-02-18,NOC,Cheston Sheila C.,"Corp. VP, GC",S - Sale+OE,$367.26,"-9,320","32,170",-22%,"-$3,422,863",,,,
29,D,2020-02-20 17:53:48,2020-02-19,NOC,Kalan Lesley A,"CVP, Chief Strategy, Dev Ofc",S - Sale+OE,$373.22,"-1,343","11,015",-11%,"-$501,234",,,,
30,DM,2020-02-20 17:53:44,2020-02-18,NOC,Hardesty Michael A,"Corp VP, Controller, CAO",S - Sale+OE,$370.40,-624,"4,605",-12%,"-$231,131",,,,
31,,2020-02-18 16:39:37,2020-02-14,NOC,Hardesty Michael A,"Corp VP, Controller, CAO",S - Sale,$368.82,"-1,178","5,985",-16%,"-$434,470",,,,
32,,2020-02-11 17:01:21,2020-02-10,NOC,Petryszyn Mary D,"CVP, Pres, Defense Systems",S - Sale,$362.27,"-3,921","6,713",-37%,"-$1,420,461",,,,
33,,2020-02-04 17:41:25,2020-02-03,NOC,Bedingfield Kenneth L,"Corp VP, CFO",S - Sale,$367.33,"-4,611","35,394",-12%,"-$1,693,759",,,,
34,,2019-07-31 16:03:37,2019-07-29,NOC,Warden Kathy J,"CEO, Pres",S - Sale,$353.46,"-6,837","92,895",-7%,"-$2,416,591",,,,
35,,2019-07-31 16:02:28,2019-07-29,NOC,Jones Christopher T,"Corp VP, Pres Tech Svcs",S - Sale,$353.19,"-5,000","64,682",-7%,"-$1,765,964",,,,
36,,2019-05-22 16:24:34,2019-05-22,NOC,Kleiner Madeleine,Dir,S - Sale,$315.16,-971,"16,675",-6%,"-$306,020",,,,
37,,2019-05-22 16:24:30,2019-05-20,NOC,Antkowiak Patrick M.,"CVP, Chief S, T Ofcr",S - Sale,$310.00,"-1,932","5,208",-27%,"-$598,920",,,,
38,,2019-05-07 16:00:20,2019-05-03,NOC,Bush Wesley G,COB,S - Sale,$291.59,"-50,000","251,947",-17%,"-$14,579,315",,,,
39,,2019-03-08 16:53:43,2017-10-16,NOC,Warden Kathy J,"Pres, CEO",P - Purchase,$295.07,+67,"99,732",0%,"+$19,770",,,,
40,,2019-03-08 16:53:43,2017-10-31,NOC,Warden Kathy J,"Pres, CEO",S - Sale,$296.51,-67,"99,732",0%,"-$19,866",,,,
41,,2019-03-06 17:24:18,2019-03-04,NOC,Caylor Mark A,"Corp VP, Pres, Mission System",S - Sale,$285.45,"-9,501","15,914",-37%,"-$2,712,102",,,,
42,,2019-03-05 17:10:05,2019-03-01,NOC,Peppard Denise M.,Corp VP,S - Sale,$287.32,"-13,134","14,513",-48%,"-$3,773,701",,,,
43,,2019-03-05 17:10:01,2019-03-01,NOC,Cheston Sheila C.,"Corp. VP, GC",S - Sale,$288.01,"-17,000","34,747",-33%,"-$4,896,170",,,,
44,,2019-03-01 17:37:36,2019-02-28,NOC,Caylor Mark A,"Corp VP, Pres, Mission System",S - Sale,$290.24,"-2,965","25,415",-10%,"-$860,572",,,,
45,,2019-03-01 17:37:30,2019-02-28,NOC,Hardesty Michael A,"Corp VP, Controller, CAO",S - Sale,$286.20,"-1,447","4,806",-23%,"-$414,131",,,,
46,,2019-03-01 17:37:26,2019-02-28,NOC,Antkowiak Patrick M.,"CVP, Chief S, T Ofcr",S - Sale,$286.20,"-1,336","7,140",-16%,"-$382,363",,,,
47,,2019-03-01 17:24:48,2019-02-27,NOC,Purvis Shawn N,"CVP, Pres, Enterprise Svc",S - Sale,$286.34,"-2,737","9,989",-22%,"-$783,706",,,,
48,,2019-03-01 17:22:39,2019-02-27,NOC,Bedingfield Kenneth L,"Corp VP, CFO",S - Sale,$286.36,"-1,750","40,005",-4%,"-$501,127",,,,
49,,2019-02-27 17:10:18,2019-02-25,NOC,Perry David T,CVP Chief Global Bus Off,S - Sale,$288.94,"-13,210","12,557",-51%,"-$3,816,838",,,,
50,,2019-02-25 17:13:25,2019-02-22,NOC,Jones Christopher T,"Corp VP, Pres Tech Svcs",S - Sale,$287.27,"-10,983","70,875",-13%,"-$3,155,090",,,,
51,,2019-02-25 17:12:16,2018-09-25,NOC,Kalan Lesley A,"Corp VP, Government Relations",S - Sale,$300.77,-25,"9,181",0%,"-$7,519",,,,
52,,2019-02-22 17:08:46,2019-02-21,NOC,Hardesty Michael A,"Corp VP, Controller, CAO",S - Sale,$288.38,-259,"6,253",-4%,"-$74,690",,,,
53,,2019-02-22 17:08:37,2019-02-21,NOC,Caylor Mark A,"Corp VP, Pres, Mission System",S - Sale,$286.84,"-1,065","28,380",-4%,"-$305,482",,,,
54,,2019-02-22 17:08:33,2019-02-21,NOC,Kalan Lesley A,"Corp VP, Government Relations",S - Sale,$286.70,"-4,312","9,206",-32%,"-$1,236,250",,,,
55,,2019-02-22 17:07:24,2019-02-21,NOC,Antkowiak Patrick M.,"CVP, Chief S, T Ofcr",S - Sale,$288.38,-432,"8,476",-5%,"-$124,580",,,,
56,D,2019-02-21 17:22:41,2019-02-20,NOC,Bush Wesley G,COB,S - Sale+OE,$287.28,"-86,500","301,923",-22%,"-$24,850,105",,,,
57,,2019-02-21 17:22:37,2019-02-19,NOC,Pamiljans Janis G,"Corp VP, Pres AS Systems",S - Sale,$285.12,"-2,500","11,489",-18%,"-$712,796",,,,
58,D,2019-02-21 17:21:02,2019-02-19,NOC,Hardesty Michael A,"Corp VP, Controller, CAO",S - Sale+OE,$285.99,"-2,307","6,512",-26%,"-$659,779",,,,
59,,2018-11-14 17:01:28,2018-11-12,NOC,Kalan Lesley A,"Corp VP, Government Relations",S - Sale,$285.58,"-4,158","10,777",-28%,"-$1,187,442",,,,
60,,2018-11-07 17:01:57,2018-11-05,NOC,Purvis Shawn N,"CVP, Pres, Enterprise Svc",S - Sale,$280.00,-807,"10,566",-7%,"-$225,960",,,,
61,,2018-11-06 16:35:19,2018-11-02,NOC,Bush Wesley G,"COB, CEO",S - Sale,$274.73,"-10,000","355,770",-3%,"-$2,747,315",,,,
62,,2018-11-01 10:02:17,2018-10-29,NOC,Purvis Shawn N,"CVP, Pres, Enterprise Svc",S - Sale,$273.39,"-1,565","11,370",-12%,"-$427,855",,,,
63,,2018-10-05 17:10:36,2018-10-03,NOC,Cheston Sheila C.,"Corp. VP, GC",S - Sale,$320.00,"-10,440","43,696",-19%,"-$3,340,800",,,,
64,,2018-09-19 16:33:55,2018-09-17,NOC,Antkowiak Patrick M.,"Corp VP, CTO",S - Sale,$310.00,"-5,137","5,371",-49%,"-$1,592,470",,,,
