,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-02-24 16:59:42,2021-02-23,NOV,Duff Scott K.,VP Cntrlr Chf Acctg Offcr,S - Sale+OE,$14.81,"-10,000","102,172",-9%,"-$148,100",,,,
2,M,2020-03-18 18:31:37,2020-03-16,NOV,Bayardo Jose A,"SVP, CFO",P - Purchase,$8.59,"+20,000","254,248",+9%,"+$171,780",,,,
3,,2020-02-24 17:54:13,2020-02-21,NOV,Duff Scott K.,VP Cntrlr Chf Acctg Offcr,S - Sale,$23.30,"-7,134","34,247",-17%,"-$166,222",,,,
4,,2020-02-13 16:46:44,2020-02-12,NOV,Mattson Eric L,Dir,S - Sale,$23.97,"-10,000","54,503",-16%,"-$239,650",,,,
5,,2019-11-07 16:27:49,2019-11-06,NOV,Duff Scott K.,VP Cntrlr Chf Acctg Offcr,S - Sale,$23.51,"-6,000","48,536",-11%,"-$141,068",,,,
6,,2019-08-19 16:43:42,2019-08-16,NOV,Rovig Joseph W,Pres - Rig Technologies,S - Sale,$18.37,"-22,640","74,781",-23%,"-$415,897",,,,
7,,2019-08-07 16:02:35,2019-08-06,NOV,Mattson Eric L,Dir,S - Sale,$21.02,"-4,750","64,503",-7%,"-$99,867",,,,
8,D,2019-03-01 18:18:35,2019-02-28,NOV,Duff Scott K.,VP Cntrlr Chf Acctg Offcr,S - Sale+OE,$28.02,"-15,125","54,613",-22%,"-$423,784",,,,
9,M,2018-08-28 16:53:50,2018-08-24,NOV,Mattson Eric L,Dir,S - Sale,$45.35,"-11,112","61,034",-15%,"-$503,873",,,,
10,D,2018-08-10 16:31:59,2018-08-09,NOV,Mattson Eric L,Dir,S - Sale+OE,$45.65,"-4,338","72,146",-6%,"-$198,020",,,,
11,D,2018-08-03 17:19:16,2018-08-01,NOV,Weinstock Craig L.,"SVP., Gen. Counsel",S - Sale+OE,$47.45,"-25,000","42,663",-37%,"-$1,186,205",,,,
12,D,2018-08-03 17:15:59,2018-08-01,NOV,Williams Clay C,"COB, Pres, CEO",S - Sale+OE,$47.91,"-465,116","376,567",-55%,"-$22,284,080",,,,
13,,2018-07-31 17:13:51,2018-07-30,NOV,Weinstock Craig L.,"SVP., Gen. Counsel",S - Sale,$48.02,"-3,709","42,663",-8%,"-$178,105",,,,
14,DM,2018-06-29 17:52:44,2018-06-27,NOV,Rovig Joseph W,Pres - Rig Technologies,S - Sale+OE,$42.94,"-76,436","62,865",-55%,"-$3,282,309",,,,
15,,2018-05-22 12:09:51,2018-05-21,NOV,Weinstock Craig L.,"SVP., Gen. Counsel",S - Sale,$44.03,"-5,000","46,372",-10%,"-$220,165",,,,
16,D,2018-05-14 17:12:59,2018-05-14,NOV,Duff Scott K.,VP Cntrlr Chf Acctg Offcr,S - Sale+OE,$41.02,"-40,459","38,003",-52%,"-$1,659,631",,,,
17,D,2018-03-01 17:15:33,2018-03-01,NOV,Duff Scott K.,VP Cntrlr Chf Acctg Offcr,S - Sale+OE,$35.66,"-7,421","41,120",-15%,"-$264,657",,,,
18,D,2017-03-03 17:09:12,2017-03-02,NOV,Rovig Joseph W,See Remarks,S - Sale+OE,$41.48,"-49,825","42,426",-54%,"-$2,066,601",-1,-7,-1,
19,,2017-03-02 16:56:17,2017-03-01,NOV,Duff Scott K.,VP Cntrlr Chf Acctg Offcr,S - Sale,$40.79,"-4,785","30,836",-13%,"-$195,157",0,-6,0,
