,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-06-15 17:09:44,2021-06-11,GM,Tsien Matthew,EVP,S - Sale+OE,$62.83,"-192,986","44,534",-81%,"-$12,125,310",,,,
2,D,2021-06-11 18:19:11,2021-06-09,GM,Mott Randall D,"EVP, CIO",S - Sale+OE,$64.01,"-6,000","116,113",-5%,"-$384,060",,,,
3,,2021-06-09 17:14:57,2021-06-07,GM,Tsien Matthew,EVP,S - Sale,$63.95,"-16,989","82,768",-17%,"-$1,086,447",,,,
4,D,2021-06-09 17:14:41,2021-06-07,GM,Mott Randall D,"EVP, CIO",S - Sale+OE,$64.00,"-99,000","116,113",-46%,"-$6,336,000",,,,
5,DM,2021-04-07 17:13:33,2021-04-05,GM,Mott Randall D,"EVP, CIO",S - Sale+OE,$61.74,"-70,000","116,113",-38%,"-$4,321,800",,,,
6,DM,2021-04-07 17:12:46,2021-04-05,GM,Carlisle Stephen K.,EVP,S - Sale+OE,$60.07,"-101,609","59,038",-63%,"-$6,103,778",,,,
7,D,2021-03-24 17:14:28,2021-03-22,GM,Carlisle Stephen K.,EVP,S - Sale+OE,$58.59,"-16,525","85,395",-16%,"-$968,200",,,,
8,,2021-03-24 17:14:04,2021-03-22,GM,Reuss Mark L,Pres,S - Sale,$58.39,"-145,178","138,469",-51%,"-$8,477,092",,,,
9,D,2021-03-24 17:13:43,2021-03-22,GM,Barra Mary T,"COB, CEO",S - Sale+OE,$57.97,"-1,303,027","1,122,883",-54%,"-$75,541,051",,,,
10,D,2021-03-22 17:23:34,2021-03-18,GM,Blissett Julian G.,EVP,S - Sale+OE,$62.03,"-15,533","34,393",-31%,"-$963,512",,,,
11,D,2021-03-17 17:13:06,2021-03-15,GM,Parks Douglas L,EVP,S - Sale+OE,$59.00,"-97,411","26,808",-78%,"-$5,747,159",,,,
12,D,2021-03-16 19:26:24,2021-03-12,GM,Blissett Julian G.,EVP,S - Sale+OE,$55.83,"-30,976","34,393",-47%,"-$1,729,390",,,,
13,,2021-01-21 17:17:41,2021-01-19,GM,Mott Randall D,"EVP, CIO",S - Sale,$53.69,"-25,000","89,427",-22%,"-$1,342,250",,,,
14,,2021-01-15 17:09:15,2021-01-13,GM,Mott Randall D,"EVP, CIO",S - Sale,$50.85,"-25,000","114,427",-18%,"-$1,271,250",,,,
15,,2021-01-13 17:45:21,2021-01-12,GM,Mott Randall D,"EVP, CIO",S - Sale,$48.01,"-25,000","139,427",-15%,"-$1,200,250",,,,
16,D,2021-01-13 17:39:53,2021-01-11,GM,Johnson Gerald,EVP,S - Sale+OE,$44.51,"-31,627","41,277",-43%,"-$1,407,718",,,,
17,DM,2021-01-13 17:34:33,2021-01-11,GM,Carlisle Stephen K.,EVP,S - Sale+OE,$46.26,"-141,641","55,409",-72%,"-$6,552,360",,,,
18,D,2021-01-08 20:09:38,2021-01-06,GM,Carlisle Stephen K.,EVP,S - Sale+OE,$42.93,"-40,398","55,409",-42%,"-$1,734,286",,,,
19,D,2020-12-28 17:24:31,2020-12-23,GM,Carlisle Stephen K.,EVP,S - Sale+OE,$42.85,"-10,217","55,409",-16%,"-$437,798",,,,
20,D,2020-12-15 17:29:30,2020-12-14,GM,Johnson Gerald,EVP,S - Sale+OE,$42.40,"-22,776","41,277",-36%,"-$965,702",,,,
21,D,2020-12-14 17:38:02,2020-12-10,GM,Glidden Craig B.,"EVP, GC",S - Sale+OE,$43.14,"-454,187","105,783",-81%,"-$19,593,161",,,,
22,D,2020-11-25 17:49:46,2020-11-23,GM,Barra Mary T,"COB, CEO",S - Sale+OE,$44.45,"-525,105","1,158,329",-31%,"-$23,340,917",,,,
23,D,2020-11-25 17:49:20,2020-11-23,GM,Hatto Christopher,"VP, CAO",S - Sale+OE,$45.00,"-52,549","10,040",-84%,"-$2,364,705",,,,
24,,2020-11-25 17:48:56,2020-11-24,GM,Mott Randall D,"EVP, CIO",S - Sale,$46.00,"-25,000","164,427",-13%,"-$1,150,000",,,,
25,D,2020-11-20 18:53:43,2020-11-18,GM,Barra Mary T,"COB, CEO",S - Sale+OE,$44.01,"-174,895","1,158,329",-13%,"-$7,697,048",,,,
26,,2020-11-20 18:53:26,2020-11-18,GM,Mott Randall D,"EVP, CIO",S - Sale,$44.00,"-25,000","189,427",-12%,"-$1,100,000",,,,
27,D,2020-11-18 19:09:26,2020-11-16,GM,Barra Mary T,"COB, CEO",S - Sale+OE,$42.03,"-550,000","1,258,329",-30%,"-$23,115,184",,,,
28,,2020-11-18 19:09:04,2020-11-16,GM,Mott Randall D,"EVP, CIO",S - Sale,$42.00,"-25,000","214,427",-10%,"-$1,050,000",,,,
29,D,2020-11-13 19:02:11,2020-11-11,GM,Barra Mary T,"COB, CEO",S - Sale+OE,$40.69,"-500,000","1,308,329",-28%,"-$20,345,000",,,,
30,D,2020-11-12 17:34:27,2020-11-09,GM,Reuss Mark L,Pres,S - Sale+OE,$39.09,"-251,226","203,469",-55%,"-$9,820,471",,,,
31,,2020-10-22 17:22:19,2020-10-20,GM,Hatto Christopher,"VP, CAO",S - Sale,$36.00,"-8,148","10,040",-45%,"-$293,328",,,,
32,,2020-06-02 17:29:13,2020-05-29,GM,Blissett Julian G.,EVP,P - Purchase,$26.00,"+9,300","22,130",+72%,"+$241,800",,,,
33,,2020-05-14 16:11:11,2020-05-12,GM,Russo Patricia F,Dir,P - Purchase,$23.18,"+12,700","25,000",+103%,"+$294,386",,,,
34,,2020-03-27 16:46:07,2020-03-25,GM,Tsien Matthew,EVP,P - Purchase,$22.97,"+22,400","62,234",+56%,"+$514,528",,,,
35,,2020-02-28 12:46:18,2020-02-26,GM,Solso Theodore M,Dir,P - Purchase,$32.02,"+1,561","6,561",+31%,"+$49,983",,,,
36,D,2019-09-11 17:52:55,2019-09-09,GM,Tsien Matthew,EVP,S - Sale+OE,$39.50,"-16,933","1,600",-91%,"-$668,854",,,,
37,D,2019-09-09 18:00:31,2019-09-05,GM,Tsien Matthew,EVP,S - Sale+OE,$39.50,"-83,067","1,600",-98%,"-$3,281,147",,,,
38,D,2019-08-06 17:47:31,2019-08-02,GM,Reuss Mark L,Pres,S - Sale+OE,$40.03,"-275,944","203,469",-58%,"-$11,046,038",,,,
