,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-29 16:34:32,2021-09-27,NTAP,Kurian George,CEO,S - Sale,$93.48,"-4,250","160,326",-3%,"-$397,286",,,,
2,,2021-09-23 16:38:54,2021-09-21,NTAP,Palin Carrie,Dir,S - Sale,$88.74,"-1,867",0,-100%,"-$165,668",,,,
3,,2021-09-17 16:21:29,2021-09-15,NTAP,Cernuda Cesar,Pres,S - Sale,$91.83,"-14,000","81,507",-15%,"-$1,285,568",,,,
4,,2021-09-01 17:10:29,2021-08-30,NTAP,Kurian George,CEO,S - Sale,$87.08,"-4,250","164,576",-3%,"-$370,090",,,,
5,,2021-06-17 16:24:11,2021-06-15,NTAP,Cernuda Cesar,Pres,S - Sale,$82.84,"-14,000","37,700",-27%,"-$1,159,735",,,,
6,D,2021-03-12 16:59:28,2021-03-10,NTAP,Kurian George,CEO,S - Sale+OE,$66.85,"-160,800","115,501",-58%,"-$10,749,255",,,,
7,,2021-03-09 16:16:22,2021-03-05,NTAP,Anderson Brad,"EVP, SSSBU, CIBU",P - Purchase,$61.79,"+8,100","47,563",+21%,"+$500,470",,,,
8,,2020-12-21 16:21:29,2020-12-17,NTAP,Berry Michael J,"EVP Finance, Operations, CFO",P - Purchase,$63.89,"+15,000","37,568",+66%,"+$958,329",,,,
9,,2020-12-07 16:33:30,2020-12-03,NTAP,Nevens Thomas Michael,Dir,S - Sale,$58.88,"-16,000","19,810",-45%,"-$942,050",,,,
10,D,2020-09-11 16:42:06,2020-09-11,NTAP,Nevens Thomas Michael,Dir,S - Sale+OE,$44.62,"-22,831","35,810",-39%,"-$1,018,712",,,,
11,D,2020-09-11 16:41:29,2020-09-10,NTAP,Held Gerald,Dir,S - Sale+OE,$45.50,"-11,416","14,750",-44%,"-$519,434",,,,
12,D,2020-06-03 16:43:49,2020-06-02,NTAP,Fawcett Matthew K,"SVP, GC, Secretary",S - Sale+OE,$42.74,"-9,487","50,818",-16%,"-$405,500",,,,
13,,2020-01-17 16:15:03,2020-01-15,NTAP,Richard Henri P,"EVP, Go To Market",S - Sale,$64.20,"-2,500","143,855",-2%,"-$160,500",,,,
14,,2020-01-02 16:15:08,2019-12-30,NTAP,Richard Henri P,"EVP, Go To Market",S - Sale,$61.49,"-2,500","146,355",-2%,"-$153,714",,,,
15,,2019-12-17 17:05:44,2019-12-13,NTAP,Allen Scott R.,"SVP, Chief Accounting Officer",S - Sale,$62.23,"-2,781",0,-100%,"-$173,062",,,,
16,,2019-12-12 17:00:01,2019-12-10,NTAP,Allen Scott R.,"SVP, Chief Accounting Officer",S - Sale,$60.53,-3,"2,781",0%,-$182,,,,
17,D,2019-08-29 16:35:07,2019-08-27,NTAP,Held Gerald,Dir,S - Sale+OE,$46.94,"-10,000","7,391",-58%,"-$469,400",,,,
18,,2019-08-22 16:14:00,2019-08-21,NTAP,Reich Joel D,"EVP, Product Operations",S - Sale,$47.29,"-3,963","12,249",-24%,"-$187,394",,,,
19,D,2019-08-22 16:13:46,2019-08-21,NTAP,Held Gerald,Dir,S - Sale+OE,$47.23,"-7,000","7,391",-49%,"-$330,627",,,,
20,,2019-06-25 16:11:18,2019-06-21,NTAP,Fawcett Matthew K,"SVP, GC, Secretary",S - Sale,$61.55,"-38,195","38,527",-50%,"-$2,350,990",,,,
21,,2019-06-20 16:36:33,2019-06-18,NTAP,Reich Joel D,"EVP, Product Operations",S - Sale,$61.49,"-23,650","16,212",-59%,"-$1,454,302",,,,
22,D,2019-06-04 16:25:29,2019-06-04,NTAP,Reich Joel D,"EVP, Product Operations",S - Sale+OE,$60.59,"-30,000","39,862",-43%,"-$1,817,742",,,,
23,D,2019-06-04 16:25:07,2019-06-03,NTAP,Pasek Ronald J,"EVP Finance, Operations, CFO",S - Sale+OE,$58.49,"-58,052","76,202",-43%,"-$3,395,432",,,,
24,D,2019-06-04 16:24:18,2019-06-03,NTAP,Fawcett Matthew K,"SVP, GC, Secretary",S - Sale+OE,$58.76,"-11,195","76,722",-13%,"-$657,855",,,,
25,D,2019-02-21 16:15:43,2019-02-19,NTAP,Reich Joel D,"EVP, Product Operations",S - Sale+OE,$64.04,"-20,000",744,-96%,"-$1,280,794",,,,
26,,2019-02-05 16:13:59,2019-02-01,NTAP,Richard Henri P,"EVP, Go To Market",S - Sale,$66.01,"-5,050","56,707",-8%,"-$333,344",,,,
27,,2018-11-21 17:20:57,2018-11-20,NTAP,Kurian George,CEO,S - Sale,$66.66,"-10,000","2,044",-83%,"-$666,550",,,,
28,,2018-11-20 16:51:11,2018-11-16,NTAP,Richard Henri P,"EVP, Go To Market",S - Sale,$69.55,"-2,525","61,757",-4%,"-$175,623",,,,
29,D,2018-11-05 16:14:21,2018-11-01,NTAP,Kurian George,CEO,S - Sale+OE,$78.35,"-6,000","12,044",-33%,"-$470,123",,,,
30,,2018-10-24 18:34:33,2018-10-22,NTAP,Kurian George,CEO,S - Sale,$78.46,"-11,435","12,044",-49%,"-$897,142",,,,
31,,2018-10-18 16:11:51,2018-10-16,NTAP,Richard Henri P,"EVP, Go To Market",S - Sale,$76.99,"-2,525","64,282",-4%,"-$194,394",,,,
32,D,2018-10-03 17:08:14,2018-10-01,NTAP,Kurian George,CEO,S - Sale+OE,$86.10,"-6,000","23,479",-20%,"-$516,592",,,,
33,,2018-09-24 16:19:06,2018-09-20,NTAP,Kurian George,CEO,S - Sale,$84.76,"-46,638","17,509",-73%,"-$3,952,924",,,,
34,,2018-09-19 16:46:28,2018-09-17,NTAP,Richard Henri P,"EVP, Go To Market",S - Sale,$84.12,"-2,525","66,807",-4%,"-$212,399",,,,
35,,2018-09-05 16:57:08,2018-08-31,NTAP,Reich Joel D,"EVP, Product Operations",S - Sale,$86.83,"-7,157",603,-92%,"-$621,443",,,,
36,D,2018-09-05 16:56:55,2018-09-04,NTAP,Kurian George,CEO,S - Sale+OE,$86.61,"-6,000","64,147",-9%,"-$519,638",,,,
37,,2018-08-22 18:53:04,2018-08-20,NTAP,Kurian George,CEO,S - Sale,$81.69,"-36,646","64,147",-36%,"-$2,993,509",,,,
38,,2018-08-20 19:22:58,2018-08-16,NTAP,Richard Henri P,"EVP, Go To Market",S - Sale,$79.60,"-2,525","69,332",-4%,"-$200,997",,,,
39,D,2018-08-03 16:06:55,2018-08-01,NTAP,Kurian George,CEO,S - Sale+OE,$78.23,"-6,000","100,793",-6%,"-$469,376",,,,
40,,2018-07-24 16:21:26,2018-07-20,NTAP,Kurian George,CEO,S - Sale,$81.97,"-36,646","100,793",-27%,"-$3,003,755",,,,
41,,2018-07-18 16:26:33,2018-07-16,NTAP,Richard Henri P,"EVP, Go To Market",S - Sale,$81.94,"-2,525","71,857",-3%,"-$206,910",,,,
42,D,2018-07-03 14:45:04,2018-07-02,NTAP,Kurian George,CEO,S - Sale+OE,$78.16,"-6,000","137,439",-4%,"-$468,989",,,,
43,,2018-06-29 16:56:15,2018-06-27,NTAP,Reich Joel D,"EVP, Product Operations",S - Sale,$78.04,"-25,000","7,760",-76%,"-$1,951,000",,,,
44,M,2018-06-22 16:32:32,2018-06-20,NTAP,Kurian George,CEO,S - Sale,$78.24,"-38,241","137,439",-22%,"-$2,991,909",,,,
45,D,2018-06-19 16:19:40,2018-06-18,NTAP,Richard Henri P,"EVP, Go To Market",S - Sale+OE,$77.89,"-2,525","74,382",-3%,"-$196,680",,,,
46,D,2018-06-19 16:19:28,2018-06-18,NTAP,Held Gerald,Dir,S - Sale+OE,$77.76,"-4,500","7,391",-38%,"-$349,916",,,,
47,D,2018-06-15 16:40:04,2018-06-13,NTAP,Hill Kathryn,Dir,S - Sale+OE,$76.02,"-26,997","20,760",-57%,"-$2,052,347",,,,
48,,2018-06-08 16:38:58,2018-06-06,NTAP,Reich Joel D,"EVP, Product Operations",S - Sale,$73.13,"-12,000","32,760",-27%,"-$877,613",,,,
49,D,2018-06-08 16:38:46,2018-06-06,NTAP,Held Gerald,Dir,S - Sale+OE,$73.99,"-4,000","7,391",-35%,"-$295,942",,,,
50,DM,2018-06-06 16:22:58,2018-06-04,NTAP,Fawcett Matthew K,"SVP, GC, Secretary",S - Sale+OE,$70.42,"-16,188","39,668",-29%,"-$1,139,937",,,,
51,D,2018-06-05 16:40:24,2018-06-01,NTAP,Kurian George,CEO,S - Sale+OE,$68.36,"-6,000","175,680",-3%,"-$410,144",,,,
52,D,2018-05-31 17:41:32,2018-05-29,NTAP,Reich Joel D,"EVP, Product Operations",S - Sale+OE,$67.72,"-23,108","29,889",-44%,"-$1,564,765",,,,
53,,2018-05-24 16:11:50,2018-05-22,NTAP,Kurian George,CEO,S - Sale,$67.52,"-30,253","149,636",-17%,"-$2,042,813",,,,
