,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-13 17:32:03,2021-08-11,NTRS,St Clair Joyce,EVP,S - Sale+OE,$116.00,"-49,871","62,558",-44%,"-$5,785,036",,,,
2,D,2021-07-28 17:45:45,2021-07-27,NTRS,Thomas Shundrawn A,"Pres ,  Asset Management",S - Sale+OE,$112.47,"-5,000","51,662",-9%,"-$562,350",,,,
3,,2021-05-24 17:12:50,2021-05-21,NTRS,St Clair Joyce,EVP,S - Sale,$120.00,"-6,568","65,754",-9%,"-$788,160",,,,
4,D,2021-05-18 18:42:11,2021-05-14,NTRS,Tyler Jason J.,"EVP, CFO",S - Sale+OE,$120.03,"-3,014","21,439",-12%,"-$361,770",,,,
5,,2021-05-18 18:41:28,2021-05-14,NTRS,Gossett Mark C,EVP,S - Sale,$119.91,"-3,276","12,125",-21%,"-$392,825",,,,
6,,2021-05-18 18:41:03,2021-05-17,NTRS,Cherecwich Peter,"Pres, C, IS",S - Sale,$120.51,"-15,000","54,203",-22%,"-$1,807,650",,,,
7,D,2021-05-13 18:03:29,2021-05-11,NTRS,Fradkin Steven L,"Pres, Wealth Management",S - Sale+OE,$118.67,"-36,064","221,550",-14%,"-$4,279,743",,,,
8,D,2021-05-10 17:28:10,2021-05-07,NTRS,Thomas Shundrawn A,"Pres ,  Asset Management",S - Sale+OE,$118.26,"-2,741","51,662",-5%,"-$324,151",,,,
9,DM,2021-05-07 20:56:21,2021-05-05,NTRS,O'Grady Michael,"COB, Pres, CEO",S - Sale+OE,$117.74,"-96,700","204,464",-32%,"-$11,385,085",,,,
10,D,2021-05-07 20:55:57,2021-05-05,NTRS,Browne Robert P,"EVP, Chief Investment Officer",S - Sale+OE,$116.83,"-6,755","25,199",-21%,"-$789,187",,,,
11,D,2021-04-30 16:56:08,2021-04-29,NTRS,Browne Robert P,"EVP, Chief Investment Officer",S - Sale+OE,$114.37,"-13,500","25,199",-35%,"-$1,543,995",,,,
12,,2021-04-28 18:12:54,2021-04-26,NTRS,South Thomas A,EVP,S - Sale,$109.65,"-1,000","25,816",-4%,"-$109,650",,,,
13,D,2021-04-26 18:23:14,2021-04-22,NTRS,Thomas Shundrawn A,"Pres ,  Asset Management",S - Sale+OE,$107.48,"-4,748","51,662",-8%,"-$510,315",,,,
14,,2021-04-26 18:22:56,2021-04-23,NTRS,St Clair Joyce,EVP,S - Sale,$107.42,"-9,248","74,615",-11%,"-$993,420",,,,
15,D,2021-04-26 18:22:38,2021-04-23,NTRS,Parker Teresa,EVP,S - Sale+OE,$109.52,"-4,916","64,901",-7%,"-$538,417",,,,
16,,2021-04-26 18:22:18,2021-04-23,NTRS,Allnutt Lauren E,"EVP, Controller",S - Sale,$109.57,-375,"3,774",-9%,"-$41,089",,,,
17,,2021-03-15 18:45:29,2021-03-12,NTRS,Browne Robert P,"EVP, Chief Investment Officer",S - Sale,$102.18,"-10,000","28,699",-26%,"-$1,021,800",,,,
18,,2021-02-01 17:40:46,2021-01-28,NTRS,Fradkin Steven L,"Pres, Wealth Management",S - Sale,$91.50,"-8,473","216,062",-4%,"-$775,280",,,,
19,,2020-12-07 18:15:24,2020-12-07,NTRS,St Clair Joyce,EVP,S - Sale,$94.24,"-10,000","72,927",-12%,"-$942,400",,,,
20,D,2020-12-01 17:51:17,2020-11-30,NTRS,Allnutt Lauren E,"EVP, Controller",S - Sale+OE,$95.37,"-1,286","3,382",-28%,"-$122,646",,,,
21,,2020-11-25 16:54:08,2020-11-24,NTRS,Browne Robert P,"EVP, Chief Investment Officer",S - Sale,$97.29,"-1,100","28,220",-4%,"-$107,019",,,,
22,,2020-11-25 16:52:08,2020-11-24,NTRS,Cherecwich Peter,"Pres, C, IS",S - Sale,$97.24,"-15,400","58,314",-21%,"-$1,497,496",,,,
23,,2020-11-19 18:09:52,2020-11-18,NTRS,Parker Teresa,EVP,S - Sale,$94.26,"-2,289","56,680",-4%,"-$215,761",,,,
24,D,2020-11-13 17:48:54,2020-11-11,NTRS,St Clair Joyce,EVP,S - Sale+OE,$90.05,"-29,154","83,188",-26%,"-$2,625,318",,,,
25,D,2020-11-12 18:28:21,2020-11-10,NTRS,Browne Robert P,"EVP, Chief Investment Officer",S - Sale+OE,$91.55,"-5,355","29,320",-15%,"-$490,250",,,,
26,D,2020-11-05 18:00:18,2020-11-03,NTRS,Fradkin Steven L,"Pres, Wealth Management",S - Sale+OE,$82.88,"-7,117","216,363",-3%,"-$589,857",,,,
27,,2020-06-05 17:35:56,2020-06-03,NTRS,Browne Robert P,"EVP, Chief Investment Officer",S - Sale,$84.82,"-5,000","29,320",-15%,"-$424,100",,,,
28,,2020-05-29 18:11:23,2020-05-27,NTRS,Gossett Mark C,EVP,S - Sale,$83.08,"-5,115","11,113",-32%,"-$424,954",,,,
29,,2020-03-11 17:51:24,2020-03-10,NTRS,Browne Robert P,"EVP, Chief Investment Officer",S - Sale,$72.31,"-4,500","34,320",-12%,"-$325,395",,,,
30,D,2020-02-21 17:53:24,2020-02-20,NTRS,Cherecwich Peter,"Pres, C, IS",S - Sale+OE,$103.19,"-32,403","79,093",-29%,"-$3,343,666",,,,
31,D,2020-02-21 17:53:04,2020-02-20,NTRS,Browne Robert P,"EVP, Chief Investment Officer",S - Sale+OE,$104.07,"-3,708","43,767",-8%,"-$385,892",,,,
32,D,2020-02-10 17:06:29,2020-02-06,NTRS,Parker Teresa,EVP,S - Sale+OE,$102.84,"-1,057","47,050",-2%,"-$108,702",,,,
33,D,2020-01-27 17:58:33,2020-01-24,NTRS,Parker Teresa,EVP,S - Sale+OE,$102.78,"-16,790","47,050",-26%,"-$1,725,651",,,,
34,D,2019-12-12 19:22:58,2019-12-11,NTRS,Browne Robert P,"EVP, Chief Investment Officer",S - Sale+OE,$109.28,"-14,046","32,863",-30%,"-$1,534,947",,,,
35,,2019-11-25 18:22:50,2019-11-22,NTRS,Bowman Biff,"EVP, CFO",S - Sale,$106.53,"-13,208","75,533",-15%,"-$1,407,048",,,,
36,D,2019-11-08 16:31:13,2019-11-07,NTRS,Browne Robert P,"EVP, Chief Investment Officer",S - Sale+OE,$107.85,"-11,534","32,863",-26%,"-$1,243,942",,,,
37,,2019-10-31 16:54:53,2019-10-30,NTRS,St Clair Joyce,EVP,S - Sale,$100.52,"-8,110","73,305",-10%,"-$815,217",,,,
38,DM,2019-10-29 19:56:45,2019-10-25,NTRS,Browne Robert P,"EVP, Chief Investment Officer",S - Sale+OE,$102.28,"-52,455","32,863",-61%,"-$5,365,148",,,,
39,,2019-10-02 17:09:42,2019-04-03,NTRS,Harrison Dean M,Dir,S - Sale,$93.99,-4,"10,562",0%,-$376,,,,
40,,2019-09-16 16:40:34,2019-09-13,NTRS,South Thomas A,EVP,S - Sale,$98.54,"-1,000","18,289",-5%,"-$98,540",,,,
41,D,2019-09-16 16:40:15,2019-09-13,NTRS,Leech Wilson,"EVP, Chief Risk Officer",S - Sale+OE,$99.26,"-4,377","44,723",-9%,"-$434,461",,,,
42,D,2019-08-06 16:33:35,2019-08-02,NTRS,Bowman Biff,"EVP, CFO",S - Sale+OE,$92.81,"-46,204","91,559",-34%,"-$4,288,357",,,,
43,DM,2019-07-30 16:46:45,2019-07-26,NTRS,Browne Robert P,"EVP, Chief Investment Officer",S - Sale+OE,$99.47,"-31,595","48,776",-39%,"-$3,142,858",,,,
44,,2019-06-14 18:46:28,2019-06-14,NTRS,Browne Robert P,"EVP, Chief Investment Officer",S - Sale,$86.88,"-12,156","60,776",-17%,"-$1,056,113",,,,
45,D,2019-04-26 18:53:45,2019-04-25,NTRS,Thomas Shundrawn A,"Pres ,  Asset Management",S - Sale+OE,$97.65,"-11,084","34,561",-24%,"-$1,082,353",,,,
