,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-05 12:01:49,2021-08-04,ES,Forry Linda Dorcena,Trustee,S - Sale,$87.79,-625,"7,155",-8%,"-$54,870",,,,
2,D,2021-06-07 17:32:36,2021-06-04,ES,Butler Gregory B,"EVP, GC",S - Sale+OE,$82.16,"-12,000","74,342",-14%,"-$985,920",,,,
3,,2021-05-19 16:57:45,2021-05-18,ES,Buth Jay S.,"VP, Controller, Chief Acct Off",S - Sale,$84.38,"-3,001","15,884",-16%,"-$253,233",,,,
4,,2021-05-17 13:46:23,2021-05-14,ES,Cleveland Cotton M,Trustee,S - Sale,$85.99,"-1,858","65,662",-3%,"-$159,779",,,,
5,D,2021-05-14 10:21:42,2021-05-13,ES,Van Faasen William C,Trustee,S - Sale+OE,$85.15,"-1,813","17,888",-9%,"-$154,372",,,,
6,D,2020-11-12 17:34:57,2020-11-09,ES,Nolan Joseph R Jr,"EVP-Strategy, Cust, Corp Rel",S - Sale+OE,$95.00,"-11,168","35,760",-24%,"-$1,060,960",,,,
7,D,2020-10-09 16:50:22,2020-10-08,ES,Carmody Christine M,"EVP - HR, IT",S - Sale+OE,$92.00,"-11,142","38,135",-23%,"-$1,025,064",,,,
8,D,2020-09-08 11:01:17,2020-09-04,ES,Butler Gregory B,"EVP, GC",S - Sale+OE,$86.04,"-5,375","77,341",-6%,"-$462,438",,,,
9,,2020-09-03 14:54:08,2020-09-02,ES,Buth Jay S.,"VP, Controller, Chief Acct Off",S - Sale,$86.01,"-3,000","17,611",-15%,"-$258,030",,,,
10,D,2020-08-05 12:27:02,2020-08-03,ES,Butler Gregory B,"EVP, GC",S - Sale+OE,$88.81,"-5,625","82,712",-6%,"-$499,556",,,,
11,,2020-03-12 15:08:50,2020-03-11,ES,Kim John Y,Trustee,P - Purchase,$86.92,"+15,000","21,359",+236%,"+$1,303,800",,,,
12,,2020-03-10 14:54:24,2020-03-09,ES,Cleveland Cotton M,Trustee,S - Sale,$92.49,"-11,593","63,438",-15%,"-$1,072,202",,,,
13,D,2020-03-03 15:52:19,2020-03-02,ES,Van Faasen William C,Trustee,S - Sale+OE,$91.03,"-1,308","17,286",-7%,"-$119,066",,,,
14,,2020-03-02 17:44:59,2020-02-28,ES,Buth Jay S.,"VP, Controller, Chief Acct Off",S - Sale,$86.67,"-1,330","20,398",-6%,"-$115,271",,,,
15,D,2020-03-02 17:22:50,2020-02-28,ES,Williams Frederica M,Trustee,S - Sale+OE,$86.58,"-1,908","17,286",-10%,"-$165,187",,,,
16,D,2020-03-02 17:21:13,2020-02-28,ES,Van Faasen William C,Trustee,S - Sale+OE,$86.16,-600,"18,594",-3%,"-$51,696",,,,
17,DM,2020-02-07 16:41:34,2015-01-05,ES,Schweiger Werner J,"EVP, COO",S - Sale+OE,$55.01,"-44,999","266,318",-14%,"-$2,475,455",,,,
18,D,2019-08-28 16:05:08,2019-08-26,ES,Lembo Philip J,"EVP, CFO",S - Sale+OE,$79.61,"-1,256","40,112",-3%,"-$99,990",,,,
19,D,2019-08-06 10:05:53,2019-08-02,ES,Butler Gregory B,"EVP, GC",S - Sale+OE,$77.30,"-8,298","76,874",-10%,"-$641,435",,,,
20,D,2019-05-15 15:48:39,2019-05-14,ES,Olivier Leon J,"EVP- Energy Strategy, Bus. Dev",S - Sale+OE,$72.95,"-7,000","89,295",-7%,"-$510,661",,,,
21,D,2019-03-07 15:50:39,2019-03-05,ES,Butler Gregory B,"EVP, GC",S - Sale+OE,$68.63,"-11,500","84,839",-12%,"-$789,239",,,,
22,,2019-03-05 17:26:00,2019-03-04,ES,Cloud Sanford Jr,Trustee,S - Sale,$68.87,"-1,042","56,371",-2%,"-$71,763",,,,
23,D,2019-02-27 16:44:36,2019-02-26,ES,Judge James J,"Pres, CEO",S - Sale+OE,$69.50,"-79,508","123,524",-39%,"-$5,525,806",,,,
24,D,2019-02-25 18:18:53,2019-02-22,ES,Williams Frederica M,Trustee,S - Sale+OE,$70.46,"-2,501","16,825",-13%,"-$176,228",,,,
25,D,2019-02-25 18:16:48,2019-02-22,ES,Van Faasen William C,Trustee,S - Sale+OE,$70.00,"-2,501","16,825",-13%,"-$175,070",,,,
26,D,2019-02-25 18:15:13,2019-02-22,ES,Nolan Joseph R Jr,"EVP-Customer, Corp Relations",S - Sale+OE,$69.98,"-7,191","34,588",-17%,"-$503,233",,,,
27,D,2019-02-25 18:13:16,2019-02-22,ES,Carmody Christine M,"EVP - HR, IT",S - Sale+OE,$70.06,"-15,000","39,232",-28%,"-$1,050,915",,,,
28,DM,2018-08-30 12:05:20,2018-08-28,ES,Olivier Leon J,"EVP- Energy Strategy, Bus. Dev",S - Sale+OE,$62.03,"-50,000","83,349",-37%,"-$3,101,353",,,,
29,D,2018-05-30 16:23:49,2018-05-29,ES,Nolan Joseph R Jr,"EVP-Customer, Corp Relations",S - Sale+OE,$56.84,-223,"33,181",-1%,"-$12,674",,,,
30,D,2018-05-21 16:33:31,2018-05-17,ES,Nolan Joseph R Jr,"EVP-Customer, Corp Relations",S - Sale+OE,$57.03,"-6,282","33,402",-16%,"-$358,281",,,,
31,,2018-05-18 15:33:44,2018-05-16,ES,Buth Jay S.,"VP, Controller, Chief Acct Off",S - Sale,$57.44,-112,"17,352",-1%,"-$6,433",,,,
32,D,2018-05-15 16:35:17,2018-05-14,ES,Carmody Christine M,"EVP - HR, IT",S - Sale+OE,$57.79,"-21,500","46,406",-32%,"-$1,242,414",,,,
33,D,2017-11-13 16:52:07,2017-11-09,ES,Schweiger Werner J,"EVP, COO",S - Sale+OE,$64.68,"-10,098","161,338",-6%,"-$653,139",,,,
34,,2017-09-07 17:57:54,2017-09-05,ES,Buth Jay S.,"VP, Controller, Chief Acct Off",S - Sale,$62.95,-138,"13,813",-1%,"-$8,687",,,,
35,D,2017-06-01 16:15:47,2017-05-31,ES,Schweiger Werner J,"EVP, COO",S - Sale+OE,$62.00,"-36,736","169,418",-18%,"-$2,277,632",,,,
36,D,2017-05-24 17:24:18,2017-05-23,ES,Schweiger Werner J,"EVP, COO",S - Sale+OE,$61.01,"-48,544","169,421",-22%,"-$2,961,567",,,,
37,D,2017-03-24 17:49:13,2017-03-22,ES,Schweiger Werner J,"EVP, COO",S - Sale+OE,$60.00,"-39,360","168,199",-19%,"-$2,361,600",-1,-2,0,
38,,2017-03-08 19:48:08,2017-03-06,ES,May Thomas J,Chrmn of the Board & Trustee,S - Sale,$58.30,"-48,267","166,447",-22%,"-$2,814,024",0,+1,+3,
39,D,2017-03-03 18:43:10,2017-03-03,ES,May Thomas J,Chrmn of the Board & Trustee,S - Sale+OE,$58.15,"-64,164","243,949",-21%,"-$3,731,336",0,-2,+1,
40,D,2017-03-02 18:31:49,2017-02-28,ES,Carmody Christine M,"EVP - HR, IT",S - Sale+OE,$58.59,"-17,040","58,728",-22%,"-$998,387",-1,-2,0,
41,D,2017-02-28 18:42:16,2017-02-27,ES,Olivier Leon J,"EVP- Energy Strategy, Bus. Dev",S - Sale+OE,$58.89,"-35,000","121,916",-22%,"-$2,060,989",-1,-1,+1,
42,D,2017-02-27 19:49:25,2017-02-24,ES,Nolan Joseph R Jr,"EVP-Customer, Corp Relations",S - Sale+OE,$58.28,"-6,282","29,742",-17%,"-$366,109",+1,0,+2,
43,D,2017-02-06 19:30:29,2017-02-03,ES,Judge James J,"President, CEO and Trustee",S - Sale+OE,$56.00,"-90,000","131,279",-41%,"-$5,040,000",0,+1,+6,
44,D,2017-01-10 17:17:56,2017-01-09,ES,May Thomas J,Chrmn of the Board & Trustee,S - Sale+OE,$54.79,"-40,000","271,106",-13%,"-$2,191,568",+1,+3,+4,
45,DM,2017-01-06 17:42:34,2017-01-04,ES,May Thomas J,Chrmn of the Board & Trustee,S - Sale+OE,$55.20,"-120,000","311,083",-28%,"-$6,623,592",-1,0,+1,
46,D,2016-11-30 18:31:44,2016-11-28,ES,May Thomas J,Chrmn of the Board & Trustee,S - Sale+OE,$53.80,"-200,000","550,127",-27%,"-$10,760,940",-1,+1,+8,
47,D,2016-11-10 16:38:20,2016-11-08,ES,May Thomas J,Chrmn of the Board & Trustee,S - Sale+OE,$55.10,"-200,000","750,105",-21%,"-$11,020,000",-1,-1,+3,+16
48,,2016-09-12 16:03:13,2016-09-09,ES,Cloud Sanford Jr,Trustee,P - Purchase,$54.09,+432,"48,054",+1%,"+$23,366",-1,+1,-2,+10
49,D,2016-09-09 17:25:26,2016-09-08,ES,Butler Gregory B,"EVP, GC",S - Sale+OE,$54.77,"-10,000","64,324",-13%,"-$547,719",+2,+2,-1,+11
50,,2016-08-15 17:30:09,2016-08-11,ES,Buth Jay S.,"VP, Controller, Chief Acct Off",S - Sale,$57.15,-296,"11,176",-3%,"-$16,916",-2,-1,-5,+2
51,D,2016-03-10 16:53:43,2016-03-08,ES,Schweiger Werner J,"EVP, COO",S - Sale+OE,$57.00,"-10,000","152,408",-6%,"-$570,000",0,+2,+1,-2
