,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-14 17:21:54,2021-10-13,NVDA,Burgess Robert K,Dir,S - Sale+OE,$208.68,"-10,000","28,140",-26%,"-$2,086,813",,,,
2,,2021-09-03 16:36:18,2021-09-01,NVDA,Seawell A Brooke,Dir,S - Sale,$224.34,"-20,000","501,716",-4%,"-$4,486,715",,,,
3,D,2021-09-03 16:07:14,2021-09-01,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale+OE,$225.18,"-200,000","85,906,704",0%,"-$45,035,732",,,,
4,D,2021-08-26 17:15:18,2021-08-24,NVDA,Burgess Robert K,Dir,S - Sale+OE,$218.38,"-20,000","28,140",-42%,"-$4,367,600",,,,
5,,2021-08-24 17:45:42,2021-08-20,NVDA,Drell Persis,Dir,S - Sale,$203.41,"-10,000","51,200",-16%,"-$2,034,100",,,,
6,D,2021-08-04 18:57:52,2021-08-02,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale+OE,$197.14,"-400,000","85,906,704",0%,"-$78,855,904",,,,
7,D,2021-07-06 16:35:50,2021-07-01,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale+OE,$808.91,"-100,000","21,476,675",0%,"-$80,890,492",,,,
8,,2021-06-29 16:45:35,2021-06-28,NVDA,Hudson Dawn E,Dir,S - Sale,$774.24,"-5,750","26,428",-18%,"-$4,451,880",,,,
9,,2021-06-21 19:36:08,2021-06-21,NVDA,Dabiri John,Dir,S - Sale,$736.60,-34,"1,360",-2%,"-$25,044",,,,
10,,2021-06-21 16:06:52,2021-06-16,NVDA,Seawell A Brooke,Dir,S - Sale,$706.98,-356,"130,429",0%,"-$251,685",,,,
11,,2021-06-17 18:20:13,2021-06-15,NVDA,Coxe Tench,Dir,S - Sale,$715.95,"-50,000","1,096,381",-4%,"-$35,797,404",,,,
12,D,2021-06-16 18:18:24,2021-06-15,NVDA,Burgess Robert K,Dir,S - Sale+OE,$713.22,"-4,000","7,035",-36%,"-$2,852,879",,,,
13,,2021-06-15 16:51:11,2021-06-14,NVDA,Drell Persis,Dir,S - Sale,$716.47,-800,"15,300",-5%,"-$573,176",,,,
14,,2021-06-02 18:13:12,2021-05-28,NVDA,Puri Ajay K,"EVP, Worldwide Field Ops",S - Sale,$650.27,"-69,707","124,117",-36%,"-$45,328,666",,,,
15,,2021-06-02 18:08:17,2021-06-01,NVDA,Dabiri John,Dir,S - Sale,$651.15,-103,965,-10%,"-$67,069",,,,
16,DM,2021-04-15 20:05:29,2021-04-14,NVDA,Burgess Robert K,Dir,S - Sale+OE,$627.95,"-14,500","6,606",-69%,"-$9,105,295",,,,
17,,2021-04-13 16:34:47,2021-04-12,NVDA,Drell Persis,Dir,S - Sale,$587.53,"-1,200","15,671",-7%,"-$705,039",,,,
18,,2021-04-06 16:55:48,2021-04-05,NVDA,Perry Mark L,Dir,S - Sale,$556.58,"-6,104","46,631",-12%,"-$3,397,360",,,,
19,D,2021-03-03 16:38:58,2021-03-01,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale+OE,$548.10,"-44,325","21,440,920",0%,"-$24,294,523",,,,
20,DM,2021-03-02 18:42:45,2021-02-26,NVDA,Burgess Robert K,Dir,S - Sale+OE,$549.06,"-9,500","6,606",-59%,"-$5,216,090",,,,
21,,2021-01-08 19:50:07,2021-01-07,NVDA,Coxe Tench,Dir,S - Sale,$528.73,-356,"1,216,952",0%,"-$188,226",,,,
22,D,2021-01-06 17:44:20,2021-01-04,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale+OE,$529.85,"-100,000","18,694,152",-1%,"-$52,984,969",,,,
23,,2020-12-28 17:07:38,2020-12-23,NVDA,Dabiri John,Dir,S - Sale,$529.85,-185,"1,068",-15%,"-$98,023",,,,
