,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,M,2021-08-20 16:16:03,2021-08-18,NWL,Malkoski Kristine Kay,Business Unit CEO - Food,P - Purchase,$24.59,+800,"11,500",+7%,"+$19,668",,,,
2,,2021-08-06 16:17:04,2021-08-04,NWL,Malkoski Kristine Kay,Business Unit CEO - Food,P - Purchase,$24.97,+150,"10,700",+1%,"+$3,746",,,,
3,,2021-08-04 16:16:07,2021-08-02,NWL,Malkoski Kristine Kay,Business Unit CEO - Food,P - Purchase,$24.94,+500,"10,550",+5%,"+$12,470",,,,
4,,2021-05-11 16:16:41,2021-05-07,NWL,Peterson Christopher H,"CFO, Pres, Bus. Op.",S - Sale,$29.30,"-39,378","113,101",-26%,"-$1,153,775",,,,
5,,2020-03-16 16:17:10,2020-03-12,NWL,Hurd Laurel,"Pres, Learning, Development",P - Purchase,$12.80,"+4,000","37,304",+12%,"+$51,200",,,,
6,M,2020-03-16 16:14:43,2020-03-12,NWL,Icahn Brett,"Dir, 10%",P - Purchase,$11.87,"+121,304","1,538,908",+9%,"+$1,440,385",,,,
7,,2020-03-11 18:47:46,2020-03-09,NWL,Icahn Brett,"Dir, 10%",P - Purchase,$13.22,"+238,676","1,017,604",+31%,"+$3,154,127",,,,
8,M,2020-03-11 18:44:55,2020-03-09,NWL,Icahn Carl C,10%,P - Purchase,$13.41,"+2,585,201","43,704,616",+6%,"+$34,656,512",,,,
9,,2020-03-09 16:15:25,2020-03-05,NWL,Icahn Brett,Dir,P - Purchase,$14.47,"+100,000","1,178,928",+9%,"+$1,447,300",,,,
10,,2020-03-09 07:47:42,2020-03-06,NWL,Peterson Christopher H,"CFO, Pres, Bus. Op.",P - Purchase,$14.09,"+10,000","49,378",+25%,"+$140,930",,,,
11,,2020-03-09 07:46:09,2020-03-05,NWL,Saligram Ravichandra Krishnamurty,"Pres, CEO",P - Purchase,$14.52,"+35,000","35,000",New,"+$508,344",,,,
12,,2020-03-06 07:46:45,2020-03-04,NWL,Schmidt Robert Andrew,Chief Accounting Officer,P - Purchase,$15.07,"+2,500","2,500",New,"+$37,670",,,,
13,M,2020-03-05 16:15:22,2020-03-03,NWL,Icahn Brett,Dir,P - Purchase,$15.97,"+320,902","1,078,928",+42%,"+$5,124,190",,,,
14,,2019-11-12 08:48:48,2019-11-07,NWL,Craigie James,Dir,P - Purchase,$20.00,"+12,500","42,843",+41%,"+$250,000",,,,
15,,2019-08-19 18:28:33,2019-08-15,NWL,Todman Michael,Dir,P - Purchase,$15.76,"+5,000","72,184",+7%,"+$78,800",,,,
16,,2018-11-28 16:21:01,2018-11-26,NWL,Cunningham James L III,"SVP, Chief Accounting Officer",S - Sale,$23.45,"-22,331",0,-100%,"-$523,637",,,,
17,,2018-11-14 16:41:39,2018-11-12,NWL,Icahn Brett,Dir,P - Purchase,$20.03,"+100,000","712,835",+16%,"+$2,002,500",,,,
18,,2018-08-14 16:06:33,2018-08-13,NWL,Polk Michael B,"Pres, CEO",P - Purchase,$20.63,"+10,000","1,137,520",+1%,"+$206,300",,,,
19,,2018-08-13 17:20:44,2018-08-09,NWL,Icahn Brett,Dir,P - Purchase,$21.00,"+110,000","611,098",+22%,"+$2,310,000",,,,
20,,2018-08-08 16:09:25,2018-08-08,NWL,Campbell Patrick D,Dir,P - Purchase,$20.93,"+25,000","26,432",>999%,"+$523,250",,,,
21,,2018-08-08 15:08:29,2018-08-08,NWL,Mather Courtney,Dir,P - Purchase,$20.50,"+50,000","50,000",New,"+$1,025,000",,,,
22,,2018-08-08 11:25:40,2018-08-08,NWL,Craigie James,Dir,P - Purchase,$21.33,"+11,500","15,675",+275%,"+$245,295",,,,
23,,2018-05-22 16:04:36,2018-05-21,NWL,Todman Michael,Dir,P - Purchase,$26.53,"+4,000","61,680",+7%,"+$106,120",,,,
24,,2018-05-18 16:03:25,2018-05-18,NWL,Craigie James,Dir,P - Purchase,$26.67,"+1,000","4,175",+31%,"+$26,670",,,,
25,A,2017-12-19 17:01:55,2017-10-02,NWL,Franklin Martin E,Dir,S - Sale,$29.60,"-2,047,022","2,047,227",-50%,"-$60,591,851",,,,
26,A,2017-12-19 17:00:48,2017-10-02,NWL,Ashken Ian G H,Dir,S - Sale,$29.60,"-511,322","511,374",-50%,"-$15,135,131",,,,
27,,2017-11-20 13:04:42,2017-11-20,NWL,Polk Michael B,CEO,P - Purchase,$28.22,"+7,000","1,015,446",+1%,"+$197,540",,,,
28,,2017-10-03 08:22:56,2017-10-02,NWL,Franklin Martin E,Dir,S - Sale,$0.00,"-2,047,022","2,047,227",-50%,-$0,,,,
29,,2017-10-03 08:22:25,2017-10-02,NWL,Ashken Ian G H,Dir,S - Sale,$0.00,"-511,322","511,374",-50%,-$0,,,,
30,M,2017-09-25 16:07:59,2017-03-21,NWL,Davies Richard B,"EVP, Chief Development Officer",P - Purchase,$44.65,+100,"13,316",+1%,"+$4,465",,,,
31,,2017-09-13 13:52:59,2017-09-11,NWL,Cowen Scott S,Dir,P - Purchase,$43.60,"+2,000","87,883",+2%,"+$87,200",,,,
32,,2017-09-13 13:52:40,2017-09-13,NWL,Polk Michael B,CEO,P - Purchase,$43.61,"+5,000","1,008,446",0%,"+$218,050",,,,
33,,2017-06-26 16:04:47,2017-06-22,NWL,Davies Richard B,"EVP, Chief Development Officer",P - Purchase,$52.58,+46,"13,216",0%,"+$2,419",,,,
34,,2017-06-09 19:26:47,2017-06-02,NWL,Cunningham James L III,"SVP, Chief Accounting Officer",S - Sale,$53.38,"-1,609","20,626",-7%,"-$85,888",,,,
35,,2017-06-08 16:17:37,2017-02-14,NWL,Davies Richard B,"EVP, Chief Development Officer",P - Purchase,$47.17,"+13,170","13,170",New,"+$621,229",,,,
36,,2017-06-05 18:27:23,2017-06-01,NWL,Burke William A III,"EVP, COO",S - Sale,$52.84,"-16,626","150,100",-10%,"-$878,518",,,,
37,D,2017-05-10 10:58:01,2017-05-09,NWL,Clarke Thomas E,Dir,S - Sale+OE,$52.49,"-5,353","61,363",-8%,"-$280,979",0,,,
38,M,2017-03-15 21:02:28,2017-03-13,NWL,Franklin Martin E,Dir,S - Sale,$48.34,"-340,000","4,700,926",-7%,"-$16,434,200",-1,-1,-6,
39,DM,2017-03-15 21:00:24,2017-03-13,NWL,Ashken Ian G H,Dir,S - Sale+OE,$48.27,"-51,000","511,374",-9%,"-$2,461,890",-1,-1,-6,
40,D,2017-02-09 12:50:33,2017-02-08,NWL,Viault Raymond G,Dir,P - Purchase,$45.96,"+1,630","81,483",+2%,"+$74,915",0,+2,+6,
41,D,2017-02-09 12:50:33,2017-02-07,NWL,Viault Raymond G,Dir,S - Sale+OE,$45.62,"-5,353","81,483",-6%,"-$244,204",0,+2,+6,
42,,2017-02-08 08:44:22,2017-02-07,NWL,Tarchetti Mark,Pres,P - Purchase,$45.22,"+13,000","201,995",+7%,"+$587,860",+1,+4,+7,
43,,2016-11-01 14:02:56,2016-11-01,NWL,Polk Michael B,CEO,P - Purchase,$47.82,"+4,000","857,858",0%,"+$191,280",0,+2,-2,-5
44,,2016-11-01 08:15:29,2016-10-31,NWL,Tarchetti Mark,Pres,P - Purchase,$48.15,"+12,436","188,995",+7%,"+$598,793",0,+2,-2,-5
45,,2016-11-01 08:14:29,2016-10-31,NWL,Polk Michael B,CEO,P - Purchase,$49.68,"+7,500","853,858",+1%,"+$372,600",0,+2,-2,-5
46,,2016-06-24 13:05:38,2016-06-23,NWL,Ashken Ian G H,Dir,S - Sale,$48.51,"-346,781","992,909",-26%,"-$16,822,346",-6,-2,-1,-6
47,,2016-06-03 10:48:09,2016-06-02,NWL,De Sole Domenico,Dir,P - Purchase,$47.79,"+4,180","53,469",+8%,"+$199,762",0,+2,+2,-1
48,D,2016-05-25 12:32:42,2016-05-23,NWL,Burke William A III,"Pres, Jarden Group",S - Sale+OE,$47.59,"-26,000","139,559",-16%,"-$1,237,340",0,0,+4,0
49,,2016-05-23 12:31:48,2016-05-20,NWL,Stipancich John K,"EVP, CFO",S - Sale,$47.39,"-10,407","38,366",-21%,"-$493,188",+1,+2,+3,+2
50,,2016-05-23 12:31:33,2016-05-23,NWL,Burke William A III,"Pres, Jarden Group",S - Sale,$47.02,"-34,882","155,559",-18%,"-$1,640,152",+1,+2,+3,+2
51,,2016-05-20 16:15:43,2016-05-19,NWL,Stipancich John K,"EVP, CFO",S - Sale,$47.09,"-11,031","48,773",-18%,"-$519,450",+1,+2,+4,0
