,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-30 17:18:30,2021-08-27,NXPI,Kelly Peter,"EVP, CFO",S - Sale,$225.17,"-142,311","61,438",-70%,"-$32,043,827",,,,
2,,2021-08-30 17:17:59,2021-08-27,NXPI,Sievers Kurt,"CEO, Pres",S - Sale,$225.00,"-25,878","134,359",-16%,"-$5,822,550",,,,
3,,2021-08-25 17:40:06,2021-08-23,NXPI,Goldman Kenneth A,Dir,S - Sale,$210.77,"-2,500","20,240",-11%,"-$526,931",,,,
4,,2021-08-11 17:32:46,2021-08-09,NXPI,Owen Stephen,"EVP Sales, Marketing",S - Sale,$216.03,"-11,666","28,214",-29%,"-$2,520,194",,,,
5,,2021-08-11 17:32:21,2021-08-10,NXPI,Kaeser Josef,Dir,S - Sale,$217.95,"-10,000","14,707",-40%,"-$2,179,500",,,,
6,,2021-08-11 17:31:53,2021-08-10,NXPI,Jensen Christopher L,EVP HR,S - Sale,$217.58,"-5,300","4,370",-55%,"-$1,153,174",,,,
7,,2021-08-06 17:15:19,2021-08-06,NXPI,Wuamett Jennifer,"EVP, GC",S - Sale,$211.69,"-4,916","41,753",-11%,"-$1,040,669",,,,
8,D,2021-05-27 17:58:42,2020-10-06,NXPI,Sundstrom Karl-Henrik,Dir,P - Purchase,$132.98,+2,"1,647",0%,+$281,,,,
9,,2021-05-26 17:43:10,2021-05-24,NXPI,Kelly Peter,"EVP, CFO",S - Sale,$205.37,"-24,162","130,306",-16%,"-$4,962,148",,,,
10,DM,2021-03-18 19:30:18,2021-03-16,NXPI,David Reed,EVP Operations,S - Sale+OE,$204.71,"-31,758","2,545",-93%,"-$6,501,205",,,,
11,,2021-03-16 17:53:52,2021-03-15,NXPI,Kaeser Josef,Dir,S - Sale,$198.63,"-15,000","23,949",-39%,"-$2,979,502",,,,
12,D,2021-02-12 18:01:15,2021-02-11,NXPI,Sievers Kurt,"CEO, Pres",S - Sale+OE,$192.56,"-35,886","49,603",-42%,"-$6,910,079",,,,
13,,2021-02-12 17:55:05,2021-02-12,NXPI,Wuamett Jennifer,"EVP, GC",S - Sale,$195.09,"-2,697","5,616",-32%,"-$526,158",,,,
14,,2021-02-05 17:55:10,2021-02-05,NXPI,Jensen Christopher L,EVP HR,S - Sale,$183.03,"-1,900","1,211",-61%,"-$347,758",,,,
15,,2020-12-09 16:34:24,2020-12-08,NXPI,Owen Stephen,"EVP Sales, Marketing",S - Sale,$165.35,"-7,313",0,-100%,"-$1,209,207",,,,
16,,2020-12-02 17:13:23,2020-12-01,NXPI,Southern Julie,Dir,S - Sale,$160.65,"-4,000","8,146",-33%,"-$642,580",,,,
17,,2020-11-25 17:08:38,2020-11-24,NXPI,Sievers Kurt,"CEO, Pres",S - Sale,$157.67,"-10,000","49,603",-17%,"-$1,576,722",,,,
18,,2020-11-25 17:08:18,2020-11-24,NXPI,Bonfield Peter L,Chairman,S - Sale,$157.93,"-12,000","14,434",-45%,"-$1,895,159",,,,
19,D,2020-11-25 17:07:53,2020-11-24,NXPI,David Reed,EVP Operations,S - Sale+OE,$157.85,"-2,815","30,578",-8%,"-$444,348",,,,
20,D,2020-10-29 19:30:20,2020-10-29,NXPI,Owen Stephen,"EVP Sales, Marketing",S - Sale+OE,$134.50,"-3,000","7,313",-29%,"-$403,500",,,,
21,D,2020-10-29 19:02:48,2020-10-29,NXPI,Staiblin Jasmin,Dir,P - Purchase,$134.30,"+1,500","2,642",+131%,"+$201,450",,,,
22,,2020-08-06 16:19:07,2020-08-04,NXPI,Wuamett Jennifer,"EVP, GC",S - Sale,$120.00,"-2,505","6,148",-29%,"-$300,600",,,,
23,M,2020-05-06 18:02:26,2020-05-04,NXPI,Goldman Kenneth A,Dir,S - Sale,$96.36,"-2,000","20,840",-9%,"-$192,724",,,,
24,,2020-05-04 18:18:32,2020-04-30,NXPI,Southern Julie,Dir,P - Purchase,$101.56,+172,"11,004",+2%,"+$17,468",,,,
25,DM,2019-12-12 17:14:17,2019-12-10,NXPI,Owen Stephen,"EVP Sales, Marketing",S - Sale+OE,$121.23,"-13,507","1,883",-88%,"-$1,637,463",,,,
26,,2019-11-27 16:46:29,2019-11-25,NXPI,Owen Stephen,"EVP Sales, Marketing",S - Sale,$118.00,"-1,639","7,096",-19%,"-$193,402",,,,
27,,2019-11-27 16:46:08,2019-11-25,NXPI,David Reed,"EVP Technology, Operations",S - Sale,$117.96,"-21,137","18,242",-54%,"-$2,493,234",,,,
28,DM,2019-11-12 18:37:34,2019-11-07,NXPI,Shull Keith M,EVP HR,S - Sale+OE,$119.29,"-25,483","4,663",-85%,"-$3,039,786",,,,
29,,2019-09-11 17:11:17,2019-09-10,NXPI,Shull Keith M,EVP HR,S - Sale,$108.14,"-4,196","9,587",-30%,"-$453,749",,,,
30,,2019-09-06 16:46:34,2019-09-05,NXPI,Shull Keith M,EVP HR,S - Sale,$105.53,"-4,569","13,783",-25%,"-$482,170",,,,
31,,2019-08-07 17:04:28,2019-08-06,NXPI,Bonfield Peter L,Chairman,S - Sale,$98.36,"-10,000","24,404",-29%,"-$983,616",,,,
