,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-06-15 17:57:28,2021-06-11,O,Merriman Ronald,Dir,S - Sale,$70.05,"-4,000","22,075",-15%,"-$280,200",,,,
2,,2021-06-15 17:50:29,2021-06-11,O,McLaughlin Gregory,Dir,S - Sale,$70.55,"-2,000","23,886",-8%,"-$141,100",,,,
3,M,2021-02-12 16:19:27,2020-11-30,O,Huskins Priya Cherian,Dir,P - Purchase,$60.35,+87,"31,400",0%,"+$5,250",,,,
4,,2020-12-16 16:36:39,2020-12-16,O,Chapman A. Larry,Dir,S - Sale,$61.40,"-9,000","9,757",-48%,"-$552,600",,,,
5,,2019-09-11 16:29:09,2019-09-09,O,Meurer Paul M,"EVP CFO, Treasurer",S - Sale,$75.33,"-10,000","30,468",-25%,"-$753,300",,,,
6,,2019-09-09 17:17:12,2019-09-05,O,Chapman A. Larry,Dir,S - Sale,$75.09,"-8,000","14,757",-35%,"-$600,720",,,,
7,,2019-09-09 17:10:59,2019-09-05,O,McLaughlin Gregory,Dir,S - Sale,$75.81,"-3,000","17,886",-14%,"-$227,430",,,,
8,,2019-05-29 16:52:12,2019-05-28,O,Pfeiffer Michael R,"EVP, Chief Admin. Officer",S - Sale,$69.83,"-10,829","29,163",-27%,"-$756,189",,,,
9,,2019-05-28 17:53:49,2019-05-24,O,Fox Benjamin N,"EVP, AM, RE Ops",S - Sale,$70.70,"-2,631","12,812",-17%,"-$186,012",,,,
10,,2019-05-28 17:46:13,2019-05-24,O,Merriman Ronald,Dir,S - Sale,$70.72,"-6,000","18,075",-25%,"-$424,320",,,,
11,,2018-08-28 16:01:57,2018-08-24,O,Chapman A. Larry,Dir,S - Sale,$58.56,"-9,000","18,757",-32%,"-$527,040",,,,
12,,2018-08-20 16:01:11,2018-08-16,O,McLaughlin Gregory,Dir,S - Sale,$58.00,"-3,100","16,886",-16%,"-$179,800",,,,
13,,2018-08-06 18:04:04,2018-08-06,O,Meurer Paul M,"EVP  CFO, Treasure",S - Sale,$57.62,"-13,285","37,160",-26%,"-$765,482",,,,
14,,2018-08-06 17:54:09,2018-08-06,O,Roy Sumit,"Pres, COO",S - Sale,$57.49,"-18,682","70,041",-21%,"-$1,074,028",,,,
15,,2018-08-06 17:36:26,2018-08-06,O,Pfeiffer Michael R,"EVP  Gen. Counsel, Sec.",S - Sale,$57.63,"-10,000","37,655",-21%,"-$576,300",,,,
16,,2018-08-06 17:29:19,2018-08-06,O,Case John,"CEO, Dir",S - Sale,$57.70,"-35,000","158,961",-18%,"-$2,019,500",,,,
17,,2018-05-24 16:26:43,2018-05-24,O,Allen Kathleen,Dir,S - Sale,$52.55,"-4,000","78,000",-5%,"-$210,200",,,,
18,,2018-03-07 18:46:51,2018-03-06,O,Fox Benjamin N,"EVP, Portfolio, Asset Mgmt",S - Sale,$50.39,"-2,276","17,531",-11%,"-$114,688",,,,
19,,2017-11-14 20:26:26,2017-11-10,O,Tomlinson Joel,"SVP, Acquisitions",S - Sale,$56.45,"-1,746","13,167",-12%,"-$98,562",,,,
20,,2017-11-03 16:02:07,2017-11-02,O,Meurer Paul M,"EVP  CFO, Treasure",S - Sale,$54.75,"-5,603","48,059",-10%,"-$306,764",,,,
21,,2017-09-21 16:01:45,2017-09-19,O,McLaughlin Gregory,Dir,S - Sale,$58.85,"-3,200","15,986",-17%,"-$188,320",,,,
22,,2017-06-19 16:53:40,2017-06-19,O,Huskins Priya Cherian,Dir,S - Sale,$56.23,"-8,000","20,513",-28%,"-$449,840",,,,
23,,2017-04-03 18:30:00,2017-03-30,O,Israel Robert,SVP  Research,S - Sale,$58.97,"-2,280","11,934",-16%,"-$134,452",0,+1,-1,
24,,2017-03-31 16:39:44,2017-03-30,O,McLaughlin Gregory,Dir,S - Sale,$59.00,"-1,875","15,186",-11%,"-$110,625",0,+1,-1,
25,,2017-03-27 20:18:37,2017-03-24,O,McLaughlin Gregory,Dir,S - Sale,$59.43,"-1,875","17,061",-10%,"-$111,431",0,+1,+2,
26,,2017-03-22 18:43:17,2017-03-20,O,Fox Benjamin N,"SVP, Asset, Port. Mgmt.",S - Sale,$59.55,"-1,847","17,432",-10%,"-$109,989",0,-2,+4,
27,,2017-03-22 18:18:02,2017-03-21,O,Meurer Paul M,"EVP  CFO, Treasure",S - Sale,$60.00,"-16,500","53,662",-24%,"-$990,000",0,-2,+4,
28,,2017-03-22 18:11:50,2017-03-21,O,Roy Sumit,"Pres, COO",S - Sale,$60.02,"-14,651","85,815",-15%,"-$879,353",0,-2,+4,
29,,2017-03-22 17:57:10,2017-03-20,O,Case John,"CEO, Dir",S - Sale,$59.78,"-28,000","195,051",-13%,"-$1,673,840",0,-2,+4,
30,,2017-03-22 17:36:09,2017-03-20,O,Pfeiffer Michael R,"EVP  Gen. Counsel, Sec.",S - Sale,$59.51,"-10,213","47,634",-18%,"-$607,776",0,-2,+4,
31,,2016-08-18 16:36:47,2016-08-17,O,Merriman Ronald,Dir,S - Sale,$66.68,"-2,500","12,075",-17%,"-$166,700",-1,-2,-5,-9
32,,2016-08-03 17:18:42,2016-08-02,O,Allen Kathleen,Dir,S - Sale,$70.49,"-4,000","74,000",-5%,"-$281,960",+1,0,-5,-14
33,,2016-06-27 19:53:39,2016-06-24,O,Fox Benjamin N,"SVP, Asset, Port. Mgmt.",S - Sale,$65.79,"-2,174","12,130",-15%,"-$143,027",+2,+4,+5,-15
34,,2016-06-15 19:38:11,2016-06-15,O,McLaughlin Gregory,Dir,S - Sale,$63.87,"-1,950","18,936",-9%,"-$124,547",+1,0,+10,-11
35,,2016-06-02 16:36:30,2016-06-01,O,Wenthur Cary,"SVP, Acquisitions",S - Sale,$60.54,"-9,000","21,118",-30%,"-$544,860",+2,+3,+13,-6
36,,2016-05-19 19:09:54,2016-05-18,O,Huskins Priya Cherian,Dir,S - Sale,$62.29,"-2,000","24,513",-8%,"-$124,580",0,+1,+9,-4
37,,2016-03-31 17:57:56,2016-03-30,O,Pfeiffer Michael R,"EVP, GC, Secretary",S - Sale,$62.52,"-2,727","45,663",-6%,"-$170,492",0,+1,-5,+11
38,M,2016-03-31 17:38:10,2016-03-29,O,Case John,"CEO, Dir",S - Sale,$62.53,"-23,000","180,401",-11%,"-$1,438,170",0,+1,-5,+11
39,,2016-02-19 14:50:02,2016-02-19,O,Meurer Paul M,"EVP, CFO, Treasurer",S - Sale,$60.28,"-3,175","53,579",-6%,"-$191,389",0,-1,+2,+14
40,,2016-02-19 12:16:32,2016-02-17,O,Merriman Ronald,Dir,S - Sale,$59.40,"-4,262","10,575",-29%,"-$253,163",0,-1,+2,+14
41,,2016-02-18 18:59:00,2016-02-16,O,Case John,"CEO, Dir",S - Sale,$59.73,"-25,000","203,401",-11%,"-$1,493,250",0,-2,+2,+13
42,,2016-02-18 18:03:58,2016-02-16,O,Pfeiffer Michael R,"EVP, GC, Secretary",S - Sale,$59.76,"-10,804","48,570",-18%,"-$645,647",0,-2,+2,+13
43,,2016-02-18 17:57:06,2016-02-16,O,Israel Robert,"SVP, Research",S - Sale,$59.82,"-3,166","13,419",-19%,"-$189,390",0,-2,+2,+13
44,,2016-02-18 16:55:06,2016-02-17,O,Tomlinson Joel,"SVP, Acquisitions",S - Sale,$60.13,"-1,989","11,562",-15%,"-$119,599",0,-2,+2,+13
45,,2016-02-18 14:28:19,2016-02-17,O,Roy Sumit,"Pres, COO",S - Sale,$59.59,"-14,830","77,267",-16%,"-$883,720",+1,0,+3,+14
46,,2015-12-31 16:03:25,2015-12-29,O,Case John,"CEO, Pres, Dir",S - Sale,$52.01,"-15,000","218,661",-6%,"-$780,150",-1,0,+10,+37
47,,2015-11-04 16:17:23,2015-11-03,O,Pfeiffer Michael R,"EVP, GC, Secretary",S - Sale,$50.08,"-3,399","59,383",-5%,"-$170,233",+1,-5,-1,+28
48,,2015-11-03 17:14:40,2015-11-02,O,Meurer Paul M,"EVP, CFO, Treasurer",S - Sale,$49.88,"-15,000","52,498",-22%,"-$748,200",-1,-7,-1,+27
49,,2015-06-23 21:18:25,2015-06-22,O,McLaughlin Gregory,Dir,S - Sale,$45.52,"-1,780","16,886",-10%,"-$81,026",-1,-1,+5,+16
50,,2015-06-08 18:33:34,2015-06-08,O,Israel Robert,"SVP, Research",S - Sale,$45.87,"-3,313","14,769",-18%,"-$151,967",-1,-1,+2,+10
51,,2015-06-05 17:33:00,2015-06-05,O,Huskins Priya Cherian,Dir,S - Sale,$45.00,"-7,500","22,513",-25%,"-$337,500",+1,+1,+2,+12
52,,2015-03-30 18:20:33,2015-03-26,O,Pfeiffer Michael R,"EVP, GC, Secretary",S - Sale,$51.34,"-7,500","61,742",-11%,"-$385,050",0,-2,-5,-7
53,,2015-03-20 16:36:33,2015-03-19,O,Collins Richard G,"EVP, Portfolio Management",S - Sale,$52.33,"-15,608","39,469",-28%,"-$816,767",0,-5,-8,-11
54,,2015-03-05 16:31:52,2015-03-04,O,Merriman Ronald,Dir,S - Sale,$50.44,"-5,000","12,246",-29%,"-$252,200",-4,-3,+3,-12
55,,2015-03-05 16:31:06,2015-03-03,O,Case John,"CEO, Pres, Dir",S - Sale,$50.69,"-20,000","241,488",-8%,"-$1,013,800",-4,-3,+3,-12
56,,2015-03-03 17:08:55,2015-03-02,O,McLaughlin Gregory,Dir,S - Sale,$50.41,"-2,840","15,832",-15%,"-$143,164",0,-3,+2,-7
57,,2014-12-29 17:16:53,2014-12-29,O,Pfeiffer Michael R,"EVP, GC, Secretary",S - Sale,$49.45,"-7,000","72,667",-9%,"-$346,150",-1,0,+12,-8
58,,2014-12-29 16:50:50,2014-12-24,O,Case John,"CEO, Pres, Dir",S - Sale,$49.13,"-10,000","253,527",-4%,"-$491,300",-1,0,+12,-8
59,,2014-12-22 17:36:31,2014-12-22,O,Roy Sumit,"EVP, COO, CIO",S - Sale,$48.96,"-7,377","49,574",-13%,"-$361,178",0,+1,+8,-6
60,,2014-08-14 18:55:52,2014-08-14,O,Israel Robert,"SVP, Research",S - Sale,$44.45,"-3,176","16,245",-16%,"-$141,173",0,+2,-4,+19
61,,2014-05-29 17:27:51,2014-05-29,O,Malino Gary M,"Pres, COO",S - Sale,$43.49,"-21,748","142,860",-13%,"-$945,821",0,-1,+2,+9
62,,2014-05-09 17:38:56,2014-05-09,O,Case John,CEO,S - Sale,$43.74,"-15,000","263,527",-5%,"-$656,100",+1,-1,-1,+11
63,,2014-05-09 17:38:14,2014-05-08,O,McLaughlin Gregory,Dir,S - Sale,$44.11,"-5,225","18,672",-22%,"-$230,475",+1,-1,-1,+11
64,,2014-05-07 20:27:08,2014-05-05,O,Pfeiffer Michael R,"EVP, GC, Secretary",S - Sale,$43.44,"-16,000","79,787",-17%,"-$695,040",0,-1,0,+9
65,,2014-05-06 18:49:07,2014-05-05,O,Meurer Paul M,"EVP, CFO, Treasurer",S - Sale,$43.28,"-16,259","68,397",-19%,"-$703,690",+2,+2,0,+9
66,,2013-09-30 18:20:05,2013-09-26,O,Israel Robert,"SVP, Research",S - Sale,$41.22,"-7,366","16,244",-31%,"-$303,627",+2,0,+8,+6
67,M,2013-09-18 19:51:34,2013-09-17,O,Lewis Thomas A,Dir,S - Sale,$39.60,"-30,844","223,072",-12%,"-$1,221,515",-1,-2,+3,+3
68,,2013-06-14 14:03:45,2013-06-12,O,Fahey Greg,"SVP, Controller",P - Purchase,$25.07,+400,"22,393",+2%,"+$10,028",+2,-7,+3,-14
69,,2013-06-12 12:14:54,2013-06-11,O,Fahey Greg,"SVP, Controller",P - Purchase,$25.52,+400,"21,993",+2%,"+$10,208",-1,+2,+2,-12
70,,2013-05-16 17:16:18,2013-05-16,O,Fahey Greg,"SVP, Controller",S - Sale,$54.15,"-2,673","21,593",-11%,"-$144,743",+2,-3,-16,-24
71,,2013-05-13 18:17:03,2013-05-10,O,Malino Gary M,"Pres, COO",S - Sale,$52.26,"-61,132","186,609",-25%,"-$3,194,758",0,+3,-18,-21
72,,2013-05-13 18:07:35,2013-05-10,O,Collins Richard G,"EVP, Portfolio Management",S - Sale,$52.17,"-13,605","44,324",-23%,"-$709,773",0,+3,-18,-21
73,,2013-05-10 15:57:58,2013-05-10,O,Case John,"Pres, CIO",S - Sale,$52.28,"-6,000","120,009",-5%,"-$313,680",0,+3,-15,-18
74,,2013-05-07 18:53:44,2013-05-06,O,Fahey Greg,"SVP, Controller",S - Sale,$51.57,"-1,000","24,266",-4%,"-$51,570",+1,+2,-16,-17
75,,2013-05-06 19:51:15,2013-05-02,O,Pfeiffer Michael R,"EVP, GC, Secretary",S - Sale,$51.18,"-3,500","108,003",-3%,"-$179,130",+1,+1,-16,-17
76,,2013-05-01 20:07:48,2013-04-30,O,Meurer Paul M,"EVP, CFO, Treasurer",S - Sale,$50.55,"-17,761","90,207",-16%,"-$897,819",+1,+3,-7,-13
77,,2013-05-01 20:06:05,2013-03-15,O,King Laura,"SVP, Assistant GC",S - Sale,$44.77,-312,"46,742",-1%,"-$13,968",+1,+3,-7,-13
78,,2013-05-01 20:05:48,2013-04-30,O,King Laura,"SVP, Assistant GC",S - Sale,$50.50,"-8,550","38,192",-18%,"-$431,775",+1,+3,-7,-13
