,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2020-11-18 16:24:33,2020-11-17,ODFL,Plemmons Gregory B,SVP - Sales,S - Sale,$205.59,"-1,102","9,939",-10%,"-$226,560",,,,
2,,2020-11-16 16:59:20,2020-11-13,ODFL,Suggs Leo H,Dir,S - Sale,$200.00,"-4,500","6,227",-42%,"-$900,000",,,,
3,,2020-02-11 16:30:59,2020-02-11,ODFL,Bates David J.,SVP - Operations,S - Sale,$220.62,-339,"5,568",-6%,"-$74,790",,,,
4,,2019-11-04 17:02:10,2019-10-31,ODFL,Congdon Earl E,Senior Exec COB,S - Sale,$181.94,"-23,500","1,808,474",-1%,"-$4,275,590",,,,
5,,2019-11-04 17:00:03,2019-10-31,ODFL,Congdon David S,Exec COB,S - Sale,$181.94,"-23,500","4,202,293",-1%,"-$4,275,590",,,,
6,,2019-08-21 16:37:21,2019-08-20,ODFL,Congdon David S,Exec COB,S - Sale,$165.51,"-30,150","4,227,124",-1%,"-$4,990,251",,,,
7,,2019-08-07 16:56:45,2019-08-06,ODFL,Plemmons Gregory B,SVP - Sales,S - Sale,$163.39,"-1,249","5,885",-18%,"-$204,074",,,,
8,,2019-08-05 16:33:12,2019-08-01,ODFL,Congdon Earl E,Senior Exec COB,S - Sale,$166.53,"-56,400","1,912,110",-3%,"-$9,392,292",,,,
9,,2019-02-22 16:34:05,2019-02-21,ODFL,Bates David J.,SVP - Operations,S - Sale,$151.84,"-1,951","6,357",-23%,"-$296,240",,,,
10,,2018-05-25 16:40:06,2018-05-23,ODFL,Suggs Leo H,Dir,S - Sale,$148.44,-800,"5,679",-12%,"-$118,752",,,,
11,,2017-08-17 17:07:06,2017-08-15,ODFL,Congdon David S,"Vice COB, CEO",S - Sale,$97.83,-575,"4,310,090",0%,"-$56,252",,,,
12,,2016-11-22 16:49:20,2016-11-21,ODFL,Congdon David S,"Vice COB, CEO",S - Sale,$86.56,"-2,400","4,339,194",0%,"-$207,744",+2,0,+1,
13,,2016-11-17 17:20:19,2016-11-16,ODFL,Congdon David S,"Vice COB, CEO",S - Sale,$85.27,"-40,000","4,341,594",-1%,"-$3,410,800",-1,+2,+1,
14,,2016-11-14 17:43:09,2016-11-11,ODFL,Suggs Leo H,Dir,S - Sale,$81.35,"-3,800","4,494",-46%,"-$309,130",+1,+2,+4,
15,,2016-11-02 18:02:08,2016-11-01,ODFL,Congdon David S,"Vice COB, CEO",S - Sale,$74.67,-815,"4,381,594",0%,"-$60,856",0,+2,+21,+19
16,,2016-08-24 18:35:50,2016-08-23,ODFL,Congdon Jeffrey W,"Member of Section 13(d) group, 10%",S - Sale,$69.84,"-24,555","3,693,534",-1%,"-$1,714,921",-1,+1,-4,+29
17,,2016-08-17 19:23:03,2016-08-16,ODFL,Congdon David S,"Vice COB, CEO",S - Sale,$69.77,"-1,660","4,382,390",0%,"-$115,818",0,0,-1,+33
18,,2016-08-15 17:49:42,2016-08-12,ODFL,Congdon Jeffrey W,"Member of Section 13(d) group, 10%",S - Sale,$69.64,"-18,500","3,718,089",0%,"-$1,288,340",0,0,-3,+33
19,,2016-08-15 17:42:45,2016-08-12,ODFL,Congdon John R Jr,"Member of Section 13(d) group, 10%",S - Sale,$69.64,"-6,000","1,793,440",0%,"-$417,840",0,0,-3,+33
20,,2016-08-12 17:11:07,2016-08-11,ODFL,Congdon Jeffrey W,"Member of Section 13(d) group, 10%",S - Sale,$70.04,"-21,300","3,738,589",-1%,"-$1,491,852",+1,0,-1,+33
21,,2016-08-12 17:10:12,2016-08-11,ODFL,Congdon John R Jr,"Member of Section 13(d) group, 10%",S - Sale,$70.04,"-7,100","1,799,440",0%,"-$497,284",+1,0,-1,+33
22,M,2016-08-11 17:09:56,2016-08-09,ODFL,Congdon Jeffrey W,"Member of Section 13(d) group, 10%",S - Sale,$69.92,"-69,500","3,760,989",-2%,"-$4,859,265",-1,-1,-4,+29
23,M,2016-08-11 17:08:44,2016-08-09,ODFL,Congdon John R Jr,"Member of Section 13(d) group, 10%",S - Sale,$69.92,"-23,100","1,806,540",-1%,"-$1,615,089",-1,-1,-4,+29
24,,2016-08-10 17:00:53,2016-08-08,ODFL,Congdon Jeffrey W,"Member of Section 13(d) group, 10%",S - Sale,$70.87,"-11,632","3,833,989",0%,"-$824,360",0,0,+1,+27
25,,2016-08-10 16:48:41,2016-08-08,ODFL,Congdon John R Jr,"Member of Section 13(d) group, 10%",S - Sale,$70.87,"-3,800","1,829,640",0%,"-$269,306",0,0,+1,+27
26,,2016-05-11 17:34:35,2016-05-10,ODFL,Congdon David S,"Vice COB, CEO",S - Sale,$65.41,"-2,200","4,381,817",0%,"-$143,902",-1,-3,-5,+16
27,,2016-05-06 18:53:27,2016-05-05,ODFL,Suggs Leo H,Dir,P - Purchase,$63.00,"+1,000","6,800",+17%,"+$63,000",+1,0,-1,+15
28,,2016-02-23 18:01:25,2016-02-19,ODFL,Congdon Jeffrey W,"Member of Section 13(d) group, 10%",S - Sale,$62.07,"-10,000","3,863,709",0%,"-$620,700",0,+2,+8,+10
29,,2015-08-24 16:44:22,2015-08-21,ODFL,Suggs Leo H,Dir,P - Purchase,$69.92,"+3,000","5,800",+107%,"+$209,760",-2,+2,-3,-4
30,,2015-08-11 16:24:00,2015-08-10,ODFL,Congdon David S,"Vice COB, CEO",S - Sale,$72.73,"-3,780","4,436,084",0%,"-$274,919",-1,0,-9,-17
31,D,2015-06-01 17:17:59,2015-05-29,ODFL,Suggs Leo H,Dir,P - Purchase,$71.19,+400,"2,800",+17%,"+$28,476",-1,+3,-1,-6
32,M,2015-02-27 17:08:37,2015-02-25,ODFL,Congdon Jeffrey W,"Member of Section 13(d) group, 10%",S - Sale,$78.38,"-72,500","5,857,184",-1%,"-$5,682,272",+2,-1,-1,-15
33,,2015-02-24 16:21:01,2015-02-23,ODFL,Congdon David S,"Pres, CEO",S - Sale,$77.35,"-2,260","4,467,770",0%,"-$174,811",0,+1,0,-13
34,,2014-11-19 16:36:51,2014-11-18,ODFL,Congdon David S,"Pres, CEO",S - Sale,$77.16,"-3,500","4,469,331",0%,"-$270,062",+1,+3,+2,-6
35,,2014-08-11 17:11:12,2014-08-07,ODFL,Congdon David S,"Pres, CEO",S - Sale,$63.34,-100,"4,189,815",0%,"-$6,334",0,+1,+8,+14
36,,2014-05-29 16:11:22,2014-05-28,ODFL,Kasarda John D.,Dir,P - Purchase,$63.21,"+1,582","3,832",+70%,"+$99,996",+1,-1,-1,+25
37,,2014-02-24 16:10:59,2014-02-20,ODFL,Congdon Earl E,Exec COB,S - Sale,$52.67,"-14,343","3,091,487",0%,"-$755,489",0,+1,+6,+26
38,M,2014-02-20 16:25:05,2014-02-18,ODFL,Congdon Earl E,Exec COB,S - Sale,$52.85,"-70,127","3,105,830",-2%,"-$3,705,962",0,+2,+7,+28
39,,2014-02-20 16:21:32,2014-02-19,ODFL,Congdon David S,"Pres, CEO",S - Sale,$52.98,"-14,900","4,187,880",0%,"-$789,387",0,+2,+7,+28
40,,2013-08-07 16:24:38,2013-08-07,ODFL,Kasarda John D.,Dir,P - Purchase,$44.45,"+2,250","2,250",New,"+$100,004",+1,+3,+1,+19
41,,2013-08-07 16:23:55,2013-08-06,ODFL,Congdon David S,"Pres, CEO",S - Sale,$44.89,"-55,000","4,201,142",-1%,"-$2,468,807",+1,+3,+1,+19
42,,2013-08-05 11:41:32,2013-08-01,ODFL,Congdon David S,"Pres, CEO",S - Sale,$45.07,"-4,600","4,256,142",0%,"-$207,304",0,+1,-2,+16
43,,2013-02-28 16:27:00,2013-02-27,ODFL,Congdon David S,"Pres, CEO",S - Sale,$35.63,"-3,600","4,260,742",0%,"-$128,251",-2,0,+6,+22
44,,2012-11-16 16:48:48,2012-11-14,ODFL,Booker John P III,VP - Controller,S - Sale,$33.45,"-20,500",0,-100%,"-$685,725",+1,+1,0,+27
45,,2012-08-22 14:15:52,2012-08-21,ODFL,Suggs Leo H,Dir,P - Purchase,$45.99,+600,"1,600",+60%,"+$27,594",0,-2,-4,+13
46,,2011-08-12 12:00:30,2011-08-11,ODFL,McCarty Joel B Jr,"SVP, Gen. Counsel, Sec.",P - Purchase,$30.10,+500,"12,243",+4%,"+$15,050",+4,-8,-2,+41
47,M,2011-08-10 10:53:46,2011-08-08,ODFL,Frye J Wes,"SVP - Finance, CFO",P - Purchase,$29.83,"+1,398","28,474",+5%,"+$41,702",-3,+2,+2,+44
48,,2011-02-10 11:48:15,2011-02-08,ODFL,Suggs Leo H,Dir,P - Purchase,$30.10,+700,"1,000",+233%,"+$21,070",+2,+5,+9,-2
49,,2010-11-05 16:58:35,2010-11-03,ODFL,Yowell John B,"EVP, COO, 10%",S - Sale,$28.08,"-61,437","2,100,469",-3%,"-$1,725,292",0,-2,+8,+30
