,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-04-29 16:43:17,2021-04-27,OMC,Rice Linda Johnson,Dir,S - Sale,$80.76,"-1,700","10,910",-13%,"-$137,284",,,,
2,,2021-04-27 17:58:21,2021-04-26,OMC,Wren John,"COB, CEO",S - Sale,$80.68,"-81,062","1,169,519",-6%,"-$6,540,447",,,,
3,,2020-02-24 16:31:18,2020-02-21,OMC,Rice Linda Johnson,Dir,S - Sale,$77.99,-540,"8,437",-6%,"-$42,115",,,,
4,,2019-10-31 14:50:08,2019-10-29,OMC,Rice Linda Johnson,Dir,S - Sale,$77.14,-463,"8,368",-5%,"-$35,716",,,,
5,,2019-10-18 16:49:59,2019-10-17,OMC,Castellaneta Andrew,"SVP, Chief Accounting Officer",S - Sale,$75.78,"-3,000","26,513",-10%,"-$227,340",,,,
6,,2019-09-03 16:28:13,2019-08-29,OMC,Rice Linda Johnson,Dir,S - Sale,$76.11,-442,"8,232",-5%,"-$33,638",,,,
7,,2019-07-23 16:31:35,2019-07-19,OMC,Castellaneta Andrew,"SVP, Chief Accounting Officer",S - Sale,$80.16,"-2,000","30,804",-6%,"-$160,324",,,,
8,,2019-05-22 18:11:17,2019-05-22,OMC,Wren John,"COB, CEO",S - Sale,$79.84,"-60,541","1,087,378",-5%,"-$4,833,593",,,,
9,,2019-04-26 16:26:12,2019-04-24,OMC,Castellaneta Andrew,"SVP, Chief Accounting Officer",S - Sale,$80.24,"-4,400","27,673",-14%,"-$353,034",,,,
10,,2019-04-22 16:47:12,2019-04-18,OMC,Rice Linda Johnson,Dir,S - Sale,$83.59,-497,"8,161",-6%,"-$41,545",,,,
11,,2019-04-22 16:46:13,2019-04-18,OMC,Nelson Jonathan B.,"CEO, Omnicom Digital",S - Sale,$84.22,"-4,916","79,558",-6%,"-$414,024",,,,
12,,2019-02-28 16:52:09,2019-02-28,OMC,Coleman Leonard S Jr,Dir,S - Sale,$75.25,"-2,556","26,721",-9%,"-$192,339",,,,
13,,2019-02-19 16:35:49,2019-02-14,OMC,Rice Linda Johnson,Dir,S - Sale,$74.79,-495,"8,161",-6%,"-$37,021",,,,
14,,2018-10-30 16:32:17,2018-10-26,OMC,Hewitt Dennis E.,Treasurer,S - Sale,$70.03,-200,"45,310",0%,"-$14,006",,,,
15,M,2018-10-25 16:40:50,2018-10-23,OMC,Hewitt Dennis E.,Treasurer,S - Sale,$75.85,-500,"45,510",-1%,"-$37,924",,,,
16,,2018-10-23 16:40:32,2018-10-19,OMC,Nelson Jonathan B.,"CEO, Omnicom Digital",S - Sale,$77.38,"-13,000","58,569",-18%,"-$1,005,914",,,,
17,,2018-10-22 16:38:22,2018-10-18,OMC,Rice Linda Johnson,Dir,S - Sale,$76.28,-533,"8,027",-6%,"-$40,657",,,,
