,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-07-30 16:16:32,2021-07-28,OTIS,Ryan Michael Patrick,"VP, CAO, Controller",S - Sale,$87.44,"-2,220",0,-100%,"-$194,122",,,,
2,D,2021-04-29 16:15:55,2021-04-28,OTIS,Zheng Peiming,"Pres, Otis China",S - Sale+OE,$78.67,"-15,234",0,-100%,"-$1,198,474",,,,
3,D,2021-02-09 16:38:15,2021-02-05,OTIS,Lafreniere Nora E.,"EVP, Chief GC, Corp. Sec.",S - Sale+OE,$63.93,-754,"14,303",-5%,"-$48,203",,,,
4,D,2021-02-09 16:37:31,2021-02-05,OTIS,Ryan Michael Patrick,"VP, CAO, Controller",S - Sale+OE,$63.93,-463,"2,220",-17%,"-$29,600",,,,
5,M,2021-02-09 16:36:42,2020-04-07,OTIS,Preston Margaret M V,Dir,P - Purchase,$50.20,+96,971,+11%,"+$4,819",,,,
6,,2021-02-09 16:36:42,2021-01-14,OTIS,Preston Margaret M V,Dir,S - Sale,$65.09,-14,971,-1%,-$911,,,,
7,,2021-02-09 16:30:11,2021-02-08,OTIS,Stewart Shelley Jr,Dir,S - Sale,$63.73,"-1,971",0,-100%,"-$125,612",,,,
8,,2020-12-11 16:05:43,2020-12-09,OTIS,Calleja Fernandez Bernardo,"Pres, Otis EMEA",P - Purchase,$65.51,+500,"1,500",+50%,"+$32,755",,,,
9,D,2020-11-03 17:16:44,2020-10-30,OTIS,Marks Judith Fran,"Pres, CEO",S - Sale+OE,$61.28,-47,"8,979",-1%,"-$2,900",,,,
10,D,2020-08-04 17:09:50,2020-08-03,OTIS,Zheng Peiming,"Pres, Otis China",S - Sale+OE,$63.21,-54,"2,926",-2%,"-$3,398",,,,
11,,2020-05-13 17:50:08,2020-05-11,OTIS,De Montlivault Stephane,"Pres, Otis Asia Pacific",S - Sale,$51.81,"-10,454","1,403",-88%,"-$541,622",,,,
12,D,2020-05-13 17:47:02,2020-05-11,OTIS,Kearney Christopher J,Exec COB,P - Purchase,$51.88,"+1,926","2,797",+221%,"+$99,919",,,,
