,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-05-17 19:51:55,2021-05-14,PCAR,Feight R Preston,CEO,S - Sale+OE,$94.06,"-4,770","56,908",-8%,"-$448,684",,,,
2,D,2021-02-18 19:33:10,2021-02-16,PCAR,Dozier C Michael,SVP,S - Sale+OE,$96.96,"-14,220","16,452",-46%,"-$1,378,713",,,,
3,D,2021-02-11 11:36:37,2021-02-10,PCAR,Hubbard Todd R,VP,S - Sale+OE,$100.00,"-3,326","3,971",-46%,"-$332,600",,,,
4,D,2021-02-10 19:07:04,2021-02-09,PCAR,Schippers Harrie,"Pres, CFO",S - Sale+OE,$99.13,"-10,000","43,115",-19%,"-$991,326",,,,
5,D,2021-02-08 13:03:33,2021-02-05,PCAR,Schippers Harrie,"Pres, CFO",S - Sale+OE,$96.44,"-7,848","43,115",-15%,"-$756,838",,,,
6,D,2021-02-08 11:23:26,2021-02-04,PCAR,Barkley Michael T,"SVP, CONTROLLER",S - Sale+OE,$97.59,"-10,000","47,935",-17%,"-$975,907",,,,
7,D,2021-02-04 18:00:46,2021-02-04,PCAR,Walton Michael K,"VP, GC",S - Sale+OE,$97.22,"-1,688","3,154",-35%,"-$164,102",,,,
8,D,2021-02-04 17:32:12,2021-02-03,PCAR,Quinn T. Kyle,"SVP, CHIEF TECH. OFFICER",S - Sale+OE,$95.29,"-24,516","35,270",-41%,"-$2,336,063",,,,
9,DM,2021-02-04 17:12:16,2021-02-02,PCAR,Hubbard Todd R,VP,S - Sale+OE,$93.76,"-3,404","3,971",-46%,"-$319,168",,,,
10,D,2021-02-01 17:51:18,2021-01-29,PCAR,Feight R Preston,CEO,S - Sale+OE,$89.81,"-3,288","27,354",-11%,"-$295,300",,,,
11,D,2020-11-06 13:01:53,2020-11-05,PCAR,Pigott Mark C,Exec COB,S - Sale+OE,$90.33,"-92,832","3,399,321",-3%,"-$8,385,515",,,,
12,D,2020-10-27 18:49:13,2020-10-23,PCAR,Hubbard Todd R,VP,S - Sale+OE,$92.50,"-4,302","5,187",-45%,"-$397,935",,,,
13,D,2020-10-27 18:16:17,2020-10-23,PCAR,Schippers Harrie,"Pres, CFO",S - Sale+OE,$92.88,"-6,424","38,653",-14%,"-$596,639",,,,
14,D,2020-10-27 18:13:35,2020-10-23,PCAR,Levier Jack K.,VP,S - Sale+OE,$92.40,"-8,762","28,301",-24%,"-$809,576",,,,
15,D,2020-10-27 18:10:38,2020-10-23,PCAR,Barkley Michael T,"SVP, CONTROLLER",S - Sale+OE,$92.72,"-25,166","46,109",-35%,"-$2,333,376",,,,
16,D,2020-08-03 18:07:44,2020-07-30,PCAR,Ley Alma Lily,VP,S - Sale+OE,$84.65,"-3,314","4,294",-44%,"-$280,530",,,,
17,D,2020-07-28 17:15:38,2020-07-24,PCAR,Danforth David J,VP,S - Sale+OE,$86.48,"-1,732","8,076",-18%,"-$149,783",,,,
18,D,2020-07-28 17:12:35,2020-07-24,PCAR,Skoog Jason P,VP,S - Sale+OE,$85.19,"-3,882","5,172",-43%,"-$330,718",,,,
19,D,2020-07-28 16:58:59,2020-07-24,PCAR,Quinn T. Kyle,"SVP, CHIEF TECH. OFFICER",S - Sale+OE,$85.48,"-43,768","32,731",-57%,"-$3,741,184",,,,
20,D,2020-07-28 16:45:43,2020-07-24,PCAR,Dozier C Michael,SVP,S - Sale+OE,$85.40,"-12,158","15,078",-45%,"-$1,038,293",,,,
21,D,2020-07-28 16:30:23,2020-07-24,PCAR,Baney Kevin D,VP,S - Sale+OE,$86.10,"-6,478","2,069",-76%,"-$557,742",,,,
22,D,2020-07-28 16:12:12,2020-07-24,PCAR,Levier Jack K.,VP,S - Sale+OE,$86.39,"-11,458","28,274",-29%,"-$989,853",,,,
23,D,2020-07-28 16:03:59,2020-07-24,PCAR,Siver Darrin C,SVP,S - Sale+OE,$86.06,"-26,251","37,342",-41%,"-$2,259,080",,,,
24,D,2020-07-28 13:52:53,2020-07-24,PCAR,Schippers Harrie,"Pres, CFO",S - Sale+OE,$86.04,"-4,000","38,648",-9%,"-$344,165",,,,
25,D,2020-07-28 13:48:58,2020-07-24,PCAR,Hubbard Todd R,VP,S - Sale+OE,$85.90,"-7,416","5,175",-59%,"-$637,020",,,,
26,D,2020-05-07 11:44:55,2020-05-05,PCAR,Barkley Michael T,"SVP, CONTROLLER",S - Sale+OE,$68.80,"-11,728","46,108",-20%,"-$806,896",,,,
27,D,2020-05-01 13:12:29,2020-04-29,PCAR,Danforth David J,VP,S - Sale+OE,$69.36,"-1,439","9,792",-13%,"-$99,834",,,,
28,D,2020-04-29 19:15:56,2020-04-28,PCAR,Grandstaff Douglas S,"VP, GC",S - Sale+OE,$70.00,"-1,431","7,575",-16%,"-$100,170",,,,
29,D,2020-04-28 19:24:07,2020-04-27,PCAR,Schippers Harrie,"Pres, CFO",S - Sale+OE,$68.81,"-4,000","38,643",-9%,"-$275,222",,,,
30,D,2020-04-28 19:22:08,2020-04-24,PCAR,Danforth David J,VP,S - Sale+OE,$66.36,"-1,956","11,232",-15%,"-$129,790",,,,
31,D,2020-02-19 18:45:38,2020-02-14,PCAR,Hubbard Todd R,VP,S - Sale+OE,$74.47,-403,"5,877",-6%,"-$30,012",,,,
32,D,2020-02-06 18:26:18,2020-02-05,PCAR,Davila Marco A.,VP,S - Sale+OE,$77.84,"-6,200","9,277",-40%,"-$482,630",,,,
33,D,2019-11-05 16:31:01,2019-11-01,PCAR,Schippers Harrie,"Pres, CFO",S - Sale+OE,$77.73,"-7,927","33,029",-19%,"-$616,187",,,,
34,D,2019-11-05 13:10:52,2019-11-01,PCAR,Hubbard Todd R,VP,S - Sale+OE,$78.00,"-2,738","6,694",-29%,"-$213,564",,,,
35,D,2019-11-05 13:08:56,2019-11-01,PCAR,Dozier C Michael,VP,S - Sale+OE,$77.65,"-6,644","13,299",-33%,"-$515,912",,,,
36,D,2019-11-01 20:46:43,2019-10-31,PCAR,Wolters Henricus M. B.,VP,S - Sale+OE,$76.13,"-7,766",0,-100%,"-$591,226",,,,
37,D,2019-10-30 19:44:18,2019-10-28,PCAR,Schippers Harrie,"Pres, CFO",S - Sale+OE,$77.68,"-7,927","33,029",-19%,"-$615,783",,,,
38,D,2019-10-30 19:12:32,2019-10-28,PCAR,Quinn T. Kyle,"SVP, CHIEF TECH. OFFICER",S - Sale+OE,$77.56,"-29,840","29,840",-50%,"-$2,314,519",,,,
39,D,2019-10-29 20:03:42,2019-10-25,PCAR,Siver Darrin C,SVP,S - Sale+OE,$77.01,"-12,474","30,408",-29%,"-$960,564",,,,
40,D,2019-10-29 20:00:10,2019-10-25,PCAR,Moore Gary Lee,EVP,S - Sale+OE,$75.81,"-39,695","60,432",-40%,"-$3,009,338",,,,
41,D,2019-10-29 19:58:23,2019-10-25,PCAR,Ley Alma Lily,VP,S - Sale+OE,$75.99,"-9,180","6,370",-59%,"-$697,627",,,,
42,D,2019-10-29 19:57:18,2019-10-25,PCAR,Levier Jack K.,VP,S - Sale+OE,$76.04,"-7,566","25,549",-23%,"-$575,286",,,,
43,D,2019-10-29 19:54:49,2019-10-25,PCAR,Hubbard Todd R,VP,S - Sale+OE,$75.59,"-5,000","6,694",-43%,"-$377,937",,,,
44,D,2019-10-29 19:52:01,2019-10-25,PCAR,Grandstaff Douglas S,"VP, GC",S - Sale+OE,$76.02,"-1,320","6,573",-17%,"-$100,349",,,,
45,D,2019-10-29 19:42:55,2019-10-25,PCAR,Danforth David J,VP,S - Sale+OE,$75.83,"-2,640","9,770",-21%,"-$200,191",,,,
46,D,2019-07-30 12:43:45,2019-07-26,PCAR,Hubbard Todd R,VP,S - Sale+OE,$71.99,"-3,854","6,680",-37%,"-$277,434",,,,
