,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-19 15:05:46,2021-10-18,PEG,Chernick Rose M,"VP, Controller",S - Sale,$61.56,-400,"31,918",-1%,"-$24,624",,,,
2,,2021-10-05 16:33:34,2021-10-01,PEG,Izzo Ralph,"COB, Pres, CEO",S - Sale,$60.66,"-9,883","465,917",-2%,"-$599,546",,,,
3,,2021-10-05 15:28:02,2021-10-01,PEG,Larossa Ralph A,COO,S - Sale,$60.83,"-4,890","70,643",-6%,"-$297,458",,,,
4,,2021-09-21 10:58:43,2021-09-17,PEG,Chernick Rose M,"VP, Controller",S - Sale,$62.95,-400,"32,271",-1%,"-$25,180",,,,
5,,2021-09-03 12:38:08,2021-09-01,PEG,Larossa Ralph A,COO,S - Sale,$64.60,"-4,890","75,533",-6%,"-$315,876",,,,
6,,2021-08-18 13:12:29,2021-08-17,PEG,Chernick Rose M,"VP, Controller",S - Sale,$64.71,-400,"32,652",-1%,"-$25,884",,,,
7,,2021-08-04 07:44:07,2021-08-02,PEG,Larossa Ralph A,COO,S - Sale,$62.85,"-4,890","80,423",-6%,"-$307,351",,,,
8,,2021-07-21 12:36:25,2021-07-19,PEG,Chernick Rose M,"VP, Controller",S - Sale,$61.34,-400,"33,056",-1%,"-$24,536",,,,
9,,2021-07-02 13:27:07,2021-07-01,PEG,Larossa Ralph A,COO,S - Sale,$58.83,"-4,890","85,028",-5%,"-$287,666",,,,
10,,2021-06-21 06:01:09,2021-06-17,PEG,Chernick Rose M,"VP, Controller",S - Sale,$61.06,-400,"33,408",-1%,"-$24,424",,,,
11,,2021-06-15 18:49:37,2021-06-14,PEG,Linde Tamara Louise,"EVP, GC",S - Sale,$61.71,"-29,500","54,109",-35%,"-$1,820,483",,,,
12,,2021-06-03 10:31:50,2021-06-01,PEG,Larossa Ralph A,COO,S - Sale,$62.05,"-4,890","89,918",-5%,"-$303,443",,,,
13,,2021-05-18 15:58:58,2021-05-17,PEG,Chernick Rose M,"VP, Controller",S - Sale,$62.64,-400,"33,790",-1%,"-$25,056",,,,
14,,2021-05-04 16:57:39,2021-05-03,PEG,Larossa Ralph A,COO,S - Sale,$63.87,"-4,890","94,808",-5%,"-$312,324",,,,
15,,2021-04-21 16:35:38,2021-04-19,PEG,Larossa Ralph A,COO,S - Sale,$63.30,"-4,890","99,698",-5%,"-$309,515",,,,
16,,2021-04-16 13:17:12,2021-04-15,PEG,Chernick Rose M,"VP, Controller",S - Sale,$62.52,-397,"34,190",-1%,"-$24,820",,,,
17,,2021-03-16 17:45:05,2021-03-15,PEG,Chernick Rose M,"VP, Controller",S - Sale,$57.85,-397,"34,544",-1%,"-$22,966",,,,
18,,2021-03-03 15:26:27,2021-03-01,PEG,Larossa Ralph A,COO,S - Sale,$54.27,"-1,924","70,025",-3%,"-$104,415",,,,
19,,2021-02-18 13:14:47,2021-02-16,PEG,Chernick Rose M,"VP, Controller",S - Sale,$57.99,-403,"32,883",-1%,"-$23,370",,,,
20,,2021-02-03 18:58:07,2021-02-01,PEG,Larossa Ralph A,COO,S - Sale,$56.95,"-1,919","59,524",-3%,"-$109,289",,,,
21,,2021-01-19 06:01:31,2021-01-15,PEG,Chernick Rose M,"VP, Controller",S - Sale,$57.71,-403,"31,347",-1%,"-$23,257",,,,
22,,2021-01-06 15:22:05,2021-01-04,PEG,Larossa Ralph A,COO,S - Sale,$56.44,"-1,919","60,906",-3%,"-$108,302",,,,
23,,2020-12-31 16:19:34,2020-12-30,PEG,Chernick Rose M,"VP, Controller",S - Sale,$56.96,-400,"32,195",-1%,"-$22,784",,,,
24,,2020-12-03 15:00:14,2020-12-01,PEG,Larossa Ralph A,COO,S - Sale,$58.42,"-1,919","81,650",-2%,"-$112,101",,,,
25,,2020-11-04 17:00:42,2020-11-02,PEG,Larossa Ralph A,COO,S - Sale,$58.45,"-1,919","83,569",-2%,"-$112,167",,,,
