,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-06 16:12:26,2021-10-04,PENN,Snowden Jay A,"Pres, CEO",S - Sale+OE,$77.23,"-148,387","530,496",-22%,"-$11,460,568",,,,
2,D,2021-09-15 16:43:36,2021-09-13,PENN,Snowden Jay A,"Pres, CEO",S - Sale+OE,$80.46,"-14,900","530,496",-3%,"-$1,198,854",,,,
3,D,2021-03-17 19:41:15,2021-03-15,PENN,Snowden Jay A,"Pres, CEO",S - Sale+OE,$140.61,"-71,540","191,599",-27%,"-$10,059,330",,,,
4,D,2021-02-10 21:50:44,2021-02-08,PENN,Reibstein Saul,Dir,S - Sale+OE,$124.98,"-10,000","28,494",-26%,"-$1,249,806",,,,
5,,2021-02-10 21:46:32,2021-02-08,PENN,Carlino Peter M,Chairman Emeritus,S - Sale,$123.80,"-3,000,000","2,116,934",-59%,"-$371,400,000",,,,
6,,2021-02-10 21:41:45,2021-02-08,PENN,Shattuck Kohn Barbara,Dir,S - Sale,$120.24,"-3,100","47,258",-6%,"-$372,744",,,,
7,,2021-02-10 21:36:51,2021-02-08,PENN,Scaccetti Jane,Dir,P - Purchase,$120.99,+820,"41,978",+2%,"+$99,212",,,,
8,D,2021-01-15 16:56:43,2021-01-15,PENN,Labombard Christine,"SVP, CAO",S - Sale+OE,$104.51,"-11,831","12,320",-49%,"-$1,236,458",,,,
9,D,2021-01-07 16:39:56,2021-01-05,PENN,Reibstein Saul,Dir,S - Sale+OE,$82.06,"-6,579","28,494",-19%,"-$539,865",,,,
10,,2020-12-22 16:35:51,2020-12-21,PENN,Labombard Christine,"SVP, CAO",S - Sale,$91.00,"-6,732","12,320",-35%,"-$612,612",,,,
11,,2020-12-11 21:03:03,2020-12-08,PENN,Handler David A,Chairman of the Board,S - Sale,$75.05,"-55,000","163,906",-25%,"-$4,127,894",,,,
12,D,2020-12-03 19:14:44,2020-12-01,PENN,Snowden Jay A,"Pres, CEO",S - Sale+OE,$69.44,"-183,440","174,807",-51%,"-$12,737,782",,,,
13,D,2020-12-02 18:24:37,2020-11-30,PENN,Sottosanti Carl,"EVP, GC, Sec.",S - Sale+OE,$72.32,"-93,134","37,886",-71%,"-$6,735,551",,,,
14,D,2020-10-28 16:36:29,2020-10-26,PENN,Sottosanti Carl,"EVP, GC, Sec.",S - Sale+OE,$60.23,"-63,940","86,548",-42%,"-$3,851,078",,,,
15,,2020-10-13 18:45:08,2020-10-09,PENN,Labombard Christine,"SVP, CAO",S - Sale,$66.36,"-13,400","19,052",-41%,"-$889,224",,,,
16,D,2020-09-23 17:07:42,2020-09-21,PENN,Reibstein Saul,Dir,S - Sale+OE,$69.55,"-20,000","34,331",-37%,"-$1,391,000",,,,
17,,2020-09-23 16:29:16,2020-09-21,PENN,Shattuck Kohn Barbara,Dir,S - Sale,$69.57,"-10,000","48,581",-17%,"-$695,671",,,,
18,DM,2020-08-13 18:38:05,2020-08-11,PENN,Reibstein Saul,Dir,S - Sale+OE,$49.63,"-36,000","40,331",-47%,"-$1,786,570",,,,
19,D,2020-08-13 18:20:04,2020-08-11,PENN,Labombard Christine,"SVP, CAO",S - Sale+OE,$49.03,"-6,540","32,452",-17%,"-$320,656",,,,
20,,2020-08-12 17:23:14,2020-08-10,PENN,Shattuck Kohn Barbara,Dir,S - Sale,$45.43,"-5,000","58,581",-8%,"-$227,150",,,,
21,DM,2020-08-12 17:10:28,2020-08-10,PENN,Sottosanti Carl,"EVP, GC, Sec.",S - Sale+OE,$47.10,"-92,337","86,548",-52%,"-$4,349,452",,,,
22,D,2020-07-17 17:16:45,2020-07-16,PENN,Reibstein Saul,Dir,S - Sale+OE,$35.07,"-33,636","40,331",-45%,"-$1,179,615",,,,
23,D,2020-07-17 16:55:34,2020-07-15,PENN,Sottosanti Carl,"EVP, GC, Sec.",S - Sale+OE,$31.94,"-132,641","86,548",-61%,"-$4,236,554",,,,
24,A,2020-05-18 08:39:30,2020-05-13,PENN,Handler David A,Chairman of the Board,P - Purchase,$18.00,"+27,777","223,906",+14%,"+$499,986",,,,
25,,2020-05-15 13:51:45,2020-05-13,PENN,Scaccetti Jane,Dir,P - Purchase,$18.00,"+2,777","37,140",+8%,"+$49,986",,,,
26,,2020-05-15 08:55:02,2020-05-13,PENN,Handler David A,Chairman of the Board,P - Purchase,$18.00,"+27,777","223,906",+14%,"+$499,986",,,,
27,,2020-05-15 08:06:11,2020-05-13,PENN,Snowden Jay A,"Pres, CEO",P - Purchase,$18.00,"+27,777","160,520",+21%,"+$499,986",,,,
28,,2020-03-11 16:17:04,2020-03-09,PENN,Scaccetti Jane,Dir,P - Purchase,$21.31,"+1,000","34,363",+3%,"+$21,310",,,,
29,D,2020-03-04 16:24:33,2020-03-02,PENN,Reibstein Saul,Dir,S - Sale+OE,$28.67,"-40,000","40,331",-50%,"-$1,146,990",,,,
30,,2019-08-16 16:11:31,2019-08-14,PENN,Reibstein Saul,Dir,P - Purchase,$17.30,"+3,000","38,036",+9%,"+$51,900",,,,
31,,2019-08-16 16:10:43,2019-08-14,PENN,Handler David A,Dir,P - Purchase,$17.00,"+10,000","179,870",+6%,"+$170,000",,,,
32,,2019-08-12 16:15:42,2019-08-08,PENN,Scaccetti Jane,Dir,P - Purchase,$17.73,"+2,500","33,356",+8%,"+$44,325",,,,
33,,2019-08-09 16:06:30,2019-08-07,PENN,Handler David A,Dir,P - Purchase,$17.68,"+30,000","169,870",+21%,"+$530,400",,,,
34,,2019-05-15 17:15:00,2019-05-13,PENN,Fair William J,"EVP, CFO",P - Purchase,$19.54,"+11,000","46,998",+31%,"+$214,940",,,,
35,,2019-05-15 17:13:42,2019-05-13,PENN,Snowden Jay A,"Pres, COO",P - Purchase,$19.51,"+10,875","104,433",+12%,"+$212,171",,,,
36,,2018-12-12 16:37:54,2018-12-10,PENN,Naples Ronald J,Dir,P - Purchase,$22.72,"+1,000","3,000",+50%,"+$22,720",,,,
37,,2018-12-06 17:25:21,2018-12-04,PENN,Naples Ronald J,Dir,P - Purchase,$22.13,+500,"2,000",+33%,"+$11,065",,,,
38,A,2018-12-06 17:24:11,2018-11-30,PENN,Naples Ronald J,Dir,P - Purchase,$22.21,+500,"1,500",+50%,"+$11,105",,,,
39,,2018-11-19 16:40:36,2018-11-16,PENN,Scaccetti Jane,Dir,P - Purchase,$21.38,"+1,000","14,925",+7%,"+$21,380",,,,
40,D,2018-08-28 17:40:56,2018-08-24,PENN,Reibstein Saul,Dir,S - Sale+OE,$35.00,"-6,694","19,098",-26%,"-$234,290",,,,
41,,2018-08-17 16:45:58,2018-08-15,PENN,Wilmott Timothy J,CEO,P - Purchase,$30.85,"+100,000","612,867",+19%,"+$3,085,000",,,,
42,,2018-08-02 16:51:11,2018-07-31,PENN,Scaccetti Jane,Dir,P - Purchase,$31.39,+750,"13,925",+6%,"+$23,543",,,,
43,D,2018-07-18 16:40:56,2018-07-16,PENN,Wilmott Timothy J,CEO,S - Sale+OE,$36.35,"-5,987","512,867",-1%,"-$217,627",,,,
44,DM,2018-07-13 17:17:53,2018-07-11,PENN,Wilmott Timothy J,CEO,S - Sale+OE,$36.43,"-94,013","512,867",-15%,"-$3,425,174",,,,
45,DM,2018-07-10 18:01:53,2018-07-06,PENN,Wilmott Timothy J,CEO,S - Sale+OE,$35.08,"-67,804","512,867",-12%,"-$2,378,541",,,,
46,DM,2018-06-25 16:50:24,2018-06-21,PENN,Wilmott Timothy J,CEO,S - Sale+OE,$35.04,"-32,196","512,867",-6%,"-$1,128,036",,,,
47,,2018-06-06 18:27:57,2018-06-04,PENN,Scaccetti Jane,Dir,P - Purchase,$33.99,+700,"13,175",+6%,"+$23,793",,,,
48,D,2018-06-05 17:11:46,2018-06-01,PENN,Carlino Peter M,Dir,S - Sale+OE,$33.84,"-84,123","5,952,015",-1%,"-$2,846,722",,,,
