,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-18 16:39:26,2021-10-14,PGR,Broz Steven,CIO,S - Sale,$90.25,"-2,311","35,941",-6%,"-$208,568",,,,
2,,2021-09-23 14:30:02,2021-09-21,PGR,Broz Steven,CIO,S - Sale,$92.39,"-2,311","38,252",-6%,"-$213,513",,,,
3,,2021-08-23 14:52:38,2021-08-19,PGR,Bailo Karen,Commercial Lines Pres,S - Sale,$95.96,"-6,326","32,664",-16%,"-$607,000",,,,
4,,2021-08-23 12:56:30,2021-08-19,PGR,Sauerland John P,"VP, CFO",S - Sale,$95.47,"-12,000","321,842",-4%,"-$1,145,640",,,,
5,,2021-08-23 12:52:35,2021-08-19,PGR,Charney M Jeffrey,CMO,S - Sale,$95.89,"-14,300","55,777",-20%,"-$1,371,173",,,,
6,,2021-08-23 12:48:11,2021-08-19,PGR,Murphy John Jo,CRM Pres,S - Sale,$96.20,"-12,000","39,369",-23%,"-$1,154,414",,,,
7,,2021-07-21 14:53:01,2021-07-19,PGR,Niederst Lori A,Chief Human Resource Officer,S - Sale,$95.29,"-9,126","29,419",-24%,"-$869,617",,,,
8,,2021-07-21 14:46:42,2021-07-19,PGR,Mascaro Daniel P,"Vice Pres, Secretary, CLO",S - Sale,$95.29,"-9,505","37,315",-20%,"-$905,731",,,,
9,,2021-07-21 14:41:00,2021-07-19,PGR,Quigg Andrew J,Chief Strategy Officer,S - Sale,$95.29,"-3,096","18,085",-15%,"-$295,018",,,,
10,D,2021-07-19 14:32:36,2021-07-15,PGR,Sauerland John P,"VP, CFO",S - Sale+OE,$90.54,"-12,000","333,842",-3%,"-$1,086,480",,,,
11,,2021-06-21 15:32:13,2021-06-17,PGR,Griffith Susan Patricia,"Pres, CEO",S - Sale,$91.78,"-45,000","490,678",-8%,"-$4,129,907",,,,
12,,2021-06-21 14:50:25,2021-06-17,PGR,Sauerland John P,"VP, CFO",S - Sale,$92.86,"-12,000","310,849",-4%,"-$1,114,320",,,,
13,,2021-05-24 15:29:06,2021-05-20,PGR,Griffith Susan Patricia,"Pres, CEO",S - Sale,$99.17,"-40,578","535,678",-7%,"-$4,024,120",,,,
14,,2021-05-24 15:01:58,2021-05-20,PGR,Sauerland John P,"VP, CFO",S - Sale,$99.17,"-12,000","322,849",-4%,"-$1,190,040",,,,
15,,2021-05-05 16:44:01,2021-05-04,PGR,Broz Steven,CIO,S - Sale,$102.31,"-1,245","31,319",-4%,"-$127,376",,,,
16,D,2021-04-19 15:38:55,2021-04-15,PGR,Sauerland John P,"VP, CFO",S - Sale+OE,$97.74,"-12,000","334,849",-3%,"-$1,172,880",,,,
17,,2021-04-07 11:09:14,2021-04-05,PGR,Broz Steven,CIO,S - Sale,$95.90,"-1,243","32,564",-4%,"-$119,204",,,,
18,,2021-03-22 12:17:01,2021-03-18,PGR,Sauerland John P,"VP, CFO",S - Sale,$91.40,"-12,000","346,849",-3%,"-$1,096,800",,,,
19,,2021-03-08 16:14:42,2021-03-04,PGR,Broz Steven,CIO,S - Sale,$88.68,"-1,243","33,807",-4%,"-$110,229",,,,
20,,2021-02-08 16:05:37,2021-02-04,PGR,Broz Steven,CIO,S - Sale,$86.95,"-1,243","35,050",-3%,"-$108,079",,,,
21,,2021-02-04 17:04:29,2021-02-03,PGR,Mascaro Daniel P,"Vice Pres, Secretary, CLO",S - Sale,$86.17,"-2,351","37,314",-6%,"-$202,586",,,,
22,,2021-01-07 15:29:59,2021-01-05,PGR,Sieger Michael D,Claims Pres,S - Sale,$97.44,"-3,379","46,433",-7%,"-$329,250",,,,
23,,2021-01-07 15:26:40,2021-01-05,PGR,Charney M Jeffrey,CMO,S - Sale,$97.44,"-5,888","55,781",-10%,"-$573,727",,,,
24,,2021-01-07 15:23:21,2021-01-05,PGR,Callahan Patrick K,Personal Lines Pres,S - Sale,$97.44,"-6,591","13,148",-33%,"-$642,227",,,,
25,,2021-01-07 15:19:38,2021-01-05,PGR,Broz Steven,CIO,S - Sale,$97.44,"-1,243","36,293",-3%,"-$121,118",,,,
26,,2020-12-22 14:39:03,2020-12-21,PGR,Broz Steven,CIO,S - Sale,$97.05,"-3,291","31,317",-10%,"-$319,392",,,,
27,,2020-12-18 15:41:19,2020-12-17,PGR,Callahan Patrick K,Personal Lines Pres,S - Sale,$96.66,"-14,582","13,146",-53%,"-$1,409,496",,,,
28,,2020-12-18 15:38:00,2020-12-17,PGR,Mascaro Daniel P,"Vice Pres, Secretary, CLO",S - Sale,$96.66,"-13,187","37,313",-26%,"-$1,274,655",,,,
29,,2020-12-16 17:30:17,2020-12-15,PGR,Sieger Michael D,Claims Pres,S - Sale,$94.61,"-2,700","46,431",-5%,"-$255,447",,,,
30,,2020-12-02 17:29:36,2020-12-01,PGR,Charney M Jeffrey,CMO,S - Sale,$87.85,"-5,858","55,780",-10%,"-$514,625",,,,
31,,2020-11-23 15:46:55,2020-11-20,PGR,Broz Steven,CIO,S - Sale,$94.50,"-3,292","34,608",-9%,"-$311,094",,,,
32,,2020-11-23 14:52:36,2020-11-19,PGR,Griffith Susan Patricia,"Pres, CEO",S - Sale,$93.56,"-33,750","539,236",-6%,"-$3,157,650",,,,
33,,2020-11-17 13:56:04,2020-11-13,PGR,Sieger Michael D,Claims Pres,S - Sale,$95.00,"-2,700","49,131",-5%,"-$256,500",,,,
34,,2020-11-04 14:16:38,2020-11-03,PGR,Charney M Jeffrey,CMO,S - Sale,$94.94,"-6,476","61,638",-10%,"-$614,831",,,,
