,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-05-18 16:21:23,2021-05-07,PH,Malone Robert W,"VP, Pres - Filtration Grp",S - Sale+OE,$320.15,"-7,107","22,432",-24%,"-$2,275,320",,,,
2,D,2021-05-11 16:29:57,2021-03-11,PH,Weeks Andrew M,"VP, Pres-Engineered Matl Grp",S - Sale+OE,$316.22,"-3,091","7,106",-30%,"-$977,441",,,,
3,,2021-05-11 16:26:58,2021-05-07,PH,Ross Andrew D,"VP, Pres-Fluid Connectors",S - Sale,$320.04,"-3,928","15,712",-20%,"-$1,257,117",,,,
4,,2021-05-11 16:25:14,2021-05-07,PH,Parmentier Jennifer A,VP Pres-Motion Systems Group,S - Sale,$320.35,"-3,487","16,907",-17%,"-$1,117,058",,,,
5,,2021-05-11 16:23:10,2021-05-07,PH,Gentile Thomas C,VP-Global Supply Chain,S - Sale,$320.02,"-2,071","3,955",-34%,"-$662,755",,,,
6,D,2021-05-11 16:21:09,2021-05-07,PH,Hart Mark J,"EVP - HR, External Affairs",S - Sale+OE,$319.95,"-7,611","17,332",-31%,"-$2,435,173",,,,
7,,2021-05-07 16:23:36,2021-05-05,PH,Banks Lee C,"Pres, COO",S - Sale,$316.34,"-13,618","135,423",-9%,"-$4,307,937",,,,
8,,2021-05-05 16:45:16,2021-05-03,PH,Czaja Mark T,"VP-Chief Technology, Innov.",S - Sale,$310.82,-653,"1,921",-25%,"-$202,964",,,,
9,,2021-05-03 14:12:33,2021-04-30,PH,Weeks Andrew M,"VP, Pres-Engineered Matl Grp",S - Sale,$312.72,"-3,996","7,106",-36%,"-$1,249,621",,,,
10,,2021-03-12 16:28:45,2021-03-11,PH,Harty Linda S,Dir,S - Sale,$311.69,"-7,719","4,607",-63%,"-$2,405,899",,,,
11,,2021-03-12 07:58:06,2021-03-10,PH,Sherrard Roger S,"VP, Pres - Aerospace Group",S - Sale,$302.39,-850,"80,081",-1%,"-$257,029",,,,
12,D,2021-03-10 16:38:00,2021-03-08,PH,Banks Lee C,"Pres, COO",S - Sale+OE,$300.00,"-7,851","135,424",-5%,"-$2,355,271",,,,
13,D,2021-03-10 16:34:17,2021-03-08,PH,Williams Thomas L,"COB, CEO",S - Sale+OE,$299.80,"-11,431","170,140",-6%,"-$3,427,033",,,,
14,,2021-03-09 16:26:30,2021-03-08,PH,Fritz Lance M,Dir,P - Purchase,$299.82,"+3,900","4,461",+695%,"+$1,169,315",,,,
15,,2021-03-03 16:01:49,2021-03-01,PH,Ross Andrew D,"VP, Pres-Fluid Connectors",S - Sale,$298.83,"-2,594","15,686",-14%,"-$775,152",,,,
16,D,2020-11-24 11:52:59,2020-11-23,PH,Maxwell Martin C,VP - CTIO,S - Sale+OE,$271.36,"-3,561","21,972",-14%,"-$966,313",,,,
17,,2020-11-17 13:57:15,2020-11-16,PH,Svensson Ake,Dir,S - Sale,$264.72,"-2,000","7,248",-22%,"-$529,435",,,,
18,,2020-11-13 11:56:33,2020-11-12,PH,Obourn Candy M,Dir,S - Sale,$257.01,"-1,166","10,251",-10%,"-$299,670",,,,
