,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-05-03 15:10:22,2021-04-30,PHM,Anderson Brian P,Dir,S - Sale,$59.29,"-1,500","64,881",-2%,"-$88,935",,,,
2,,2021-02-23 13:09:04,2021-02-19,PHM,Chadwick John J.,"EVP, COO Ofcr",S - Sale,$46.32,"-8,538","78,895",-10%,"-$395,480",,,,
3,,2020-10-28 16:46:22,2020-10-27,PHM,Sheldon Todd N,"EVP, GC, Corp Sec'y",P - Purchase,$41.49,"+5,000","63,313",+9%,"+$207,445",,,,
4,M,2020-08-06 16:22:44,2020-08-04,PHM,Oshaughnessy Robert,"EVP, CFO",S - Sale,$44.10,"-90,500","209,017",-30%,"-$3,991,292",,,,
5,D,2020-04-28 20:23:49,2020-04-27,PHM,Schlageter Stephen P,"SVP Operations, Strategy",S - Sale+OE,$26.13,"-18,549","69,459",-21%,"-$484,652",,,,
6,,2020-03-03 18:36:03,2020-02-28,PHM,Pulte Bill,Dir,S - Sale,$40.21,"-20,198",0,-100%,"-$812,162",,,,
7,,2020-02-21 16:28:43,2020-02-20,PHM,Chadwick John J.,"EVP, COO Ofcr",S - Sale,$46.70,"-13,231","71,383",-16%,"-$617,941",,,,
8,,2020-02-14 14:18:54,2020-02-14,PHM,Anderson Brian P,Dir,S - Sale,$46.53,"-5,000","61,078",-8%,"-$232,650",,,,
9,,2020-01-07 17:13:46,2020-01-03,PHM,Blair Bryce,Dir,P - Purchase,$38.76,+385,"124,624",0%,"+$14,909",,,,
10,,2019-10-25 17:16:12,2019-10-24,PHM,Ossowski James L,SVP Finance,S - Sale,$39.95,"-10,000","50,369",-17%,"-$399,460",,,,
11,,2019-07-24 16:11:29,2019-07-22,PHM,Ossowski James L,SVP Finance,S - Sale,$34.00,"-5,000","60,369",-8%,"-$170,000",,,,
12,,2019-07-12 21:01:03,2019-07-12,PHM,Anderson Brian P,Dir,S - Sale,$33.03,"-21,191","66,078",-24%,"-$699,860",,,,
13,,2019-07-09 21:25:28,2019-07-08,PHM,Anderson Brian P,Dir,S - Sale,$32.28,"-18,766","87,269",-18%,"-$605,835",,,,
14,D,2019-06-03 18:14:00,2019-05-31,PHM,Hairston Michelle H.,SVP - HR,S - Sale+OE,$31.25,"-10,000","52,933",-16%,"-$312,526",,,,
15,M,2019-04-30 20:40:34,2019-04-26,PHM,Oshaughnessy Robert,"EVP, CFO",S - Sale,$31.42,"-95,738","280,583",-25%,"-$3,008,526",,,,
16,,2019-04-29 20:07:59,2019-04-25,PHM,Ossowski James L,SVP Finance,S - Sale,$31.19,"-10,000","65,369",-13%,"-$311,900",,,,
17,,2018-08-28 17:58:23,2018-08-27,PHM,Anderson Brian P,Dir,S - Sale,$28.96,"-5,000","101,235",-5%,"-$144,800",,,,
18,,2018-05-15 20:49:50,2018-05-11,PHM,Smith Harmon D,"EVP, COO",S - Sale,$31.40,"-51,716","263,036",-16%,"-$1,623,650",,,,
19,,2018-05-14 21:28:46,2018-05-11,PHM,Hawaux Andre J,Dir,P - Purchase,$31.31,"+3,100","51,648",+6%,"+$97,061",,,,
20,,2018-05-10 16:59:35,2018-05-08,PHM,Smith Harmon D,"EVP, COO",S - Sale,$31.32,"-1,045","314,752",0%,"-$32,732",,,,
21,D,2018-05-04 17:28:29,2018-05-02,PHM,Grise Cheryl W,Dir,S - Sale+OE,$30.74,"-14,000","8,200",-63%,"-$430,384",,,,
22,D,2018-02-23 17:53:20,2018-02-21,PHM,Oleary Patrick J,Dir,S - Sale+OE,$30.03,"-8,677","89,010",-9%,"-$260,607",,,,
23,D,2017-12-12 17:05:11,2017-12-08,PHM,Oshaughnessy Robert,"EVP, CFO",S - Sale+OE,$33.89,"-92,800","326,285",-22%,"-$3,145,238",,,,
24,M,2017-11-20 17:08:09,2017-11-16,PHM,Ellinghausen James R,Exec. VP-HR,S - Sale,$32.35,"-67,490","182,122",-27%,"-$2,183,255",,,,
25,M,2017-10-30 18:22:14,2017-10-26,PHM,Ellinghausen James R,Exec. VP-HR,S - Sale,$29.70,"-136,912","249,612",-35%,"-$4,066,915",,,,
26,D,2017-06-08 16:08:33,2017-06-06,PHM,Anderson Brian P,Dir,S - Sale+OE,$23.18,"-14,000","101,744",-12%,"-$324,520",,,,
27,D,2017-04-19 17:53:46,2017-04-17,PHM,Dugas Richard J Jr,Dir,S - Sale+OE,$24.08,"-162,000","1,099,105",-13%,"-$3,900,425",-4,-8,,
28,,2017-04-14 17:08:55,2017-04-13,PHM,Ossowski James L,SVP Finance,S - Sale,$23.95,"-10,000","60,225",-14%,"-$239,500",0,-3,,
29,,2017-04-07 17:00:37,2017-04-05,PHM,Ossowski James L,SVP Finance,S - Sale,$23.45,"-5,000","70,225",-7%,"-$117,250",+1,+2,-4,
30,D,2017-03-20 14:50:03,2017-03-16,PHM,Dugas Richard J Jr,Dir,S - Sale+OE,$24.00,"-3,000","1,099,105",0%,"-$72,006",0,-1,+2,
31,,2017-03-14 16:09:29,2017-03-10,PHM,Ellinghausen James R,Exec. VP-HR,S - Sale,$23.50,"-25,000","386,524",-6%,"-$587,500",+1,+2,+2,
32,D,2017-03-10 18:21:36,2017-03-08,PHM,Dugas Richard J Jr,Dir,S - Sale+OE,$23.10,"-165,000","1,099,105",-13%,"-$3,812,111",-1,+1,-1,
33,,2017-02-24 13:52:39,2017-02-22,PHM,Ellinghausen James R,Exec. VP-HR,S - Sale,$21.82,"-33,814","411,524",-8%,"-$737,821",+1,+4,+9,
34,,2017-02-24 12:56:03,2017-02-22,PHM,Ossowski James L,SVP Finance,S - Sale,$21.74,"-7,000","75,225",-9%,"-$152,194",+1,+4,+9,
35,,2017-02-13 18:34:52,2017-02-09,PHM,Ellinghausen James R,Exec. VP-HR,S - Sale,$21.42,"-26,186","445,338",-6%,"-$560,930",0,-1,+8,
36,D,2017-02-07 15:24:33,2017-02-03,PHM,Cook Steven M,"EVP, Ch. Legal Ofcr, Corp Secy",S - Sale+OE,$21.33,"-20,000","235,899",-8%,"-$426,602",0,+1,+9,
37,,2017-02-01 12:33:37,2017-01-30,PHM,Ellinghausen James R,Exec. VP-HR,S - Sale,$21.00,"-47,744","435,187",-10%,"-$1,002,767",-1,-1,+4,
38,,2017-02-01 12:31:05,2017-01-30,PHM,Smith Harmon D,"EVP, COO",S - Sale,$21.40,"-48,010","255,760",-16%,"-$1,027,616",-1,-1,+4,
39,M,2017-01-26 18:22:18,2017-01-24,PHM,Dugas Richard J Jr,Dir,S - Sale,$20.78,"-341,222","1,045,925",-25%,"-$7,088,928",0,0,+3,
40,,2016-07-28 20:53:16,2016-07-26,PHM,Smith Harmon D,"EVP, COO",S - Sale,$22.05,"-53,582","303,770",-15%,"-$1,181,600",-2,-3,-1,-2
