,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-31 17:26:40,2021-08-30,PKG,Carter Charles J.,SVP-Containerboard,S - Sale,$151.52,"-14,138","28,172",-33%,"-$2,142,248",,,,
2,,2021-08-23 11:09:46,2021-08-19,PKG,Shirley Donald R.,SVP,S - Sale,$144.51,"-2,500","20,581",-11%,"-$361,275",,,,
3,,2021-05-12 16:56:38,2021-05-11,PKG,Carter Charles J.,SVP-Containerboard,S - Sale,$154.57,"-9,161","43,861",-17%,"-$1,416,016",,,,
4,,2021-03-02 18:38:31,2021-03-01,PKG,Pflederer Kent A.,SVP,S - Sale,$135.49,"-5,000","51,565",-9%,"-$677,467",,,,
5,,2020-11-25 13:13:02,2020-11-24,PKG,Schneider Robert Andrew,"SVP, CIO",S - Sale,$134.22,"-15,000","33,907",-31%,"-$2,013,315",,,,
6,,2020-11-19 11:50:32,2020-11-17,PKG,Hassfurther Thomas A,EVP,S - Sale,$135.00,"-5,000","242,898",-2%,"-$675,000",,,,
7,,2020-11-13 07:58:48,2020-11-10,PKG,Walton Thomas W.H.,SVP,S - Sale,$128.07,"-5,000","32,101",-13%,"-$640,369",,,,
8,M,2020-11-13 07:53:14,2020-11-10,PKG,Hassfurther Thomas A,EVP,S - Sale,$129.29,"-7,000","247,898",-3%,"-$905,000",,,,
9,,2020-11-06 17:21:49,2020-11-05,PKG,Walton Thomas W.H.,SVP,S - Sale,$122.16,"-5,000","37,101",-12%,"-$610,798",,,,
10,M,2020-11-06 17:14:47,2020-11-05,PKG,Hassfurther Thomas A,EVP,S - Sale,$122.67,"-8,000","254,898",-3%,"-$981,372",,,,
11,,2020-11-03 16:49:51,2020-11-02,PKG,Ridley Bruce A,SVP,S - Sale,$117.64,"-2,516","16,124",-13%,"-$295,985",,,,
12,,2020-11-03 16:48:02,2020-11-03,PKG,Hassfurther Thomas A,EVP,S - Sale,$120.00,"-10,000","262,898",-4%,"-$1,200,000",,,,
13,,2020-02-04 17:34:51,2020-02-03,PKG,Lyons Robert C,Dir,P - Purchase,$96.88,"+1,000","9,164",+12%,"+$96,875",,,,
14,,2019-11-22 09:54:39,2019-11-20,PKG,Ridley Bruce A,SVP,S - Sale,$112.92,"-1,900","17,750",-10%,"-$214,542",,,,
15,,2019-08-08 12:38:37,2019-08-07,PKG,Walton Thomas W.H.,SVP,S - Sale,$100.17,"-6,000","37,743",-14%,"-$601,041",,,,
16,,2019-07-30 08:10:02,2019-07-26,PKG,Shirley Donald R.,SVP,S - Sale,$101.48,"-5,000","18,205",-22%,"-$507,418",,,,
17,,2018-06-06 14:37:09,2018-06-05,PKG,Stecko Paul T,Dir,S - Sale,$120.94,-566,"69,077",-1%,"-$68,451",,,,
18,,2018-05-16 16:08:40,2017-01-13,PKG,Mencoff Samuel M,Dir,P - Purchase,$88.04,"+1,777","320,045",+1%,"+$156,427",,,,
19,,2017-11-03 11:01:20,2017-11-02,PKG,Walton Thomas W.H.,SVP,S - Sale,$116.15,"-6,027","36,119",-14%,"-$700,036",,,,
20,,2017-10-30 16:41:43,2017-10-27,PKG,Carter Charles J.,SVP-Containerboard,S - Sale,$117.04,"-6,150","27,662",-18%,"-$719,796",,,,
21,,2017-09-13 20:49:39,2017-09-12,PKG,Hassfurther Thomas A,EVP,S - Sale,$117.94,"-6,000","219,291",-3%,"-$707,640",,,,
22,,2016-07-25 14:40:22,2016-07-22,PKG,Walton Thomas W.H.,SVP,S - Sale,$73.64,"-9,000","37,774",-19%,"-$662,760",0,0,+3,+21
23,,2016-07-25 14:35:40,2016-07-22,PKG,Pflederer Kent A.,SVP,S - Sale,$74.30,"-1,100","37,978",-3%,"-$81,730",0,0,+3,+21
24,,2016-04-26 09:46:20,2016-04-22,PKG,Carter Charles J.,SVP-Containerboard,S - Sale,$65.63,"-6,463","23,506",-22%,"-$424,167",+1,+2,+1,+27
25,,2016-03-09 11:39:37,2016-03-09,PKG,Maurer Thomas P.,Dir,P - Purchase,$53.47,"+2,000","3,175",+170%,"+$106,940",+5,+4,+13,+56
26,,2015-11-23 10:41:35,2015-11-19,PKG,Kowlzan Mark W,CEO,S - Sale,$66.00,"-5,000","317,404",-2%,"-$330,000",0,+1,-7,0
27,,2015-11-16 16:42:40,2015-11-13,PKG,Hassfurther Thomas A,EVP,S - Sale,$65.32,"-4,668","213,725",-2%,"-$304,923",-2,+4,0,+3
28,,2015-11-12 09:45:47,2015-11-10,PKG,Carter Charles J.,SVP-Containerboard,S - Sale,$65.73,"-3,000","30,145",-9%,"-$197,190",-3,-2,-3,0
29,,2015-08-28 10:17:20,2015-08-26,PKG,Woodrum James D,Dir,P - Purchase,$62.60,"+1,000","8,813",+13%,"+$62,600",+2,-1,-10,-26
30,,2015-08-20 12:04:28,2015-08-18,PKG,Kowlzan Mark W,CEO,S - Sale,$73.02,"-20,000","322,404",-6%,"-$1,460,400",-2,-11,-11,-37
31,,2015-08-03 18:12:14,2015-07-31,PKG,Pflederer Kent A.,SVP,S - Sale,$70.83,-800,"38,214",-2%,"-$56,664",0,+2,-4,-26
32,,2015-07-27 15:36:12,2015-07-23,PKG,West Richard B,"SVP, CFO",S - Sale,$70.39,"-30,600","116,760",-21%,"-$2,153,934",0,+2,-4,-26
33,,2015-02-24 07:58:19,2015-02-20,PKG,Hassfurther Thomas A,EVP,S - Sale,$82.59,"-12,388","222,201",-5%,"-$1,023,085",-2,-1,-6,-16
34,,2014-12-01 10:36:05,2014-11-26,PKG,Hassfurther Thomas A,EVP,S - Sale,$73.53,"-12,500","240,664",-5%,"-$919,174",-1,+5,+7,-7
35,,2014-11-12 09:44:44,2014-11-10,PKG,Hassfurther Thomas A,EVP,S - Sale,$72.76,"-7,000","253,164",-3%,"-$509,344",+1,+1,+6,-2
36,,2014-09-12 14:07:57,2014-09-11,PKG,Hassfurther Thomas A,EVP,S - Sale,$69.84,"-3,600","260,164",-1%,"-$251,418",-2,-6,-12,+15
37,,2014-08-27 19:09:26,2014-08-26,PKG,Walton Thomas W.H.,SVP,S - Sale,$66.94,"-10,144","49,830",-17%,"-$679,071",0,+4,-5,+24
38,,2014-07-24 14:11:12,2014-07-23,PKG,Pflederer Kent A.,SVP,S - Sale,$66.51,"-2,750","38,700",-7%,"-$182,902",+4,+1,0,+25
39,,2014-07-24 14:04:01,2014-07-23,PKG,West Richard B,"SVP, CFO",S - Sale,$66.11,"-34,000","150,682",-18%,"-$2,247,852",+4,+1,0,+25
40,,2014-03-04 12:36:03,2014-03-03,PKG,Souleles Thomas S,Dir,P - Purchase,$72.73,"+6,000","10,000",+150%,"+$436,398",+2,+1,-2,-6
41,D,2014-02-24 10:09:28,2014-02-21,PKG,Kowlzan Mark W,CEO,S - Sale+OE,$72.42,"-24,000","383,206",-6%,"-$1,738,135",0,+1,-1,-7
42,D,2014-02-20 13:58:33,2014-02-18,PKG,Stecko Paul T,Dir,S - Sale+OE,$72.42,"-74,000","134,405",-36%,"-$5,358,865",0,0,+1,-7
43,D,2014-02-20 11:15:00,2014-02-18,PKG,Hassfurther Thomas A,EVP,S - Sale+OE,$72.48,"-20,500","287,559",-7%,"-$1,485,832",0,0,+1,-7
44,,2013-07-25 12:22:34,2013-07-24,PKG,Hassfurther Thomas A,EVP,S - Sale,$53.13,"-14,560","268,029",-5%,"-$773,567",0,+1,+2,+24
45,D,2013-07-22 13:33:04,2013-07-18,PKG,Pflederer Kent A.,SVP,S - Sale+OE,$52.12,"-1,250","34,887",-3%,"-$65,148",+1,0,0,+24
46,,2013-07-22 13:31:05,2013-07-18,PKG,Walton Thomas W.H.,SVP,S - Sale,$52.24,"-13,907","66,846",-17%,"-$726,479",+1,0,0,+24
47,D,2013-07-22 13:26:40,2013-07-18,PKG,West Richard B,"SVP, CFO",S - Sale+OE,$52.06,"-40,500","151,604",-21%,"-$2,108,592",+1,0,0,+24
48,,2013-07-22 12:51:30,2013-07-18,PKG,Kowlzan Mark W,CEO,S - Sale,$52.10,"-85,000","358,807",-19%,"-$4,428,560",+1,0,0,+24
49,D,2013-02-25 18:14:58,2013-02-25,PKG,Walton Thomas W.H.,SVP,S - Sale+OE,$41.99,"-20,225","77,689",-21%,"-$849,341",+1,+1,+6,+33
50,D,2013-02-07 11:38:53,2013-02-06,PKG,Hassfurther Thomas A,EVP,S - Sale+OE,$39.55,"-27,600","291,047",-9%,"-$1,091,655",0,+2,+10,+39
51,D,2012-12-13 10:32:56,2012-12-12,PKG,Calhoun Stephen T,VP HR,S - Sale+OE,$37.00,"-18,800","77,846",-19%,"-$695,519",-1,+2,+7,+36
52,,2012-10-26 12:14:47,2012-10-24,PKG,Kowlzan Mark W,CEO,S - Sale,$35.44,"-10,000","448,387",-2%,"-$354,400",-1,+1,+3,+33
53,D,2012-10-23 17:28:55,2012-10-22,PKG,Stecko Paul T,Exec COB,S - Sale+OE,$35.97,"-37,500","253,820",-13%,"-$1,348,819",-1,0,+4,+31
54,D,2012-10-22 15:11:15,2012-10-19,PKG,Walton Thomas W.H.,SVP,S - Sale+OE,$35.76,"-15,000","77,595",-16%,"-$536,355",0,-1,+1,+31
55,D,2012-10-18 16:37:07,2012-10-17,PKG,West Richard B,"SVP, CFO",S - Sale+OE,$36.28,"-72,300","184,661",-28%,"-$2,623,116",-1,-3,-1,+27
56,,2012-09-07 12:51:07,2012-09-06,PKG,Hassfurther Thomas A,EVP,S - Sale,$33.02,"-5,349","290,903",-2%,"-$176,619",+1,+1,+10,+33
57,DM,2012-08-29 16:34:52,2012-08-27,PKG,Stecko Paul T,Exec COB,S - Sale+OE,$31.94,"-66,500","253,835",-21%,"-$2,123,818",-1,+1,+13,+34
58,DM,2012-08-29 16:33:31,2012-08-28,PKG,Kowlzan Mark W,CEO,S - Sale+OE,$31.99,"-34,300","458,345",-7%,"-$1,097,312",-1,+1,+13,+34
59,D,2012-08-15 17:58:37,2012-08-14,PKG,Walton Thomas W.H.,SVP,S - Sale+OE,$31.54,"-16,000","86,960",-16%,"-$504,619",0,-1,+4,+29
60,,2012-08-15 17:57:38,2012-08-15,PKG,Hassfurther Thomas A,EVP,S - Sale,$32.00,"-10,000","296,252",-3%,"-$320,020",0,-1,+4,+29
61,,2012-07-27 18:14:27,2012-07-27,PKG,Hassfurther Thomas A,EVP,S - Sale,$31.00,"-10,000","306,252",-3%,"-$310,009",0,-1,+4,+30
62,,2012-07-26 16:49:26,2012-07-24,PKG,Pflederer Kent A.,"VP, Gen. Counsel, Sec.",S - Sale,$29.99,"-4,160","32,672",-11%,"-$124,773",0,0,+4,+31
63,,2012-07-26 16:48:17,2012-07-24,PKG,Calhoun Stephen T,VP HR,S - Sale,$30.00,"-7,800","77,674",-9%,"-$233,980",0,0,+4,+31
64,,2012-07-26 16:47:15,2012-07-24,PKG,West Richard B,"SVP, CFO",S - Sale,$30.00,"-11,393","209,634",-5%,"-$341,785",0,0,+4,+31
65,,2012-07-26 16:46:05,2012-07-24,PKG,Stecko Paul T,Exec COB,S - Sale,$30.00,"-62,400","253,793",-20%,"-$1,871,800",0,0,+4,+31
66,,2012-07-26 16:44:51,2012-07-24,PKG,Hassfurther Thomas A,EVP,S - Sale,$30.00,"-9,360","316,252",-3%,"-$280,807",0,0,+4,+31
67,,2012-07-26 16:43:30,2012-07-24,PKG,Kowlzan Mark W,CEO,S - Sale,$30.00,"-11,393","458,354",-2%,"-$341,790",0,0,+4,+31
68,,2012-07-18 17:48:05,2012-07-17,PKG,Hassfurther Thomas A,EVP,S - Sale,$30.34,"-10,000","325,612",-3%,"-$303,382",+1,-1,+5,+33
69,,2012-05-02 18:12:05,2012-05-02,PKG,Lyons Robert C,Dir,P - Purchase,$29.05,"+1,000","2,198",+83%,"+$29,050",0,-2,-7,+24
70,D,2012-05-02 18:10:13,2012-05-01,PKG,Calhoun Stephen T,VP HR,S - Sale+OE,$29.25,"-6,800","77,129",-8%,"-$198,910",0,-2,-7,+24
71,D,2012-03-13 17:54:13,2012-03-13,PKG,Kowlzan Mark W,CEO,S - Sale+OE,$30.14,"-40,500","398,873",-9%,"-$1,220,617",-2,-1,-6,+8
72,D,2012-03-07 12:48:20,2012-03-06,PKG,Hassfurther Thomas A,EVP,S - Sale+OE,$29.40,"-31,000","283,148",-10%,"-$911,381",+1,+4,+1,+12
73,D,2012-03-07 12:47:06,2012-03-05,PKG,Walton Thomas W.H.,SVP,S - Sale+OE,$29.62,"-7,000","70,956",-9%,"-$207,318",+1,+4,+1,+12
74,,2012-02-28 14:01:40,2012-02-27,PKG,Kowlzan Mark W,CEO,S - Sale,$28.95,"-10,483","398,873",-3%,"-$303,500",+1,+2,+4,+13
75,,2012-02-28 13:59:35,2012-02-27,PKG,Hassfurther Thomas A,EVP,S - Sale,$28.95,"-10,484","283,148",-4%,"-$303,529",+1,+2,+4,+13
76,D,2012-02-23 16:18:49,2012-02-22,PKG,West Richard B,"SVP, CFO",S - Sale+OE,$28.92,"-36,500","188,510",-16%,"-$1,055,744",-1,+2,+1,+12
77,D,2012-02-23 16:13:54,2012-02-22,PKG,Stecko Paul T,Exec COB,S - Sale+OE,$28.87,"-137,000","406,436",-25%,"-$3,955,793",-1,+2,+1,+12
78,D,2012-01-30 13:16:43,2012-01-27,PKG,Calhoun Stephen T,VP HR,S - Sale+OE,$28.17,"-15,300","76,923",-17%,"-$430,990",0,+3,+3,+11
79,M,2011-12-06 10:39:18,2011-12-02,PKG,Hassfurther Thomas A,EVP,S - Sale,$26.04,"-7,500","293,388",-2%,"-$195,318",-1,-6,-1,+6
80,,2011-07-21 17:22:25,2011-07-20,PKG,Calhoun Stephen T,VP HR,S - Sale,$27.54,"-1,899","76,589",-2%,"-$52,301",-1,-5,-20,-4
81,,2011-07-21 17:18:33,2011-07-20,PKG,West Richard B,"SVP, CFO",S - Sale,$27.49,"-6,426","188,236",-3%,"-$176,670",-1,-5,-20,-4
82,,2011-07-21 17:08:49,2011-07-20,PKG,Hassfurther Thomas A,EVP,S - Sale,$27.50,"-5,712","300,816",-2%,"-$157,057",-1,-5,-20,-4
83,,2011-07-21 17:03:03,2011-07-20,PKG,Kowlzan Mark W,CEO,S - Sale,$27.50,"-6,763","408,651",-2%,"-$185,962",-1,-5,-20,-4
84,,2011-07-21 16:50:28,2011-07-20,PKG,Stecko Paul T,Exec COB,S - Sale,$27.51,"-10,500","477,592",-2%,"-$288,824",-1,-5,-20,-4
85,,2011-06-06 12:05:53,2011-06-06,PKG,Frigon Henry F,Dir,S - Sale,$26.74,"-1,373",0,-100%,"-$36,717",-2,+6,+5,-5
86,D,2011-04-28 13:27:15,2011-04-27,PKG,Hassfurther Thomas A,EVP,S - Sale+OE,$28.00,"-19,000","261,349",-7%,"-$532,000",+1,0,+1,-7
87,D,2011-03-03 16:05:46,2011-03-03,PKG,Kowlzan Mark W,CEO,S - Sale+OE,$28.75,"-7,000","351,564",-2%,"-$201,282",0,-2,+1,-12
88,DM,2011-03-01 16:12:16,2011-02-28,PKG,West Richard B,"SVP, CFO",S - Sale+OE,$28.77,"-24,000","163,590",-13%,"-$690,565",0,+1,+1,-14
89,D,2010-11-12 07:01:29,2010-11-10,PKG,Frigon Henry F,Dir,S - Sale+OE,$25.09,"-21,000",0,-100%,"-$526,915",-2,-1,+5,+15
90,,2010-08-11 17:12:50,2010-08-11,PKG,Woodrum James D,Dir,P - Purchase,$23.03,"+1,000","3,000",+50%,"+$23,030",+1,+3,+1,+25
91,D,2010-07-26 16:56:20,2010-07-23,PKG,Calhoun Stephen T,VP HR,S - Sale+OE,$24.30,"-7,441","69,737",-10%,"-$180,794",-3,-6,-12,+13
92,,2010-07-26 16:53:52,2010-07-23,PKG,Walton Thomas W.H.,SVP,S - Sale,$24.34,"-2,500","56,943",-4%,"-$60,850",-3,-6,-12,+13
93,,2010-07-26 16:51:17,2010-07-23,PKG,West Richard B,"SVP, CFO",S - Sale,$24.67,"-4,924","163,328",-3%,"-$121,468",-3,-6,-12,+13
94,,2010-07-26 16:42:40,2010-07-23,PKG,Hassfurther Thomas A,EVP,S - Sale,$24.28,"-4,288","160,890",-3%,"-$104,131",-3,-6,-12,+13
95,,2010-07-26 16:41:29,2010-07-23,PKG,Stecko Paul T,Exec COB,S - Sale,$24.31,"-11,250","487,482",-2%,"-$273,530",-3,-6,-12,+13
96,,2010-03-08 16:26:00,2010-03-05,PKG,Frigon Henry F,Dir,S - Sale,$24.58,"-6,000",0,-100%,"-$147,480",-1,0,+3,-2
