,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-31 16:05:14,2021-08-30,PKI,Okun Andrew,Please See Remarks,S - Sale+OE,$187.48,"-3,054","8,260",-27%,"-$572,549",,,,
2,D,2021-07-07 16:05:11,2021-07-06,PKI,Gregoire Sylvie,Dir,S - Sale+OE,$155.57,"-5,000","17,390",-22%,"-$777,850",,,,
3,,2021-06-11 16:05:25,2021-06-10,PKI,Okun Andrew,Please See Remarks,S - Sale,$145.71,"-2,370","8,260",-22%,"-$345,333",,,,
4,D,2021-05-14 16:05:16,2021-05-13,PKI,Gregoire Sylvie,Dir,S - Sale+OE,$140.00,"-5,000","17,390",-22%,"-$700,000",,,,
5,,2021-05-12 16:05:16,2021-05-11,PKI,Michas Alexis P,Dir,S - Sale,$140.23,"-4,750","67,131",-7%,"-$666,093",,,,
6,D,2021-02-02 17:56:48,2021-02-01,PKI,Tereau Daniel R,Please See Remarks,S - Sale+OE,$147.07,"-2,047","9,071",-18%,"-$301,052",,,,
7,D,2021-01-07 16:59:53,2021-01-05,PKI,Singh Prahlad R.,Please See Remarks,S - Sale+OE,$150.00,"-10,636","39,901",-21%,"-$1,595,400",,,,
8,DM,2021-01-07 16:33:35,2021-01-05,PKI,Goldberg Joel S,Please See Remarks,S - Sale+OE,$155.35,"-26,667","71,775",-27%,"-$4,142,694",,,,
9,D,2020-12-15 16:10:09,2020-12-14,PKI,Tereau Daniel R,Please See Remarks,S - Sale+OE,$146.68,"-4,094","7,427",-36%,"-$600,508",,,,
10,D,2020-11-09 16:05:09,2020-11-06,PKI,Okun Andrew,Please See Remarks,S - Sale+OE,$140.14,"-6,107","10,318",-37%,"-$855,835",,,,
11,,2020-10-05 16:05:33,2020-10-02,PKI,Mock James M,Please See Remarks,S - Sale,$124.42,"-5,623","27,218",-17%,"-$699,584",,,,
12,D,2020-08-03 16:05:35,2020-07-31,PKI,Goldberg Joel S,Please See Remarks,S - Sale+OE,$117.84,"-23,387","71,792",-25%,"-$2,755,825",,,,
13,D,2020-07-30 18:42:16,2020-07-29,PKI,Okun Andrew,Please See Remarks,S - Sale+OE,$120.00,"-6,699","10,318",-39%,"-$803,880",,,,
14,D,2020-06-16 16:06:19,2020-06-15,PKI,Tereau Daniel R,Please See Remarks,S - Sale+OE,$95.22,"-5,452","7,427",-42%,"-$519,139",,,,
15,D,2020-05-29 16:06:29,2020-05-28,PKI,Barrett Peter,Dir,S - Sale+OE,$100.11,"-7,552","22,001",-26%,"-$756,038",,,,
16,D,2020-02-06 16:05:26,2020-02-05,PKI,Michas Alexis P,Dir,S - Sale+OE,$96.23,"-1,777","62,109",-3%,"-$171,002",,,,
17,D,2019-12-05 16:05:30,2019-12-04,PKI,Okun Andrew,Please See Remarks,S - Sale+OE,$90.87,"-11,984","6,304",-66%,"-$1,088,986",,,,
18,,2019-11-22 16:05:50,2019-11-21,PKI,Witz Pascale,Dir,S - Sale,$90.67,"-1,043","2,446",-30%,"-$94,569",,,,
19,,2019-09-03 16:05:31,2019-08-30,PKI,Michas Alexis P,Dir,S - Sale,$82.56,"-2,000","58,142",-3%,"-$165,120",,,,
20,D,2019-04-10 16:06:12,2019-04-09,PKI,Singh Prahlad R.,"Pres, COO",S - Sale+OE,$102.39,"-3,289","24,953",-12%,"-$336,761",,,,
21,D,2019-04-04 16:05:27,2019-04-03,PKI,Butters Deborah A.,Please See Remarks,S - Sale+OE,$98.00,"-7,414","7,694",-49%,"-$726,572",,,,
22,D,2019-03-20 16:05:21,2019-03-19,PKI,Okun Andrew,Please See Remarks,S - Sale+OE,$95.03,"-16,788","8,890",-65%,"-$1,595,364",,,,
23,D,2019-03-12 16:05:47,2019-03-11,PKI,Goldberg Joel S,Please See Remarks,S - Sale+OE,$92.81,"-24,465","59,812",-29%,"-$2,270,597",,,,
24,,2019-03-08 16:05:58,2019-03-07,PKI,Tereau Daniel R,Please See Remarks,S - Sale,$93.27,"-1,200","5,839",-17%,"-$111,924",,,,
25,D,2019-02-22 16:16:59,2019-02-21,PKI,Michas Alexis P,Dir,S - Sale+OE,$92.96,"-2,118","58,299",-4%,"-$196,883",,,,
26,D,2019-02-14 18:26:21,2019-02-13,PKI,Barrett Peter,Dir,S - Sale+OE,$93.62,"-5,601","21,629",-21%,"-$524,371",,,,
27,,2019-02-07 16:05:25,2019-02-05,PKI,Lopardo Nicholas A,Dir,S - Sale,$92.67,"-1,600","39,635",-4%,"-$148,274",,,,
28,,2018-12-04 16:05:52,2018-12-03,PKI,Michas Alexis P,Dir,S - Sale,$90.95,"-5,000","53,339",-9%,"-$454,750",,,,
29,,2018-12-03 16:05:26,2018-11-30,PKI,Lopardo Nicholas A,Dir,S - Sale,$87.08,"-2,000","43,177",-4%,"-$174,160",,,,
30,,2018-11-14 16:08:09,2018-11-13,PKI,Sullivan Patrick J,Dir,S - Sale,$81.64,"-10,000","28,752",-26%,"-$816,400",,,,
31,,2018-11-07 16:06:00,2018-11-06,PKI,Witz Pascale,Dir,S - Sale,$83.62,"-2,206","1,661",-57%,"-$184,455",,,,
32,,2018-11-06 16:05:37,2018-11-05,PKI,Lopardo Nicholas A,Dir,S - Sale,$82.12,"-2,000","45,177",-4%,"-$164,244",,,,
33,D,2018-10-02 16:08:16,2018-10-01,PKI,Friel Robert F,"Pres, CEO",S - Sale+OE,$97.05,"-150,612","572,657",-21%,"-$14,617,100",,,,
34,,2018-10-02 16:06:51,2018-10-01,PKI,Butters Deborah A.,Please See Remarks,S - Sale,$97.70,"-3,266","6,189",-35%,"-$319,088",,,,
35,D,2018-09-25 16:05:54,2018-09-24,PKI,Tereau Daniel R,Please See Remarks,S - Sale+OE,$96.58,"-3,308","6,784",-33%,"-$319,487",,,,
36,D,2018-09-11 16:05:34,2018-09-10,PKI,Corbett James,Please See Remarks,S - Sale+OE,$94.34,"-4,175","43,019",-9%,"-$393,870",,,,
37,,2018-09-04 16:06:04,2018-08-31,PKI,Lopardo Nicholas A,Dir,S - Sale,$92.28,"-2,700","47,177",-5%,"-$249,156",,,,
38,,2018-08-29 16:05:45,2018-08-28,PKI,Lopardo Nicholas A,Dir,S - Sale,$89.40,"-3,500","49,877",-7%,"-$312,900",,,,
39,D,2018-08-09 16:05:40,2018-08-08,PKI,Sullivan Patrick J,Dir,S - Sale+OE,$86.20,"-12,672","38,752",-25%,"-$1,092,263",,,,
40,,2018-08-07 16:08:41,2018-08-06,PKI,Lopardo Nicholas A,Dir,S - Sale,$85.60,"-3,505","53,347",-6%,"-$300,028",,,,
41,D,2018-08-03 16:05:47,2018-08-02,PKI,Okun Andrew,Please See Remarks,S - Sale+OE,$82.18,"-14,045","8,884",-61%,"-$1,154,218",,,,
42,D,2018-08-03 16:05:30,2018-08-02,PKI,Goldberg Joel S,Please See Remarks,S - Sale+OE,$85.00,"-34,608","62,311",-36%,"-$2,941,680",,,,
43,DM,2018-08-03 16:05:18,2018-08-01,PKI,Friel Robert F,"Pres, CEO",S - Sale+OE,$81.60,"-218,579","572,657",-28%,"-$17,836,032",,,,
44,,2018-05-29 16:05:30,2018-05-25,PKI,Lopardo Nicholas A,Dir,S - Sale,$74.92,"-4,000","56,852",-7%,"-$299,680",,,,
45,,2018-04-19 16:05:28,2018-04-18,PKI,Tereau Daniel R,Please See Remarks,S - Sale,$77.00,"-1,156","6,784",-15%,"-$89,012",,,,
46,D,2018-03-06 17:31:27,2018-03-05,PKI,Wilson Frank Anders,Please See Remarks,S - Sale+OE,$73.94,"-103,656","61,925",-63%,"-$7,663,966",,,,
47,D,2018-03-01 16:05:43,2018-02-27,PKI,Michas Alexis P,Dir,S - Sale+OE,$77.35,"-2,412","55,885",-4%,"-$186,568",,,,
48,,2018-02-09 16:16:01,2018-02-08,PKI,Okun Andrew,Please See Remarks,S - Sale,$75.44,"-2,324","8,884",-21%,"-$175,323",,,,
49,,2018-02-07 16:05:24,2018-02-05,PKI,Okun Andrew,See Remarks,S - Sale,$77.86,"-2,273","11,208",-17%,"-$176,976",,,,
50,D,2017-12-18 16:05:54,2017-12-15,PKI,Okun Andrew,Please See Remarks,S - Sale+OE,$72.00,"-12,680","12,449",-50%,"-$912,960",,,,
51,D,2017-12-08 16:05:52,2017-12-07,PKI,Wilson Frank Anders,Please See Remarks,S - Sale+OE,$70.14,"-37,535","65,142",-37%,"-$2,632,705",,,,
52,,2017-12-01 16:05:47,2017-11-30,PKI,Michas Alexis P,Dir,S - Sale,$73.18,"-5,000","56,660",-8%,"-$365,875",,,,
53,D,2017-11-14 16:07:06,2017-11-13,PKI,Barrett Peter,Dir,S - Sale+OE,$71.07,"-7,071","19,200",-27%,"-$502,564",,,,
54,D,2017-11-08 16:05:46,2017-11-07,PKI,Lopardo Nicholas A,Dir,S - Sale+OE,$70.72,"-24,050","58,354",-29%,"-$1,700,888",,,,
55,D,2017-06-20 16:05:31,2017-06-19,PKI,Okun Andrew,Please See Remarks,S - Sale+OE,$65.00,"-4,358","12,449",-26%,"-$283,270",,,,
56,D,2017-06-02 16:09:34,2017-06-01,PKI,Barrett Peter,Dir,S - Sale+OE,$63.22,"-10,000","19,200",-34%,"-$632,230",,,,
57,D,2017-05-16 16:05:34,2017-05-15,PKI,Sullivan Patrick J,Dir,S - Sale+OE,$62.59,"-6,628","36,323",-15%,"-$414,833",,,,
58,D,2017-05-05 16:05:34,2017-05-04,PKI,Friel Robert F,"Pres, CEO",S - Sale+OE,$60.00,"-25,100","571,971",-4%,"-$1,506,000",0,+2,,
59,D,2017-05-03 16:07:53,2017-05-01,PKI,Friel Robert F,"Pres, CEO",S - Sale+OE,$60.01,"-48,400","571,971",-8%,"-$2,904,484",+1,+5,,
60,D,2017-04-28 16:05:30,2017-04-27,PKI,Friel Robert F,"Pres, CEO",S - Sale+OE,$60.11,"-124,837","571,973",-18%,"-$7,503,952",+1,+2,,
61,,2017-03-21 16:05:25,2017-03-20,PKI,Okun Andrew,Please See Remarks,S - Sale,$57.27,"-3,000","12,449",-19%,"-$171,810",0,+1,0,
62,D,2017-03-15 16:10:44,2017-03-13,PKI,Wilson Frank Anders,Please See Remarks,S - Sale+OE,$55.45,"-37,535","65,141",-37%,"-$2,081,391",-1,+1,+1,
63,D,2017-03-15 16:10:04,2017-03-13,PKI,Goldberg Joel S,Please See Remarks,S - Sale+OE,$55.45,"-30,710","61,058",-33%,"-$1,702,931",-1,+1,+1,
64,D,2017-02-22 16:05:19,2017-02-21,PKI,Michas Alexis P,Dir,S - Sale+OE,$55.60,"-8,308","53,828",-13%,"-$461,925",0,-2,+4,
