,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-07-28 20:46:39,2021-07-27,PM,King Martin G.,"CEO, PMI America",S - Sale,$100.18,"-21,725","128,484",-14%,"-$2,176,482",,,,
2,,2021-05-27 16:50:43,2021-05-25,PM,Azinovic Drago,"Pres Mid East, Africa, DF",S - Sale,$98.04,"-15,000","120,396",-11%,"-$1,470,600",,,,
3,,2021-05-27 16:41:22,2021-05-25,PM,Riley Paul,"Pres East Asia, Australia",S - Sale,$98.04,"-10,984","38,854",-22%,"-$1,076,871",,,,
4,,2021-05-26 16:10:31,2021-05-24,PM,De Wilde Frederic,"Pres, European Union Region",S - Sale,$97.76,"-10,000","186,628",-5%,"-$977,600",,,,
5,,2021-05-12 16:28:12,2021-05-10,PM,Masseroli Mario,"Pres, Latin America, Canada",S - Sale,$98.31,"-1,734","14,710",-11%,"-$170,470",,,,
6,,2021-04-29 15:40:23,2021-04-27,PM,King Martin G.,"CEO, PMI America",S - Sale,$94.51,"-21,066","150,209",-12%,"-$1,990,979",,,,
7,,2021-04-23 16:35:53,2021-04-21,PM,Kennedy Stacey,"Pres South, Southeast Asia",S - Sale,$94.28,"-10,570","30,239",-26%,"-$996,497",,,,
8,,2021-03-01 16:29:36,2021-02-25,PM,Bendotti Charles,"Global Head of People, Culture",S - Sale,$87.00,"-19,069","29,656",-39%,"-$1,659,003",,,,
9,,2021-02-23 16:41:55,2021-02-19,PM,Calantzopoulos Andre,CEO,S - Sale,$86.37,"-40,000","880,744",-4%,"-$3,454,816",,,,
10,,2021-02-10 16:23:31,2021-02-08,PM,Masseroli Mario,"Pres, Latin America, Canada",S - Sale,$85.05,"-2,000","16,602",-11%,"-$170,090",,,,
11,,2021-02-08 16:41:15,2021-02-05,PM,Salzman Marian,"SVP, Global Communications",S - Sale,$84.39,"-2,000","23,963",-8%,"-$168,780",,,,
12,,2020-09-02 15:25:31,2020-08-31,PM,Masseroli Mario,"Pres, Latin America, Canada",S - Sale,$80.10,"-1,500","11,842",-11%,"-$120,152",,,,
13,M,2020-08-24 14:57:58,2020-08-20,PM,Camilleri Louis C,Dir,S - Sale,$77.73,"-75,000","336,608",-18%,"-$5,829,979",,,,
14,,2020-08-12 16:05:57,2020-08-10,PM,Firestone Marc S,"Pres Ext Aff, GC",S - Sale,$77.99,"-17,000","191,177",-8%,"-$1,325,745",,,,
15,,2020-02-28 16:34:18,2020-02-26,PM,Firestone Marc S,"Pres Ext Aff, GC",S - Sale,$86.27,"-22,000","208,177",-10%,"-$1,897,984",,,,
16,,2020-02-21 16:25:39,2020-02-19,PM,Calantzopoulos Andre,CEO,S - Sale,$87.50,"-50,000","832,385",-6%,"-$4,375,000",,,,
17,,2020-02-14 15:34:50,2020-02-12,PM,Camilleri Louis C,Dir,S - Sale,$88.33,"-30,000","407,464",-7%,"-$2,649,933",,,,
18,,2020-01-07 17:21:07,2019-10-18,PM,Barth Werner,"SVP, Commercial",S - Sale,$81.44,"-11,000","48,380",-19%,"-$895,788",,,,
19,,2019-07-25 15:27:44,2019-07-23,PM,Masseroli Mario,"Pres, Latin America, Canada",S - Sale,$87.42,"-1,100","7,453",-13%,"-$96,162",,,,
20,M,2019-05-31 14:38:55,2019-05-29,PM,Kunst Michael R.,SrVP Commercial Transformation,P - Purchase,$79.66,"+1,000","16,310",+7%,"+$79,655",,,,
21,,2019-04-30 15:57:52,2019-04-29,PM,Kunst Michael R.,SrVP Commercial Transformation,P - Purchase,$84.67,"+2,500","15,310",+20%,"+$211,675",,,,
22,,2019-04-26 15:19:57,2019-04-24,PM,Camilleri Louis C,Dir,S - Sale,$83.54,"-70,000","433,308",-14%,"-$5,848,101",,,,
23,,2019-04-24 15:18:33,2019-04-22,PM,Masseroli Mario,"Pres, Latin America, Canada",S - Sale,$84.32,"-1,200","8,553",-12%,"-$101,185",,,,
24,,2019-02-22 16:11:12,2019-02-21,PM,Calantzopoulos Andre,CEO,S - Sale,$84.76,"-50,000","794,901",-6%,"-$4,237,750",,,,
25,,2018-11-30 16:24:26,2018-11-29,PM,Camilleri Louis C,Dir,S - Sale,$86.98,"-59,495","501,925",-11%,"-$5,174,905",,,,
26,M,2018-05-15 15:54:02,2018-05-11,PM,Li Jennifer,Dir,P - Purchase,$81.30,"+40,000","62,323",+179%,"+$3,251,982",,,,
27,,2018-05-15 15:50:25,2018-05-11,PM,Geissler Werner,Dir,P - Purchase,$81.44,"+48,750","58,026",+526%,"+$3,970,376",,,,
28,,2018-05-11 16:51:30,2018-05-11,PM,Camilleri Louis C,Dir,S - Sale,$82.06,"-100,000","560,172",-15%,"-$8,206,215",,,,
29,,2018-05-01 15:05:37,2018-04-27,PM,Zielinski Miroslaw,"Pres, Science, Innovation",P - Purchase,$81.56,"+6,000","221,610",+3%,"+$489,360",,,,
30,,2018-04-25 15:33:38,2018-04-25,PM,Whitson Jerry,"Deputy Gen. Counsel, Corp. Sec",P - Purchase,$82.76,"+3,000","54,741",+6%,"+$248,282",,,,
31,,2018-02-23 16:36:46,2018-02-22,PM,Firestone Marc S,"Pres Ext Aff, GC",S - Sale,$104.63,"-13,650","175,549",-7%,"-$1,428,145",,,,
32,,2018-02-23 16:29:50,2018-02-22,PM,Calantzopoulos Andre,CEO,S - Sale,$103.66,"-49,000","743,765",-6%,"-$5,079,340",,,,
33,,2017-10-25 15:20:57,2017-10-24,PM,Camilleri Louis C,Chairman,S - Sale,$108.38,"-108,979","657,167",-14%,"-$11,811,144",,,,
34,,2017-08-31 15:19:39,2017-08-30,PM,Azinovic Drago,"Pres EEMA, Duty Free",S - Sale,$116.00,"-14,000","79,407",-15%,"-$1,624,000",,,,
35,,2017-02-22 15:40:34,2017-02-17,PM,Camilleri Louis C,Chairman,S - Sale,$103.33,"-60,000","753,806",-7%,"-$6,199,500",0,+5,+9,
36,,2017-02-17 15:05:14,2017-02-15,PM,Firestone Marc S,"SVP, GC",S - Sale,$102.57,"-17,088","177,643",-9%,"-$1,752,682",+1,+5,+11,
37,,2017-02-17 14:52:49,2017-02-15,PM,Calantzopoulos Andre,CEO,S - Sale,$102.65,"-35,000","752,671",-4%,"-$3,592,750",+1,+5,+11,
38,,2016-11-23 15:04:59,2016-11-17,PM,Brunel Patrick,"SVP, Chief Info Officer",P - Purchase,$88.21,"+1,000","62,053",+2%,"+$88,210",-1,-2,+3,
39,D,2016-11-21 15:19:08,2016-11-17,PM,Makihara Jun,Dir,P - Purchase,$89.22,"+2,000","8,961",+29%,"+$178,440",+1,+1,+3,
40,,2016-04-28 16:30:23,2016-04-26,PM,Firestone Marc S,"SVP, GC",S - Sale,$97.06,"-18,000","184,179",-9%,"-$1,747,127",+1,+1,+2,+1
41,,2016-04-27 15:33:19,2016-04-25,PM,Camilleri Louis C,Chairman,S - Sale,$96.95,"-33,340","800,157",-4%,"-$3,232,356",0,+1,+2,+2
42,,2016-02-24 16:34:34,2016-02-22,PM,Azinovic Drago,"Pres EEMA, Duty Free",S - Sale,$92.25,"-14,609","92,619",-14%,"-$1,347,661",+1,0,+7,+12
43,,2016-02-19 15:32:37,2016-02-18,PM,Calantzopoulos Andre,CEO,S - Sale,$91.11,"-30,000","749,554",-4%,"-$2,733,300",0,+1,+7,+12
44,,2016-02-09 16:14:50,2016-02-05,PM,Camilleri Louis C,Chairman,S - Sale,$88.20,"-80,000","833,340",-9%,"-$7,055,632",-1,0,+7,+12
45,,2015-07-27 16:32:26,2015-07-23,PM,Calantzopoulos Andre,CEO,S - Sale,$85.37,"-25,000","735,492",-3%,"-$2,134,348",0,0,-8,+4
46,,2015-05-15 15:11:16,2015-05-13,PM,Camilleri Louis C,Chairman,S - Sale,$84.27,"-55,000","912,796",-6%,"-$4,634,696",0,-2,-6,0
47,,2015-02-20 16:27:54,2015-02-19,PM,Calantzopoulos Andre,CEO,S - Sale,$82.80,"-30,000","760,492",-4%,"-$2,483,898",0,0,-4,+3
48,,2014-11-21 15:11:21,2014-11-21,PM,Marchionne Sergio,Dir,P - Purchase,$86.13,"+1,000","59,734",+2%,"+$86,130",+1,+1,-2,0
49,,2014-10-30 15:12:17,2014-10-28,PM,De Wilde Frederic,"SVP, Marketing, Sales",S - Sale,$88.18,"-10,000","131,614",-7%,"-$881,780",+1,+2,-1,-3
50,,2014-10-27 15:08:33,2014-10-23,PM,Marchionne Sergio,Dir,P - Purchase,$87.98,"+1,000","58,734",+2%,"+$87,980",0,+1,-2,-4
51,,2014-10-21 16:11:02,2014-10-20,PM,Camilleri Louis C,COB,S - Sale,$86.30,"-140,000","1,198,307",-10%,"-$12,081,664",0,+1,0,-2
52,,2014-08-20 14:58:51,2014-08-19,PM,Marchionne Sergio,Dir,P - Purchase,$85.10,"+1,000","57,734",+2%,"+$85,100",0,0,-1,-1
53,,2014-08-11 15:06:06,2014-08-08,PM,Psotta Joachim,"VP, Controller",S - Sale,$82.80,"-10,000","154,122",-6%,"-$828,000",+1,+1,0,-1
54,,2014-08-08 15:14:24,2014-08-06,PM,Camilleri Louis C,COB,S - Sale,$83.01,"-36,000","1,338,307",-3%,"-$2,988,479",+1,+3,+2,+1
55,,2014-07-23 15:06:08,2014-07-21,PM,Marchionne Sergio,Dir,P - Purchase,$85.25,"+1,000","56,734",+2%,"+$85,250",0,-1,0,+1
56,,2014-05-14 15:10:36,2014-05-12,PM,Calantzopoulos Andre,CEO,S - Sale,$86.08,"-40,000","695,370",-5%,"-$3,443,088",0,-1,+3,+5
57,,2014-04-23 15:29:42,2014-04-21,PM,Camilleri Louis C,COB,S - Sale,$83.12,"-90,000","1,374,307",-6%,"-$7,480,989",0,+2,+3,+6
58,,2014-02-24 15:07:41,2014-02-21,PM,Marchionne Sergio,Dir,P - Purchase,$79.70,"+1,000","53,687",+2%,"+$79,700",0,+2,+2,+10
59,,2013-12-06 16:10:17,2013-12-04,PM,Camilleri Louis C,COB,S - Sale,$85.52,"-60,000","1,463,294",-4%,"-$5,131,290",+1,-1,0,+5
60,,2013-11-27 13:33:07,2013-11-26,PM,Marchionne Sergio,Dir,P - Purchase,$86.29,"+1,000","52,687",+2%,"+$86,290",0,+1,+3,+6
61,,2013-11-07 15:06:47,2013-11-06,PM,Fishburn J Dudley,Dir,S - Sale,$90.61,"-1,862","25,662",-7%,"-$168,724",-1,0,-6,-3
62,,2013-11-06 15:20:14,2013-11-05,PM,King Martin G.,SVP Operations,S - Sale,$90.02,"-15,867","146,326",-10%,"-$1,428,274",+1,0,-5,-2
63,,2013-10-25 15:25:29,2013-10-23,PM,Marchionne Sergio,Dir,P - Purchase,$87.51,"+1,000","51,687",+2%,"+$87,510",0,+1,-1,-1
64,,2013-10-23 15:19:30,2013-10-21,PM,Click Kevin,SVP HR,S - Sale,$86.48,"-9,046","61,527",-13%,"-$782,292",0,+3,+2,-3
65,,2013-08-28 14:58:59,2013-08-26,PM,Polles Jeanne,"SVP, Corporate Affairs",S - Sale,$85.27,"-3,000","28,131",-10%,"-$255,815",-1,0,+5,-2
66,,2013-08-27 15:14:41,2013-08-23,PM,Marchionne Sergio,Dir,P - Purchase,$84.42,"+1,000","50,687",+2%,"+$84,420",0,-1,+4,-4
