,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-04 16:03:18,2021-08-03,PTC,Schechter Robert,Dir,S - Sale,$132.92,"-5,000","62,765",-7%,"-$664,608",,,,
2,,2021-08-04 16:02:24,2021-08-02,PTC,Heppelmann James E,"Pres, CEO",S - Sale,$133.14,"-15,000","658,904",-2%,"-$1,997,069",,,,
3,,2021-08-02 16:03:36,2021-07-30,PTC,Von Staats Aaron C,"EVP, GC, Secretary",S - Sale,$134.32,"-1,750","20,133",-8%,"-$235,060",,,,
4,,2021-05-25 16:14:04,2021-05-24,PTC,Fernandez Phillip M,Dir,S - Sale,$132.50,-250,"21,670",-1%,"-$33,125",,,,
5,,2021-05-04 16:07:50,2021-05-03,PTC,Heppelmann James E,"Pres, CEO",S - Sale,$130.11,"-15,000","673,904",-2%,"-$1,951,581",,,,
6,,2021-04-27 16:04:44,2021-04-26,PTC,Fernandez Phillip M,Dir,S - Sale,$147.76,-250,"21,920",-1%,"-$36,940",,,,
7,,2021-04-16 16:03:14,2021-04-15,PTC,Ditullio Michael,"EVP, SaaS Solutions",S - Sale,$147.83,"-5,372","34,116",-14%,"-$794,126",,,,
8,,2021-03-24 16:56:38,2021-03-24,PTC,Fernandez Phillip M,Dir,S - Sale,$130.87,-250,"22,170",-1%,"-$32,718",,,,
9,,2021-03-16 17:06:57,2021-03-16,PTC,Lathan Corinna,Dir,S - Sale,$139.12,"-1,146","7,017",-14%,"-$159,432",,,,
10,,2021-02-24 16:03:29,2021-02-24,PTC,Fernandez Phillip M,Dir,S - Sale,$139.26,-250,"22,420",-1%,"-$34,815",,,,
11,,2021-02-10 16:04:07,2021-02-08,PTC,Wrenn Kevin,"EVP, Products",S - Sale,$142.61,-179,"8,838",-2%,"-$25,527",,,,
12,,2021-02-02 16:10:16,2021-01-29,PTC,Lacy Paul A,Dir,S - Sale,$137.67,-500,"107,962",0%,"-$68,835",,,,
13,,2021-02-02 16:04:17,2021-02-01,PTC,Heppelmann James E,"Pres, CEO",S - Sale,$136.96,"-15,000","688,904",-2%,"-$2,054,391",,,,
14,,2021-02-02 16:03:14,2021-02-01,PTC,Von Staats Aaron C,"EVP, GC, Secretary",S - Sale,$136.97,"-5,531","21,883",-20%,"-$757,554",,,,
15,,2021-02-01 16:05:46,2021-01-29,PTC,Talvitie Kristian,"EVP, CFO",S - Sale,$137.67,"-2,000","21,805",-8%,"-$275,340",,,,
16,,2021-02-01 16:04:47,2021-01-29,PTC,Mitford Kathleen,"EVP, Strategy",S - Sale,$133.59,"-4,000","37,838",-10%,"-$534,370",,,,
17,,2021-01-26 16:05:14,2021-01-25,PTC,Fernandez Phillip M,Dir,S - Sale,$132.37,-250,"19,804",-1%,"-$33,093",,,,
18,,2021-01-19 16:11:09,2021-01-15,PTC,Ditullio Michael,"EVP, Sales",S - Sale,$123.93,"-5,725","37,738",-13%,"-$709,469",,,,
19,,2020-12-28 16:03:42,2020-12-24,PTC,Fernandez Phillip M,Dir,S - Sale,$119.82,-250,"20,054",-1%,"-$29,955",,,,
20,,2020-12-03 16:05:51,2020-12-02,PTC,Wrenn Kevin,"EVP, Products",S - Sale,$107.30,-921,"9,017",-9%,"-$98,823",,,,
21,,2020-12-01 16:24:53,2020-12-01,PTC,Talvitie Kristian,"EVP, CFO",S - Sale,$107.97,"-6,163","23,805",-21%,"-$665,397",,,,
22,,2020-11-25 16:07:28,2020-11-25,PTC,Lacy Paul A,Dir,S - Sale,$105.04,"-1,500","66,462",-2%,"-$157,554",,,,
23,,2020-11-24 16:20:23,2020-11-24,PTC,Fernandez Phillip M,Dir,S - Sale,$104.00,-250,"20,304",-1%,"-$26,000",,,,
24,D,2020-11-19 16:16:37,2020-11-19,PTC,Camacho Eduarda,"EVP, Chief Customer Officer",S - Sale+OE,$98.28,"-3,130","11,325",-22%,"-$307,620",,,,
25,,2020-11-18 16:33:38,2020-11-16,PTC,Ditullio Michael,"EVP, Sales",S - Sale,$97.64,"-8,256","43,463",-16%,"-$806,080",,,,
26,,2020-11-18 16:31:09,2020-11-17,PTC,Von Staats Aaron C,"EVP, GC, Secretary",S - Sale,$98.79,"-10,341","27,414",-27%,"-$1,021,608",,,,
27,,2020-11-18 16:29:21,2020-11-16,PTC,Heppelmann James E,"Pres, CEO",S - Sale,$97.83,"-25,000","703,904",-3%,"-$2,445,873",,,,
28,,2020-11-18 16:26:45,2020-11-16,PTC,Mitford Kathleen,"EVP, Strategy",S - Sale,$97.49,"-2,328","41,838",-5%,"-$226,968",,,,
29,,2020-11-16 16:15:02,2020-11-12,PTC,Schechter Robert,Dir,S - Sale,$95.78,"-3,000","65,076",-4%,"-$287,346",,,,
30,,2020-11-02 16:21:35,2020-10-30,PTC,Lathan Corinna,Dir,S - Sale,$83.59,"-2,868","11,212",-20%,"-$239,738",,,,
31,,2020-10-26 16:45:00,2020-10-26,PTC,Fernandez Phillip M,Dir,S - Sale,$88.08,-250,"20,554",-1%,"-$22,020",,,,
32,,2020-09-25 16:05:03,2020-09-24,PTC,Fernandez Phillip M,Dir,S - Sale,$81.26,-250,"20,804",-1%,"-$20,315",,,,
33,,2020-08-24 16:35:31,2020-08-24,PTC,Fernandez Phillip M,Dir,S - Sale,$87.84,-250,"21,054",-1%,"-$21,960",,,,
34,,2020-08-05 16:03:13,2020-08-05,PTC,Lathan Corinna,Dir,S - Sale,$87.24,"-1,667","8,165",-17%,"-$145,426",,,,
35,,2020-08-04 16:14:36,2020-08-03,PTC,Heppelmann James E,"Pres, CEO",S - Sale,$86.28,"-15,000","1,244,922",-1%,"-$1,294,228",,,,
36,,2020-08-04 16:08:43,2020-08-03,PTC,Heppelmann James E,"Pres, CEO",S - Sale,$86.28,"-15,000","1,244,922",-1%,"-$1,294,228",,,,
37,,2020-07-24 16:03:18,2020-07-23,PTC,Fernandez Phillip M,Dir,S - Sale,$83.51,-250,"21,304",-1%,"-$20,878",,,,
38,,2020-06-24 16:03:46,2020-06-23,PTC,Fernandez Phillip M,Dir,S - Sale,$80.34,-250,"21,554",-1%,"-$20,085",,,,
39,,2020-06-03 16:03:22,2020-06-02,PTC,Von Staats Aaron C,"EVP, GC, Secretary",S - Sale,$80.00,"-1,500","16,283",-8%,"-$120,000",,,,
40,,2020-05-26 16:05:11,2020-05-26,PTC,Fernandez Phillip M,Dir,S - Sale,$71.35,-250,"21,804",-1%,"-$17,838",,,,
41,,2020-05-04 16:04:36,2020-05-01,PTC,Heppelmann James E,"Pres, CEO",S - Sale,$67.01,"-15,000","637,350",-2%,"-$1,005,172",,,,
42,,2020-04-24 16:03:23,2020-04-23,PTC,Fernandez Phillip M,Dir,S - Sale,$64.82,-250,"22,054",-1%,"-$16,205",,,,
43,,2020-03-26 17:42:15,2020-03-25,PTC,Fernandez Phillip M,Dir,S - Sale,$60.00,-250,"22,304",-1%,"-$15,000",,,,
44,,2020-03-18 16:03:22,2020-03-17,PTC,Lathan Corinna,Dir,S - Sale,$53.61,"-1,112","9,832",-10%,"-$59,614",,,,
45,,2020-03-17 16:03:17,2020-03-16,PTC,Mitford Kathleen,"EVP, Strategy",S - Sale,$48.74,"-3,303","26,073",-11%,"-$161,000",,,,
46,,2020-02-25 16:03:20,2020-02-24,PTC,Fernandez Phillip M,Dir,S - Sale,$84.80,-250,"22,554",-1%,"-$21,200",,,,
47,,2020-02-05 16:02:45,2020-02-04,PTC,Grierson Donald K,Dir,S - Sale,$86.84,"-5,000","39,647",-11%,"-$434,212",,,,
48,,2020-02-04 16:03:47,2020-02-03,PTC,Heppelmann James E,"Pres, CEO",S - Sale,$84.07,"-15,000","1,308,575",-1%,"-$1,261,054",,,,
49,,2020-01-24 16:03:51,2020-01-23,PTC,Fernandez Phillip M,Dir,S - Sale,$85.51,-250,"20,025",-1%,"-$21,378",,,,
50,,2019-12-26 16:02:26,2019-12-23,PTC,Fernandez Phillip M,Dir,S - Sale,$74.27,-250,"20,275",-1%,"-$18,568",,,,
51,,2019-12-02 16:05:33,2019-11-27,PTC,Mitford Kathleen,"EVP, Products",S - Sale,$76.50,-340,"23,892",-1%,"-$26,010",,,,
52,,2019-11-26 16:01:20,2019-11-25,PTC,Fernandez Phillip M,Dir,S - Sale,$75.50,-250,"20,525",-1%,"-$18,875",,,,
53,,2019-11-19 16:09:10,2019-11-18,PTC,Heppelmann James E,"Pres, CEO",S - Sale,$72.81,"-25,000","667,350",-4%,"-$1,820,131",,,,
54,,2019-11-19 16:04:23,2019-11-18,PTC,Mitford Kathleen,"EVP, Products",S - Sale,$73.39,-613,"24,232",-2%,"-$44,988",,,,
55,,2019-11-19 16:03:09,2019-11-18,PTC,Von Staats Aaron C,"EVP, GC, Secretary",S - Sale,$72.73,"-12,161","17,783",-41%,"-$884,453",,,,
56,,2019-10-28 16:03:31,2019-10-25,PTC,Fernandez Phillip M,Dir,S - Sale,$69.46,-250,"20,775",-1%,"-$17,365",,,,
57,,2019-10-25 16:06:53,2019-10-24,PTC,Mitford Kathleen,"EVP, Products",S - Sale,$77.00,-100,"15,566",-1%,"-$7,700",,,,
58,,2019-09-24 16:04:16,2019-09-23,PTC,Fernandez Phillip M,Dir,S - Sale,$67.66,-250,"21,025",-1%,"-$16,915",,,,
59,,2019-08-26 16:02:20,2019-08-23,PTC,Fernandez Phillip M,Dir,S - Sale,$66.99,-250,"21,275",-1%,"-$16,748",,,,
60,D,2019-08-19 16:10:53,2019-08-16,PTC,Lathan Corinna,Dir,S - Sale+OE,$64.48,-843,"8,165",-9%,"-$54,357",,,,
61,,2019-08-02 16:05:17,2019-08-01,PTC,Grierson Donald K,Dir,S - Sale,$67.57,"-5,000","44,897",-10%,"-$337,873",,,,
62,,2019-07-30 16:43:55,2019-07-26,PTC,Von Staats Aaron C,"EVP, GC, Secretary",S - Sale,$73.33,"-3,000","13,348",-18%,"-$219,985",,,,
63,,2019-07-30 16:38:48,2019-07-26,PTC,Fernandez Phillip M,Dir,S - Sale,$73.43,-250,"21,525",-1%,"-$18,358",,,,
64,,2019-07-25 16:09:31,2019-07-23,PTC,Cohen Matthew Lessner,"EVP, Field Operations",S - Sale,$90.00,"-10,000","25,672",-28%,"-$900,000",,,,
65,,2019-06-25 16:01:45,2019-06-24,PTC,Fernandez Phillip M,Dir,S - Sale,$89.33,-250,"21,775",-1%,"-$22,333",,,,
66,,2019-06-18 16:06:43,2019-06-17,PTC,Mitford Kathleen,"EVP, Products",S - Sale,$84.49,-200,"15,634",-1%,"-$16,898",,,,
67,,2019-05-24 16:02:35,2019-05-23,PTC,Fernandez Phillip M,Dir,S - Sale,$84.83,-250,"22,025",-1%,"-$21,208",,,,
68,,2019-05-03 16:12:59,2019-05-01,PTC,Heppelmann James E,"Pres, CEO",S - Sale,$89.02,"-15,000","605,631",-2%,"-$1,335,373",,,,
69,,2019-04-25 16:06:18,2019-04-23,PTC,Fernandez Phillip M,Dir,S - Sale,$99.91,-250,"22,275",-1%,"-$24,978",,,,
70,,2019-04-25 16:04:17,2019-04-23,PTC,Cohen Matthew Lessner,"EVP, Field Operations",S - Sale,$99.90,"-10,000","35,672",-22%,"-$998,954",,,,
71,,2019-04-25 16:02:52,2019-04-24,PTC,Mitford Kathleen,"EVP, Products",S - Sale,$102.00,-100,"15,834",-1%,"-$10,200",,,,
72,,2019-03-26 16:02:27,2019-03-25,PTC,Fernandez Phillip M,Dir,S - Sale,$92.73,-250,"22,525",-1%,"-$23,183",,,,
73,,2019-03-21 16:04:24,2019-03-20,PTC,Mitford Kathleen,"EVP, Products",S - Sale,$93.50,-100,"17,471",-1%,"-$9,350",,,,
74,,2019-03-20 16:08:57,2019-03-18,PTC,Mitford Kathleen,"EVP, Products",S - Sale,$91.47,-815,"17,601",-4%,"-$74,548",,,,
75,,2019-03-19 16:01:48,2019-03-18,PTC,Lathan Corinna,Dir,S - Sale,$91.47,"-2,260","5,497",-29%,"-$206,722",,,,
76,,2019-03-05 16:05:01,2019-03-01,PTC,Von Staats Aaron C,"EVP, GC, Secretary",S - Sale,$93.30,"-5,000","16,348",-23%,"-$466,485",,,,
77,,2019-03-05 16:03:43,2019-03-01,PTC,Miller Andrew,"EVP, CFO",S - Sale,$93.31,"-44,462",466,-99%,"-$4,148,599",,,,
78,M,2019-02-05 16:03:18,2019-02-01,PTC,Heppelmann James E,"Pres, CEO",S - Sale,$84.86,"-85,740","620,631",-12%,"-$7,276,221",,,,
79,,2019-01-24 16:06:55,2019-01-22,PTC,Cohen Matthew Lessner,"EVP, Field Operations",S - Sale,$86.56,"-15,000","42,934",-26%,"-$1,298,474",,,,
80,,2019-01-24 16:05:13,2019-01-23,PTC,Fernandez Phillip M,Dir,S - Sale,$86.27,-250,"19,912",-1%,"-$21,568",,,,
81,,2018-12-27 16:05:41,2018-12-24,PTC,Fernandez Phillip M,Dir,S - Sale,$77.83,-250,"20,162",-1%,"-$19,458",,,,
82,,2018-11-30 16:06:45,2018-11-29,PTC,Schechter Robert,Dir,S - Sale,$88.14,"-5,000","61,007",-8%,"-$440,679",,,,
83,,2018-11-26 17:20:52,2018-11-26,PTC,Cohen Barry F,"EVP, Chief Strategy Officer",S - Sale,$84.94,"-47,194","55,002",-46%,"-$4,008,890",,,,
84,,2018-11-26 16:28:09,2018-11-23,PTC,Fernandez Phillip M,Dir,S - Sale,$83.41,-250,"20,412",-1%,"-$20,853",,,,
85,,2018-11-19 18:16:01,2018-11-16,PTC,Mitford Kathleen,"EVP, Products",S - Sale,$88.08,"-1,750","13,128",-12%,"-$154,140",,,,
86,,2018-11-19 18:09:01,2018-11-16,PTC,Heppelmann James E,"Pres, CEO",S - Sale,$87.97,"-15,000","713,098",-2%,"-$1,319,509",,,,
87,,2018-11-19 18:06:09,2018-11-16,PTC,Von Staats Aaron C,"EVP, GC, Secretary",S - Sale,$87.62,"-11,907","22,781",-34%,"-$1,043,265",,,,
88,M,2018-11-19 18:03:52,2018-11-16,PTC,Miller Andrew,"EVP, CFO",S - Sale,$85.44,"-46,524","47,601",-49%,"-$3,975,194",,,,
89,,2018-10-25 16:10:51,2018-10-23,PTC,Fernandez Phillip M,Dir,S - Sale,$90.86,-250,"20,662",-1%,"-$22,715",,,,
90,,2018-09-25 16:07:45,2018-09-24,PTC,Fernandez Phillip M,Dir,S - Sale,$102.46,-250,"20,912",-1%,"-$25,615",,,,
91,,2018-08-23 18:21:53,2018-08-23,PTC,Fernandez Phillip M,Dir,S - Sale,$94.98,-250,"21,162",-1%,"-$23,745",,,,
92,M,2018-08-17 16:31:42,2018-08-15,PTC,Miller Andrew,"EVP, CFO",S - Sale,$92.17,"-34,453","46,990",-42%,"-$3,175,360",,,,
93,D,2018-08-17 16:29:20,2018-08-16,PTC,Lathan Corinna,Dir,S - Sale+OE,$92.58,"-1,405","4,644",-23%,"-$130,075",,,,
94,,2018-08-01 18:04:51,2018-08-01,PTC,Grierson Donald K,Dir,S - Sale,$92.66,"-10,000","51,784",-16%,"-$926,622",,,,
95,,2018-08-01 17:18:05,2018-08-01,PTC,Heppelmann James E,"Pres, CEO",S - Sale,$92.88,"-25,000","587,529",-4%,"-$2,321,895",,,,
96,,2018-07-27 17:30:13,2018-07-27,PTC,Miller Andrew,"EVP, CFO",S - Sale,$95.92,"-23,487","81,241",-22%,"-$2,252,761",,,,
97,,2018-07-25 16:13:41,2018-07-24,PTC,Dibona Anthony,EVP Focused Solutions Group,S - Sale,$96.30,"-2,187","28,790",-7%,"-$210,607",,,,
98,,2018-07-25 16:10:07,2018-07-23,PTC,Fernandez Phillip M,Dir,S - Sale,$96.03,-250,"21,412",-1%,"-$24,008",,,,
99,,2018-07-25 16:07:53,2018-07-23,PTC,Von Staats Aaron C,"CVP, GC, Secretary",S - Sale,$97.06,"-4,701","8,541",-36%,"-$456,298",,,,
100,,2018-05-02 16:41:51,2018-05-01,PTC,Heppelmann James E,"Pres, CEO",S - Sale,$82.37,"-25,000","612,529",-4%,"-$2,059,180",,,,
101,,2018-05-02 16:37:35,2018-05-02,PTC,Cohen Matthew Lessner,"EVP, Field Operations",S - Sale,$84.00,"-17,000","28,371",-37%,"-$1,428,017",,,,
102,,2018-04-25 16:40:10,2018-04-24,PTC,Dibona Anthony,EVP Focused Solutions Group,S - Sale,$84.35,"-3,278","30,977",-10%,"-$276,492",,,,
