,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-05-12 16:45:19,2021-05-10,PNR,Jacko John H,"EVP, Chief Growth Officer",S - Sale+OE,$69.51,"-30,979","19,334",-62%,"-$2,153,407",,,,
2,D,2020-12-03 19:15:09,2020-12-01,PNR,Glenn T Michael,Dir,S - Sale+OE,$52.35,"-4,225","20,863",-17%,"-$221,179",,,,
3,D,2020-10-27 16:49:11,2020-10-23,PNR,Jones David A /wi,Dir,S - Sale+OE,$51.75,"-10,532","15,471",-41%,"-$545,074",,,,
4,D,2020-10-14 16:43:49,2020-10-12,PNR,Bryan Glynis,Dir,S - Sale+OE,$50.00,"-10,532","21,976",-32%,"-$526,600",,,,
5,D,2020-02-25 16:25:40,2020-02-21,PNR,Borin Mark C,"EVP, CFO",S - Sale+OE,$44.71,"-37,755","45,608",-45%,"-$1,687,982",,,,
6,D,2020-02-05 16:21:23,2020-02-03,PNR,Frykman Karl R.,"EVP, COO",S - Sale+OE,$43.38,"-19,321","62,068",-24%,"-$838,145",,,,
7,D,2020-02-05 16:18:21,2020-02-03,PNR,Borin Mark C,"EVP, CFO",S - Sale+OE,$43.50,"-33,501","30,650",-52%,"-$1,457,277",,,,
8,D,2019-12-04 16:18:01,2019-12-02,PNR,Glenn T Michael,Dir,S - Sale+OE,$44.23,"-6,116","18,586",-25%,"-$270,511",,,,
9,D,2019-11-13 16:20:30,2019-11-11,PNR,Jones David A /wi,Dir,S - Sale+OE,$43.11,"-6,116","13,194",-32%,"-$263,644",,,,
10,D,2019-11-05 17:12:57,2019-11-01,PNR,Bryan Glynis,Dir,S - Sale+OE,$42.00,"-6,116","19,699",-24%,"-$256,872",,,,
11,D,2019-04-03 16:36:54,2019-04-01,PNR,Sarcevic Ademir,"SVP, Chief Accounting Officer",S - Sale+OE,$45.00,"-2,435",328,-88%,"-$109,575",,,,
12,,2019-03-05 16:41:56,2019-03-04,PNR,Sarcevic Ademir,"SVP, Chief Accounting Officer",S - Sale,$42.88,-266,"8,426",-3%,"-$11,406",,,,
13,D,2019-02-05 16:27:09,2019-02-01,PNR,Frykman Karl R.,"EVP, COO",S - Sale+OE,$41.28,"-10,241","49,044",-17%,"-$422,748",,,,
14,D,2019-01-04 17:09:59,2019-01-03,PNR,Sarcevic Ademir,"SVP, Chief Accounting Officer",S - Sale+OE,$37.61,"-1,287","9,018",-12%,"-$48,404",,,,
15,D,2018-12-06 16:24:21,2018-12-03,PNR,Glenn T Michael,Dir,S - Sale+OE,$43.40,"-17,133","16,869",-50%,"-$743,572",,,,
16,D,2018-09-20 16:32:45,2018-09-18,PNR,Bryan Glynis,Dir,S - Sale+OE,$45.00,"-17,133","17,982",-49%,"-$770,985",,,,
17,,2018-08-15 16:58:34,2018-08-13,PNR,Peltz Matthew H.,Dir,S - Sale,$42.15,"-1,700,000","12,039,444",-12%,"-$71,655,000",,,,
18,,2018-07-05 16:40:06,2018-07-02,PNR,Sarcevic Ademir,"SVP, Chief Accounting Officer",S - Sale,$41.67,"-1,042",0,-100%,"-$43,420",,,,
