,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-16 17:08:13,2021-08-04,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$484.49,"-8,724","915,841",-1%,"-$4,226,710",,,,
2,A,2021-08-09 17:15:43,2021-08-03,POOL,Sledd Robert C,Dir,S - Sale,$480.00,"-7,254","2,300",-76%,"-$3,481,920",,,,
3,,2021-08-05 17:16:54,2021-08-03,POOL,Sledd Robert C,Dir,S - Sale,$479.50,"-3,300","11,419",-22%,"-$1,582,350",,,,
4,,2021-08-05 17:14:16,2021-08-03,POOL,Joslin Mark W,SVP,S - Sale,$482.50,"-15,000","85,195",-15%,"-$7,237,500",,,,
5,,2021-08-04 17:43:16,2021-08-02,POOL,St Romain Kenneth G,Group VP,S - Sale,$475.12,"-9,982","70,945",-12%,"-$4,742,617",,,,
6,DM,2021-08-02 17:36:51,2021-07-29,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$479.26,"-19,086","915,827",-2%,"-$9,147,101",,,,
7,,2021-07-29 17:10:39,2021-07-27,POOL,Neil Jennifer M,"GC, Secretary",S - Sale,$470.00,"-3,000","9,794",-23%,"-$1,410,000",,,,
8,,2021-05-26 16:11:31,2021-05-24,POOL,Neil Jennifer M,"GC, Secretary",S - Sale,$430.80,"-1,795","12,794",-12%,"-$773,280",,,,
9,,2021-05-20 16:12:25,2021-05-19,POOL,Arvan Peter D,"Pres, CEO",P - Purchase,$429.30,+465,"60,148",+1%,"+$199,625",,,,
10,,2021-05-12 16:07:00,2021-05-10,POOL,St Romain Kenneth G,Group VP,S - Sale,$444.97,"-9,310","80,927",-10%,"-$4,142,681",,,,
11,D,2021-05-07 16:43:11,2021-05-05,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$435.22,"-10,000","916,012",-1%,"-$4,352,209",,,,
12,D,2021-05-05 17:26:10,2021-05-03,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$428.20,"-17,106","915,734",-2%,"-$7,324,800",,,,
13,D,2021-04-29 17:07:50,2021-04-27,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$425.00,"-1,459","915,734",0%,"-$620,076",,,,
14,D,2021-04-28 17:00:05,2021-04-26,POOL,St Romain Kenneth G,Group VP,S - Sale+OE,$413.17,"-12,500","90,237",-12%,"-$5,164,609",,,,
15,,2021-03-09 17:01:16,2021-03-05,POOL,Arvan Peter D,"Pres, CEO",P - Purchase,$316.03,+500,"59,683",+1%,"+$158,016",,,,
16,D,2020-11-09 16:54:14,2020-11-05,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$386.85,"-15,144","915,734",-2%,"-$5,858,396",,,,
17,D,2020-11-06 19:07:40,2020-11-04,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$376.20,"-20,281","915,734",-2%,"-$7,629,660",,,,
18,,2020-11-06 19:07:20,2020-11-04,POOL,Joslin Mark W,"SVP, CFO",S - Sale,$370.09,"-3,799","100,505",-4%,"-$1,405,961",,,,
19,DM,2020-11-06 19:07:00,2020-11-04,POOL,St Romain Kenneth G,Group VP,S - Sale+OE,$379.08,"-18,250","90,890",-17%,"-$6,918,115",,,,
20,,2020-11-06 19:06:39,2020-11-04,POOL,Neil Jennifer M,"GC, Secretary",S - Sale,$374.05,-609,"14,442",-4%,"-$227,793",,,,
21,D,2020-10-29 17:13:56,2020-10-27,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$367.05,"-10,000","915,874",-1%,"-$3,670,482",,,,
22,M,2020-10-28 16:35:55,2020-10-26,POOL,Joslin Mark W,"SVP, CFO",S - Sale,$362.13,"-6,201","104,304",-6%,"-$2,245,557",,,,
23,,2020-08-31 16:38:58,2020-08-27,POOL,Housey Hart Melanie,"VP, CHIEF ACCOUNTING OFFICER, ",S - Sale,$338.39,"-1,027","10,309",-9%,"-$347,522",,,,
24,D,2020-08-31 16:38:32,2020-08-27,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$340.27,"-3,200","915,974",0%,"-$1,088,873",,,,
25,D,2020-08-25 17:08:05,2020-08-21,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$330.15,"-1,295","915,974",0%,"-$427,538",,,,
26,D,2020-08-20 18:02:26,2020-08-18,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$330.59,"-8,536","915,974",-1%,"-$2,821,926",,,,
27,DM,2020-08-06 16:44:18,2020-08-04,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$326.60,"-16,224","917,001",-2%,"-$5,298,767",,,,
28,DM,2020-08-04 17:26:19,2020-07-31,POOL,St Romain Kenneth G,Group VP,S - Sale+OE,$318.95,"-12,004","94,140",-11%,"-$3,828,698",,,,
29,,2020-08-04 17:10:45,2020-07-31,POOL,Joslin Mark W,"SVP, CFO",S - Sale,$315.00,"-5,000","110,505",-4%,"-$1,575,000",,,,
30,D,2020-08-03 16:31:45,2020-07-30,POOL,Housey Hart Melanie,"VP, CHIEF ACCOUNTING OFFICER, ",S - Sale+OE,$312.02,"-2,250","11,336",-17%,"-$702,043",,,,
31,D,2020-07-31 16:54:00,2020-07-29,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$312.59,"-20,000","917,001",-2%,"-$6,251,879",,,,
32,DM,2020-07-30 20:52:50,2020-07-28,POOL,St Romain Kenneth G,Group VP,S - Sale+OE,$312.37,"-14,996","94,140",-14%,"-$4,684,365",,,,
33,M,2020-07-30 19:58:10,2020-07-28,POOL,Joslin Mark W,"SVP, CFO",S - Sale,$311.00,"-5,000","115,505",-4%,"-$1,555,000",,,,
34,DM,2020-07-29 16:33:20,2020-07-27,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$310.13,"-13,945","917,001",-1%,"-$4,324,787",,,,
35,D,2020-06-02 16:33:18,2020-05-29,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$266.78,"-14,824","917,001",-2%,"-$3,954,703",,,,
36,DM,2020-05-29 17:15:38,2020-05-27,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$254.15,"-35,878","917,001",-4%,"-$9,118,394",,,,
37,DM,2020-05-27 16:38:41,2020-05-22,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$241.91,"-23,144","917,001",-2%,"-$5,598,776",,,,
38,D,2020-04-29 16:39:15,2020-04-27,POOL,St Romain Kenneth G,Group VP,S - Sale+OE,$222.76,"-18,302","94,140",-16%,"-$4,076,884",,,,
39,,2020-04-02 16:54:33,2020-03-31,POOL,Cook Arthur D,Group VP,S - Sale,$195.00,"-5,003","39,152",-11%,"-$975,585",,,,
40,,2020-03-09 16:23:10,2020-03-05,POOL,Neil Jennifer M,"GC, Secretary",S - Sale,$222.80,"-1,764","15,051",-10%,"-$393,010",,,,
41,D,2020-03-04 17:25:03,2020-03-03,POOL,Neil Jennifer M,"GC, Secretary",S - Sale+OE,$216.23,"-2,250","16,815",-12%,"-$486,510",,,,
42,DM,2020-02-28 17:09:34,2020-02-26,POOL,St Romain Kenneth G,Group VP,S - Sale+OE,$222.93,"-18,560","95,807",-16%,"-$4,137,560",,,,
43,DM,2020-02-24 16:56:30,2020-02-20,POOL,St Romain Kenneth G,Group VP,S - Sale+OE,$232.09,"-23,138","93,169",-20%,"-$5,370,008",,,,
44,DM,2020-02-20 17:00:01,2020-02-18,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$235.19,"-26,154","916,550",-3%,"-$6,151,062",,,,
45,DM,2019-11-21 18:54:24,2019-11-19,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$211.26,"-18,574","916,650",-2%,"-$3,924,006",,,,
46,D,2019-10-24 19:06:32,2019-10-22,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$215.12,"-10,000","917,000",-1%,"-$2,151,170",,,,
47,,2019-10-23 18:29:55,2019-10-21,POOL,Joslin Mark W,"SVP, CFO",S - Sale,$214.84,"-5,000","120,920",-4%,"-$1,074,200",,,,
48,,2019-08-23 18:42:02,2019-08-21,POOL,Joslin Mark W,"SVP, CFO",S - Sale,$200.00,-7,"125,920",0%,"-$1,400",,,,
49,D,2019-08-20 18:38:07,2019-08-19,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$198.17,"-6,874","916,964",-1%,"-$1,362,250",,,,
50,D,2019-08-20 18:37:23,2019-08-16,POOL,Housey Hart Melanie,"VP, CHIEF ACCOUNTING OFFICER, ",S - Sale+OE,$194.88,"-2,400","10,284",-19%,"-$467,704",,,,
51,DM,2019-08-15 18:03:32,2019-03-05,POOL,Joslin Mark W,"SVP, CFO",S - Sale+OE,$164.01,"-14,429","125,927",-10%,"-$2,366,424",,,,
52,D,2019-08-12 17:19:51,2019-08-08,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$198.53,"-26,944","916,964",-3%,"-$5,349,190",,,,
53,D,2019-08-12 17:19:03,2019-08-08,POOL,Sledd Robert C,Dir,S - Sale+OE,$199.09,"-8,696","18,141",-32%,"-$1,731,278",,,,
54,D,2019-08-09 17:44:03,2019-08-07,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$193.96,"-14,263","916,964",-2%,"-$2,766,438",,,,
55,M,2019-08-06 18:41:47,2019-08-02,POOL,Arvan Peter D,"Pres, CEO",P - Purchase,$187.20,+500,"38,933",+1%,"+$93,598",,,,
56,D,2019-08-02 19:20:37,2019-08-01,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$192.56,"-3,210","916,964",0%,"-$618,103",,,,
57,D,2019-08-01 17:20:39,2019-07-30,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$193.33,"-3,417","916,964",0%,"-$660,612",,,,
58,DM,2019-07-30 18:13:49,2019-07-26,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$192.61,"-7,643","916,964",-1%,"-$1,472,079",,,,
59,D,2019-05-22 17:28:46,2019-05-20,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$186.00,"-2,500","916,964",0%,"-$465,000",,,,
60,,2019-05-22 17:26:06,2019-05-20,POOL,Stokely John E,Dir,S - Sale,$184.07,"-10,000","12,284",-45%,"-$1,840,692",,,,
61,D,2019-05-22 17:23:05,2019-05-21,POOL,Housey Hart Melanie,"VP, CHIEF ACCOUNTING OFFICER, ",S - Sale+OE,$185.20,"-1,600","10,284",-13%,"-$296,318",,,,
62,D,2019-05-08 17:37:04,2019-05-06,POOL,St Romain Kenneth G,Group VP,S - Sale+OE,$185.15,"-36,806","95,154",-28%,"-$6,814,524",,,,
63,D,2019-05-08 17:32:48,2019-05-06,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$186.01,"-10,000","916,964",-1%,"-$1,860,095",,,,
64,DM,2019-05-06 18:13:04,2019-05-02,POOL,St Romain Kenneth G,Group VP,S - Sale+OE,$185.27,"-23,194","95,154",-20%,"-$4,297,088",,,,
65,DM,2019-05-03 18:08:14,2019-05-01,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$184.33,"-20,402","916,964",-2%,"-$3,760,671",,,,
66,DM,2019-05-01 18:00:11,2019-04-29,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$181.64,"-20,000","916,303",-2%,"-$3,632,883",,,,
67,,2019-04-30 17:59:42,2019-04-29,POOL,Seymour Harlan F,Dir,S - Sale,$181.09,"-8,000","8,861",-47%,"-$1,448,692",,,,
68,,2019-04-25 17:35:10,2019-04-23,POOL,Neil Jennifer M,"GC, Secretary",S - Sale,$180.00,"-2,397","15,840",-13%,"-$431,460",,,,
69,DM,2019-04-25 17:34:43,2019-04-23,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$180.19,"-16,173","916,303",-2%,"-$2,914,134",,,,
70,D,2019-03-29 16:53:52,2019-03-27,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$160.19,"-26,340","916,303",-3%,"-$4,219,490",,,,
71,D,2019-03-25 17:31:21,2019-03-21,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$160.50,"-2,500","916,303",0%,"-$401,250",,,,
72,,2019-03-22 18:33:53,2019-03-21,POOL,Cook Arthur D,Group VP,S - Sale,$160.08,"-3,747","45,095",-8%,"-$599,807",,,,
73,D,2019-03-22 18:33:23,2019-03-21,POOL,St Romain Kenneth G,Group VP,S - Sale+OE,$159.75,"-6,577","91,904",-7%,"-$1,050,705",,,,
74,,2019-03-21 18:29:09,2019-03-19,POOL,Cook Arthur D,Group VP,S - Sale,$159.38,"-10,550","48,842",-18%,"-$1,681,493",,,,
75,DM,2019-03-21 18:28:13,2019-03-19,POOL,St Romain Kenneth G,Group VP,S - Sale+OE,$158.06,"-27,105","91,904",-23%,"-$4,284,157",,,,
76,DM,2019-03-08 17:57:05,2019-03-06,POOL,Cook Arthur D,Group VP,S - Sale+OE,$158.36,"-20,000","59,392",-25%,"-$3,167,173",,,,
77,DM,2019-03-08 17:56:34,2019-03-06,POOL,St Romain Kenneth G,Group VP,S - Sale+OE,$158.39,"-23,068","91,904",-20%,"-$3,653,653",,,,
78,DM,2019-03-01 17:21:36,2019-02-27,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$161.01,"-10,012","916,303",-1%,"-$1,612,022",,,,
79,DM,2019-02-27 17:14:20,2019-02-25,POOL,Perez De La Mesa Manuel J,VICE COB,S - Sale+OE,$160.51,"-50,400","916,303",-5%,"-$8,089,641",,,,
80,DM,2018-12-04 17:23:10,2018-11-30,POOL,Perez De La Mesa Manuel J,"Pres, CEO",S - Sale+OE,$162.28,"-20,448","916,613",-2%,"-$3,318,205",,,,
81,DM,2018-11-30 17:55:03,2018-11-28,POOL,Perez De La Mesa Manuel J,"Pres, CEO",S - Sale+OE,$160.98,"-10,300","916,613",-1%,"-$1,658,128",,,,
82,D,2018-09-04 17:31:34,2018-08-30,POOL,Cook Arthur D,Group VP,S - Sale+OE,$164.11,"-10,000","55,357",-15%,"-$1,641,070",,,,
83,D,2018-08-28 18:13:48,2018-08-27,POOL,Sledd Robert C,Dir,S - Sale+OE,$162.96,"-5,766","17,480",-25%,"-$939,644",,,,
84,,2018-08-24 18:23:57,2018-08-24,POOL,Cook Arthur D,Group VP,S - Sale,$161.00,"-2,000","55,357",-3%,"-$322,000",,,,
85,DM,2018-08-23 18:22:32,2018-08-21,POOL,Joslin Mark W,"SVP, CFO",S - Sale+OE,$162.28,"-13,000","123,701",-10%,"-$2,109,601",,,,
86,DM,2018-08-22 19:34:12,2018-08-20,POOL,Perez De La Mesa Manuel J,"Pres, CEO",S - Sale+OE,$161.53,"-40,000","916,613",-4%,"-$6,460,986",,,,
