,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-05-26 16:29:30,2021-05-24,PPG,Knavish Timothy M,EVP,S - Sale+OE,$178.78,"-22,851","21,620",-51%,"-$4,085,270",,,,
2,D,2021-04-21 14:11:23,2021-04-20,PPG,Ramaprasad Vadlamannati,"SVP, P, M Ctgs, Pres PPG EMEA",S - Sale+OE,$168.84,"-20,956","25,992",-45%,"-$3,538,202",,,,
3,D,2020-11-06 17:34:06,2020-11-04,PPG,Schaupp William E,"VP, Controller (PAO)",S - Sale+OE,$134.66,"-3,850","3,313",-54%,"-$518,451",,,,
4,D,2020-10-26 16:40:19,2020-10-22,PPG,McGarry Michael H,"COB, CEO",S - Sale+OE,$133.65,"-81,022","167,272",-33%,"-$10,828,653",,,,
5,D,2020-09-01 16:21:38,2020-08-31,PPG,Knavish Timothy M,EVP,S - Sale+OE,$120.69,"-15,300","18,873",-45%,"-$1,846,496",,,,
6,D,2019-11-07 17:12:02,2019-11-06,PPG,McGarry Michael H,"COB, CEO",S - Sale+OE,$130.00,"-30,450","134,157",-18%,"-$3,958,500",,,,
7,D,2019-10-22 13:19:57,2019-10-21,PPG,McGarry Michael H,"COB, CEO",S - Sale+OE,$125.00,"-11,916","134,166",-8%,"-$1,489,500",,,,
8,D,2019-09-20 11:29:14,2019-09-19,PPG,McGarry Michael H,"COB, CEO",S - Sale+OE,$120.00,"-12,000","134,176",-8%,"-$1,440,000",,,,
9,D,2019-07-22 18:52:41,2019-07-22,PPG,Ramaprasad Vadlamannati,"SVP, Protect., Marine Ctgs",S - Sale+OE,$117.12,"-13,904","22,913",-38%,"-$1,628,411",,,,
10,D,2019-05-30 10:08:31,2019-05-29,PPG,Schaupp William E,"VP, Controller (PAO)",S - Sale+OE,$106.88,"-2,500","2,871",-47%,"-$267,189",,,,
11,,2019-05-24 14:05:16,2019-05-24,PPG,Haynes Victoria F,Dir,S - Sale,$107.16,-674,0,-100%,"-$72,263",,,,
12,D,2018-02-23 12:13:08,2018-02-22,PPG,Greindl Jean-Marie,"SVP, Arch Ctgs, Pres EMEA",S - Sale+OE,$115.79,"-9,500","22,385",-30%,"-$1,099,976",,,,
13,,2017-08-22 17:00:42,2017-08-18,PPG,Sekmakas Viktoras R,EVP,S - Sale,$102.49,"-18,616","24,168",-44%,"-$1,907,993",,,,
14,D,2017-08-14 14:14:17,2017-08-11,PPG,Bost Glenn E II,"SVP, Gen. Counsel",S - Sale+OE,$100.80,"-19,812","32,957",-38%,"-$1,996,980",,,,
15,D,2016-08-08 15:45:31,2016-08-04,PPG,Knavish Timothy M,"SVP, Automotive Coatings",S - Sale+OE,$104.08,"-9,300","14,756",-39%,"-$967,931",0,0,+3,-4
16,D,2016-07-28 10:15:51,2016-07-26,PPG,Sekmakas Viktoras R,EVP,S - Sale+OE,$106.64,"-40,950","36,445",-53%,"-$4,367,014",-1,-2,+1,-3
17,,2016-03-01 16:01:49,2016-02-26,PPG,Bunch Charles E,Exec COB,S - Sale,$98.17,"-46,286","757,086",-6%,"-$4,543,711",0,+4,+13,+7
18,D,2016-02-26 16:03:43,2016-02-25,PPG,Bost Glenn E II,"SVP, Gen. Counsel",S - Sale+OE,$95.27,"-32,925","32,957",-50%,"-$3,136,838",-2,+2,+12,+9
19,,2015-11-17 16:04:14,2015-11-16,PPG,Bunch Charles E,Exec COB,S - Sale,$101.94,"-16,286","744,134",-2%,"-$1,660,115",+2,+4,-1,+5
20,D,2015-11-03 13:02:42,2015-10-30,PPG,Niekamp Cynthia A,"SVP, Automotive Coatings",S - Sale+OE,$104.35,"-7,200","60,912",-11%,"-$751,339",0,-2,+2,+5
21,,2015-10-27 16:03:36,2015-10-26,PPG,Bunch Charles E,Exec COB,S - Sale,$103.75,"-12,000","760,410",-2%,"-$1,244,952",+1,+1,+3,+10
22,D,2015-10-20 09:11:39,2015-10-19,PPG,Sekmakas Viktoras R,EVP,S - Sale+OE,$100.98,"-11,916","36,369",-25%,"-$1,203,278",0,+3,+1,+16
23,,2015-08-10 13:29:58,2015-08-07,PPG,Bunch Charles E,"COB, CEO",S - Sale,$103.96,"-12,716","772,331",-2%,"-$1,321,910",+3,+1,-7,-13
24,D,2015-03-02 16:04:23,2015-02-26,PPG,McGarry Michael H,"Pres, COO",S - Sale+OE,$235.60,"-6,664","46,576",-13%,"-$1,570,036",-1,-2,-6,-20
