,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-02-23 16:17:26,2021-02-22,PPL,Raphael Joanne H,"EVP, GC, Corp Sec",S - Sale,$27.48,"-19,188","48,332",-28%,"-$527,360",,,,
2,D,2021-02-22 16:40:45,2021-02-19,PPL,Dudkin Gregory N,Pres of a PPL Subsidiary,S - Sale+OE,$27.78,"-19,789","36,719",-35%,"-$549,738",,,,
3,D,2021-01-27 13:47:35,2021-01-26,PPL,Raphael Joanne H,"EVP, GC, Corp Sec",S - Sale+OE,$28.12,"-4,589","48,332",-9%,"-$129,043",,,,
4,D,2021-01-27 13:42:04,2021-01-25,PPL,Sorgi Vincent,"Pres, CEO",S - Sale+OE,$27.64,"-26,561","51,397",-34%,"-$734,146",,,,
5,D,2021-01-27 13:39:52,2021-01-26,PPL,Dudkin Gregory N,Pres of a PPL Subsidiary,S - Sale+OE,$28.12,"-4,747","36,719",-11%,"-$133,486",,,,
6,D,2020-02-19 15:23:30,2020-02-18,PPL,Dudkin Gregory N,Pres of a PPL Subsidiary,S - Sale+OE,$35.64,"-10,872","36,712",-23%,"-$387,478",,,,
7,D,2019-12-05 13:33:18,2019-12-04,PPL,Spence William H,"COB, CEO",S - Sale+OE,$34.50,"-388,968","182,694",-68%,"-$13,419,396",,,,
8,D,2019-11-19 11:53:58,2019-11-18,PPL,Sorgi Vincent,"Pres, COO",S - Sale+OE,$34.04,"-13,696","17,417",-44%,"-$466,267",,,,
9,DM,2019-11-04 13:30:13,2019-10-31,PPL,Spence William H,"COB, CEO",S - Sale+OE,$33.50,"-388,000","182,694",-68%,"-$12,999,518",,,,
10,D,2019-10-23 12:16:08,2019-10-22,PPL,Spence William H,"COB, CEO",S - Sale+OE,$33.00,"-215,020","182,694",-54%,"-$7,095,660",,,,
11,D,2019-10-15 15:00:41,2019-10-14,PPL,Raphael Joanne H,"EVP, GC, Corp Sec",S - Sale+OE,$32.07,"-21,288","27,214",-44%,"-$682,706",,,,
12,,2019-07-16 11:34:14,2019-07-15,PPL,Swift Philip,Chief Exec of a PPL Subsidiary,S - Sale,$30.26,"-3,782",0,-100%,"-$114,443",,,,
13,D,2019-03-07 10:30:40,2019-03-05,PPL,Spence William H,"COB, Pres, CEO",S - Sale+OE,$32.50,"-225,365","182,592",-55%,"-$7,324,363",,,,
14,,2019-02-13 12:56:02,2019-02-11,PPL,Thompson Paul W,COB of a PPL Subsidiary,S - Sale,$31.28,"-7,419",0,-100%,"-$232,066",,,,
15,D,2019-01-24 14:05:37,2019-01-23,PPL,Thompson Paul W,COB of a PPL Subsidiary,S - Sale+OE,$29.91,"-5,637","7,419",-43%,"-$168,603",,,,
16,D,2019-01-24 13:56:21,2019-01-23,PPL,Dudkin Gregory N,Pres of a PPL Subsidiary,S - Sale+OE,$29.91,"-9,430","23,645",-29%,"-$282,051",,,,
17,,2018-12-31 08:34:42,2018-12-27,PPL,Thompson Paul W,COB of a PPL Subsidiary,S - Sale,$28.25,"-4,573","7,419",-38%,"-$129,187",,,,
18,D,2018-12-11 11:33:48,2018-12-07,PPL,Raphael Joanne H,"SVP, GC, Corp Sec",S - Sale+OE,$31.00,"-22,410","18,358",-55%,"-$694,714",,,,
19,,2018-03-01 11:31:26,2018-02-28,PPL,Staffieri Victor A,COB of a PPL Subsidiary,S - Sale,$29.20,"-4,232",0,-100%,"-$123,574",,,,
20,,2018-03-01 11:30:14,2018-02-28,PPL,Raphael Joanne H,"SVP, GC, Corp Sec",S - Sale,$29.19,"-2,205","18,293",-11%,"-$64,362",,,,
21,,2018-03-01 11:28:56,2018-02-28,PPL,Dudkin Gregory N,Pres of a PPL Subsidiary,S - Sale,$29.19,"-2,378","23,640",-9%,"-$69,419",,,,
22,,2018-02-02 14:53:55,2018-02-01,PPL,Dudkin Gregory N,Pres of a PPL Subsidiary,S - Sale,$31.67,"-9,320","26,018",-26%,"-$295,164",,,,
23,,2018-01-31 15:47:23,2018-01-30,PPL,Sorgi Vincent,"SVP, CFO",S - Sale,$31.54,"-10,274","3,530",-74%,"-$324,042",,,,
24,D,2018-01-24 15:41:29,2018-01-23,PPL,Staffieri Victor A,COB of a PPL Subsidiary,S - Sale+OE,$31.60,"-19,524",1,-100%,"-$616,958",,,,
25,D,2018-01-24 15:31:03,2018-01-23,PPL,Raphael Joanne H,"SVP, GC, Corp Sec",S - Sale+OE,$31.60,"-5,045","18,293",-22%,"-$159,422",,,,
26,D,2017-08-25 08:41:28,2017-08-23,PPL,Raphael Joanne H,"SVP, GC, Corp Sec",S - Sale+OE,$39.50,"-35,651","18,259",-66%,"-$1,408,215",,,,
27,,2017-08-07 14:02:49,2017-08-03,PPL,Sorgi Vincent,"SVP, CFO",S - Sale,$39.00,"-5,600",218,-96%,"-$218,400",,,,
28,D,2017-08-07 14:01:03,2017-08-03,PPL,Bergstein Joseph P Jr,"VP-IR, Treasurer",S - Sale+OE,$39.00,"-2,983","3,504",-46%,"-$116,337",,,,
29,,2017-07-26 10:58:53,2017-07-24,PPL,Bergstein Joseph P Jr,"VP-IR, Treasurer",S - Sale,$38.55,"-2,929","3,504",-46%,"-$112,913",,,,
30,D,2017-06-20 13:00:36,2017-06-19,PPL,Dudkin Gregory N,Pres of a PPL Subsidiary,S - Sale+OE,$39.55,"-8,228","23,637",-26%,"-$325,417",,,,
31,,2017-03-27 10:43:21,2017-03-23,PPL,Symons Robert A,Chief Exec of a PPL Subsidiary,S - Sale,$37.60,"-12,703",1,-100%,"-$477,633",0,-1,+1,
32,,2017-03-02 14:13:15,2017-02-28,PPL,Staffieri Victor A,COB of a PPL Subsidiary,S - Sale,$36.76,"-10,706",0,-100%,"-$393,542",0,-1,+2,
33,,2017-03-02 14:12:35,2017-02-28,PPL,Spence William H,"COB, Pres, CEO",S - Sale,$36.94,"-40,123","43,405",-48%,"-$1,482,144",0,-1,+2,
34,,2017-03-02 14:11:02,2017-02-28,PPL,Sorgi Vincent,"SVP, CFO",S - Sale,$37.00,"-10,708","11,300",-49%,"-$396,196",0,-1,+2,
35,,2017-03-02 14:10:17,2017-02-28,PPL,Raphael Joanne H,"SVP, GC, Corp Sec",S - Sale,$36.57,"-4,035","18,229",-18%,"-$147,560",0,-1,+2,
36,D,2017-02-22 13:40:51,2017-02-21,PPL,Thompson Paul W,Pres of a PPL Subsidiary,S - Sale+OE,$36.00,"-6,454","4,573",-59%,"-$232,347",0,+2,+6,
37,D,2017-01-25 14:59:22,2017-01-24,PPL,Spence William H,"COB, Pres, CEO",S - Sale+OE,$34.57,"-67,533","43,405",-61%,"-$2,334,548",0,+1,+6,
38,D,2017-01-25 14:55:57,2017-01-24,PPL,Thompson Paul W,Pres of a PPL Subsidiary,S - Sale+OE,$34.36,"-6,521","6,454",-50%,"-$224,062",0,+1,+6,
39,D,2017-01-25 14:53:05,2017-01-24,PPL,Raphael Joanne H,"SVP, GC, Corp Sec",S - Sale+OE,$34.36,"-5,734","18,229",-24%,"-$197,020",0,+1,+6,
40,D,2017-01-25 14:37:43,2017-01-24,PPL,Staffieri Victor A,COB of a PPL Subsidiary,S - Sale+OE,$34.57,"-21,850",0,-100%,"-$755,311",0,+1,+6,
41,D,2017-01-25 14:35:22,2017-01-24,PPL,Dudkin Gregory N,Pres of a PPL Subsidiary,S - Sale+OE,$34.57,"-10,231","17,377",-37%,"-$353,665",0,+1,+6,
42,,2016-07-12 11:15:01,2016-07-11,PPL,Symons Robert A,Chief Exec of a PPL Subsidiary,S - Sale,$37.40,"-13,901",0,-100%,"-$519,870",-1,-1,-4,-7
43,,2016-07-12 11:11:05,2016-07-08,PPL,Bergstein Joseph P Jr,"VP-IR, Treasurer",S - Sale,$37.06,"-1,581","3,297",-32%,"-$58,592",-1,-1,-4,-7
44,D,2016-06-20 15:32:06,2016-06-16,PPL,Spence William H,"COB, Pres, CEO",S - Sale+OE,$38.79,"-156,224","43,331",-78%,"-$6,059,460",+2,-5,-5,-11
45,D,2016-06-20 14:42:57,2016-06-16,PPL,Dudkin Gregory N,Pres of a PPL Subsidiary,S - Sale+OE,$38.84,"-34,102","17,374",-66%,"-$1,324,522",+2,-5,-5,-11
46,,2016-06-20 12:43:26,2016-06-16,PPL,Sorgi Vincent,"SVP, CFO",S - Sale,$38.94,"-10,400","13,649",-43%,"-$405,006",+2,-5,-5,-11
47,D,2016-02-04 15:09:24,2016-02-03,PPL,Spence William H,"COB, Pres, CEO",S - Sale+OE,$37.00,"-63,445","73,309",-46%,"-$2,347,465",0,-1,-3,+3
48,,2016-01-27 13:22:44,2016-01-26,PPL,Staffieri Victor A,Pres of a PPL Subsidiary,S - Sale,$34.08,"-16,907",1,-100%,"-$576,106",0,+8,+7,+13
49,,2016-01-27 13:21:21,2016-01-26,PPL,Spence William H,"COB, Pres, CEO",S - Sale,$34.04,"-57,803","73,309",-44%,"-$1,967,788",0,+8,+7,+13
50,,2016-01-27 13:20:09,2016-01-26,PPL,Raphael Joanne H,"SVP, GC, Corp Sec",S - Sale,$33.91,"-6,068","18,845",-24%,"-$205,760",0,+8,+7,+13
51,D,2016-01-26 14:22:23,2016-01-25,PPL,Staffieri Victor A,Pres of a PPL Subsidiary,S - Sale+OE,$33.99,"-105,267","16,908",-86%,"-$3,578,446",0,+6,+6,+13
52,D,2016-01-26 14:15:08,2016-01-25,PPL,Raphael Joanne H,"SVP, GC, Corp Sec",S - Sale+OE,$33.98,"-5,825","24,913",-19%,"-$197,934",0,+6,+6,+13
53,D,2016-01-26 13:53:33,2016-01-25,PPL,Dudkin Gregory N,Pres of a PPL Subsidiary,S - Sale+OE,$33.98,"-8,007","17,374",-32%,"-$272,078",0,+6,+6,+13
54,D,2016-01-26 13:48:26,2016-01-25,PPL,Spence William H,"COB, Pres, CEO",S - Sale+OE,$33.99,"-64,298","131,112",-33%,"-$2,185,746",0,+6,+6,+13
55,D,2015-12-28 12:28:02,2015-12-23,PPL,Dudkin Gregory N,Pres of a PPL Subsidiary,S - Sale+OE,$34.00,"-121,557","10,128",-92%,"-$4,132,938",0,-2,-1,+9
56,,2015-09-22 15:36:23,2015-09-21,PPL,Symons Robert A,Chief Exec of a PPL Subsidiary,S - Sale,$31.13,"-9,686",0,-100%,"-$301,496",-1,+2,+9,+21
57,D,2015-08-24 08:17:50,2015-08-20,PPL,Wilten Mark F,"VP, Treas, Chief Risk Officer",S - Sale+OE,$33.75,"-21,855",34,-100%,"-$737,606",-5,-5,-4,+12
58,,2015-06-23 15:38:18,2015-06-22,PPL,Wilten Mark F,"VP, Treas, Chief Risk Officer",S - Sale,$30.87,"-1,526",980,-61%,"-$47,108",-2,-4,+1,+13
59,D,2015-02-04 13:50:06,2015-02-03,PPL,Gabbard Robert D,Pres of a PPL subsidiary,S - Sale+OE,$36.00,"-184,460","54,024",-77%,"-$6,640,929",-2,-3,-8,-11
60,,2015-01-29 10:49:24,2015-01-28,PPL,Grey Robert J,"EVP, GC, Sec.",S - Sale,$35.56,"-4,814","1,047",-82%,"-$171,186",+1,+1,-4,-10
61,,2015-01-29 10:47:20,2015-01-28,PPL,Staffieri Victor A,Pres of a PPL Subsidiary,S - Sale,$35.56,"-6,939",0,-100%,"-$246,751",+1,+1,-4,-10
62,,2015-01-29 10:45:37,2015-01-28,PPL,Farr Paul A,Pres of a PPL Subsidiary,S - Sale,$35.56,"-7,178","40,154",-15%,"-$255,250",+1,+1,-4,-10
63,DM,2015-01-28 15:41:23,2015-01-26,PPL,Staffieri Victor A,Pres of a PPL Subsidiary,S - Sale+OE,$35.55,"-141,039","6,939",-95%,"-$5,013,481",-1,+2,-4,-10
64,D,2015-01-28 15:30:21,2015-01-27,PPL,Grey Robert J,"EVP, GC, Sec.",S - Sale+OE,$35.56,"-12,683","5,861",-68%,"-$451,007",-1,+2,-4,-10
65,D,2015-01-28 15:27:28,2015-01-27,PPL,Farr Paul A,Pres of a PPL Subsidiary,S - Sale+OE,$35.72,"-22,914","47,332",-33%,"-$818,511",-1,+2,-4,-10
66,D,2015-01-22 14:48:42,2015-01-21,PPL,Dudkin Gregory N,Pres of a PPL Subsidiary,S - Sale+OE,$35.99,"-55,630",63,-100%,"-$2,002,124",-1,-1,-3,-12
67,D,2015-01-07 12:40:18,2015-01-05,PPL,Dudkin Gregory N,Pres of a PPL Subsidiary,S - Sale+OE,$35.81,"-28,840",63,-100%,"-$1,032,852",0,-2,+2,-11
68,D,2014-11-07 11:46:49,2014-11-05,PPL,Grey Robert J,"EVP, GC, Sec.",S - Sale+OE,$36.00,"-65,430","1,043",-98%,"-$2,355,480",+1,-1,-1,-4
69,,2014-11-07 08:15:20,2014-11-05,PPL,Gabbard Robert D,Pres of a PPL subsidiary,S - Sale,$36.01,"-11,704","40,079",-23%,"-$421,502",+1,-1,-1,-4
70,DM,2014-11-06 12:34:15,2014-11-04,PPL,Wilten Mark F,"VP-Treasurer, Chief Risk Offic",S - Sale+OE,$35.44,"-13,746",13,-100%,"-$487,189",-1,-1,-3,-5
71,,2014-09-17 13:32:49,2014-09-15,PPL,Farr Paul A,Pres of a PPL Subsidiary,S - Sale,$32.63,"-16,117","40,151",-29%,"-$525,898",0,-1,-3,+4
72,,2014-09-17 13:17:04,2014-09-15,PPL,Symons Robert A,Chief Exec of a PPL Subsidiary,S - Sale,$32.63,"-7,287",0,-100%,"-$237,782",0,-1,-3,+4
73,DM,2014-08-26 13:02:44,2014-08-22,PPL,Wilten Mark F,"VP-Finance, Treasurer",S - Sale+OE,$34.44,"-6,674",13,-100%,"-$229,873",-1,0,-3,+3
74,D,2014-08-22 13:19:21,2014-08-21,PPL,Wilten Mark F,"VP-Finance, Treasurer",S - Sale+OE,$34.44,"-3,472",13,-100%,"-$119,580",0,0,-2,+5
75,DM,2014-06-02 12:14:46,2014-05-29,PPL,Klingensmith Rick L,Pres of a PPL Subsidiary,S - Sale+OE,$34.92,"-53,053","23,141",-70%,"-$1,852,355",-1,0,+2,+3
76,D,2014-06-02 12:12:24,2014-05-30,PPL,Decampli David G,Pres of a PPL Subsidiary,S - Sale+OE,$34.99,"-39,793","47,189",-46%,"-$1,392,394",-1,0,+2,+3
77,D,2014-05-09 08:54:03,2014-05-07,PPL,Decampli David G,Pres of a PPL Subsidiary,S - Sale+OE,$34.50,"-20,813","47,189",-31%,"-$718,049",-1,-1,+2,+9
78,D,2014-05-09 08:48:23,2014-05-07,PPL,Klingensmith Rick L,Pres of a PPL Subsidiary,S - Sale+OE,$34.50,"-16,040","23,141",-41%,"-$553,380",-1,-1,+2,+9
79,D,2014-05-05 10:15:47,2014-05-01,PPL,Klingensmith Rick L,Pres of a PPL Subsidiary,S - Sale+OE,$34.08,"-50,350","23,141",-69%,"-$1,715,900",+2,-1,+4,+5
80,D,2014-05-05 10:05:38,2014-05-01,PPL,Decampli David G,Pres of a PPL Subsidiary,S - Sale+OE,$34.02,"-20,473","47,189",-30%,"-$696,398",+2,-1,+4,+5
81,,2014-05-05 10:01:48,2014-05-01,PPL,Spence William H,"COB, Pres, CEO",S - Sale,$33.61,"-21,857","18,844",-54%,"-$734,602",+2,-1,+4,+5
82,,2014-05-05 09:58:34,2014-05-01,PPL,Sorgi Vincent,"VP, Controller",S - Sale,$34.00,"-1,500","6,179",-20%,"-$51,000",+2,-1,+4,+5
83,D,2014-04-21 10:42:00,2014-04-17,PPL,Decampli David G,Pres of a PPL Subsidiary,S - Sale+OE,$33.49,"-20,474","47,189",-30%,"-$685,674",-1,+1,+1,+2
84,D,2014-04-16 10:47:56,2014-04-14,PPL,Staffieri Victor A,Pres of a PPL Subsidiary,S - Sale+OE,$32.75,"-73,360",0,-100%,"-$2,402,320",+1,0,+2,+3
85,D,2014-04-16 10:46:33,2014-04-14,PPL,Decampli David G,Pres of a PPL Subsidiary,S - Sale+OE,$32.63,"-20,813","47,189",-31%,"-$679,170",+1,0,+2,+3
86,,2014-04-01 13:15:47,2014-03-31,PPL,Dudkin Gregory N,Pres of a PPL Subsidiary,S - Sale,$32.92,"-8,719",60,-99%,"-$287,064",-1,-1,+1,+2
87,,2014-04-01 13:11:17,2014-03-31,PPL,Sorgi Vincent,"VP, Controller",S - Sale,$33.00,"-1,500","7,678",-16%,"-$49,500",-1,-1,+1,+2
88,DM,2014-04-01 12:57:12,2014-03-28,PPL,Decampli David G,Pres of a PPL Subsidiary,S - Sale+OE,$33.02,"-20,473","47,183",-30%,"-$675,955",-1,-1,+1,+2
89,DM,2014-02-25 12:56:05,2014-02-21,PPL,Grey Robert J,"EVP, GC, Sec.",S - Sale+OE,$32.06,"-66,100",906,-99%,"-$2,119,224",0,+1,+3,+10
90,D,2014-02-13 08:58:15,2014-02-11,PPL,Staffieri Victor A,Pres of a PPL Subsidiary,S - Sale+OE,$31.06,"-45,350",0,-100%,"-$1,408,707",+1,+2,+7,+10
91,DM,2014-01-30 10:36:14,2014-01-28,PPL,Staffieri Victor A,Pres of a PPL Subsidiary,S - Sale+OE,$30.05,"-56,105",0,-100%,"-$1,685,882",+1,0,+7,+13
92,,2014-01-29 15:33:21,2014-01-28,PPL,Spence William H,"COB, Pres, CEO",S - Sale,$29.84,"-12,039","40,678",-23%,"-$359,220",0,+1,+6,+15
93,,2014-01-29 15:31:45,2014-01-28,PPL,Farr Paul A,"EVP, CFO",S - Sale,$29.84,"-25,424","56,264",-31%,"-$758,576",0,+1,+6,+15
94,,2014-01-29 15:30:01,2014-01-28,PPL,Klingensmith Rick L,Pres of a PPL Subsidiary,S - Sale,$29.84,"-7,586","23,140",-25%,"-$226,374",0,+1,+6,+15
95,,2014-01-29 15:28:40,2014-01-28,PPL,Decampli David G,Pres of a PPL Subsidiary,S - Sale,$29.84,"-8,765","47,183",-16%,"-$261,530",0,+1,+6,+15
96,,2014-01-29 15:25:49,2014-01-28,PPL,Grey Robert J,"EVP, GC, Sec.",S - Sale,$29.84,"-14,631",906,-94%,"-$436,574",0,+1,+6,+15
97,,2013-10-09 09:12:14,2013-10-07,PPL,Farr Paul A,"EVP, CFO",S - Sale,$30.02,"-3,568","56,263",-6%,"-$107,095",0,-2,+2,+13
98,,2013-08-07 15:52:21,2013-08-06,PPL,Farr Paul A,"EVP, CFO",S - Sale,$31.96,"-3,097","59,829",-5%,"-$98,980",+1,-1,-4,-3
99,D,2013-04-29 16:01:18,2013-04-26,PPL,Spence William H,"COB, Pres, CEO",S - Sale+OE,$33.00,"-209,930","18,749",-92%,"-$6,927,690",0,-2,-10,-6
100,D,2013-04-24 08:28:26,2013-04-22,PPL,Gabbard Robert D,Pres of a PPL subsidiary,S - Sale+OE,$32.42,"-42,000","40,074",-51%,"-$1,361,518",0,+2,-4,-5
101,D,2013-04-24 08:22:32,2013-04-22,PPL,Spence William H,"COB, Pres, CEO",S - Sale+OE,$32.43,"-126,655","18,749",-87%,"-$4,107,865",0,+2,-4,-5
102,D,2013-04-16 16:00:51,2013-04-15,PPL,Grey Robert J,"EVP, GC, Sec.",S - Sale+OE,$31.71,"-63,760",892,-99%,"-$2,022,136",0,+2,0,-2
103,D,2013-04-15 16:00:36,2013-04-12,PPL,Klingensmith Rick L,Pres of a PPL Subsidiary,S - Sale+OE,$32.00,"-47,750","19,521",-71%,"-$1,528,025",+1,+3,+1,-1
104,D,2013-04-10 08:29:48,2013-04-08,PPL,Staffieri Victor A,Pres of a PPL Subsidiary,S - Sale+OE,$31.37,"-45,350",0,-100%,"-$1,422,534",+1,+1,+2,-2
105,D,2013-04-01 15:42:45,2013-03-28,PPL,Farr Paul A,"EVP, CFO",S - Sale+OE,$31.02,"-33,980","62,660",-35%,"-$1,053,985",0,0,+6,0
106,,2013-03-26 16:20:09,2013-03-25,PPL,Farr Paul A,"EVP, CFO",S - Sale,$30.15,"-6,200","62,660",-9%,"-$186,926",+1,+2,+7,+3
107,,2013-03-25 13:42:54,2013-03-22,PPL,Dudkin Gregory N,Pres of a PPL Subsidiary,S - Sale,$30.16,"-3,358",58,-98%,"-$101,277",0,+4,+9,+3
108,D,2013-03-06 12:12:24,2013-03-04,PPL,Gabbard Robert D,Pres of a PPL subsidiary,S - Sale+OE,$31.00,"-28,734","45,196",-39%,"-$890,840",-1,-2,+1,0
109,,2013-02-04 10:29:42,2013-01-31,PPL,Decampli David G,Pres of a PPL Subsidiary,S - Sale,$30.00,"-10,335","42,929",-19%,"-$310,058",-1,0,+3,+8
110,D,2013-01-29 16:22:18,2013-01-28,PPL,Staffieri Victor A,Pres of a PPL Subsidiary,S - Sale+OE,$29.47,"-46,843",0,-100%,"-$1,380,252",0,+1,+3,+9
111,D,2013-01-23 14:15:06,2013-01-22,PPL,Grey Robert J,"EVP, GC, Sec.",S - Sale+OE,$29.33,"-6,629",861,-89%,"-$194,446",-1,+1,+3,+9
112,D,2013-01-23 13:56:23,2013-01-22,PPL,Farr Paul A,"EVP, CFO",S - Sale+OE,$29.32,"-11,600","68,843",-14%,"-$340,115",-1,+1,+3,+9
113,,2012-12-12 15:30:30,2012-12-11,PPL,Farr Paul A,"EVP, CFO",S - Sale,$29.00,"-5,000","68,563",-7%,"-$145,000",0,+2,0,+2
114,D,2012-12-04 13:09:43,2012-12-03,PPL,Staffieri Victor A,Pres of a PPL Subsidiary,S - Sale+OE,$29.14,"-44,800",0,-100%,"-$1,305,423",0,+1,+2,+4
115,D,2012-10-19 12:57:38,2012-10-18,PPL,Klingensmith Rick L,Pres of a PPL Subsidiary,S - Sale+OE,$30.00,"-45,320","14,421",-76%,"-$1,359,600",-1,-2,-6,+11
116,D,2012-09-12 09:26:03,2012-09-10,PPL,Staffieri Victor A,Pres of a PPL Subsidiary,S - Sale+OE,$29.22,"-46,843",0,-100%,"-$1,368,752",0,0,+1,+8
117,D,2012-07-30 14:29:37,2012-07-26,PPL,Klingensmith Rick L,Pres of a PPL Subsidiary,S - Sale+OE,$28.80,"-34,680","14,420",-71%,"-$998,853",0,-2,0,+5
