,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-03-18 14:45:08,2021-03-17,PRGO,Parker Geoffrey M.,Dir,P - Purchase,$41.29,"+2,500","16,591",+18%,"+$103,218",,,,
2,,2021-03-11 15:57:17,2021-03-10,PRGO,Janish Ronald Craig,"EVP, Gbl Ops, SC, CTO",S - Sale,$41.23,"-2,662","16,304",-14%,"-$109,766",,,,
3,,2021-01-07 12:31:59,2021-01-06,PRGO,Sorota Richard S,"EVP, Pres CSCA",P - Purchase,$43.48,"+7,513","7,513",New,"+$326,665",,,,
4,,2020-11-10 14:18:32,2020-11-09,PRGO,Classon Rolf A,Dir,P - Purchase,$46.75,"+2,137","10,870",+24%,"+$99,898",,,,
5,,2020-11-10 11:48:19,2020-11-09,PRGO,Samuels Theodore R. II,Dir,P - Purchase,$46.91,"+4,500","32,408",+16%,"+$211,112",,,,
6,,2020-08-11 10:58:27,2020-08-11,PRGO,Andersen Svend,"EVP, Pres CHCI",P - Purchase,$53.01,"+2,828","18,230",+18%,"+$149,910",,,,
7,,2020-05-11 17:05:16,2020-05-07,PRGO,Farrington Thomas,"EVP, CIO",S - Sale,$52.13,"-2,000","15,611",-11%,"-$104,254",,,,
8,,2020-05-11 16:36:57,2020-05-07,PRGO,Janish Ronald Craig,"EVP, Global Op., Supply Chain",S - Sale,$51.90,"-2,595","13,115",-17%,"-$134,671",,,,
9,,2020-03-17 19:04:41,2020-03-13,PRGO,Samuels Theodore R. II,Dir,P - Purchase,$42.50,"+2,000","21,854",+10%,"+$85,000",,,,
10,,2019-12-23 13:31:20,2019-12-20,PRGO,Kingma Todd W,"EVP, GC",S - Sale,$54.91,"-2,300","31,984",-7%,"-$126,293",,,,
11,,2019-11-13 13:33:59,2019-11-11,PRGO,Quinn Grainne,"EVP, Chief Medical Officer",S - Sale,$49.08,"-2,050","3,047",-40%,"-$100,614",,,,
12,,2019-11-12 11:43:53,2019-11-08,PRGO,Janish Ronald Craig,"EVP, Global Op., Supply Chain",S - Sale,$49.90,"-2,424","10,481",-19%,"-$120,967",,,,
13,,2019-08-23 16:15:02,2019-08-22,PRGO,Winowiecki Ronald,CFO,S - Sale,$48.03,-826,"6,952",-11%,"-$39,674",,,,
14,,2019-08-13 12:08:33,2019-08-09,PRGO,Samuels Theodore R. II,Dir,P - Purchase,$46.97,"+4,000","19,854",+25%,"+$187,893",,,,
15,,2018-11-14 09:47:28,2018-11-13,PRGO,Samuels Theodore R. II,Dir,P - Purchase,$65.40,"+3,500","11,883",+42%,"+$228,902",,,,
