,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-13 14:19:24,2021-10-08,PRU,Lowrey Charles F,CEO,S - Sale+OE,$110.00,"-37,011","96,009",-28%,"-$4,071,210",,,,
2,D,2021-08-24 17:45:57,2021-08-24,PRU,Schmidt Timothy L,SVP,S - Sale+OE,$104.91,"-6,579","16,744",-28%,"-$690,203",,,,
3,D,2021-03-24 19:12:45,2021-03-22,PRU,Tanji Kenneth,"EVP, CFO",S - Sale+OE,$90.94,"-29,285","24,678",-54%,"-$2,663,056",,,,
4,,2021-03-09 13:44:23,2021-03-08,PRU,Schmidt Timothy L,SVP,S - Sale,$94.11,"-5,000","16,740",-23%,"-$470,550",,,,
5,,2021-03-09 13:36:29,2021-03-05,PRU,Silitch Nicholas C,SVP,S - Sale,$90.62,"-8,200","11,739",-41%,"-$743,084",,,,
6,,2021-02-10 11:18:28,2021-02-09,PRU,Jones Wendy Elizabeth,Dir,P - Purchase,$80.98,"+1,000","1,000",New,"+$80,980",,,,
7,,2020-12-08 16:47:48,2020-12-04,PRU,Goodman Stacey,EVP,P - Purchase,$81.29,+280,547,+105%,"+$22,761",,,,
8,D,2020-11-12 18:12:04,2020-11-10,PRU,Tanji Kenneth,"EVP, CFO",S - Sale+OE,$75.00,"-9,600","22,261",-30%,"-$720,000",,,,
9,D,2020-11-12 18:08:02,2020-11-10,PRU,Sleyster Scott,EVP,S - Sale+OE,$74.69,"-13,334","59,196",-18%,"-$995,894",,,,
10,,2020-11-12 18:02:08,2020-11-11,PRU,Schmidt Timothy L,SVP,S - Sale,$73.56,"-5,000","17,690",-22%,"-$367,800",,,,
11,D,2020-09-08 15:42:14,2020-09-03,PRU,Schmidt Timothy L,SVP,S - Sale+OE,$69.54,"-5,334","22,687",-19%,"-$370,926",,,,
12,,2020-08-13 12:14:25,2020-08-11,PRU,Todman Michael,Dir,P - Purchase,$71.08,"+2,500","2,950",+556%,"+$177,700",,,,
13,,2020-02-26 13:41:01,2020-02-24,PRU,Silitch Nicholas C,SVP,S - Sale,$88.17,"-8,200","12,000",-41%,"-$722,994",,,,
