,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-16 17:51:11,2021-09-14,PWR,Fried Bernard,Dir,S - Sale+OE,$115.79,"-10,000","32,163",-24%,"-$1,157,928",,,,
2,,2021-09-10 17:02:44,2021-09-08,PWR,Conaway John Michal,Former Director,S - Sale,$116.15,"-1,000","6,227",-14%,"-$116,150",,,,
3,,2021-09-03 17:44:22,2021-09-02,PWR,Upperman Dorothy,VP Tax,S - Sale,$110.75,-55,"10,535",-1%,"-$6,091",,,,
4,,2021-06-21 17:35:09,2021-06-17,PWR,Conaway John Michal,Former Director,S - Sale,$89.57,"-3,500","7,226",-33%,"-$313,495",,,,
5,,2021-05-12 19:04:50,2021-05-10,PWR,Grindstaff Nicholas M,"VP - Finance, Treasurer",S - Sale,$101.22,"-8,454","31,868",-21%,"-$855,714",,,,
6,,2021-03-29 18:07:11,2021-03-29,PWR,Gregory Paul Craig,"CSO, Division Pres",S - Sale,$86.56,"-7,570","120,834",-6%,"-$655,259",,,,
7,,2021-03-29 18:06:33,2021-03-29,PWR,Wayne Donald,"EVP, GC",S - Sale,$86.56,"-1,817","57,885",-3%,"-$157,280",,,,
8,,2021-03-29 18:06:14,2021-03-29,PWR,Upperman Dorothy,VP Tax,S - Sale,$86.56,-738,"10,624",-6%,"-$63,881",,,,
9,D,2021-03-23 18:06:29,2021-03-19,PWR,Wood Patrick III,Dir,S - Sale+OE,$85.21,"-5,000","10,612",-32%,"-$426,050",,,,
10,,2021-03-16 19:19:22,2021-03-12,PWR,Lemon Jerry K,Chief Accounting Officer,S - Sale,$88.09,"-5,592","11,880",-32%,"-$492,599",,,,
11,,2021-03-16 19:18:18,2021-03-15,PWR,Upperman Dorothy,VP Tax,S - Sale,$88.18,"-2,277","10,505",-18%,"-$200,786",,,,
12,D,2021-03-09 20:01:42,2021-03-08,PWR,Conaway John Michal,Dir,S - Sale+OE,$84.44,"-15,000","8,512",-64%,"-$1,266,525",,,,
13,,2021-03-05 18:59:04,2021-03-04,PWR,Wayne Donald,"EVP, GC",S - Sale,$82.25,"-14,715","55,745",-21%,"-$1,210,309",,,,
14,,2021-03-05 18:58:41,2021-03-05,PWR,Upperman Dorothy,VP Tax,S - Sale,$82.67,-65,"12,782",-1%,"-$5,374",,,,
15,,2021-03-05 18:57:45,2021-03-04,PWR,Gregory Paul Craig,"CSO, Pres-Pipeline, Ind",S - Sale,$81.10,"-52,544","118,890",-31%,"-$4,261,234",,,,
16,,2021-03-05 18:56:42,2021-03-04,PWR,Jensen Derrick A,CFO,S - Sale,$80.99,"-36,750","312,197",-11%,"-$2,976,383",,,,
17,,2021-03-02 19:04:42,2021-03-02,PWR,Gregory Paul Craig,"CSO, Pres-Pipeline, Ind",S - Sale,$85.35,"-12,597","118,890",-10%,"-$1,075,154",,,,
18,,2021-03-02 19:04:21,2021-03-02,PWR,Wayne Donald,"EVP, GC",S - Sale,$85.35,"-3,257","44,961",-7%,"-$277,985",,,,
19,,2021-03-02 19:03:05,2021-03-02,PWR,Upperman Dorothy,VP Tax,S - Sale,$85.35,"-1,008","10,610",-9%,"-$86,033",,,,
20,D,2020-11-10 17:30:42,2020-11-06,PWR,Jackman Worthing F,Dir,S - Sale+OE,$65.57,"-17,405","8,093",-68%,"-$1,141,180",,,,
21,D,2020-11-04 17:15:57,2020-11-02,PWR,Fried Bernard,Dir,S - Sale+OE,$64.32,"-10,000","37,738",-21%,"-$643,223",,,,
22,,2020-11-04 17:15:37,2020-11-02,PWR,Gregory Paul Craig,"CSO, Pres-Pipeline, Ind",S - Sale,$63.96,"-96,493","151,556",-39%,"-$6,171,986",,,,
23,,2020-11-04 17:15:16,2020-11-02,PWR,Austin Earl C. Jr.,"Pres, CEO, COO",S - Sale,$63.71,"-150,000","629,328",-19%,"-$9,556,382",,,,
24,,2020-11-04 17:14:52,2020-11-02,PWR,Lemon Jerry K,Chief Accounting Officer,S - Sale,$64.35,"-4,000","13,100",-23%,"-$257,400",,,,
25,,2020-11-04 17:14:35,2020-11-02,PWR,Grindstaff Nicholas M,"VP - Finance, Treasurer",S - Sale,$64.53,"-8,256","38,790",-18%,"-$532,756",,,,
26,,2020-11-04 17:14:19,2020-11-02,PWR,Probst James Redgie,Pres - Electric Power Div,S - Sale,$64.04,"-118,780","74,308",-62%,"-$7,606,814",,,,
27,,2020-11-04 17:13:57,2020-11-02,PWR,Wayne Donald,"EVP, GC",S - Sale,$62.84,"-11,200","51,905",-18%,"-$703,807",,,,
28,D,2020-08-24 18:26:19,2020-07-20,PWR,Conaway John Michal,Dir,P - Purchase,$40.53,+10,"23,512",0%,+$405,,,,
29,,2020-06-08 20:09:36,2020-06-05,PWR,Upperman Dorothy,VP Tax,S - Sale,$42.00,"-5,617","12,041",-32%,"-$235,914",,,,
