,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-03-18 16:27:36,2021-03-17,PXD,Grillot Larry R.,Dir,S - Sale,$166.13,-500,"11,223",-4%,"-$83,067",,,,
2,,2021-03-18 16:20:08,2021-03-17,PXD,Hall Jerome D Jr,"EVP, Operations",S - Sale,$163.35,"-3,000","50,333",-6%,"-$490,050",,,,
3,,2021-03-15 16:09:52,2021-03-12,PXD,Thompson J Kenneth,Dir,S - Sale,$165.76,"-1,500","17,744",-8%,"-$248,645",,,,
4,D,2021-03-09 17:45:13,2021-03-05,PXD,Sheffield Scott D,CEO,S - Sale+OE,$162.73,"-29,882","614,566",-5%,"-$4,862,716",,,,
5,D,2021-03-09 17:35:40,2021-03-05,PXD,Dealy Richard P,"Pres, COO",S - Sale+OE,$163.25,"-9,890","269,283",-4%,"-$1,614,488",,,,
6,,2021-03-09 17:28:39,2021-03-08,PXD,Hall Jerome D Jr,"EVP, Operations",S - Sale,$163.08,"-3,600","53,333",-6%,"-$587,088",,,,
7,,2021-03-09 17:25:10,2021-03-08,PXD,Cheatwood Chris J,"EVP, Advisor to the Management",S - Sale,$164.88,"-6,200","48,315",-11%,"-$1,022,281",,,,
8,DM,2021-03-09 17:18:58,2021-03-05,PXD,Berg Mark Stephen,"EVP, Corporate Operations",S - Sale+OE,$164.49,"-6,863","92,835",-7%,"-$1,128,893",,,,
9,,2021-03-09 17:09:10,2021-03-05,PXD,Buchanan Edison C,Dir,S - Sale,$165.00,"-3,000","27,044",-10%,"-$495,000",,,,
10,,2021-03-05 16:50:14,2021-03-03,PXD,Gallagher Matthew,Dir,S - Sale,$155.18,"-115,500","158,829",-42%,"-$17,923,499",,,,
11,,2021-03-05 16:31:32,2021-03-04,PXD,Montemayor Margaret,"VP, CAO",S - Sale,$157.93,"-3,353","7,380",-31%,"-$529,529",,,,
12,,2021-03-05 16:24:40,2021-03-03,PXD,McDonald Elizabeth Anne,"SVP, Strategic Planning, Field",S - Sale,$156.12,"-3,590","7,788",-32%,"-$560,453",,,,
13,,2020-12-18 08:40:04,2020-12-17,PXD,Grillot Larry R.,Dir,S - Sale,$114.24,-500,"11,723",-4%,"-$57,118",,,,
14,D,2020-12-16 17:02:34,2020-12-15,PXD,Cheatwood Chris J,"EVP, Field Development, Emerg",S - Sale+OE,$116.29,"-6,728","43,048",-14%,"-$782,422",,,,
15,,2020-12-09 16:16:53,2020-12-07,PXD,Hall Jerome D Jr,"EVP, Operations",S - Sale,$111.25,"-1,000","44,150",-2%,"-$111,250",,,,
16,D,2020-11-30 18:55:02,2020-11-25,PXD,Berg Mark Stephen,"EVP, Corporate Operations",S - Sale+OE,$110.05,"-5,607","81,133",-6%,"-$617,059",,,,
17,,2020-06-09 17:49:30,2020-06-08,PXD,Kuiper Craig A.,"VP, Production Operations",S - Sale,$113.09,"-4,362","14,099",-24%,"-$493,299",,,,
18,,2020-06-09 17:49:23,2020-06-08,PXD,Cheatwood Chris J,"EVP, Field Development, Emerg",S - Sale,$115.66,"-7,000","43,661",-14%,"-$809,620",,,,
19,,2020-06-09 17:49:17,2020-06-05,PXD,Stewart Stephanie D,"VP, CIO",S - Sale,$110.13,-600,"16,224",-4%,"-$66,076",,,,
20,,2020-06-09 17:49:11,2020-06-05,PXD,Paulsen Christopher M.,"VP, Business Development",S - Sale,$109.71,-900,"10,197",-8%,"-$98,735",,,,
21,,2020-06-09 17:42:36,2020-06-05,PXD,Montemayor Margaret,"VP, CAO",S - Sale,$109.92,"-1,628","8,201",-17%,"-$178,950",,,,
22,,2020-06-09 17:42:30,2020-06-05,PXD,Black Bonnie S.,"VP, Drilling",S - Sale,$110.54,"-2,400","7,853",-23%,"-$265,303",,,,
23,M,2020-06-09 17:42:23,2020-06-05,PXD,Berg Mark Stephen,"EVP, Corporate Operations",S - Sale,$111.93,"-3,700","81,133",-4%,"-$414,146",,,,
24,,2020-06-09 17:42:11,2020-06-05,PXD,Hall Jerome D Jr,"EVP, Operations",S - Sale,$109.16,"-2,500","45,150",-5%,"-$272,905",,,,
