,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-05 16:29:35,2021-10-04,QCOM,Rosenberg Donald J,GC,S - Sale+OE,$126.45,"-11,457","15,666",-42%,"-$1,448,677",,,,
2,D,2021-10-05 16:21:51,2021-10-04,QCOM,Rogers Alexander H,"Pres QTL, Global Affairs",S - Sale+OE,$128.92,"-9,157","32,136",-22%,"-$1,180,520",,,,
3,,2021-08-02 17:34:29,2021-08-02,QCOM,Polek Erin L,"SVP, Controller, CAO",S - Sale,$150.00,-66,0,-100%,"-$9,900",,,,
4,,2021-06-16 16:01:05,2021-06-15,QCOM,Modoff Brian,"EVP, Strategy, M, A",S - Sale,$136.45,"-1,510","77,036",-2%,"-$206,033",,,,
5,D,2021-05-21 16:01:09,2021-05-21,QCOM,Polek Erin L,"SVP, Controller, CAO",S - Sale+OE,$132.00,"-1,835",0,-100%,"-$242,220",,,,
6,,2021-05-17 16:28:46,2021-05-14,QCOM,Modoff Brian,"EVP, Strategy, M, A",S - Sale,$129.32,"-1,510","78,546",-2%,"-$195,280",,,,
7,,2021-02-03 16:03:27,2021-02-02,QCOM,Polek Erin L,"SVP, Controller, CAO",S - Sale,$164.74,-44,0,-100%,"-$7,249",,,,
8,,2020-12-16 17:11:10,2020-12-16,QCOM,Amon Cristiano R,Pres,S - Sale,$148.72,"-73,220","50,753",-59%,"-$10,889,139",,,,
9,,2020-12-08 16:38:39,2020-12-08,QCOM,Rogers Alexander H,"EVP, Pres, QTL",S - Sale,$157.17,"-35,102","26,846",-57%,"-$5,517,041",,,,
10,,2020-12-08 16:38:03,2020-12-08,QCOM,Rosenberg Donald J,"EVP, GC",S - Sale,$157.70,"-49,362","12,946",-79%,"-$7,784,486",,,,
11,,2020-12-08 16:37:45,2020-12-07,QCOM,Modoff Brian,"EVP, Strategy, M, A",S - Sale,$158.31,"-20,301","79,942",-20%,"-$3,213,937",,,,
12,D,2020-11-24 16:53:21,2020-11-24,QCOM,Amon Cristiano R,Pres,S - Sale+OE,$143.65,"-19,606","50,753",-28%,"-$2,816,437",,,,
13,D,2020-11-24 16:50:51,2020-11-24,QCOM,Rosenberg Donald J,"EVP, GC",S - Sale+OE,$142.51,"-7,771","12,946",-38%,"-$1,107,473",,,,
14,D,2020-11-23 16:34:10,2020-11-23,QCOM,Rogers Alexander H,"EVP, Pres, QTL",S - Sale+OE,$142.48,"-5,526","18,071",-23%,"-$787,344",,,,
15,D,2020-11-23 16:33:54,2020-11-23,QCOM,Polek Erin L,"SVP, Chief Accounting Officer",S - Sale+OE,$142.48,"-3,455",0,-100%,"-$492,268",,,,
16,,2020-11-12 16:03:47,2020-11-10,QCOM,Henderson Jeffrey William,Dir,S - Sale,$141.10,"-6,000","1,214",-83%,"-$846,602",,,,
17,,2020-11-10 15:52:59,2020-11-06,QCOM,Randt Clark T. Jr.,Dir,S - Sale,$145.12,"-1,500","8,249",-15%,"-$217,673",,,,
18,,2020-10-15 19:03:29,2020-10-14,QCOM,Amon Cristiano R,Pres,S - Sale,$130.60,"-20,530","50,753",-29%,"-$2,681,222",,,,
19,D,2020-10-05 16:46:59,2020-10-02,QCOM,Rogers Alexander H,"EVP, Pres, QTL",S - Sale+OE,$116.78,"-8,491","16,689",-34%,"-$991,579",,,,
20,D,2020-10-05 16:46:52,2020-10-05,QCOM,Rosenberg Donald J,"EVP, GC",S - Sale+OE,$118.27,"-10,720","12,946",-45%,"-$1,267,849",,,,
21,,2020-08-04 16:29:30,2020-08-03,QCOM,Polek Erin L,"SVP, Chief Accounting Officer",S - Sale,$107.42,-54,0,-100%,"-$5,801",,,,
22,,2020-07-31 16:00:34,2020-07-30,QCOM,Palkhiwala Akash J.,"EVP, CFO",S - Sale,$102.42,"-3,925","17,790",-18%,"-$401,999",,,,
23,,2020-07-14 16:03:33,2020-07-13,QCOM,Mollenkopf Steven M,CEO,S - Sale,$93.66,"-219,131","477,240",-31%,"-$20,524,883",,,,
24,,2020-06-30 16:02:59,2020-06-29,QCOM,Rosenberg Donald J,"EVP, GC",S - Sale,$87.68,"-11,038","12,802",-46%,"-$967,856",,,,
25,,2020-06-10 16:13:55,2020-06-08,QCOM,Thompson James H,"EVP, Engineering QTI, CTO",S - Sale,$89.32,"-20,113","136,651",-13%,"-$1,796,411",,,,
26,,2020-05-22 16:05:03,2020-05-21,QCOM,Polek Erin L,"SVP, Chief Accounting Officer",S - Sale,$79.47,"-1,646",0,-100%,"-$130,808",,,,
27,,2020-02-20 16:46:19,2020-02-19,QCOM,Modoff Brian,"EVP, Strategy, M, A",S - Sale,$89.91,"-15,957","50,001",-24%,"-$1,434,694",,,,
28,,2020-02-13 16:16:08,2020-02-12,QCOM,Thompson James H,"EVP, Engineering QTI, CTO",S - Sale,$91.47,"-18,012","156,764",-10%,"-$1,647,610",,,,
29,,2020-02-04 16:24:58,2020-02-03,QCOM,Polek Erin L,"SVP, Chief Accounting Officer",S - Sale,$85.57,-39,0,-100%,"-$3,337",,,,
30,,2020-01-22 16:03:07,2020-01-21,QCOM,Rogers Alexander H,"EVP, Pres, QTL",S - Sale,$95.37,-735,"14,247",-5%,"-$70,097",,,,
31,,2020-01-21 16:20:50,2020-01-17,QCOM,Palkhiwala Akash J.,"EVP, CFO",S - Sale,$94.00,"-3,590","15,428",-19%,"-$337,460",,,,
32,,2020-01-08 15:59:46,2020-01-07,QCOM,Palkhiwala Akash J.,"EVP, CFO",S - Sale,$89.00,"-5,237","19,018",-22%,"-$466,093",,,,
33,,2019-12-11 17:00:48,2019-12-10,QCOM,Sterling Michelle M,"EVP, HR",S - Sale,$84.53,"-17,557","19,166",-48%,"-$1,484,128",,,,
