,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-05-05 14:17:14,2021-05-03,RE,Doucette John P,"Pres, CEO Reinsurance Div",S - Sale,$278.29,"-5,000","21,552",-19%,"-$1,391,449",,,,
2,,2021-02-16 15:26:22,2021-02-11,RE,Hartzband Meryl D,Dir,P - Purchase,$244.19,"+1,000","4,372",+30%,"+$244,190",,,,
3,,2020-11-06 15:19:44,2020-11-04,RE,Weber John A,Dir,S - Sale,$215.35,-500,"6,096",-8%,"-$107,677",,,,
4,,2020-08-21 14:25:58,2020-08-20,RE,Doucette John P,"Pres, CEO Reinsurance Div",S - Sale,$215.75,"-1,006","23,698",-4%,"-$217,048",,,,
5,,2020-08-18 16:19:02,2020-08-17,RE,Doucette John P,"Pres, CEO Reinsurance Div",S - Sale,$223.05,-994,"24,704",-4%,"-$221,707",,,,
6,,2020-08-13 15:13:57,2020-08-11,RE,Doucette John P,"Pres, CEO Reinsurance Div",S - Sale,$234.40,"-1,250","25,698",-5%,"-$293,005",,,,
7,,2020-06-03 14:49:28,2020-06-01,RE,Losquadro Geraldine,Dir,S - Sale,$198.54,-200,"10,640",-2%,"-$39,708",,,,
8,M,2020-05-13 17:11:19,2020-05-11,RE,Taranto Joseph V,Chairman,S - Sale,$173.53,"-31,000","309,181",-9%,"-$5,379,346",,,,
9,,2020-05-04 14:53:55,2020-05-01,RE,Losquadro Geraldine,Dir,S - Sale,$169.42,-200,"10,840",-2%,"-$33,884",,,,
10,,2020-03-10 15:55:45,2020-03-09,RE,Galtney William F Jr,Dir,P - Purchase,$236.49,"+1,500","71,199",+2%,"+$354,740",,,,
11,,2020-03-03 15:24:21,2020-03-02,RE,Losquadro Geraldine,Dir,S - Sale,$248.01,-200,"11,040",-2%,"-$49,602",,,,
12,,2020-03-03 15:21:44,2020-02-28,RE,Graf John A,Dir,P - Purchase,$245.00,"+1,000","11,743",+9%,"+$245,000",,,,
13,,2020-02-04 14:26:37,2020-02-03,RE,Losquadro Geraldine,Dir,S - Sale,$277.11,-200,"10,067",-2%,"-$55,422",,,,
14,M,2019-08-14 14:00:10,2019-08-12,RE,Doucette John P,"Pres, CEO Reinsurance Div",S - Sale,$251.98,"-5,000","19,747",-20%,"-$1,259,874",,,,
15,,2019-08-02 15:00:03,2019-08-02,RE,Hartzband Meryl D,Dir,P - Purchase,$242.31,+500,"1,354",+59%,"+$121,155",,,,
16,,2019-08-02 14:56:41,2019-08-01,RE,Graf John A,Dir,P - Purchase,$244.35,"+1,020","9,570",+12%,"+$249,234",,,,
