,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,M,2021-10-14 16:56:59,2021-10-12,REG,Stein Martin E Jr,Exec COB,S - Sale,$70.01,"-100,000","928,865",-10%,"-$7,001,326",,,,
2,,2021-09-08 16:34:13,2021-09-07,REG,Leavitt J Christian,Chief Accounting Officer,S - Sale,$68.88,"-1,000","21,110",-5%,"-$68,875",,,,
3,,2021-06-09 16:41:02,2021-06-08,REG,Thompson James D.,"EVP, COO",S - Sale,$67.86,"-15,000","24,577",-38%,"-$1,017,900",,,,
4,,2021-06-08 16:42:32,2021-06-08,REG,Wibbenmeyer Nicholas Andrew,Managing Director,S - Sale,$66.82,"-1,921","5,586",-26%,"-$128,360",,,,
5,,2021-06-08 16:38:30,2021-06-07,REG,Leavitt J Christian,Chief Accounting Officer,S - Sale,$66.71,"-1,600","22,110",-7%,"-$106,736",,,,
6,,2021-06-08 16:36:36,2021-06-08,REG,Roth Alan Todd,Managing Director,S - Sale,$67.60,"-3,000","9,117",-25%,"-$202,797",,,,
7,,2021-05-10 09:00:29,2021-05-07,REG,Thompson James D.,"EVP, COO",S - Sale,$66.00,"-7,500","39,577",-16%,"-$495,000",,,,
8,,2021-04-30 16:33:56,2021-04-29,REG,Thompson James D.,"EVP, COO",S - Sale,$64.00,"-7,500","47,077",-14%,"-$480,000",,,,
9,,2021-04-26 16:35:01,2021-04-22,REG,Thompson James D.,"EVP, COO",S - Sale,$62.00,"-7,500","54,577",-12%,"-$465,000",,,,
10,,2021-04-21 16:31:08,2021-04-20,REG,Thompson James D.,"EVP, COO",S - Sale,$60.00,"-7,500","62,077",-11%,"-$450,000",,,,
11,,2021-03-16 17:05:38,2021-03-16,REG,"Chandler, III Dan M.","EVP, CIO",S - Sale,$58.10,"-10,000","38,814",-20%,"-$581,000",,,,
12,,2021-02-26 16:46:57,2021-02-25,REG,Stein Martin E Jr,Exec COB,S - Sale,$55.00,"-100,000","1,057,865",-9%,"-$5,500,000",,,,
13,,2021-02-26 16:37:02,2021-02-25,REG,Palmer Lisa,"Pres, CEO",S - Sale,$55.00,"-14,645","55,758",-21%,"-$805,493",,,,
14,,2021-02-26 16:31:22,2021-02-25,REG,Thompson James D.,"EVP, COO",S - Sale,$56.05,"-12,000","69,577",-15%,"-$672,600",,,,
15,,2021-02-18 16:32:52,2021-02-17,REG,Stein Martin E Jr,Exec COB,S - Sale,$52.10,"-60,000","1,168,215",-5%,"-$3,126,000",,,,
16,,2020-11-25 16:07:44,2020-11-24,REG,Thompson James D.,"EVP, COO",S - Sale,$49.43,"-10,000","71,244",-12%,"-$494,310",,,,
17,,2020-11-24 16:13:06,2020-11-24,REG,Stein Martin E Jr,Exec COB,S - Sale,$50.00,"-100,000","1,200,959",-8%,"-$5,000,000",,,,
18,,2020-11-17 16:33:58,2020-11-16,REG,"Chandler, III Dan M.","EVP, CIO",S - Sale,$48.75,"-4,033","38,289",-10%,"-$196,609",,,,
19,,2020-11-10 16:35:11,2020-11-10,REG,Roth Alan Todd,Managing Director,S - Sale,$47.47,"-2,700","8,824",-23%,"-$128,169",,,,
20,,2020-08-06 16:29:54,2020-08-05,REG,Ramey H Craig,Managing Director,S - Sale,$41.52,"-1,750","17,560",-9%,"-$72,660",,,,
