,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-23 12:10:49,2021-08-19,RHI,Glass Robert W,EVP,S - Sale,$100.99,"-10,000","258,206",-4%,"-$1,009,938",,,,
2,,2021-03-01 16:35:03,2021-02-26,RHI,Gentzkow Paul F,"Pres, CEO Staffing",S - Sale,$78.56,"-100,000","287,600",-26%,"-$7,855,500",,,,
3,,2021-02-26 16:34:27,2021-02-24,RHI,Messmer Harold M Jr,Exec COB,S - Sale,$81.33,"-100,000","847,896",-11%,"-$8,133,200",,,,
4,,2020-11-17 15:51:27,2020-11-16,RHI,Glass Robert W,EVP,S - Sale,$65.59,"-10,227","264,784",-4%,"-$670,801",,,,
5,,2020-08-14 16:52:59,2020-08-14,RHI,Morial Marc,Dir,S - Sale,$55.93,"-3,575","24,622",-13%,"-$199,950",,,,
6,,2019-02-13 18:04:28,2019-02-13,RHI,Gentzkow Paul F,"Pres, COO",S - Sale,$66.17,"-75,000","352,476",-18%,"-$4,962,608",,,,
7,,2018-08-15 18:07:24,2018-08-15,RHI,Glass Robert W,EVP,S - Sale,$77.50,"-40,000","271,364",-13%,"-$3,100,020",,,,
8,,2018-05-11 13:12:00,2018-05-09,RHI,Richman Frederick A,Dir,S - Sale,$62.74,"-3,964","40,352",-9%,"-$248,701",,,,
9,,2018-05-11 13:11:41,2018-05-09,RHI,Buckley Michael C,EVP,S - Sale,$63.00,"-10,000","148,892",-6%,"-$629,969",,,,
10,,2018-05-02 17:19:41,2018-04-30,RHI,Messmer Harold M Jr,"COB, CEO",S - Sale,$61.07,"-100,000","978,711",-9%,"-$6,106,700",,,,
11,,2018-04-27 19:08:01,2018-04-27,RHI,Waddell M Keith,"Vice COB, Pres, CFO",S - Sale,$60.67,"-100,000","1,259,125",-7%,"-$6,067,430",,,,
12,,2018-02-16 16:25:28,2018-02-15,RHI,Glass Robert W,EVP,S - Sale,$56.21,"-12,000","298,844",-4%,"-$674,519",,,,
13,M,2018-02-06 16:23:50,2018-02-02,RHI,Gentzkow Paul F,"Pres, COO",S - Sale,$56.31,"-205,000","424,980",-33%,"-$11,543,788",,,,
14,,2017-11-20 15:37:26,2017-11-16,RHI,Glass Robert W,EVP,S - Sale,$54.93,"-5,000","321,428",-2%,"-$274,632",,,,
15,,2017-11-08 15:20:16,2017-11-06,RHI,Messmer Harold M Jr,"COB, CEO",S - Sale,$52.31,"-100,000","1,152,119",-8%,"-$5,231,290",,,,
16,,2017-04-27 18:09:16,2017-04-26,RHI,Glass Robert W,EVP,S - Sale,$47.35,"-22,237","326,428",-6%,"-$1,052,982",-1,0,,
17,,2016-08-11 16:04:07,2016-08-10,RHI,Glass Robert W,EVP,S - Sale,$36.93,"-30,061","340,972",-8%,"-$1,110,017",-1,0,0,+28
18,,2015-08-14 12:13:15,2015-08-12,RHI,Gentzkow Paul F,"Pres, COO",S - Sale,$55.98,"-151,250","603,935",-20%,"-$8,467,353",+1,-1,-9,-33
19,,2015-02-24 17:47:01,2015-02-20,RHI,Messmer Harold M Jr,"COB, CEO",S - Sale,$61.21,"-100,000","1,114,401",-8%,"-$6,120,790",0,0,-2,-14
20,,2015-02-13 13:47:27,2015-02-11,RHI,Waddell M Keith,"Vice COB, Pres, CFO",S - Sale,$60.60,"-300,000","1,306,759",-19%,"-$18,180,510",0,0,0,-7
21,,2014-11-14 16:46:29,2014-11-13,RHI,Glass Robert W,EVP,S - Sale,$57.19,"-11,899","366,013",-3%,"-$680,518",0,-1,0,+1
22,,2014-11-14 16:44:42,2014-11-12,RHI,Messmer Harold M Jr,"COB, CEO",S - Sale,$57.33,"-100,000","1,265,968",-7%,"-$5,732,660",0,-1,0,+1
23,,2014-10-29 18:34:39,2014-10-28,RHI,Buckley Michael C,EVP,S - Sale,$52.79,"-10,000","137,935",-7%,"-$527,910",+1,+3,+7,+5
24,,2014-08-14 17:38:45,2014-08-13,RHI,Glass Robert W,EVP,S - Sale,$49.38,"-4,028","377,912",-1%,"-$198,883",-2,+1,+2,+24
25,,2014-08-12 16:38:39,2014-08-08,RHI,Messmer Harold M Jr,"COB, CEO",S - Sale,$49.01,"-120,000","1,365,968",-8%,"-$5,880,936",+1,+1,+3,+25
