,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-05-27 15:52:09,2021-05-26,RJF,Santelli Jonathan N,"EVP, GC, Secy",S - Sale+OE,$133.03,"-2,272","3,524",-39%,"-$302,236",,,,
2,,2021-05-21 10:33:11,2021-05-20,RJF,Perry Jodi,"Pres, ICD for RJFS",S - Sale,$132.94,"-1,850","4,493",-29%,"-$245,939",,,,
3,,2021-05-11 17:06:13,2021-05-10,RJF,Raney Steven M,"Pres, CEO RJBank",S - Sale,$135.80,"-2,000","34,734",-5%,"-$271,598",,,,
4,,2021-04-09 16:48:52,2021-03-29,RJF,Allaire Bella Loykhter,EVP-RJA,S - Sale,$123.59,"-9,330","48,836",-16%,"-$1,153,095",,,,
5,,2021-03-15 09:45:00,2021-03-11,RJF,Curtis Scott A,"Pres, PCG",S - Sale,$118.09,"-10,000","90,509",-10%,"-$1,180,884",,,,
6,,2021-03-05 13:15:51,2021-03-03,RJF,Dowdle Jeffrey A,"COO, Head of Asset Mgmt.",S - Sale,$118.77,"-11,096","43,561",-20%,"-$1,317,863",,,,
7,,2021-03-04 13:27:52,2021-03-03,RJF,Perry Jodi,"Pres, ICD for RJFS",S - Sale,$119.50,"-1,264","6,326",-17%,"-$151,050",,,,
8,,2021-02-26 16:02:01,2021-02-24,RJF,Godbold Francis S,Vice COB,S - Sale,$121.52,"-25,042","136,299",-16%,"-$3,043,146",,,,
9,M,2021-02-26 10:15:12,2021-02-24,RJF,Reilly Paul C,"COB, CEO",S - Sale,$120.60,"-13,967","64,452",-18%,"-$1,684,436",,,,
10,,2021-02-23 12:36:23,2021-02-22,RJF,Allison Paul D,"Chair, Pres, CEO RJ Ltd.",S - Sale,$117.99,"-10,000","32,563",-23%,"-$1,179,875",,,,
11,M,2021-02-22 16:51:59,2021-02-18,RJF,James Thomas A,COB Emeritus,S - Sale,$116.61,"-220,000","13,312,791",-2%,"-$25,654,543",,,,
12,,2021-02-12 11:56:45,2021-02-11,RJF,James Thomas A,COB Emeritus,S - Sale,$112.94,"-48,018","13,532,791",0%,"-$5,423,311",,,,
13,M,2021-02-10 16:02:31,2021-02-08,RJF,James Thomas A,COB Emeritus,S - Sale,$110.79,"-201,982","13,580,809",-1%,"-$22,378,220",,,,
14,D,2021-02-02 12:27:49,2021-02-01,RJF,Allison Paul D,"Chair, Pres, CEO RJ Ltd.",S - Sale+OE,$100.95,"-7,000","42,563",-14%,"-$706,660",,,,
15,D,2020-12-17 10:57:36,2020-12-15,RJF,Raney Steven M,"Pres, CEO RJBank",S - Sale+OE,$93.64,"-3,224","37,017",-8%,"-$301,906",,,,
16,D,2020-12-16 13:17:39,2020-12-14,RJF,Reilly Paul C,"COB, CEO",S - Sale+OE,$92.84,"-13,816","86,952",-14%,"-$1,282,684",,,,
17,,2020-12-11 08:30:08,2020-12-09,RJF,Allaire Bella Loykhter,EVP-RJA,S - Sale,$92.23,"-5,313","57,381",-8%,"-$490,030",,,,
18,D,2020-12-07 17:06:47,2020-12-04,RJF,Catanese George,Chief Risk Officer,S - Sale+OE,$96.45,"-4,891","3,228",-60%,"-$471,731",,,,
19,D,2020-12-04 16:20:10,2020-12-03,RJF,Santelli Jonathan N,"EVP, GC, Secy",S - Sale+OE,$94.40,"-3,000","3,374",-47%,"-$283,212",,,,
20,DM,2020-12-04 14:58:02,2020-12-02,RJF,Reilly Paul C,"COB, CEO",S - Sale+OE,$94.51,"-40,412","86,952",-32%,"-$3,819,517",,,,
21,,2020-11-20 08:23:56,2020-11-18,RJF,Perry Jodi,"Pres, ICD for RJFS",S - Sale,$90.08,-659,"6,527",-9%,"-$59,363",,,,
22,,2020-11-19 08:36:33,2020-11-17,RJF,Dowdle Jeffrey A,"COO, Head of Asset Mgmt.",S - Sale,$88.29,"-9,200","44,614",-17%,"-$812,307",,,,
23,M,2020-11-12 08:56:58,2020-11-09,RJF,James Thomas A,COB Emeritus,S - Sale,$86.31,"-100,000","13,775,639",-1%,"-$8,630,791",,,,
