,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-10 08:00:20,2021-09-08,TAP,Vachon Louis,Dir,P - Purchase,$46.04,"+3,000","31,837",+10%,"+$138,120",,,,
2,D,2021-02-26 08:39:34,2021-02-24,TAP,Cox Simon,"Pres, CEO, Molson Coors Europe",S - Sale+OE,$46.62,"-10,653","41,438",-20%,"-$496,615",,,,
3,,2021-02-12 17:00:41,2021-02-12,TAP,Winnefeld James A Jr,Dir,P - Purchase,$44.49,"+1,000","7,442",+16%,"+$44,490",,,,
4,,2020-11-25 17:00:11,2020-11-24,TAP,Molson Andrew Thomas,Chairman of the Board,S - Sale,$47.12,"-3,238","13,740",-19%,"-$152,571",,,,
5,,2020-11-04 17:00:16,2020-11-04,TAP,Winnefeld James A Jr,Dir,P - Purchase,$36.90,"+1,000","6,442",+18%,"+$36,900",,,,
6,,2020-09-15 17:30:17,2020-09-14,TAP,Vachon Louis,Dir,P - Purchase,$35.28,"+3,000","26,467",+13%,"+$105,837",,,,
7,D,2020-03-06 17:00:16,2020-03-04,TAP,Coors Peter H,"Vice Chairman of the Board, 10%",S - Sale+OE,$51.22,"-67,079","14,503,405",0%,"-$3,435,786",,,,
8,D,2020-02-18 17:00:16,2020-02-14,TAP,Cox Simon,"Pres, CEO, Molson Coors Europe",S - Sale+OE,$54.98,"-8,991","34,154",-21%,"-$494,322",,,,
9,,2019-09-17 17:00:35,2019-09-13,TAP,Tabolt Brian,"VP,Controller, Chf Acct Off",S - Sale,$56.94,"-1,825","6,218",-23%,"-$103,916",,,,
10,D,2019-05-09 17:30:13,2019-05-07,TAP,Hunter Mark,"Pres, CEO",S - Sale+OE,$60.06,"-11,287","155,456",-7%,"-$677,897",,,,
11,D,2019-02-21 15:30:15,2019-02-19,TAP,Cox Simon,"Pres, CEO, Molson Coors Europe",S - Sale+OE,$60.69,"-9,497","27,241",-26%,"-$576,348",,,,
12,D,2018-12-04 17:40:58,2018-12-03,TAP,Anand Krishnan,Chief Growth Officer,S - Sale+OE,$64.75,"-2,595","47,351",-5%,"-$168,031",,,,
13,D,2018-11-05 17:00:38,2018-11-01,TAP,Anand Krishnan,Chief Growth Officer,S - Sale+OE,$64.81,"-2,595","47,351",-5%,"-$168,186",,,,
14,DM,2018-10-10 18:30:13,2018-06-01,TAP,Anand Krishnan,Chief Growth Officer,S - Sale+OE,$64.67,"-5,190","47,351",-10%,"-$335,611",,,,
15,D,2018-10-03 17:30:15,2018-10-01,TAP,Anand Krishnan,Chief Growth Officer,S - Sale+OE,$61.42,"-2,595","47,351",-5%,"-$159,385",,,,
16,D,2018-09-06 17:00:17,2018-09-04,TAP,Anand Krishnan,Chief Growth Officer,S - Sale+OE,$66.26,"-2,595","47,351",-5%,"-$171,944",,,,
17,D,2018-08-03 17:00:13,2018-08-01,TAP,Anand Krishnan,Chief Growth Officer,S - Sale+OE,$64.96,"-2,595","47,351",-5%,"-$168,576",,,,
18,D,2018-05-04 17:30:14,2018-05-03,TAP,Hunter Mark,"Pres, CEO",S - Sale+OE,$61.26,"-2,070","122,744",-2%,"-$126,800",,,,
19,D,2018-05-03 17:05:11,2018-05-01,TAP,Anand Krishnan,Chief Growth Officer,S - Sale+OE,$71.24,"-2,595","47,351",-5%,"-$184,861",,,,
20,D,2018-02-22 17:00:12,2018-02-20,TAP,Cox Simon,"Pres, CEO, Molson Coors Europe",S - Sale+OE,$80.68,-203,"20,139",-1%,"-$16,378",,,,
21,DM,2018-01-18 17:30:12,2018-01-16,TAP,Coors Peter H,"Chief Customer Relations Off, 10%",S - Sale+OE,$85.01,"-55,603","14,644,967",0%,"-$4,726,917",,,,
22,,2017-12-05 17:30:12,2017-12-01,TAP,Joubert Tracey,CFO,S - Sale,$79.15,"-1,000","22,839",-4%,"-$79,153",,,,
23,D,2017-08-07 17:00:12,2017-08-03,TAP,Hattersley Gavin,"Pres, CEO, MillerCoors LLC",S - Sale+OE,$91.90,"-17,215","82,002",-17%,"-$1,582,131",,,,
24,,2017-03-17 17:00:11,2017-03-16,TAP,Tabolt Brian,"VP,Controller, Chf Acct Off",S - Sale,$98.13,"-1,806","4,231",-30%,"-$177,223",0,-1,-3,
25,D,2017-02-23 17:26:59,2017-02-21,TAP,Cox Simon,"Pres, CEO, Molson Coors Europe",S - Sale+OE,$100.33,-433,"15,736",-3%,"-$43,444",+1,0,-2,
26,,2016-12-09 17:30:11,2016-12-07,TAP,Molson Geoffrey E.,Chairman of the Board,P - Purchase,$127.75,"+1,000","1,692",+145%,"+$127,750",0,-2,-3,
