,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-19 18:43:52,2021-08-18,RL,Joly Hubert,Dir,P - Purchase,$117.90,"+8,400","26,232",+47%,"+$990,360",,,,
2,,2021-05-27 16:09:00,2021-05-27,RL,Smith Andrew Howard,"EVP, Chief Commercial Officer",S - Sale,$125.00,"-6,212","65,895",-9%,"-$776,500",,,,
3,,2021-04-29 16:54:00,2021-04-27,RL,Nielsen Jane,"CFO, COO",S - Sale,$129.00,"-14,389","95,237",-13%,"-$1,856,181",,,,
4,,2021-04-14 18:15:47,2021-04-12,RL,Nielsen Jane,"CFO, COO",S - Sale,$127.69,"-10,627","109,626",-9%,"-$1,356,994",,,,
5,,2021-04-09 16:12:09,2021-04-07,RL,Smith Andrew Howard,"EVP, Chief Commercial Officer",S - Sale,$125.00,"-3,164","71,232",-4%,"-$395,500",,,,
6,A,2021-02-26 17:55:04,2021-02-24,RL,Louvet Patrice,"Pres, CEO",S - Sale,$120.00,"-29,026","180,995",-14%,"-$3,483,120",,,,
7,,2021-02-26 17:09:58,2021-02-25,RL,Smith Andrew Howard,"EVP, Chief Commercial Officer",S - Sale,$120.00,"-9,763","77,431",-11%,"-$1,171,560",,,,
8,,2021-02-26 16:38:14,2021-02-24,RL,Louvet Patrice,"Pres, CEO",S - Sale,$120.00,"-29,026","180,995",-14%,"-$3,483,120",,,,
9,,2021-01-14 20:07:35,2021-01-12,RL,Louvet Patrice,"Pres, CEO",S - Sale,$115.00,"-29,023","210,021",-12%,"-$3,337,645",,,,
10,,2021-01-08 18:50:57,2021-01-06,RL,Louvet Patrice,"Pres, CEO",S - Sale,$107.86,"-87,069","562,302",-13%,"-$9,391,564",,,,
11,,2020-12-11 18:44:59,2020-12-09,RL,Smith Andrew Howard,"EVP, Chief Commercial Officer",S - Sale,$100.00,"-12,327","87,194",-12%,"-$1,232,700",,,,
12,,2020-11-03 16:35:54,2020-10-30,RL,George Michael A,Dir,P - Purchase,$66.51,"+3,770","10,093",+60%,"+$250,743",,,,
13,,2019-12-13 16:30:21,2019-12-12,RL,"Lauren Family, L.L.C.",10%,S - Sale,$115.50,"-71,436","21,405",-77%,"-$8,251,080",,,,
14,,2019-12-02 17:00:48,2019-11-27,RL,"Lauren Family, L.L.C.",10%,S - Sale,$108.61,"-71,428","92,841",-43%,"-$7,757,574",,,,
15,M,2019-11-29 18:01:49,2019-06-10,RL,Smith Andrew Howard,"EVP, Chief Commercial Officer",S - Sale,$113.04,"-8,847","46,414",-16%,"-$1,000,028",,,,
16,,2019-11-15 16:30:27,2019-11-14,RL,"Lauren Family, L.L.C.",10%,S - Sale,$111.62,"-71,428","164,269",-30%,"-$7,972,670",,,,
17,,2019-11-08 16:25:45,2019-11-07,RL,Nielsen Jane,"COO, CFO",S - Sale,$113.84,"-10,000","57,512",-15%,"-$1,138,350",,,,
18,,2019-10-25 17:30:27,2019-10-24,RL,"Lauren Family, L.L.C.",10%,S - Sale,$96.00,"-71,428","235,697",-23%,"-$6,857,226",,,,
19,,2019-10-11 16:39:58,2019-10-10,RL,"Lauren Family, L.L.C.",10%,S - Sale,$90.48,"-71,428","307,125",-19%,"-$6,462,677",,,,
20,,2019-09-27 17:18:20,2019-09-26,RL,"Lauren Family, L.L.C.",10%,S - Sale,$92.95,"-71,428","378,553",-16%,"-$6,638,987",,,,
21,,2019-09-13 16:49:07,2019-09-12,RL,"Lauren Family, L.L.C.",10%,S - Sale,$99.74,"-107,142","449,981",-19%,"-$10,686,195",,,,
22,D,2019-08-16 17:44:57,2019-08-15,RL,"Lauren Family, L.L.C.",10%,S - Sale+OE,$85.06,"-35,714","557,123",-6%,"-$3,037,741",,,,
23,,2019-08-02 16:45:28,2019-08-01,RL,"Lauren Family, L.L.C.",10%,S - Sale,$101.65,"-71,428","92,833",-43%,"-$7,260,317",,,,
24,,2019-07-19 16:30:20,2019-07-17,RL,"Lauren Family, L.L.C.",10%,S - Sale,$111.02,"-71,428","164,261",-30%,"-$7,930,052",,,,
25,,2019-07-05 16:30:26,2019-07-03,RL,"Lauren Family, L.L.C.",10%,S - Sale,$110.01,"-71,428","235,689",-23%,"-$7,857,731",,,,
26,,2019-06-28 16:30:18,2019-06-27,RL,"Lauren Family, L.L.C.",10%,S - Sale,$112.96,"-71,428","307,117",-19%,"-$8,068,355",,,,
27,,2019-06-14 17:02:23,2019-06-13,RL,"Lauren Family, L.L.C.",10%,S - Sale,$112.22,"-71,428","378,545",-16%,"-$8,015,774",,,,
28,,2019-06-03 17:00:27,2019-05-30,RL,"Lauren Family, L.L.C.",10%,S - Sale,$105.23,"-71,428","449,973",-14%,"-$7,516,514",,,,
29,,2019-03-07 17:16:25,2019-03-05,RL,Brown Joyce F,Dir,S - Sale,$126.00,"-2,000","7,278",-22%,"-$252,000",,,,
30,,2019-02-13 17:03:05,2019-02-11,RL,Hermann Valerie,"Pres, Global Brands",S - Sale,$126.15,"-10,400","38,340",-21%,"-$1,311,960",,,,
31,,2018-08-10 16:06:46,2018-08-09,RL,George Michael A,Dir,P - Purchase,$137.72,"+1,815","2,897",+168%,"+$249,962",,,,
32,D,2018-06-13 17:03:28,2018-06-11,RL,Lauren David R.,"Vice Chair, Chief Innovation",S - Sale+OE,$142.94,"-1,764","17,860",-9%,"-$252,146",,,,
33,D,2018-06-13 16:54:38,2018-06-11,RL,Lauren Ralph,"Exec. Chair, Chief Creative, 10%",S - Sale+OE,$142.40,"-100,000","569,051",-15%,"-$14,240,392",,,,
34,,2017-11-06 16:18:12,2017-11-03,RL,Hermann Valerie,"Pres, Global Brands",S - Sale,$91.22,"-2,400","35,028",-6%,"-$218,928",,,,
35,D,2016-06-17 18:15:18,2016-06-16,RL,Lauren David R.,"EVP, Advert., Mktg., Comm.",S - Sale+OE,$93.71,"-4,668","10,925",-30%,"-$437,438",+1,+2,+4,+8
36,,2016-06-14 19:29:10,2016-06-10,RL,Fleishman Joel Lawrence,Dir,S - Sale,$95.91,-811,"17,952",-4%,"-$77,786",+4,+5,+8,+20
37,DM,2016-03-07 18:45:38,2016-03-03,RL,Aronson Arnold H,Dir,S - Sale+OE,$97.04,"-2,389","7,626",-24%,"-$231,817",-2,0,-4,+6
38,D,2016-03-03 16:33:36,2016-03-01,RL,Aronson Arnold H,Dir,S - Sale+OE,$93.00,"-1,500","7,626",-16%,"-$139,500",+1,+1,+2,+10
39,D,2016-02-24 16:37:15,2016-02-22,RL,Aronson Arnold H,Dir,S - Sale+OE,$91.00,"-1,000","7,626",-12%,"-$91,000",+2,+4,+7,+21
40,D,2016-02-18 16:09:21,2016-02-16,RL,Aronson Arnold H,Dir,S - Sale+OE,$89.00,"-1,000","7,626",-12%,"-$89,000",-1,+1,+9,+24
41,D,2016-02-09 17:26:55,2016-02-05,RL,Alchin John R,Dir,S - Sale+OE,$88.53,"-1,389","15,194",-8%,"-$122,968",+1,+5,+16,+16
