,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-05 11:04:33,2021-10-04,ROK,Nardecchia Christopher,"SVP, CIO",S - Sale+OE,$292.07,-704,"7,363",-9%,"-$205,614",,,,
2,D,2021-08-30 18:28:13,2021-08-27,ROK,Fooks Elik I,SVP,S - Sale+OE,$321.68,"-2,900","7,565",-28%,"-$932,881",,,,
3,D,2021-08-06 10:14:05,2021-08-05,ROK,Riesterer Terry L.,"VP, Controller",S - Sale+OE,$311.28,"-2,500","1,521",-62%,"-$778,208",,,,
4,,2021-08-02 20:24:15,2021-07-30,ROK,Kulaszewicz Frank C,SVP,S - Sale,$304.20,"-2,764","16,626",-14%,"-$840,818",,,,
5,D,2021-07-21 19:25:15,2021-07-20,ROK,Nardecchia Christopher,"SVP, CIO",S - Sale+OE,$295.03,"-8,929","8,067",-53%,"-$2,634,283",,,,
6,D,2021-07-19 17:53:02,2021-07-16,ROK,Nardecchia Christopher,"SVP, CIO",S - Sale+OE,$295.44,"-2,171","8,067",-21%,"-$641,406",,,,
7,D,2021-07-07 17:16:51,2021-07-07,ROK,Nicolas Ernest,"SVP,Chief Supply Chain Officer",S - Sale+OE,$290.00,"-2,300","5,543",-29%,"-$667,000",,,,
8,,2021-07-07 16:23:17,2021-07-06,ROK,Wlodarczyk Francis,SVP,S - Sale,$284.34,-116,"8,056",-1%,"-$32,983",,,,
9,D,2021-06-14 18:14:10,2021-06-11,ROK,Nicolas Ernest,"SVP,Chief Supply Chain Officer",S - Sale+OE,$283.08,"-1,800","5,543",-25%,"-$509,541",,,,
10,,2021-06-09 17:56:11,2021-06-08,ROK,Nicolas Ernest,"SVP,Chief Supply Chain Officer",S - Sale,$276.29,-319,"5,543",-5%,"-$88,138",,,,
11,DM,2021-06-04 17:28:09,2021-06-03,ROK,Nicolas Ernest,"SVP,Chief Supply Chain Officer",S - Sale+OE,$275.21,-334,"5,862",-5%,"-$91,919",,,,
12,D,2021-06-02 16:14:30,2021-06-01,ROK,Wlodarczyk Francis,SVP,S - Sale+OE,$267.52,"-3,400","8,172",-29%,"-$909,583",,,,
13,D,2021-05-24 16:49:16,2021-05-20,ROK,Miller John M,"VP, Chief IP Counsel",S - Sale+OE,$257.76,-276,"5,145",-5%,"-$71,141",,,,
14,DM,2021-05-07 19:21:10,2021-05-05,ROK,House Rebecca W,"SVP, Chief People, Legal,Sec",S - Sale+OE,$267.78,"-8,332","6,201",-57%,"-$2,231,128",,,,
