,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-23 16:16:02,2021-08-17,ROL,Bimmerman Julie Korioth,"Interim CFO, Treasurer",P - Purchase,$37.85,+13,"38,168",0%,+$492,,,,
2,,2021-08-06 16:30:46,2021-08-04,ROL,Bimmerman Julie Korioth,"Interim CFO, Treasurer",P - Purchase,$38.99,+12,"38,155",0%,+$468,,,,
3,,2021-06-08 16:30:58,2021-06-07,ROL,Paul Edward Northen,"SVP, CFO, Treasurer",P - Purchase,$32.74,+2,"176,129",0%,+$65,,,,
4,,2020-02-13 16:55:14,2020-02-12,ROL,Wilson John F,"Pres, COO",S - Sale,$39.76,"-26,000","517,167",-5%,"-$1,033,760",,,,
5,,2020-01-16 17:00:22,2020-01-14,ROL,Paul Edward Northen,"SVP, CFO, Treasurer",P - Purchase,$35.05,+5,"96,519",0%,+$175,,,,
6,,2019-03-18 17:00:21,2019-03-15,ROL,Wilson John F,"Pres, COO",S - Sale,$40.84,"-30,000","518,419",-5%,"-$1,225,200",,,,
7,,2018-02-21 16:58:38,2018-02-20,ROL,Wilson John F,"Pres, COO",S - Sale,$50.09,"-20,000","353,026",-5%,"-$1,001,840",,,,
8,,2017-12-15 16:34:25,2017-12-13,ROL,Rollins Gary W,"Vice COB, CEO, 10%",P - Purchase,$45.84,"+2,180","110,253,278",0%,"+$99,931",,,,
9,,2017-08-28 17:00:18,2017-08-24,ROL,Wilson John F,"Pres, COO",S - Sale,$44.60,"-12,876","359,125",-3%,"-$574,282",,,,
10,,2017-05-09 17:00:15,2017-05-05,ROL,Luczynski Thomas E,Corporate Secretary,S - Sale,$39.88,"-6,000","150,896",-4%,"-$239,280",+1,,,
11,,2016-09-19 17:00:20,2016-09-15,ROL,Iarocci Eugene A,VP,S - Sale,$28.96,-17,"148,187",0%,-$491,0,0,-3,+28
12,,2016-06-09 17:00:25,2016-06-07,ROL,Iarocci Eugene A,VP,S - Sale,$28.82,"-5,000","148,026",-3%,"-$144,100",-1,-2,+2,+16
13,,2016-05-24 17:00:18,2016-05-24,ROL,Luczynski Thomas E,Corporate Secretary,S - Sale,$27.99,"-6,157","156,241",-4%,"-$172,334",-1,0,-1,+15
14,,2016-03-03 17:00:29,2016-03-02,ROL,Iarocci Eugene A,VP,S - Sale,$28.10,"-4,842","152,818",-3%,"-$136,036",0,-2,-4,-1
15,M,2015-06-17 17:10:23,2015-05-28,ROL,Iarocci Eugene A,VP,S - Sale,$25.18,"-10,000","170,419",-6%,"-$251,784",+1,-1,+6,-3
16,,2015-03-09 17:00:26,2015-03-05,ROL,Cynkus Harry J,CFO,S - Sale,$33.91,"-18,700","128,336",-13%,"-$634,087",-3,+2,+10,+26
17,,2014-12-05 17:00:34,2014-12-04,ROL,Iarocci Eugene A,VP,S - Sale,$32.50,"-5,000","116,657",-4%,"-$162,500",-1,-2,-4,+17
18,,2014-03-18 17:00:31,2014-03-14,ROL,Iarocci Eugene A,VP,S - Sale,$29.78,"-5,000","121,072",-4%,"-$148,884",-1,-1,-3,0
19,,2014-02-20 17:00:51,2014-02-19,ROL,Luczynski Thomas E,Corporate Secretary,S - Sale,$30.12,"-5,511","105,274",-5%,"-$165,980",0,0,+2,+1
20,,2014-02-19 17:00:13,2014-02-18,ROL,Cynkus Harry J,CFO,S - Sale,$29.96,"-22,211","160,921",-12%,"-$665,493",-1,-1,+1,0
21,,2013-12-05 17:00:20,2013-12-04,ROL,Wanzer Robert J,VP,S - Sale,$28.44,"-10,000","123,384",-7%,"-$284,424",0,+1,+4,+9
22,M,2013-01-22 17:00:42,2012-11-13,ROL,Iarocci Eugene A,VP,S - Sale,$22.31,"-15,000","101,615",-13%,"-$334,575",0,+2,+2,+15
