,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-02 17:02:28,2021-09-01,ROP,Johnson Robert D,Dir,S - Sale,$483.35,-500,"6,869",-7%,"-$241,674",,,,
2,,2021-06-17 16:16:37,2021-06-15,ROP,Wright Christopher,Dir,S - Sale,$460.79,-200,"53,372",0%,"-$92,158",,,,
3,,2021-06-11 14:58:15,2021-06-10,ROP,Wallman Richard F,Dir,P - Purchase,$453.25,"+2,000","59,008",+4%,"+$906,500",,,,
4,,2021-06-02 16:09:23,2021-06-01,ROP,Johnson Robert D,Dir,S - Sale,$454.30,-500,"6,537",-7%,"-$227,150",,,,
5,D,2021-05-07 14:11:36,2021-05-05,ROP,Conley Jason,"VP, Controller",S - Sale+OE,$450.00,"-5,000","29,443",-15%,"-$2,250,000",,,,
6,D,2021-05-07 14:07:13,2021-05-05,ROP,Stipancich John K,"EVP, GC, Secretary",S - Sale+OE,$450.00,"-3,500","34,462",-9%,"-$1,575,000",,,,
7,,2021-04-20 15:49:06,2021-04-19,ROP,Crisci Robert,"EVP, CFO",S - Sale,$422.83,"-6,000","36,388",-14%,"-$2,536,972",,,,
8,,2021-03-03 17:04:55,2021-03-01,ROP,Johnson Robert D,Dir,S - Sale,$379.73,-500,"7,037",-7%,"-$189,865",,,,
9,M,2021-01-27 16:17:23,2020-06-01,ROP,Johnson Robert D,Dir,S - Sale,$411.12,"-1,000","8,037",-11%,"-$411,115",,,,
10,,2020-12-02 16:16:57,2020-12-01,ROP,Johnson Robert D,Dir,S - Sale,$429.67,-500,"8,537",-6%,"-$214,835",,,,
11,D,2020-09-17 16:21:47,2020-09-15,ROP,Conley Jason,"VP, Controller",S - Sale+OE,$405.76,"-5,000","26,074",-16%,"-$2,028,811",,,,
12,D,2020-09-04 17:19:11,2020-09-02,ROP,Hunn Laurence Neil,"Pres, CEO",S - Sale+OE,$440.00,"-40,000","202,214",-17%,"-$17,600,000",,,,
13,D,2020-09-04 17:15:30,2020-09-02,ROP,Stipancich John K,"EVP, GC, Secretary",S - Sale+OE,$443.67,"-3,000","31,683",-9%,"-$1,331,004",,,,
14,D,2020-08-18 17:04:12,2020-08-14,ROP,Crisci Robert,"EVP, CFO",S - Sale+OE,$449.80,"-16,000","37,590",-30%,"-$7,196,807",,,,
15,,2020-06-04 16:23:01,2020-06-04,ROP,Brinkley Amy Woods,Dir,S - Sale,$401.65,"-1,440","11,940",-11%,"-$578,376",,,,
16,,2020-05-27 16:14:56,2020-05-26,ROP,Fort John F III,Dir,S - Sale,$372.43,"-4,540","14,340",-24%,"-$1,690,832",,,,
17,D,2020-05-18 16:41:37,2020-05-18,ROP,Stipancich John K,"EVP, GC, Secretary",S - Sale+OE,$370.00,"-4,000","34,044",-11%,"-$1,480,000",,,,
18,,2020-05-13 16:16:32,2020-05-13,ROP,Prezzano Wilbur J,Dir,S - Sale,$355.65,"-3,500","16,880",-17%,"-$1,244,768",,,,
19,D,2020-05-11 16:28:39,2020-05-08,ROP,Conley Jason,"VP, Controller",S - Sale+OE,$359.85,"-2,500","26,076",-9%,"-$899,630",,,,
20,,2020-03-18 16:27:58,2020-03-18,ROP,Wright Christopher,Dir,S - Sale,$268.12,"-3,000","53,524",-5%,"-$804,345",,,,
21,,2020-03-16 16:16:23,2020-03-13,ROP,Wright Christopher,Dir,S - Sale,$300.45,"-3,000","56,524",-5%,"-$901,350",,,,
22,,2020-03-03 16:44:19,2020-03-02,ROP,Johnson Robert D,Dir,S - Sale,$354.09,-500,"8,080",-6%,"-$177,045",,,,
