,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-07-06 13:42:38,2021-07-02,ROST,Kobayashi Michael K,"Pres, Ops., Technology",S - Sale,$125.13,-63,"82,618",0%,"-$7,883",,,,
2,,2021-06-01 18:17:35,2021-05-28,ROST,Balmuth Michael,Strategic Advisor,S - Sale,$126.04,"-49,377",768,-98%,"-$6,223,222",,,,
3,,2021-04-23 11:02:07,2021-04-21,ROST,Orban George,Dir,S - Sale,$126.69,"-3,250","5,589,307",0%,"-$411,728",,,,
4,,2021-04-16 12:25:37,2021-04-14,ROST,Orban George,Dir,S - Sale,$127.04,"-3,250","5,592,557",0%,"-$412,879",,,,
5,,2021-04-12 12:08:30,2021-04-08,ROST,Morrow Brian R.,"Pres, CMO dd's DISCOUNTS",S - Sale,$127.28,"-1,462","76,623",-2%,"-$186,083",,,,
6,,2021-04-09 15:29:39,2021-04-07,ROST,Orban George,Dir,S - Sale,$123.35,"-3,250","5,595,807",0%,"-$400,899",,,,
7,,2021-04-02 11:23:17,2021-03-31,ROST,Orban George,Dir,S - Sale,$120.17,"-3,250","5,599,057",0%,"-$390,559",,,,
8,,2021-04-02 11:23:06,2021-04-01,ROST,Kobayashi Michael K,"Pres, Ops., Technology",S - Sale,$121.35,-53,"82,630",0%,"-$6,432",,,,
9,,2021-03-30 13:27:46,2021-03-26,ROST,Orban George,Dir,S - Sale,$120.12,"-3,250","5,602,307",0%,"-$390,383",,,,
10,,2021-03-25 13:13:38,2021-03-23,ROST,Kobayashi Michael K,"Pres, Ops., Technology",S - Sale,$119.17,"-1,459","82,633",-2%,"-$173,866",,,,
11,,2021-03-25 13:09:31,2021-03-23,ROST,Hartshorn Michael J.,"Group Pres, COO",S - Sale,$119.22,"-2,625","116,575",-2%,"-$312,940",,,,
12,,2021-03-23 20:18:47,2021-03-19,ROST,Balmuth Michael,COB,S - Sale,$121.36,"-11,856","50,095",-19%,"-$1,438,894",,,,
13,,2021-03-23 20:18:21,2021-03-22,ROST,Rentler Barbara,CEO,S - Sale,$119.26,"-7,570","303,688",-2%,"-$902,785",,,,
14,,2021-03-18 16:03:26,2021-03-17,ROST,Orban George,Dir,S - Sale,$123.31,"-3,250","5,605,557",0%,"-$400,764",,,,
15,,2021-03-18 16:02:54,2021-03-17,ROST,Morrow Brian R.,"Pres, CMO dd's DISCOUNTS",S - Sale,$124.00,"-11,289","69,825",-14%,"-$1,399,836",,,,
16,,2021-03-18 16:02:41,2021-03-16,ROST,Kobayashi Michael K,"Pres, Ops., Technology",S - Sale,$123.39,"-10,160","75,885",-12%,"-$1,253,615",,,,
17,,2021-03-18 16:02:22,2021-03-16,ROST,Marquette Travis,"EVP, CFO",S - Sale,$124.20,"-1,749","68,571",-2%,"-$217,226",,,,
18,,2021-03-18 16:01:52,2021-03-16,ROST,Hartshorn Michael J.,"Group Pres, COO",S - Sale,$123.40,"-12,351","104,429",-11%,"-$1,524,152",,,,
19,,2021-03-16 18:42:04,2021-03-15,ROST,Rentler Barbara,CEO,S - Sale,$123.73,"-45,623","265,903",-15%,"-$5,644,934",,,,
20,,2021-03-16 18:41:58,2021-03-15,ROST,Kobayashi Michael K,"Pres, Ops., Technology",S - Sale,$123.49,"-13,544","86,045",-14%,"-$1,672,576",,,,
21,,2021-03-16 18:41:44,2021-03-15,ROST,Marquette Travis,"EVP, CFO",S - Sale,$122.62,-951,"70,320",-1%,"-$116,612",,,,
22,,2021-03-16 18:41:30,2021-03-15,ROST,Hartshorn Michael J.,"Group Pres, COO",S - Sale,$123.26,"-12,460","116,780",-10%,"-$1,535,832",,,,
23,M,2021-03-16 18:41:01,2021-03-12,ROST,Morrow Brian R.,"Pres, CMO dd's DISCOUNTS",S - Sale,$123.59,"-25,323","81,114",-24%,"-$3,129,594",,,,
24,,2021-03-09 12:57:11,2021-03-05,ROST,Balmuth Michael,COB,S - Sale,$112.11,"-41,901","22,431",-65%,"-$4,697,488",,,,
25,,2021-03-09 12:56:48,2021-03-05,ROST,Kobayashi Michael K,"Pres, Ops., Technology",S - Sale,$113.79,-200,"98,923",0%,"-$22,758",,,,
26,,2021-03-09 12:56:23,2021-03-05,ROST,Rentler Barbara,CEO,S - Sale,$111.70,"-69,407","334,718",-17%,"-$7,753,046",,,,
27,,2019-10-02 16:05:27,2019-09-30,ROST,Rentler Barbara,CEO,S - Sale,$110.02,"-25,000","378,621",-6%,"-$2,750,363",,,,
28,,2019-09-20 15:39:35,2019-09-19,ROST,Fassio James S,"Pres, Chief Dev. Officer",S - Sale,$108.66,"-15,000","356,613",-4%,"-$1,629,900",,,,
29,,2019-09-06 16:24:16,2019-09-05,ROST,Rentler Barbara,CEO,S - Sale,$107.06,"-25,000","403,558",-6%,"-$2,676,520",,,,
30,M,2019-07-15 12:57:08,2019-07-11,ROST,Orban George,Dir,S - Sale,$105.89,"-29,000","5,551,723",-1%,"-$3,070,769",,,,
31,M,2019-07-15 12:56:48,2019-07-11,ROST,Fassio James S,"Pres, Chief Dev. Officer",S - Sale,$104.85,"-85,238","371,613",-19%,"-$8,937,203",,,,
32,,2019-07-12 12:07:13,2019-07-10,ROST,Orban George,Dir,S - Sale,$102.50,"-1,000","5,580,723",0%,"-$102,500",,,,
33,,2019-06-21 15:00:41,2019-06-19,ROST,Fassio James S,"Pres, Chief Dev. Officer",S - Sale,$103.38,"-60,000","456,785",-12%,"-$6,202,800",,,,
34,,2019-06-18 10:27:00,2019-06-14,ROST,Rentler Barbara,CEO,S - Sale,$100.51,"-10,000","428,492",-2%,"-$1,005,100",,,,
35,M,2019-06-13 17:14:38,2019-06-12,ROST,Rentler Barbara,CEO,S - Sale,$99.16,"-40,000","438,492",-8%,"-$3,966,537",,,,
36,,2019-06-04 12:13:48,2019-05-31,ROST,Balmuth Michael,"COB, Exec",S - Sale,$92.87,"-81,049","33,535",-71%,"-$7,526,720",,,,
37,,2019-04-03 16:06:40,2019-04-02,ROST,Brautigan Bernard G.,"Pres, Merchandising",S - Sale,$93.56,"-19,384","113,891",-15%,"-$1,813,567",,,,
38,,2019-03-22 15:45:51,2019-03-20,ROST,Hartshorn Michael J.,"GEVP, Finance, Legal,, CFO",S - Sale,$91.48,"-9,924","82,636",-11%,"-$907,852",,,,
39,,2019-03-22 15:45:36,2019-03-20,ROST,Fassio James S,"Pres, Chief Dev. Officer",S - Sale,$91.51,"-50,000","516,711",-9%,"-$4,575,500",,,,
40,,2019-03-21 16:09:08,2019-03-19,ROST,Brautigan Bernard G.,"Pres, Merchandising",S - Sale,$91.11,"-8,612","151,801",-5%,"-$784,669",,,,
41,,2019-03-21 16:08:53,2019-03-19,ROST,Morrow Brian R.,"Pres, Merchandising",S - Sale,$92.00,"-10,000","106,025",-9%,"-$920,000",,,,
42,,2019-03-19 13:53:16,2019-03-15,ROST,Balmuth Michael,"COB, Exec",S - Sale,$88.82,"-20,057","114,510",-15%,"-$1,781,387",,,,
43,,2019-03-19 13:52:22,2019-03-18,ROST,Brautigan Bernard G.,"Pres, Merchandising",S - Sale,$91.18,"-12,000","160,413",-7%,"-$1,094,149",,,,
44,,2019-03-14 17:37:46,2019-03-12,ROST,Balmuth Michael,"COB, Exec",S - Sale,$90.77,"-25,689","51,998",-33%,"-$2,331,680",,,,
45,,2018-10-16 10:43:27,2018-10-12,ROST,Rentler Barbara,CEO,S - Sale,$95.15,"-20,000","455,891",-4%,"-$1,902,998",,,,
46,,2018-08-29 10:23:12,2018-08-27,ROST,Ferber Norman A,Dir,S - Sale,$94.90,"-10,144","25,127",-29%,"-$962,682",,,,
47,,2018-06-25 12:58:23,2018-06-21,ROST,Fassio James S,"Pres, Chief Dev. Officer",S - Sale,$86.57,"-175,769","568,210",-24%,"-$15,215,732",,,,
48,,2018-06-12 10:27:20,2018-06-08,ROST,Rentler Barbara,CEO,S - Sale,$85.45,"-25,000","475,736",-5%,"-$2,136,268",,,,
49,,2018-06-12 10:26:50,2018-06-11,ROST,Bush Michael J,Dir,S - Sale,$85.73,"-1,500","30,091",-5%,"-$128,589",,,,
50,,2018-06-01 11:58:50,2018-05-31,ROST,Balmuth Michael,"COB, Exec",S - Sale,$79.10,"-33,999","78,342",-30%,"-$2,689,416",,,,
51,,2018-04-13 13:43:22,2018-04-12,ROST,Rentler Barbara,CEO,S - Sale,$78.25,"-15,000","519,395",-3%,"-$1,173,750",,,,
52,,2018-04-09 12:20:28,2018-04-05,ROST,Panattoni Lisa R,"Pres, Merchanding",S - Sale,$79.48,"-12,471","93,711",-12%,"-$991,139",,,,
53,,2018-04-09 12:20:05,2018-04-05,ROST,Rentler Barbara,CEO,S - Sale,$79.53,"-32,430","534,318",-6%,"-$2,579,210",,,,
54,M,2018-03-27 13:47:50,2018-03-23,ROST,Panattoni Lisa R,"Pres, Merchanding",S - Sale,$75.75,"-31,824","106,182",-23%,"-$2,410,606",,,,
55,M,2018-03-26 18:03:36,2018-03-22,ROST,Brautigan Bernard G.,"Pres, Merchandising",S - Sale,$75.71,"-18,171","161,632",-10%,"-$1,375,727",,,,
56,,2018-03-26 18:03:10,2018-03-22,ROST,Fassio James S,"Pres, Chief Dev. Officer",S - Sale,$77.34,"-40,000","758,388",-5%,"-$3,093,768",,,,
57,,2018-03-23 16:59:45,2018-03-21,ROST,Hartshorn Michael J.,"E.VP, Finance, CFO",S - Sale,$77.63,"-5,060","77,822",-6%,"-$392,795",,,,
58,,2018-03-22 15:25:30,2018-03-20,ROST,Brautigan Bernard G.,"Pres, Merchandising",S - Sale,$77.47,"-2,787","179,803",-2%,"-$215,909",,,,
