,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-07-08 19:26:41,2021-07-07,RSG,Delghiaccio Brian M,EVP CFO,S - Sale,$114.00,"-2,074","3,379",-38%,"-$236,436",,,,
2,,2021-05-20 18:12:59,2021-05-19,RSG,Volpe Sandra M,Dir,P - Purchase,$107.76,+100,100,New,"+$10,776",,,,
3,,2021-05-12 19:17:52,2021-05-10,RSG,Hughes Jeffrey A,EVP Chief Administrative Offic,S - Sale,$111.44,"-6,770","6,284",-52%,"-$754,449",,,,
4,,2021-05-10 18:43:52,2021-05-07,RSG,Goebel Brian A,CAO,S - Sale,$110.67,"-1,224","6,186",-17%,"-$135,460",,,,
5,,2021-05-10 18:35:52,2021-05-10,RSG,Stuart Timothy E,COO,S - Sale,$112.31,"-12,788",0,-100%,"-$1,436,202",,,,
6,,2021-04-02 16:15:36,2021-03-31,RSG,"Cascade Investment, L.L.C.",10%,P - Purchase,$99.44,"+10,055","108,812,574",0%,"+$999,895",,,,
7,,2020-12-11 18:37:30,2020-12-11,RSG,Slager Donald W,"CEO, Dir",S - Sale,$94.85,"-43,199","299,080",-13%,"-$4,097,620",,,,
8,,2020-09-09 18:46:47,2020-09-09,RSG,Stuart Timothy E,COO,S - Sale,$95.20,"-14,710",0,-100%,"-$1,400,360",,,,
9,DM,2020-08-25 20:49:38,2020-08-24,RSG,Slager Donald W,"CEO, Dir",S - Sale+OE,$91.15,"-65,914","342,279",-16%,"-$6,008,160",,,,
10,D,2020-08-18 20:17:06,2020-08-14,RSG,Slager Donald W,"CEO, Dir",S - Sale+OE,$91.02,"-1,275","342,279",0%,"-$116,050",,,,
11,DM,2020-08-13 17:59:20,2020-08-11,RSG,Slager Donald W,"CEO, Dir",S - Sale+OE,$91.49,"-108,868","342,279",-24%,"-$9,960,088",,,,
12,,2020-08-12 16:34:07,2020-08-11,RSG,Vander Ark Jon,Pres,S - Sale,$90.74,"-16,246",0,-100%,"-$1,474,203",,,,
13,,2020-07-01 19:00:39,2020-06-30,RSG,Collins Tomago,Dir,S - Sale,$81.58,"-4,940","9,879",-33%,"-$403,026",,,,
14,,2020-05-21 18:33:45,2020-05-20,RSG,Serianni Charles F,EVP CFO,S - Sale,$81.53,"-1,500","44,156",-3%,"-$122,295",,,,
15,,2020-04-20 17:31:45,2020-04-20,RSG,Serianni Charles F,EVP CFO,S - Sale,$79.85,"-1,500","45,656",-3%,"-$119,775",,,,
16,D,2020-04-10 19:42:01,2020-04-09,RSG,Stuart Timothy E,COO,S - Sale+OE,$80.00,"-3,580","14,710",-20%,"-$286,400",,,,
17,,2020-03-27 19:40:17,2020-03-26,RSG,Serianni Charles F,EVP CFO,S - Sale,$75.03,"-1,500","47,156",-3%,"-$112,545",,,,
18,D,2020-02-20 19:08:14,2020-02-18,RSG,Bales Brian A,"EVP, Chief Development Officer",S - Sale+OE,$100.16,"-21,127","13,504",-61%,"-$2,116,034",,,,
19,D,2020-02-20 18:38:01,2020-02-20,RSG,Serianni Charles F,EVP CFO,S - Sale+OE,$99.55,"-1,500","48,656",-3%,"-$149,325",,,,
20,,2020-02-19 21:08:21,2020-02-18,RSG,Rodriguez Ramon A,Dir,S - Sale,$100.46,"-4,127",0,-100%,"-$414,598",,,,
21,,2020-02-19 21:03:19,2020-02-19,RSG,Volpe Sandra M,Dir,S - Sale,$99.99,-269,0,-100%,"-$26,897",,,,
22,D,2020-01-29 19:27:59,2020-01-28,RSG,Goebel Brian A,CAO,S - Sale+OE,$94.73,"-2,000","6,186",-24%,"-$189,460",,,,
23,D,2020-01-23 20:46:39,2020-01-23,RSG,Goebel Brian A,CAO,S - Sale+OE,$94.13,"-2,000","6,186",-24%,"-$188,260",,,,
24,D,2020-01-16 17:29:47,2020-01-14,RSG,Goebel Brian A,CAO,S - Sale+OE,$91.78,"-2,000","6,186",-24%,"-$183,560",,,,
25,D,2020-01-03 19:26:22,2020-01-02,RSG,Goebel Brian A,CAO,S - Sale+OE,$89.72,"-2,000","6,186",-24%,"-$179,440",,,,
26,DM,2019-09-05 19:39:17,2019-09-04,RSG,Slager Donald W,"CEO, Dir",S - Sale+OE,$90.00,"-95,127","287,610",-25%,"-$8,561,430",,,,
27,D,2019-08-30 20:15:01,2019-08-30,RSG,Slager Donald W,"CEO, Dir",S - Sale+OE,$90.00,"-95,126","287,610",-25%,"-$8,561,340",,,,
28,D,2019-07-30 19:38:06,2019-07-29,RSG,Ellingsen Catharine D,"EVP, GC, Sec",S - Sale+OE,$90.00,"-3,100","10,976",-22%,"-$279,000",,,,
29,,2019-05-09 18:36:28,2019-05-09,RSG,Slager Donald W,"CEO, Dir",S - Sale,$82.66,"-69,966","287,610",-20%,"-$5,783,383",,,,
30,DM,2019-05-03 19:36:19,2019-05-01,RSG,Bales Brian A,"EVP, Chief Development Officer",S - Sale+OE,$82.67,"-22,831","13,504",-63%,"-$1,887,412",,,,
31,D,2019-05-01 19:00:18,2019-04-30,RSG,Serianni Charles F,EVP CFO,S - Sale+OE,$82.30,"-9,500","44,200",-18%,"-$781,861",,,,
32,,2019-05-01 17:56:00,2019-04-30,RSG,Vander Ark Jon,Pres,S - Sale,$82.33,"-19,278",0,-100%,"-$1,587,158",,,,
33,,2019-03-29 18:44:04,2019-03-27,RSG,Hughes Jeffrey A,EVP Chief Administrative Offic,S - Sale,$80.40,"-10,118",0,-100%,"-$813,481",,,,
34,,2019-03-29 18:31:08,2019-03-27,RSG,Collins Tomago,Dir,S - Sale,$80.59,"-4,102","14,819",-22%,"-$330,575",,,,
35,,2019-03-25 20:20:02,2019-03-25,RSG,Rodriguez Ramon A,Dir,S - Sale,$79.75,"-5,480",0,-100%,"-$437,027",,,,
36,D,2019-01-17 17:51:43,2019-01-17,RSG,Goebel Brian A,CAO,S - Sale+OE,$74.25,"-2,000","6,186",-24%,"-$148,500",,,,
37,D,2019-01-11 20:26:27,2019-01-10,RSG,Goebel Brian A,CAO,S - Sale+OE,$72.97,"-3,000","6,186",-33%,"-$218,910",,,,
38,D,2019-01-04 18:40:42,2019-01-03,RSG,Goebel Brian A,CAO,S - Sale+OE,$71.27,"-3,000","6,186",-33%,"-$213,810",,,,
39,,2018-11-01 19:23:54,2018-10-31,RSG,Kirk Jennifer M,Dir,P - Purchase,$72.35,"+1,500","1,500",New,"+$108,525",,,,
