,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-05-24 13:04:46,2021-05-18,T,Luczo Stephen J,Dir,P - Purchase,$29.80,"+100,000","400,000",+33%,"+$2,980,270",,,,
2,,2021-05-21 17:14:51,2021-05-19,T,Stankey John T,"CEO, Pres",P - Purchase,$28.81,"+34,614","499,958",+7%,"+$997,227",,,,
3,M,2021-05-21 17:12:32,2021-05-19,T,Desroches Pascal,"Sr. EVP, CFO",P - Purchase,$29.52,"+19,976","191,581",+12%,"+$589,629",,,,
4,,2020-07-27 16:11:48,2020-07-23,T,Luczo Stephen J,Dir,P - Purchase,$29.69,"+100,000","300,000",+50%,"+$2,969,220",,,,
5,,2020-04-27 17:53:14,2020-04-24,T,Yang Geoffrey Y,Dir,P - Purchase,$29.39,"+6,754","251,002",+3%,"+$198,466",,,,
6,,2020-04-23 18:19:45,2020-04-22,T,Luczo Stephen J,Dir,P - Purchase,$29.38,"+36,000","200,000",+22%,"+$1,057,579",,,,
7,,2020-02-05 17:28:28,2020-02-04,T,Luczo Stephen J,Dir,P - Purchase,$37.60,"+100,000","164,000",+156%,"+$3,760,380",,,,
8,D,2019-07-30 17:56:40,2019-07-30,T,Stankey John T,"CEO, Warner Media, LLC",S - Sale+OE,$34.15,"-4,024","667,600",-1%,"-$137,420",,,,
9,,2019-02-07 18:02:21,2019-02-05,T,McCallister Michael B,Dir,P - Purchase,$29.59,"+7,000","48,803",+17%,"+$207,135",,,,
10,,2019-02-06 16:44:15,2019-02-04,T,Yang Geoffrey Y,Dir,P - Purchase,$29.79,"+33,558","240,252",+16%,"+$999,535",,,,
11,D,2019-02-04 17:44:14,2019-01-31,T,Stankey John T,"CEO, Warner Media, LLC",S - Sale+OE,$29.84,"-3,748","683,714",-1%,"-$111,840",,,,
12,,2018-10-29 17:50:17,2018-10-26,T,McCallister Michael B,Dir,P - Purchase,$29.14,"+4,000","40,651",+11%,"+$116,553",,,,
13,,2018-08-10 15:19:54,2018-08-08,T,Di Piazza Samuel A Jr.,Dir,P - Purchase,$32.48,"+7,690","34,480",+29%,"+$249,792",,,,
14,,2018-07-30 16:39:00,2018-07-26,T,Yang Geoffrey Y,Dir,P - Purchase,$30.48,"+32,350","203,296",+19%,"+$986,012",,,,
15,,2018-07-30 16:37:56,2018-07-27,T,Hutchins Glenn H,Dir,P - Purchase,$31.04,"+64,329","167,652",+62%,"+$1,996,768",,,,
16,,2018-07-30 16:37:06,2018-07-27,T,Fisher Richard W,Dir,P - Purchase,$31.04,"+7,400","10,000",+285%,"+$229,723",,,,
17,,2018-07-30 16:35:34,2018-07-27,T,Roche Joyce M,Dir,P - Purchase,$31.19,"+3,200","11,860",+37%,"+$99,795",,,,
18,,2018-07-27 11:13:02,2018-07-25,T,Yang Geoffrey Y,Dir,P - Purchase,$30.39,"+49,390","170,946",+41%,"+$1,500,756",,,,
19,,2018-07-27 11:09:15,2018-07-26,T,Rose Matthew K,Dir,P - Purchase,$30.51,"+65,500","98,100",+201%,"+$1,998,376",,,,
20,,2018-07-27 11:06:58,2018-07-25,T,Mooney Beth E,Dir,P - Purchase,$30.71,"+16,100","28,700",+128%,"+$494,359",,,,
21,,2018-07-27 11:03:10,2018-07-25,T,McCallister Michael B,Dir,P - Purchase,$30.25,"+4,000","36,104",+12%,"+$121,007",,,,
