,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-10 20:05:10,2021-08-06,SBUX,Culver John,"group pres, N America, coo",S - Sale+OE,$119.00,"-148,619","341,366",-30%,"-$17,685,958",,,,
2,D,2021-08-04 16:35:15,2021-08-02,SBUX,Culver John,"group pres, N America, coo",S - Sale+OE,$122.33,"-3,600","341,366",-1%,"-$440,384",,,,
3,D,2021-07-30 19:33:12,2021-07-29,SBUX,Johnson Kevin R,"Pres, ceo",S - Sale+OE,$122.81,"-359,177","346,532",-51%,"-$44,110,671",,,,
4,D,2021-04-07 18:09:31,2021-04-05,SBUX,Johnson Kevin R,"Pres, ceo",S - Sale+OE,$111.07,"-170,000","345,934",-33%,"-$18,881,509",,,,
5,D,2021-04-02 18:55:52,2021-04-01,SBUX,Johnson Kevin R,"Pres, ceo",S - Sale+OE,$109.12,"-153,290","345,934",-31%,"-$16,727,349",,,,
6,D,2021-03-31 16:26:47,2021-03-29,SBUX,Gonzalez Rachel A,"evp, GC",S - Sale+OE,$109.51,"-82,894","79,146",-51%,"-$9,077,307",,,,
7,D,2021-02-18 17:00:35,2021-02-16,SBUX,Culver John,"group pres, Int'l, Channel",S - Sale+OE,$106.51,"-48,749","340,687",-13%,"-$5,192,207",,,,
8,,2020-12-15 15:55:55,2020-12-11,SBUX,Lis Angela,"evp, chief partner officer",S - Sale,$103.22,"-4,500","28,562",-14%,"-$464,491",,,,
9,,2020-11-27 17:09:03,2020-11-25,SBUX,Ramo Joshua Cooper,Dir,S - Sale,$98.28,"-2,925","25,200",-10%,"-$287,469",,,,
10,D,2020-11-18 21:03:38,2020-11-17,SBUX,Johnson Kevin R,"Pres, ceo",S - Sale+OE,$98.43,"-107,764","344,500",-24%,"-$10,606,920",,,,
11,D,2020-11-13 18:30:28,2020-11-11,SBUX,Teruel Javier G,Dir,S - Sale+OE,$95.70,"-46,778","116,923",-29%,"-$4,476,421",,,,
12,D,2020-11-12 20:06:57,2020-11-09,SBUX,Johnson Kevin R,"Pres, ceo",S - Sale+OE,$96.78,"-107,764","296,937",-27%,"-$10,429,120",,,,
13,,2020-11-05 17:57:35,2020-11-03,SBUX,Ramo Joshua Cooper,Dir,S - Sale,$88.13,"-9,650","28,125",-26%,"-$850,406",,,,
14,D,2020-11-04 17:58:25,2020-11-02,SBUX,Ullman Myron E III,Dir,S - Sale+OE,$87.56,"-4,258","18,524",-19%,"-$372,830",,,,
15,D,2020-10-09 21:02:19,2020-10-09,SBUX,Johnson Kevin R,"Pres, ceo",S - Sale+OE,$90.08,"-107,762","296,937",-27%,"-$9,707,201",,,,
16,D,2020-10-05 17:45:49,2020-10-01,SBUX,Ullman Myron E III,Dir,S - Sale+OE,$86.97,"-4,252","18,524",-19%,"-$369,796",,,,
17,D,2020-09-03 17:47:41,2020-09-01,SBUX,Ullman Myron E III,Dir,S - Sale+OE,$84.77,"-4,252","18,524",-19%,"-$360,442",,,,
18,D,2020-08-20 18:19:31,2020-08-18,SBUX,Shih Clara,Dir,S - Sale+OE,$79.13,"-37,498","15,607",-71%,"-$2,967,340",,,,
19,D,2020-08-05 18:01:30,2020-08-03,SBUX,Ullman Myron E III,Dir,S - Sale+OE,$76.53,"-4,252","18,500",-19%,"-$325,406",,,,
20,D,2020-07-06 18:34:58,2020-07-01,SBUX,Ullman Myron E III,Dir,S - Sale+OE,$74.09,"-4,252","18,500",-19%,"-$315,031",,,,
21,D,2020-06-11 21:23:07,2020-06-09,SBUX,Walker Jill,svp chief accounting officer,S - Sale+OE,$82.64,"-2,000","35,983",-5%,"-$165,280",,,,
22,D,2020-06-03 18:12:34,2020-06-01,SBUX,Ullman Myron E III,Dir,S - Sale+OE,$77.66,"-4,252","18,500",-19%,"-$330,210",,,,
23,D,2020-05-05 19:24:49,2020-05-01,SBUX,Ullman Myron E III,Dir,S - Sale+OE,$74.89,"-4,252","18,476",-19%,"-$318,432",,,,
24,D,2020-04-03 18:28:35,2020-04-01,SBUX,Ullman Myron E III,Dir,S - Sale+OE,$62.99,"-4,252","18,476",-19%,"-$267,833",,,,
25,D,2020-03-11 18:27:17,2020-03-09,SBUX,Walker Jill,svp chief accounting officer,S - Sale+OE,$70.14,"-2,000","36,878",-5%,"-$140,280",,,,
26,D,2020-03-04 18:02:36,2020-03-02,SBUX,Ullman Myron E III,Dir,S - Sale+OE,$77.92,"-4,252","18,476",-19%,"-$331,316",,,,
27,D,2020-02-05 18:57:44,2020-02-03,SBUX,Ullman Myron E III,Dir,S - Sale+OE,$85.17,"-4,252","18,455",-19%,"-$362,143",,,,
28,D,2020-01-03 19:24:19,2020-01-02,SBUX,Ullman Myron E III,Dir,S - Sale+OE,$88.12,"-4,252","18,455",-19%,"-$374,686",,,,
29,D,2019-12-17 18:14:07,2019-12-13,SBUX,Helm Lucy Lee,"evp, chief partner officer",S - Sale+OE,$88.49,"-18,982","114,333",-14%,"-$1,679,778",,,,
30,D,2019-12-11 19:00:27,2019-12-09,SBUX,Walker Jill,svp chief accounting officer,S - Sale+OE,$86.47,"-2,000","37,976",-5%,"-$172,934",,,,
31,D,2019-11-05 18:38:19,2019-11-01,SBUX,Ullman Myron E III,Dir,S - Sale+OE,$84.79,"-9,973","18,434",-35%,"-$845,611",,,,
32,D,2019-10-03 18:52:52,2019-10-01,SBUX,Ullman Myron E III,Dir,S - Sale+OE,$88.63,"-9,973","18,434",-35%,"-$883,907",,,,
33,D,2019-09-10 19:23:03,2019-09-09,SBUX,Walker Jill,svp chief accounting officer,S - Sale+OE,$95.80,"-2,000","39,082",-5%,"-$191,600",,,,
34,D,2019-09-10 19:21:07,2019-09-06,SBUX,Varma Vivek C,"evp, Public Affairs",S - Sale+OE,$95.86,"-21,128","155,366",-12%,"-$2,025,290",,,,
35,D,2019-09-05 18:18:43,2019-09-03,SBUX,Ullman Myron E III,Dir,S - Sale+OE,$96.42,"-9,973","18,434",-35%,"-$961,597",,,,
