,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-15 18:07:58,2021-09-13,SHW,Sladek Joseph F,"Pres, GM, Glob. Supply Chain",S - Sale+OE,$302.32,-432,"2,059",-17%,"-$130,602",,,,
2,D,2021-09-15 18:02:02,2021-09-13,SHW,Young Bryan J,"SVP - Corp Strategy, Devel.",S - Sale+OE,$303.75,"-1,662","4,891",-25%,"-$504,833",,,,
3,D,2021-08-30 13:46:25,2021-08-26,SHW,Ippolito Peter J.,"SVP, Strategic Initiatives",S - Sale+OE,$302.42,"-12,390","38,277",-24%,"-$3,746,984",,,,
4,D,2021-08-25 15:29:00,2021-08-23,SHW,Garceau Mary L,"SVP, Gen. Counsel, Secretary",S - Sale+OE,$306.33,"-2,589","9,333",-22%,"-$793,088",,,,
5,D,2021-08-18 14:10:12,2021-08-16,SHW,Cronin Jane M.,SVP - Corporate Controller,S - Sale+OE,$308.22,"-7,722","17,525",-31%,"-$2,380,075",,,,
6,D,2021-08-16 14:25:58,2021-08-12,SHW,Gilligan Thomas P,SVP-HR,S - Sale+OE,$302.87,"-9,780","26,130",-27%,"-$2,962,069",,,,
7,D,2021-08-03 13:47:13,2021-07-30,SHW,Padden Brian E,"Pres, Consumer Brands Grp",S - Sale+OE,$289.53,"-3,153","16,402",-16%,"-$912,888",,,,
8,D,2021-08-02 17:36:37,2021-07-29,SHW,Morikis John G,"COB, Pres, CEO",S - Sale+OE,$288.92,"-155,520","346,743",-31%,"-$44,933,132",,,,
9,D,2021-07-30 17:13:29,2021-07-28,SHW,Mistysyn Allen J,"SVP - Finance, CFO",S - Sale+OE,$286.46,"-22,749","49,575",-31%,"-$6,516,679",,,,
10,,2021-06-14 09:55:02,2021-06-10,SHW,Binns Justin T,"Pres, Perf Coatings Grp",S - Sale,$277.51,"-1,744","10,620",-14%,"-$483,977",,,,
11,,2021-03-10 19:38:34,2021-03-09,SHW,Ippolito Peter J.,"Pres, The Americas Group",S - Sale,$711.87,"-1,726","12,001",-13%,"-$1,228,688",,,,
12,,2021-03-10 19:19:51,2021-03-09,SHW,Sladek Joseph F,"Pres, GM, Glob. Supply Chain",S - Sale,$707.43,-177,547,-24%,"-$125,215",,,,
13,DM,2021-03-10 19:00:32,2021-03-08,SHW,Cronin Jane M.,SVP - Corporate Controller,S - Sale+OE,$699.55,"-2,046","5,593",-27%,"-$1,431,277",,,,
14,D,2021-03-10 17:38:54,2021-03-08,SHW,Sewell David B,"Pres, COO",S - Sale+OE,$697.33,"-21,671","8,861",-71%,"-$15,111,903",,,,
15,D,2021-03-09 17:42:46,2021-03-05,SHW,Sewell David B,"Pres, COO",S - Sale+OE,$663.17,"-10,244","8,861",-54%,"-$6,793,481",,,,
16,,2021-03-03 09:36:19,2021-03-01,SHW,Mistysyn Allen J,"SVP - Finance, CFO",S - Sale,$700.00,"-1,930","16,445",-11%,"-$1,351,000",,,,
17,,2021-02-09 16:19:38,2021-02-05,SHW,Padden Brian E,"Pres, Consumer Brands Grp",S - Sale,$718.03,-300,"6,038",-5%,"-$215,409",,,,
18,D,2020-11-04 16:08:32,2020-11-02,SHW,Baxter Joel D.,"Pres, GM, Glob. Supply Chain",S - Sale+OE,$705.92,"-6,240","8,776",-42%,"-$4,404,925",,,,
19,D,2020-10-30 14:38:24,2020-10-28,SHW,Erter Aaron M,"Pres, Perf Coatings Grp",S - Sale+OE,$673.47,"-7,420","2,209",-77%,"-$4,997,116",,,,
20,D,2020-10-28 16:13:10,2020-10-26,SHW,Morikis John G,"COB, CEO",S - Sale+OE,$670.19,"-22,282","127,907",-15%,"-$14,933,177",,,,
21,D,2020-09-30 14:36:11,2020-09-28,SHW,Morikis John G,"COB, CEO",S - Sale+OE,$708.18,"-22,282","127,873",-15%,"-$15,779,626",,,,
22,D,2020-09-02 16:58:59,2020-08-31,SHW,Morikis John G,"COB, CEO",S - Sale+OE,$671.59,"-22,282","127,873",-15%,"-$14,964,252",,,,
23,D,2020-08-11 09:58:08,2020-08-07,SHW,Ippolito Peter J.,"Pres, The Americas Group",S - Sale+OE,$656.16,"-5,015","11,956",-30%,"-$3,290,623",,,,
24,D,2020-07-31 13:10:23,2020-07-29,SHW,Gilligan Thomas P,SVP-HR,S - Sale+OE,$642.70,"-4,964","7,453",-40%,"-$3,190,363",,,,
25,,2020-06-03 17:56:54,2020-06-02,SHW,Kropf Susan J,Dir,S - Sale,$592.80,"-1,000","7,816",-11%,"-$592,800",,,,
26,D,2020-05-29 14:56:49,2020-05-27,SHW,Baxter Joel D.,"Pres, GM, Glob. Supply Chain",S - Sale+OE,$580.00,"-6,830","8,943",-43%,"-$3,961,400",,,,
27,DM,2020-05-21 16:30:50,2020-05-19,SHW,Sewell David B,"Pres, COO",S - Sale+OE,$571.38,"-8,013","6,087",-57%,"-$4,578,500",,,,
28,,2020-05-11 12:09:17,2020-05-08,SHW,Erter Aaron M,"Pres, Perf Coatings Grp",S - Sale,$534.70,-935,"2,694",-26%,"-$499,945",,,,
29,D,2020-05-07 12:45:04,2020-05-06,SHW,Ippolito Peter J.,"Pres, The Americas Group",S - Sale+OE,$535.00,"-7,007","13,260",-35%,"-$3,748,745",,,,
30,,2020-03-13 16:55:31,2020-03-12,SHW,Cronin Jane M.,SVP - Corporate Controller,S - Sale,$492.14,-908,"5,362",-14%,"-$446,863",,,,
31,,2020-03-06 12:43:49,2020-03-05,SHW,Mistysyn Allen J,"SVP - Finance, CFO",S - Sale,$562.77,"-2,533","16,403",-13%,"-$1,425,496",,,,
32,,2020-02-28 15:50:18,2020-02-26,SHW,Baxter Joel D.,"Pres, GM, Glob. Supply Chain",S - Sale,$552.26,"-1,932","9,273",-17%,"-$1,066,966",,,,
33,D,2020-02-12 15:54:59,2020-02-10,SHW,Morikis John G,"COB, CEO",S - Sale+OE,$572.32,"-14,733","114,635",-11%,"-$8,432,024",,,,
34,D,2019-12-13 16:45:39,2019-12-12,SHW,Morikis John G,"COB, CEO",S - Sale+OE,$576.92,"-14,734","114,599",-11%,"-$8,500,397",,,,
35,D,2019-11-13 09:46:16,2019-11-11,SHW,Erter Aaron M,"Pres, Perf Coatings Grp",S - Sale+OE,$580.62,"-3,280","3,603",-48%,"-$1,904,434",,,,
36,D,2019-10-28 11:01:34,2019-10-24,SHW,Gilligan Thomas P,SVP-HR,S - Sale+OE,$570.10,"-4,250","5,599",-43%,"-$2,422,925",,,,
37,,2019-08-05 13:29:04,2019-08-01,SHW,Hodnik David F,Dir,S - Sale,$521.57,-501,"9,346",-5%,"-$261,307",,,,
38,D,2019-08-02 07:23:12,2019-07-31,SHW,Ippolito Peter J.,"Pres, The Americas Group",S - Sale+OE,$513.05,"-5,284","11,773",-31%,"-$2,710,956",,,,
39,D,2019-08-02 07:09:14,2019-07-31,SHW,Cronin Jane M.,SVP - Corporate Controller,S - Sale+OE,$515.00,"-1,627","5,352",-23%,"-$837,905",,,,
40,D,2019-07-26 16:13:52,2019-07-24,SHW,Baxter Joel D.,"Pres, GM, Glob. Supply Chain",S - Sale+OE,$492.29,"-6,083","9,342",-39%,"-$2,994,588",,,,
41,D,2019-07-26 16:07:53,2019-07-24,SHW,Sewell David B,"Pres, COO",S - Sale+OE,$493.52,"-4,709","7,895",-37%,"-$2,323,963",,,,
42,D,2019-06-18 16:43:22,2019-06-14,SHW,Lynch Robert F,"Pres, Consumer Brands Grp",S - Sale+OE,$473.48,"-2,227","14,275",-13%,"-$1,054,440",,,,
43,,2019-06-17 15:43:31,2019-06-14,SHW,Kropf Susan J,Dir,S - Sale,$478.11,"-1,000","8,539",-10%,"-$478,110",,,,
44,D,2019-06-14 15:14:10,2019-06-12,SHW,Morikis John G,"COB, CEO",S - Sale+OE,$471.26,"-16,260","114,142",-12%,"-$7,662,688",,,,
45,,2019-05-23 10:17:18,2019-05-22,SHW,Fettig Jeff M,Dir,P - Purchase,$432.07,+500,872,+134%,"+$216,035",,,,
46,,2019-05-15 10:46:53,2019-05-13,SHW,Lynch Robert F,"Pres, Consumer Brands Grp",S - Sale,$430.54,"-6,984","13,513",-34%,"-$3,006,883",,,,
47,D,2019-02-25 14:53:17,2019-02-21,SHW,Baxter Joel D.,"Pres, GM, Glob. Supply Chain",S - Sale+OE,$439.15,"-7,621","9,303",-45%,"-$3,346,732",,,,
48,D,2019-02-22 07:59:59,2019-02-20,SHW,Cronin Jane M.,SVP - Corporate Controller,S - Sale+OE,$441.24,"-1,344","5,297",-20%,"-$593,027",,,,
49,D,2019-02-19 15:51:13,2019-02-14,SHW,Mistysyn Allen J,"SVP - Finance, CFO",S - Sale+OE,$433.90,"-2,874","16,326",-15%,"-$1,247,029",,,,
50,,2018-10-31 15:56:55,2018-10-29,SHW,Stropki John M,Dir,P - Purchase,$375.00,+675,"11,880",+6%,"+$253,125",,,,
51,D,2018-08-30 08:03:56,2018-08-28,SHW,Gilligan Thomas P,SVP-HR,S - Sale+OE,$458.04,"-5,080","3,565",-59%,"-$2,326,824",,,,
52,,2018-08-10 08:16:51,2018-08-08,SHW,Hodnik David F,Dir,S - Sale,$447.19,-524,"9,661",-5%,"-$234,328",,,,
53,,2018-08-06 15:32:53,2018-08-03,SHW,Wells Robert J,"SVP-Corp Comm, Public Affairs",S - Sale,$442.92,"-3,000","17,127",-15%,"-$1,328,760",,,,
54,,2018-08-06 15:30:16,2018-08-03,SHW,Cronin Jane M.,SVP - Corporate Controller,S - Sale,$443.16,-858,"5,630",-13%,"-$380,231",,,,
55,D,2018-08-02 13:28:12,2018-07-31,SHW,Ippolito Peter J.,"Pres, The Americas Group",S - Sale+OE,$440.91,"-3,839","11,566",-25%,"-$1,692,653",,,,
56,,2018-07-31 11:02:37,2018-07-27,SHW,Baxter Joel D.,"Pres, GM, Glob. Supply Chain",S - Sale,$447.21,"-2,533","8,163",-24%,"-$1,132,775",,,,
57,,2018-07-30 12:57:26,2018-07-26,SHW,Kropf Susan J,Dir,S - Sale,$445.43,-995,"9,130",-10%,"-$443,203",,,,
58,D,2018-07-30 12:41:12,2018-07-26,SHW,Morikis John G,"COB, Pres, CEO",S - Sale+OE,$439.30,"-20,946","101,871",-17%,"-$9,201,513",,,,
59,,2018-03-15 16:18:32,2018-03-14,SHW,Ippolito Peter J.,"Pres, The Americas Group",S - Sale,$409.26,-750,"11,975",-6%,"-$306,945",,,,
60,D,2017-12-06 13:58:02,2017-12-04,SHW,Wells Robert J,"SVP-Corp Comm, Public Affairs",S - Sale+OE,$409.11,"-2,946","20,126",-13%,"-$1,205,238",,,,
61,,2017-12-06 13:53:05,2017-12-04,SHW,Davisson Robert J,"Pres, The Americas Group",S - Sale,$407.11,"-1,000","13,829",-7%,"-$407,110",,,,
