,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-06-30 17:21:29,2021-06-29,SJM,Penrose Jill R,"Chief People, Admin Officer",S - Sale,$131.29,"-2,379","15,105",-14%,"-$312,339",,,,
2,,2021-06-23 18:41:13,2021-06-21,SJM,Smucker Mark T,"Pres, CEO",S - Sale,$130.92,"-10,000","187,598",-5%,"-$1,309,200",,,,
3,D,2021-06-09 16:51:42,2021-06-07,SJM,Held Amy C,"Chief Strategy, Int'l Officer",S - Sale+OE,$139.04,-844,"11,787",-7%,"-$117,350",,,,
4,D,2021-06-09 16:47:26,2021-06-07,SJM,Tanner Geoff E,"Chief Commercial, Marketing",S - Sale+OE,$139.83,"-15,000","12,432",-55%,"-$2,097,450",,,,
5,,2021-04-21 18:41:11,2021-03-30,SJM,Knight Nancy Lopez,Dir,S - Sale,$131.15,-225,176,-56%,"-$29,509",,,,
6,,2021-03-30 18:46:28,2021-03-29,SJM,Penrose Jill R,"Chief People, Admin Officer",S - Sale,$129.87,"-1,550","18,434",-8%,"-$201,299",,,,
7,,2021-03-18 18:31:39,2021-03-17,SJM,Knudsen Jeannette L,"Chief Legal, Compliance Offic",S - Sale,$123.71,"-2,355","25,828",-8%,"-$291,337",,,,
8,,2021-03-17 16:38:57,2021-03-16,SJM,Tanner Geoff E,"Chief Commercial, Marketing",S - Sale,$122.53,"-1,200","12,429",-9%,"-$147,036",,,,
9,,2021-03-02 18:37:44,2021-03-01,SJM,Penrose Jill R,"Chief People, Admin Officer",S - Sale,$112.27,"-3,242","19,984",-14%,"-$363,979",,,,
10,,2020-09-02 16:57:32,2020-08-31,SJM,Knudsen Jeannette L,"Chief Legal, Compliance Offic",S - Sale,$119.98,"-3,000","28,115",-10%,"-$359,940",,,,
11,,2020-08-31 17:21:01,2020-08-27,SJM,Belgya Mark R,Vice Chair,S - Sale,$121.46,"-4,103","29,696",-12%,"-$498,350",,,,
12,,2020-07-27 18:11:16,2020-07-24,SJM,Smucker Mark T,"Pres, CEO",S - Sale,$110.00,"-1,500","209,982",-1%,"-$165,000",,,,
13,,2020-07-27 18:08:41,2020-07-24,SJM,Belgya Mark R,Vice Chair,S - Sale,$110.00,-750,"47,113",-2%,"-$82,500",,,,
14,,2020-06-10 17:27:28,2020-06-09,SJM,Belgya Mark R,Vice Chair,S - Sale,$111.51,"-7,807","47,863",-14%,"-$870,559",,,,
15,,2020-05-28 17:41:13,2020-05-27,SJM,Belgya Mark R,Vice Chair,S - Sale,$110.00,-750,"59,430",-1%,"-$82,500",,,,
16,,2020-04-27 19:34:15,2020-04-24,SJM,Belgya Mark R,"Vice Chair, CFO",S - Sale,$117.12,-750,"60,180",-1%,"-$87,840",,,,
17,,2020-03-31 18:24:59,2020-03-30,SJM,Belgya Mark R,"Vice Chair, CFO",S - Sale,$110.00,-750,"60,930",-1%,"-$82,500",,,,
18,,2020-02-27 16:37:25,2020-02-26,SJM,Belgya Mark R,"Vice Chair, CFO",S - Sale,$110.00,-750,"61,594",-1%,"-$82,500",,,,
19,,2020-02-13 17:01:36,2020-02-11,SJM,Belgya Mark R,"Vice Chair, CFO",S - Sale,$110.00,"-2,250","62,259",-3%,"-$247,500",,,,
20,,2019-12-30 18:22:12,2019-12-27,SJM,Penrose Jill R,"Chief People, Administrativ",S - Sale,$102.92,"-1,098","24,395",-4%,"-$113,006",,,,
21,,2019-12-09 16:39:47,2019-12-06,SJM,Knudsen Jeannette L,"Chief Legal, Compliance Offic",S - Sale,$107.43,"-1,196","32,783",-4%,"-$128,486",,,,
