,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-05-07 17:56:47,2021-05-06,SLB,Gharbi Hinda,"EVP, Services, Equipment",S - Sale,$30.10,"-30,000","129,480",-19%,"-$902,910",,,,
2,,2021-05-07 17:54:03,2021-05-05,SLB,Al Mogharbel Khaled,"EVP, Geographies",S - Sale,$30.32,"-44,632","106,897",-29%,"-$1,353,242",,,,
3,,2021-03-10 15:19:09,2021-03-09,SLB,Merad Abdellah,"EVP, Performance Management",S - Sale,$29.44,"-40,000","22,078",-64%,"-$1,177,560",,,,
4,,2021-02-08 15:21:22,2021-02-05,SLB,Guild Howard,Chief Accounting Officer,S - Sale,$24.96,"-10,000","44,463",-18%,"-$249,550",,,,
5,,2020-12-08 15:42:21,2020-12-07,SLB,Jaramillo Claudia,"VP, Treasurer",S - Sale,$23.11,"-4,061","15,614",-21%,"-$93,861",,,,
6,,2020-12-04 13:30:32,2020-12-03,SLB,Laureles Saul R.,"Dir, Corporate Legal",S - Sale,$21.85,"-5,000","15,143",-25%,"-$109,250",,,,
7,M,2020-12-04 13:28:20,2020-12-02,SLB,Belani Ashok,EVP New Energy,S - Sale,$21.76,"-25,000","264,724",-9%,"-$543,895",,,,
8,,2020-11-30 18:08:52,2020-11-25,SLB,Fyfe Kevin,VP Controller,S - Sale,$22.07,"-2,981","18,773",-14%,"-$65,776",,,,
9,,2020-09-15 14:33:14,2020-09-14,SLB,Le Peuch Olivier,CEO,P - Purchase,$17.95,"+25,000","191,770",+15%,"+$448,850",,,,
10,,2020-08-06 17:07:54,2020-08-05,SLB,Papa Mark G,Dir,P - Purchase,$19.46,"+15,000","50,131",+43%,"+$291,875",,,,
11,,2020-05-29 15:50:36,2020-05-28,SLB,Merad Abdellah,"EVP, Performance Management",S - Sale,$19.19,"-14,822","54,750",-21%,"-$284,449",,,,
12,,2020-05-21 16:15:06,2020-05-20,SLB,Schorn Patrick,EVP Wells,S - Sale,$17.83,"-34,468","80,000",-30%,"-$614,537",,,,
13,,2020-05-11 17:39:45,2020-05-08,SLB,Juden Alexander C.,"Secretary, GC",S - Sale,$17.35,"-35,000","92,103",-28%,"-$607,215",,,,
14,,2020-04-01 14:57:47,2020-03-31,SLB,Le Peuch Olivier,CEO,P - Purchase,$13.77,"+10,000","163,612",+7%,"+$137,650",,,,
15,,2020-03-10 17:32:57,2020-03-09,SLB,Kasibhatla Vijay,"Dir, M, A",P - Purchase,$17.05,"+2,000","29,762",+7%,"+$34,090",,,,
16,,2020-02-05 10:00:55,2020-02-03,SLB,Sonthalia Rajeev,"Pres, IPM",P - Purchase,$33.40,"+1,000","13,829",+8%,"+$33,400",,,,
17,,2019-12-26 16:14:12,2019-12-24,SLB,Ayat Simon,CFO,S - Sale,$40.61,"-52,486","203,827",-20%,"-$2,131,456",,,,
18,,2019-11-27 11:29:11,2019-11-25,SLB,Al Mogharbel Khaled,"EVP, Operations",S - Sale,$37.07,"-21,385","69,872",-23%,"-$792,686",,,,
19,,2019-11-19 17:28:20,2019-11-18,SLB,Laureles Saul R.,"Dir, Corporate Legal",S - Sale,$34.72,"-4,350","5,459",-44%,"-$151,032",,,,
20,,2019-11-12 16:46:31,2019-11-11,SLB,Guild Howard,Chief Accounting Officer,S - Sale,$35.81,"-9,000","29,495",-23%,"-$322,290",,,,
21,,2019-11-12 09:59:42,2019-11-08,SLB,Schorn Patrick,EVP Wells,S - Sale,$35.89,"-65,000","50,000",-57%,"-$2,332,850",,,,
22,,2019-10-22 12:02:11,2019-10-21,SLB,Farrant Simon,VP Investor Relations,S - Sale,$33.55,"-5,000","20,316",-20%,"-$167,750",,,,
23,,2019-07-26 11:44:06,2019-07-25,SLB,Cox Stephanie,Pres NAL Drilling,S - Sale,$40.59,"-24,057","46,354",-34%,"-$976,474",,,,
24,D,2019-07-22 17:17:34,2019-07-22,SLB,Al Mogharbel Khaled,"EVP, Operations",S - Sale+OE,$39.23,"-9,097","91,257",-9%,"-$356,875",,,,
25,D,2019-07-22 17:04:04,2019-07-22,SLB,Schorn Patrick,EVP Wells,S - Sale+OE,$38.93,"-12,151","115,000",-10%,"-$472,978",,,,
26,,2019-04-29 16:35:35,2019-04-26,SLB,Juden Alexander C.,"Secretary, GC",S - Sale,$43.29,"-8,643","70,260",-11%,"-$374,187",,,,
27,,2019-04-23 16:46:08,2019-04-22,SLB,Ayat Simon,CFO,S - Sale,$46.10,"-25,000","255,971",-9%,"-$1,152,500",,,,
28,D,2019-01-23 18:19:46,2019-01-22,SLB,Le Peuch Olivier,"EVP Reservoir, Infrastructure",S - Sale+OE,$44.00,"-15,000","79,603",-16%,"-$660,000",,,,
29,,2018-12-21 10:01:48,2018-12-20,SLB,Schorn Patrick,EVP Wells,P - Purchase,$37.55,"+10,000","35,000",+40%,"+$375,500",,,,
30,,2018-12-03 17:43:14,2017-10-26,SLB,Marks Michael E,Dir,P - Purchase,$63.56,"+16,000","84,205",+23%,"+$1,016,960",,,,
31,M,2018-10-30 17:05:26,2018-09-24,SLB,Ayat Simon,CFO,S - Sale,$56.60,"-60,000","204,008",-23%,"-$3,396,000",,,,
32,,2018-09-07 12:12:19,2018-09-06,SLB,Marks Michael E,Dir,P - Purchase,$60.31,"+8,000","68,021",+13%,"+$482,480",,,,
33,D,2018-05-17 11:10:59,2018-05-16,SLB,Jaramillo Claudia,"VP, Treasurer",S - Sale+OE,$72.68,"-3,000","3,162",-49%,"-$218,049",,,,
34,,2018-03-28 16:52:15,2018-03-28,SLB,Al Mogharbel Khaled,"Pres, Eastern Hemisphere",P - Purchase,$64.30,"+3,000","30,482",+11%,"+$192,900",,,,
35,,2018-03-26 20:05:53,2018-03-26,SLB,Schorn Patrick,EVP New Ventures,P - Purchase,$64.79,"+5,000","25,000",+25%,"+$323,950",,,,
36,,2018-03-26 18:43:34,2018-03-26,SLB,Kibsgaard Paal,CEO,P - Purchase,$64.68,"+10,000","115,000",+10%,"+$646,800",,,,
37,,2018-01-24 15:44:00,2018-01-24,SLB,Ayat Simon,CFO,S - Sale,$78.86,"-75,000","138,827",-35%,"-$5,914,500",,,,
38,D,2018-01-24 09:14:01,2018-01-22,SLB,Guild Howard,Chief Accounting Officer,S - Sale+OE,$78.26,"-25,000","19,765",-56%,"-$1,956,443",,,,
