,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-10 16:45:59,2021-09-09,SNA,Pagliari Aldo John,"SVP - Finance, CFO",S - Sale+OE,$221.47,"-4,912","64,056",-7%,"-$1,087,876",,,,
2,D,2021-09-10 16:43:19,2021-09-09,SNA,Daniel Karen L,Dir,S - Sale+OE,$222.30,"-3,219","12,378",-21%,"-$715,584",,,,
3,D,2021-08-12 16:46:53,2021-08-11,SNA,Pinchuk Nicholas T,"COB, Pres, CEO",S - Sale+OE,$227.29,"-24,492","589,095",-4%,"-$5,566,895",,,,
4,D,2021-06-11 16:57:02,2021-06-10,SNA,Pagliari Aldo John,"SVP - Finance, CFO",S - Sale+OE,$241.34,"-3,612","60,955",-6%,"-$871,720",,,,
5,D,2021-05-07 16:35:53,2021-05-07,SNA,Boyd Iain,VP - Operations Development,S - Sale+OE,$249.04,"-10,000","5,608",-64%,"-$2,490,369",,,,
6,DM,2021-05-05 17:57:43,2021-05-04,SNA,Pagliari Aldo John,"SVP - Finance, CFO",S - Sale+OE,$243.02,"-7,500","58,567",-11%,"-$1,822,646",,,,
7,D,2021-05-05 17:55:45,2021-05-05,SNA,Miller Richard Thomas,"VP, GC, Secretary",S - Sale+OE,$244.69,"-2,000","1,378",-59%,"-$489,380",,,,
8,D,2021-05-04 17:41:47,2021-05-03,SNA,Pinchuk Nicholas T,"COB, Pres, CEO",S - Sale+OE,$238.12,"-24,507","572,081",-4%,"-$5,835,701",,,,
9,D,2021-04-30 16:35:39,2021-04-29,SNA,Banerjee Anup R,"SVP, Chief Devel. Officer",S - Sale+OE,$238.27,"-6,076","2,357",-72%,"-$1,447,724",,,,
10,DM,2021-04-30 16:33:15,2021-04-28,SNA,Strege Richard K,"VP, Controller",S - Sale+OE,$238.91,"-9,874","2,071",-83%,"-$2,358,956",,,,
