,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-17 13:12:11,2021-09-15,SNPS,Runkel John F Jr,"GC, Corporate Secretary",S - Sale+OE,$333.00,"-4,238","19,626",-18%,"-$1,411,254",,,,
2,,2021-09-01 12:31:04,2021-08-30,SNPS,Vallee Roy,Dir,S - Sale,$334.00,"-10,000","40,239",-20%,"-$3,339,964",,,,
3,DM,2021-08-25 16:46:23,2021-08-23,SNPS,Kankanwadi Sudhindra,"SVP, Finance, CAO",S - Sale+OE,$321.66,"-6,325","11,165",-36%,"-$2,034,522",,,,
4,DM,2021-08-24 15:20:11,2021-08-20,SNPS,Chan Chi-Foon,"Co-CEO, Pres",S - Sale+OE,$314.98,"-278,952","164,515",-63%,"-$87,864,667",,,,
5,DM,2021-08-24 15:19:18,2021-08-20,SNPS,Pham Trac,CFO,S - Sale+OE,$318.56,"-31,069","50,078",-38%,"-$9,897,312",,,,
6,D,2021-08-23 16:15:20,2021-08-20,SNPS,Logan Joseph W,Chief Revenue Officer,S - Sale+OE,$313.88,"-6,053","92,505",-6%,"-$1,899,897",,,,
7,D,2021-06-28 13:33:57,2021-06-24,SNPS,Pham Trac,CFO,S - Sale+OE,$273.19,"-17,831","31,147",-36%,"-$4,871,235",,,,
8,D,2021-06-15 14:22:04,2021-06-14,SNPS,Runkel John F Jr,"GC, Corporate Secretary",S - Sale+OE,$263.14,"-4,237","20,014",-17%,"-$1,114,924",,,,
9,,2021-05-25 19:23:32,2021-05-25,SNPS,Nikias Chrysostomos L,Dir,S - Sale,$250.05,"-1,000","23,232",-4%,"-$250,050",,,,
10,D,2021-05-24 14:33:06,2021-05-21,SNPS,Chaffin Janice,Dir,S - Sale+OE,$242.93,"-7,111","13,295",-35%,"-$1,727,472",,,,
11,,2021-05-24 14:32:51,2021-05-21,SNPS,Chan Chi-Foon,"Co-CEO, Pres",S - Sale,$242.96,"-7,040","176,834",-4%,"-$1,710,448",,,,
