,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-31 16:15:57,2021-08-27,TRV,Bessette Andy F,"EVP, Chief Admin Officer",S - Sale+OE,$162.05,"-20,835","13,476",-61%,"-$3,376,392",,,,
2,D,2021-07-28 16:56:51,2021-07-26,TRV,Klein Michael Frederick,"EVP, Pres, Personal Ins.",S - Sale+OE,$149.22,"-12,000","6,000",-67%,"-$1,790,680",,,,
3,D,2021-05-17 16:41:55,2021-05-13,TRV,Klein Michael Frederick,"EVP, Pres, Personal Ins.",S - Sale+OE,$156.41,"-10,000","5,990",-63%,"-$1,564,060",,,,
4,D,2021-05-12 16:04:24,2021-05-10,TRV,Heyman William H,Vice COB,S - Sale+OE,$161.95,"-6,000","249,331",-2%,"-$971,678",,,,
5,DM,2021-05-10 16:14:50,2021-05-06,TRV,Heyman William H,Vice COB,S - Sale+OE,$160.42,"-6,000","249,331",-2%,"-$962,500",,,,
6,D,2021-05-07 16:08:27,2021-05-06,TRV,Olivo Maria,"EVP, Strat Dev, Pres Intl",S - Sale+OE,$160.29,"-9,900","95,371",-9%,"-$1,586,911",,,,
7,,2021-05-06 16:08:03,2021-05-05,TRV,Russell Douglas K,"SVP, Corp Contr, Treasurer",S - Sale,$159.35,"-2,461","17,911",-12%,"-$392,170",,,,
8,DM,2021-05-06 16:06:31,2021-05-04,TRV,Heyman William H,Vice COB,S - Sale+OE,$158.96,"-5,500","249,331",-2%,"-$874,250",,,,
9,D,2021-05-05 16:17:19,2021-05-04,TRV,Toczydlowski Gregory C,"EVP, Pres, Business Ins.",S - Sale+OE,$157.80,"-38,013","13,480",-74%,"-$5,998,261",,,,
10,DM,2021-04-26 16:56:37,2021-04-22,TRV,Heyman William H,Vice COB,S - Sale+OE,$157.30,"-23,500","249,331",-9%,"-$3,696,560",,,,
11,,2021-04-23 16:15:31,2021-04-22,TRV,Frey Daniel S.,"EVP, CFO",S - Sale,$154.90,"-1,485",846,-64%,"-$230,032",,,,
12,D,2021-04-23 16:12:00,2021-04-22,TRV,Schnitzer Alan D,"COB, CEO",S - Sale+OE,$155.00,"-60,979","192,740",-24%,"-$9,451,881",,,,
13,,2021-02-26 16:06:40,2021-02-25,TRV,Bessette Andy F,"EVP, Chief Admin Officer",S - Sale,$149.58,"-2,000","13,459",-13%,"-$299,160",,,,
14,DM,2021-02-25 16:39:56,2021-02-23,TRV,Heyman William H,Vice COB,S - Sale+OE,$150.07,"-7,500","249,323",-3%,"-$1,125,555",,,,
15,D,2021-02-25 16:28:08,2021-02-24,TRV,Olivo Maria,"EVP, Strat Dev, Pres Intl",S - Sale+OE,$150.63,"-10,000","95,370",-9%,"-$1,506,270",,,,
16,D,2021-02-24 16:22:22,2021-02-23,TRV,Toczydlowski Gregory C,"EVP, Pres, Business Ins.",S - Sale+OE,$148.86,"-11,536","13,478",-46%,"-$1,717,274",,,,
17,D,2021-02-19 16:11:04,2021-02-17,TRV,Heyman William H,Vice COB,S - Sale+OE,$148.25,"-3,000","249,323",-1%,"-$444,750",,,,
18,D,2021-02-11 16:08:57,2021-02-10,TRV,Klein Michael Frederick,"EVP, Pres, Personal Ins.",S - Sale+OE,$146.25,"-23,230","1,706",-93%,"-$3,397,388",,,,
19,D,2021-01-27 16:23:35,2021-01-25,TRV,Schnitzer Alan D,"COB, CEO",S - Sale+OE,$146.10,"-53,246","173,897",-23%,"-$7,779,347",,,,
20,DM,2021-01-27 16:18:43,2021-01-25,TRV,Heyman William H,Vice COB,S - Sale+OE,$146.68,"-7,000","243,808",-3%,"-$1,026,750",,,,
21,D,2020-11-20 16:08:03,2020-11-18,TRV,Heyman William H,Vice COB,S - Sale+OE,$137.00,"-2,500","243,799",-1%,"-$342,500",,,,
22,D,2020-11-18 16:38:38,2020-11-16,TRV,Heyman William H,Vice COB,S - Sale+OE,$136.21,"-5,000","243,799",-2%,"-$681,056",,,,
23,D,2020-11-13 16:15:18,2020-11-11,TRV,Olivo Maria,"EVP, Strat Dev, Pres Intl",S - Sale+OE,$136.09,"-26,284","92,835",-22%,"-$3,576,990",,,,
24,,2020-08-12 16:06:21,2020-08-11,TRV,Ruegger Philip T III,Dir,P - Purchase,$121.06,+825,"34,885",+2%,"+$99,876",,,,
25,,2020-03-02 16:15:01,2020-02-28,TRV,Ruegger Philip T III,Dir,P - Purchase,$118.54,+670,"33,881",+2%,"+$79,422",,,,
26,,2020-02-25 16:35:17,2020-02-24,TRV,Toczydlowski Gregory C,"EVP, Pres, Business Ins.",S - Sale,$134.67,"-5,365","13,471",-28%,"-$722,510",,,,
27,,2020-02-25 16:29:05,2020-02-24,TRV,Klein Michael Frederick,"EVP, Pres, Personal Ins.",S - Sale,$134.68,"-4,983","1,658",-75%,"-$671,096",,,,
28,,2020-02-25 16:26:25,2020-02-21,TRV,Heyman William H,Vice COB,S - Sale,$135.20,"-7,041","243,764",-3%,"-$951,943",,,,
29,D,2019-12-02 12:40:44,2019-11-27,TRV,Heyman William H,Vice COB,S - Sale+OE,$137.08,"-1,000","243,754",0%,"-$137,080",,,,
