,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-06-02 16:03:11,2021-06-01,SRE,Sagara Kevin C.,"EVP, Group Pres",S - Sale,$135.69,"-15,525","6,888",-69%,"-$2,106,587",,,,
2,,2021-06-02 16:01:45,2021-06-01,SRE,Mihalik Trevor I,"EVP, CFO",S - Sale,$135.75,"-5,387","11,535",-32%,"-$731,285",,,,
3,,2020-09-08 16:53:29,2020-09-08,SRE,Walker Cynthia Lynn,Dir,P - Purchase,$117.70,"+1,000","4,636",+28%,"+$117,700",,,,
4,,2020-08-26 16:46:25,2020-08-25,SRE,Walker Cynthia Lynn,Dir,P - Purchase,$125.46,"+2,000","3,636",+122%,"+$250,920",,,,
5,,2020-08-12 17:54:53,2020-08-12,SRE,Brown Kathleen,Dir,P - Purchase,$134.08,+746,"1,477",+102%,"+$100,024",,,,
6,,2020-08-12 16:22:48,2020-08-11,SRE,Mears Michael N,Dir,P - Purchase,$131.83,"+2,000","2,000",New,"+$263,660",,,,
7,,2020-08-10 17:21:29,2020-08-07,SRE,Conesa Andres,Dir,P - Purchase,$129.44,"+2,700","7,792",+53%,"+$349,488",,,,
8,,2020-06-18 20:49:47,2020-06-18,SRE,Mihalik Trevor I,"EVP, CFO",S - Sale,$124.16,"-10,281","14,283",-42%,"-$1,276,481",,,,
9,,2020-03-13 18:42:22,2020-03-13,SRE,Arriola Dennis V,"EVP, Group Pres",P - Purchase,$100.73,"+1,000","48,495",+2%,"+$100,730",,,,
10,,2020-01-22 13:24:57,2020-01-21,SRE,Wall Peter R,"VP, Controller, CAO",S - Sale,$156.84,"-1,569","2,242",-41%,"-$246,082",,,,
11,,2020-01-17 20:12:02,2020-01-17,SRE,Martin Jeffrey W,"COB, CEO",S - Sale,$155.66,"-8,251","32,473",-20%,"-$1,284,364",,,,
12,,2019-11-25 17:15:03,2019-11-22,SRE,Conesa Andres,Dir,P - Purchase,$147.26,"+2,000","4,749",+73%,"+$294,520",,,,
13,,2019-09-04 17:35:24,2019-09-03,SRE,Householder Joseph A,"Pres, COO",S - Sale,$143.21,"-14,304","48,453",-23%,"-$2,048,476",,,,
14,,2019-05-28 18:16:21,2019-05-28,SRE,Martin Jeffrey W,"COB, CEO",S - Sale,$133.85,"-9,392","38,534",-20%,"-$1,257,137",,,,
15,,2019-05-23 19:03:00,2019-05-23,SRE,Wall Peter R,"VP, Controller, CAO",S - Sale,$135.47,-723,"2,359",-23%,"-$97,945",,,,
16,,2019-05-23 19:00:24,2019-05-23,SRE,Householder Joseph A,"Pres, COO",S - Sale,$134.80,"-50,400","48,236",-51%,"-$6,793,857",,,,
17,D,2019-04-15 19:37:03,2019-04-15,SRE,Schenk Lynn,Dir,S - Sale+OE,$128.92,"-5,000","11,306",-31%,"-$644,600",,,,
