,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-06 19:14:02,2021-10-04,STX,Romano Gianluca,"EVP, CFO",S - Sale+OE,$84.40,"-26,139","21,514",-55%,"-$2,206,010",,,,
2,DM,2021-09-15 19:20:55,2021-09-13,STX,Teh Ban Seng,"EVP, Global Sales",S - Sale+OE,$83.88,"-3,445","8,710",-28%,"-$288,979",,,,
3,D,2021-09-14 19:23:54,2021-09-10,STX,Teh Ban Seng,"EVP, Global Sales",S - Sale+OE,$87.23,"-2,340","10,495",-18%,"-$204,118",,,,
4,D,2021-09-03 16:23:40,2021-09-01,STX,Mosley William D,CEO,S - Sale+OE,$86.95,"-31,500","550,613",-5%,"-$2,739,059",,,,
5,,2021-06-14 20:55:35,2021-06-10,STX,Zander Edward J,Dir,S - Sale,$97.58,"-12,043","37,615",-24%,"-$1,175,208",,,,
6,,2021-06-14 20:50:22,2021-06-10,STX,Cannon Michael R,Dir,S - Sale,$97.48,"-7,102","27,060",-21%,"-$692,269",,,,
7,D,2021-05-05 16:19:40,2021-05-03,STX,Mosley William D,CEO,S - Sale+OE,$92.49,"-77,754","492,410",-14%,"-$7,191,669",,,,
8,D,2021-05-05 16:14:34,2021-05-03,STX,Romano Gianluca,"EVP, CFO",S - Sale+OE,$92.02,"-79,358","11,326",-88%,"-$7,302,895",,,,
9,M,2021-05-04 17:18:10,2021-04-30,STX,"Valueact Holdings, L.P.",See remarks,S - Sale,$90.14,"-5,634,153",0,-100%,"-$507,890,402",,,,
10,D,2021-05-03 18:18:01,2021-04-30,STX,Schuelke Katherine,"SVP, CLO, Corporate Secretary",S - Sale+OE,$95.70,"-24,525","19,503",-56%,"-$2,347,002",,,,
11,D,2021-05-03 18:03:41,2021-04-29,STX,Naik Ravi,"EVP, CIO",S - Sale+OE,$96.86,"-40,000","15,660",-72%,"-$3,874,588",,,,
12,,2021-04-28 16:30:59,2021-04-26,STX,Luczo Stephen J,Dir,S - Sale,$92.13,"-100,000","282,199",-26%,"-$9,213,220",,,,
13,D,2021-03-16 17:09:33,2021-03-12,STX,Luczo Stephen J,Dir,S - Sale+OE,$76.67,"-244,384","397,199",-38%,"-$18,737,428",,,,
14,D,2021-03-16 17:01:30,2021-03-12,STX,Teh Ban Seng,"EVP, Global Sales",S - Sale+OE,$76.72,"-20,357","3,489",-85%,"-$1,561,832",,,,
15,,2021-03-12 16:11:54,2021-03-11,STX,Tilenius Stephanie,Dir,S - Sale,$77.38,"-7,000","16,468",-30%,"-$541,664",,,,
16,D,2021-03-10 16:14:40,2021-03-08,STX,Luczo Stephen J,Dir,S - Sale+OE,$74.47,"-127,600","447,199",-22%,"-$9,502,512",,,,
17,,2021-03-08 16:39:39,2021-03-05,STX,Schuelke Katherine,"SVP, CLO, Corporate Secretary",S - Sale,$73.20,"-4,525","24,028",-16%,"-$331,230",,,,
18,,2021-03-08 16:29:08,2021-03-04,STX,Luczo Stephen J,Dir,S - Sale,$71.95,"-75,000","447,199",-14%,"-$5,396,198",,,,
19,,2021-03-05 16:52:45,2021-03-03,STX,"Valueact Holdings, L.P.",See remarks,S - Sale,$72.75,"-4,650,000","3,105,373",-60%,"-$338,287,500",,,,
20,,2021-03-01 16:20:10,2021-02-26,STX,Geldmacher Jay L,Dir,S - Sale,$74.55,"-7,500","3,283",-70%,"-$559,125",,,,
21,D,2021-02-22 18:29:43,2021-02-18,STX,Teh Ban Seng,"EVP, Global Sales",S - Sale+OE,$72.78,"-10,000","22,160",-31%,"-$727,800",,,,
22,,2021-02-18 16:52:26,2021-02-16,STX,Fochtman Jeffrey D.,"SVP, Business, Marketing",S - Sale,$71.61,"-5,000",781,-86%,"-$358,050",,,,
23,AD,2021-01-29 18:40:31,2020-12-16,STX,Nygaard Jeffrey D.,EVP,S - Sale+OE,$66.00,"-10,000","76,875",-12%,"-$660,000",,,,
24,D,2021-01-29 18:38:06,2021-01-27,STX,Nygaard Jeffrey D.,EVP,S - Sale+OE,$68.76,"-38,689","59,133",-40%,"-$2,660,090",,,,
25,M,2021-01-15 18:13:09,2021-01-13,STX,"Valueact Holdings, L.P.","See Remarks, 10%",S - Sale,$60.24,"-703,034","3,732,892",-16%,"-$42,352,270",,,,
26,M,2021-01-11 17:07:03,2021-01-07,STX,"Valueact Holdings, L.P.","See Remarks, 10%",S - Sale,$60.25,"-617,691","3,827,767",-14%,"-$37,214,057",,,,
27,M,2021-01-06 18:43:05,2021-01-04,STX,"Valueact Holdings, L.P.","See Remarks, 10%",S - Sale,$60.47,"-1,164,725","3,911,125",-23%,"-$70,433,076",,,,
28,M,2020-12-31 18:16:55,2020-12-29,STX,"Valueact Holdings, L.P.","See Remarks, 10%",S - Sale,$61.20,"-1,414,550","4,068,306",-26%,"-$86,565,660",,,,
29,,2020-12-28 17:39:24,2020-12-23,STX,Nygaard Jeffrey D.,EVP,S - Sale,$63.46,"-17,742","59,133",-23%,"-$1,125,824",,,,
30,D,2020-12-08 20:05:15,2020-12-07,STX,Fochtman Jeffrey D.,"SVP, Business, Marketing",S - Sale+OE,$63.42,"-4,695","5,781",-45%,"-$297,771",,,,
31,DM,2020-12-07 18:06:04,2020-12-03,STX,Nygaard Jeffrey D.,EVP,S - Sale+OE,$62.92,"-37,152","76,875",-33%,"-$2,337,730",,,,
32,,2020-12-07 18:01:49,2020-12-03,STX,Luczo Stephen J,Dir,S - Sale,$62.55,"-20,000","522,199",-4%,"-$1,250,956",,,,
33,D,2020-12-02 19:34:38,2020-12-01,STX,Nygaard Jeffrey D.,EVP,S - Sale+OE,$59.83,"-15,000","76,875",-16%,"-$897,500",,,,
34,D,2020-11-25 19:03:33,2020-11-24,STX,Nygaard Jeffrey D.,EVP,S - Sale+OE,$58.00,"-5,000","76,875",-6%,"-$290,000",,,,
35,D,2020-11-24 18:30:39,2020-11-23,STX,Nygaard Jeffrey D.,EVP,S - Sale+OE,$56.50,"-4,145","76,875",-5%,"-$234,193",,,,
36,,2020-10-21 19:00:12,2020-10-20,STX,Luczo Stephen J,Dir,S - Sale,$52.49,"-7,000","548,629",-1%,"-$367,430",,,,
37,,2020-10-13 21:47:58,2020-10-08,STX,Luczo Stephen J,Dir,S - Sale,$51.00,"-56,000","555,629",-9%,"-$2,856,157",,,,
38,,2020-09-04 19:00:34,2020-09-03,STX,Zander Edward J,Dir,S - Sale,$47.74,"-16,698","46,088",-27%,"-$797,099",,,,
39,D,2020-07-24 20:33:38,2020-07-23,STX,Teh Ban Seng,"SVP, Sales",S - Sale+OE,$50.00,-498,"10,829",-4%,"-$24,900",,,,
40,,2020-06-18 16:57:31,2020-06-16,STX,Luczo Stephen J,Dir,S - Sale,$52.35,"-7,000","551,666",-1%,"-$366,456",,,,
