,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-05-27 16:16:28,2021-05-25,STZ,Sabia James A. Jr.,"EVP, MD-Beer",S - Sale+OE,$239.06,"-12,120","48,316",-20%,"-$2,897,342",,,,
2,,2021-05-06 16:25:37,2021-05-04,STZ,Kane Thomas Michael,"EVP, CHRO",S - Sale,$242.03,"-4,035","6,182",-39%,"-$976,578",,,,
3,D,2021-05-04 16:25:55,2021-04-30,STZ,Locke James A III,Dir,S - Sale+OE,$240.52,"-11,341","39,517",-22%,"-$2,727,715",,,,
4,D,2021-05-03 16:58:48,2021-04-29,STZ,Newlands William A,"Pres, CEO",S - Sale+OE,$239.19,"-27,327","12,593",-68%,"-$6,536,309",,,,
5,D,2021-05-03 16:58:28,2021-04-29,STZ,Fowden Jeremy S G,Dir,S - Sale+OE,$241.90,"-6,517","17,934",-27%,"-$1,576,491",,,,
6,D,2021-01-12 17:37:18,2021-01-08,STZ,Hanson Robert Lee,"EVP, Pres Wine, Spirits",S - Sale+OE,$228.78,"-6,101","4,078",-60%,"-$1,395,799",,,,
7,,2021-01-12 17:28:01,2021-01-08,STZ,Hetterich F Paul,"EVP, Pres Beer",S - Sale,$230.27,"-6,069","72,031",-8%,"-$1,397,504",,,,
8,D,2020-12-02 16:18:41,2020-11-30,STZ,Schmeling Judy,Dir,S - Sale+OE,$205.51,"-5,662","4,276",-57%,"-$1,163,598",,,,
9,D,2020-11-13 16:27:47,2020-11-10,STZ,Sands Richard,"Vice COB, 10%",S - Sale+OE,$200.32,"-408,922","5,649,438",-7%,"-$81,913,866",,,,
10,DM,2020-07-27 16:17:00,2020-07-23,STZ,Sands Robert,"COB, 10%",S - Sale+OE,$180.30,"-186,613","6,059,475",-3%,"-$33,645,500",,,,
11,DM,2020-07-27 16:16:39,2020-07-23,STZ,Sands Richard,"Vice COB, 10%",S - Sale+OE,$180.12,"-638,407","5,649,438",-10%,"-$114,991,129",,,,
12,DM,2020-07-23 18:13:35,2020-07-21,STZ,Sands Robert,"COB, 10%",S - Sale+OE,$180.39,"-212,387","6,059,475",-3%,"-$38,313,187",,,,
13,DM,2020-07-23 18:13:16,2020-07-21,STZ,Sands Richard,"Vice COB, 10%",S - Sale+OE,$180.42,"-335,893","5,649,438",-6%,"-$60,602,985",,,,
14,DM,2020-02-19 16:19:37,2020-02-14,STZ,Hetterich F Paul,"EVP, Pres Beer",S - Sale+OE,$203.83,"-44,375","53,548",-45%,"-$9,044,928",,,,
15,D,2020-02-18 06:45:42,2020-02-14,STZ,Locke James A III,Dir,S - Sale+OE,$204.50,"-8,298","39,000",-18%,"-$1,696,968",,,,
16,,2020-02-11 16:15:59,2020-02-07,STZ,Hanson Robert Lee,"EVP, Pres Wine, Spirits",S - Sale,$200.39,"-2,028","2,639",-43%,"-$406,396",,,,
17,D,2020-01-10 17:06:13,2020-01-09,STZ,Hanson Robert Lee,"EVP, Pres Wine, Spirits",S - Sale+OE,$195.00,"-4,056","4,535",-47%,"-$790,920",,,,
18,D,2020-01-10 17:04:19,2020-01-09,STZ,Kane Thomas Michael,"EVP, CHRO",S - Sale+OE,$193.62,"-12,824","7,110",-64%,"-$2,483,024",,,,
19,D,2020-01-10 17:03:07,2020-01-09,STZ,Klein David Eric,"Exec Vice Pres, CFO",S - Sale+OE,$195.48,"-36,488","45,356",-45%,"-$7,132,550",,,,
20,D,2019-09-04 16:23:45,2019-08-30,STZ,Sands Robert,"COB, 10%",S - Sale+OE,$204.56,"-93,497","6,188,436",-1%,"-$19,125,579",,,,
21,D,2019-09-04 16:20:51,2019-08-30,STZ,Sands Richard,"Vice COB, 10%",S - Sale+OE,$204.57,"-95,521","5,785,688",-2%,"-$19,540,256",,,,
22,D,2019-07-18 16:20:50,2019-07-16,STZ,Fowden Jeremy S G,Dir,S - Sale+OE,$197.35,"-10,213","17,417",-37%,"-$2,015,575",,,,
23,,2019-05-30 16:18:43,2019-05-28,STZ,Sabia James A. Jr.,"EVP, CMO",S - Sale,$194.70,"-4,275","45,886",-9%,"-$832,352",,,,
24,,2019-05-17 16:16:37,2018-11-16,STZ,Sabia James A. Jr.,"EVP, CMO",S - Sale,$197.18,-850,"50,161",-2%,"-$167,605",,,,
25,DM,2019-05-17 16:16:33,2019-05-15,STZ,Sands Robert,"COB, 10%",S - Sale+OE,$206.55,"-65,611","6,188,436",-1%,"-$13,551,755",,,,
26,DM,2019-05-17 16:16:29,2019-05-15,STZ,Sands Richard,"Vice COB, 10%",S - Sale+OE,$206.54,"-65,984","5,785,688",-1%,"-$13,628,400",,,,
27,D,2019-04-22 16:16:38,2019-04-18,STZ,Klein David Eric,"Exec Vice Pres, CFO",S - Sale+OE,$198.66,"-25,980","43,872",-37%,"-$5,161,179",,,,
28,,2019-04-08 16:20:13,2019-04-05,STZ,Kane Thomas Michael,"EVP, CHRO",S - Sale,$190.08,"-3,071","5,548",-36%,"-$583,743",,,,
29,,2019-02-19 06:01:46,2019-02-15,STZ,Fromberg Barry A,Dir,S - Sale,$174.72,"-1,500","18,240",-8%,"-$262,076",,,,
30,D,2019-02-05 16:09:12,2019-02-01,STZ,Fromberg Barry A,Dir,S - Sale+OE,$173.05,-810,"19,740",-4%,"-$140,171",,,,
31,,2018-10-23 16:20:16,2018-10-19,STZ,Kane Thomas Michael,"EVP, CHRO",S - Sale,$223.83,"-4,419","8,499",-34%,"-$989,106",,,,
32,DM,2018-10-23 16:20:11,2018-10-19,STZ,Sands Richard,"COB, 10%",S - Sale+OE,$223.69,"-148,773","5,844,413",-2%,"-$33,278,538",,,,
33,DM,2018-10-23 16:20:07,2018-10-19,STZ,Sands Robert,"CEO, 10%",S - Sale+OE,$223.67,"-151,060","6,242,250",-2%,"-$33,786,909",,,,
34,,2018-04-26 16:30:29,2018-04-25,STZ,Stenzel Christopher,Exec VP,S - Sale,$225.50,"-7,971","35,372",-18%,"-$1,797,430",,,,
35,D,2018-04-19 16:08:52,2018-04-17,STZ,Locke James A III,Dir,S - Sale+OE,$230.50,"-6,398","38,556",-14%,"-$1,474,739",,,,
36,D,2018-04-04 16:50:41,2018-04-02,STZ,Fromberg Barry A,Dir,S - Sale+OE,$229.22,"-3,000","19,296",-13%,"-$687,672",,,,
37,D,2018-04-03 16:48:04,2018-04-02,STZ,Klein David Eric,"Exec Vice Pres, CFO",S - Sale+OE,$228.44,"-17,900","40,246",-31%,"-$4,088,979",,,,
38,,2018-02-01 16:11:38,2018-01-30,STZ,Fromberg Barry A,Dir,S - Sale,$220.42,"-2,005","19,296",-9%,"-$441,943",,,,
39,D,2017-11-09 16:42:51,2017-11-08,STZ,Mullin Thomas J,"EVP, Gen. Counsel",S - Sale+OE,$217.01,"-18,227","54,697",-25%,"-$3,955,452",,,,
40,DM,2017-10-17 16:12:52,2017-10-13,STZ,Mullin Thomas J,"EVP, Gen. Counsel",S - Sale+OE,$209.45,"-50,000","54,697",-48%,"-$10,472,263",,,,
41,D,2017-10-12 16:27:10,2017-10-10,STZ,Fromberg Barry A,Dir,S - Sale+OE,$208.00,"-2,500","21,301",-11%,"-$520,000",,,,
42,,2017-10-10 16:18:48,2017-10-09,STZ,Newlands William A,Exec. VP,S - Sale,$210.10,"-2,935",899,-77%,"-$616,644",,,,
43,,2017-08-24 16:09:32,2017-08-23,STZ,Hackett William F.,Exec VP,S - Sale,$197.00,"-12,517","51,671",-20%,"-$2,465,809",,,,
44,DM,2017-08-03 16:27:05,2017-08-01,STZ,Mullin Thomas J,"EVP, Gen. Counsel",S - Sale+OE,$194.50,"-54,834","54,697",-50%,"-$10,664,981",,,,
45,,2017-07-20 16:17:18,2017-07-19,STZ,Stenzel Christopher,Exec VP,S - Sale,$196.75,"-5,000","39,721",-11%,"-$983,749",,,,
