,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-05-06 16:30:52,2021-05-04,SWK,Ramirez Jaime A,"EVP, Pres, Tools, Storage",S - Sale,$209.99,"-8,315","30,097",-22%,"-$1,746,101",,,,
2,D,2021-05-05 16:52:09,2021-05-03,SWK,Link Janet,"SVP, GC, Sec'y",S - Sale+OE,$209.03,"-7,446","22,015",-25%,"-$1,556,458",,,,
3,,2021-03-19 16:48:32,2021-03-17,SWK,Ansell Jeffrey D,"EVP, Stanley Black, Decker",S - Sale,$190.53,"-3,304","21,884",-13%,"-$629,511",,,,
4,D,2021-03-17 17:29:35,2021-03-15,SWK,Wyatt John H,"SVP, Pres, Outdoor, Aerospace",S - Sale+OE,$192.84,"-30,000","45,430",-40%,"-$5,785,188",,,,
5,,2021-03-04 16:34:36,2021-03-02,SWK,Ansell Jeffrey D,"EVP, Stanley Black, Decker",S - Sale,$186.00,"-2,809","15,741",-15%,"-$522,474",,,,
6,D,2021-02-04 16:36:26,2021-02-02,SWK,Link Janet,"SVP, GC, Sec'y",S - Sale+OE,$176.01,"-8,896","17,953",-33%,"-$1,565,794",,,,
7,D,2021-02-04 16:28:02,2021-02-02,SWK,Belisle Jocelyn,"VP, Chief Accounting Officer",S - Sale+OE,$176.70,"-5,711","10,928",-34%,"-$1,009,112",,,,
8,D,2021-02-03 16:26:17,2021-02-01,SWK,Loree James M,"Pres, CEO",S - Sale+OE,$174.00,"-67,000","138,455",-33%,"-$11,657,641",,,,
9,,2020-12-11 16:38:14,2020-12-09,SWK,Raff Robert H Jr,"Pres, Stanley Security",S - Sale,$178.62,-943,"5,495",-15%,"-$168,439",,,,
10,,2020-12-11 16:35:47,2020-12-09,SWK,Ansell Jeffrey D,"EVP, Stanley Black, Decker",S - Sale,$178.62,-393,"15,705",-2%,"-$70,198",,,,
11,M,2020-12-09 17:16:50,2020-12-07,SWK,Ansell Jeffrey D,"EVP, Stanley Black, Decker",S - Sale,$178.25,"-1,191","16,098",-7%,"-$212,291",,,,
12,D,2020-12-07 20:57:34,2020-12-04,SWK,Ansell Jeffrey D,"EVP, Stanley Black, Decker",S - Sale+OE,$180.43,-702,"17,658",-4%,"-$126,662",,,,
13,D,2020-12-04 16:52:13,2020-12-02,SWK,Raff Robert H Jr,"Pres, Stanley Security",S - Sale+OE,$179.80,"-1,875","5,793",-24%,"-$337,125",,,,
14,D,2020-12-04 16:33:34,2020-12-02,SWK,Ansell Jeffrey D,"EVP, Stanley Black, Decker",S - Sale+OE,$179.32,"-6,250","16,726",-27%,"-$1,120,747",,,,
15,,2020-11-13 16:34:48,2020-11-11,SWK,Wyatt John H,"SVP, Pres, Outdoor, Aerospace",S - Sale,$180.01,"-22,894","48,277",-32%,"-$4,121,046",,,,
16,,2020-11-10 16:18:22,2020-11-06,SWK,Belisle Jocelyn,"VP, Chief Accounting Officer",S - Sale,$176.87,"-3,071","11,522",-21%,"-$543,177",,,,
17,,2020-11-04 16:28:08,2020-11-02,SWK,Link Janet,"SVP, GC, Sec'y",S - Sale,$168.52,"-1,928","18,734",-9%,"-$324,906",,,,
18,D,2020-11-04 16:24:45,2020-11-02,SWK,Allan Donald,"EVP, CFO",S - Sale+OE,$167.48,"-39,483","82,564",-32%,"-$6,612,742",,,,
19,,2020-10-21 16:20:39,2020-10-19,SWK,Raff Robert H Jr,"Pres, Stanley Security",S - Sale,$176.72,"-3,032","5,092",-37%,"-$535,815",,,,
20,D,2020-09-01 16:44:16,2020-08-28,SWK,Raff Robert H Jr,"Pres, Stanley Security",S - Sale+OE,$162.00,"-16,875","10,952",-61%,"-$2,733,750",,,,
21,D,2020-08-11 16:26:26,2020-08-07,SWK,Belisle Jocelyn,"VP, Chief Accounting Officer",S - Sale+OE,$154.70,"-10,000","14,593",-41%,"-$1,546,984",,,,
22,D,2020-08-10 17:12:29,2020-08-06,SWK,Ramirez Jaime A,"EVP, Pres, Tools, Storage",S - Sale+OE,$155.22,"-22,700","31,834",-42%,"-$3,523,583",,,,
23,D,2020-08-05 16:15:47,2020-08-03,SWK,Ansell Jeffrey D,"EVP, Pres Tools, Storage",S - Sale+OE,$154.82,"-38,750","17,317",-69%,"-$5,999,411",,,,
24,,2020-08-05 16:13:55,2020-08-03,SWK,Raff Robert H Jr,"Pres, Stanley Security",S - Sale,$155.52,"-1,431","10,952",-12%,"-$222,552",,,,
25,,2020-06-09 16:38:31,2020-06-05,SWK,Ansell Jeffrey D,"EVP, Pres Tools, Storage",S - Sale,$150.64,"-6,579","17,259",-28%,"-$991,061",,,,
26,D,2020-02-10 16:19:06,2020-02-06,SWK,Loree James M,"Pres, CEO",S - Sale+OE,$165.98,"-62,261","126,567",-33%,"-$10,334,299",,,,
27,D,2020-02-05 16:45:41,2020-02-03,SWK,Voelker Joseph R,"SVP, CHRO",S - Sale+OE,$162.15,"-27,612","10,610",-72%,"-$4,477,259",,,,
28,,2019-12-26 16:19:05,2019-12-23,SWK,Raff Robert H Jr,"Pres, Stanley Security",S - Sale,$166.16,-990,"14,025",-7%,"-$164,498",,,,
29,M,2019-12-10 16:38:09,2019-12-09,SWK,Ansell Jeffrey D,"EVP, Pres Tools, Storage",S - Sale,$158.22,"-8,148","10,780",-43%,"-$1,289,170",,,,
30,,2019-12-06 16:27:25,2019-12-06,SWK,Ansell Jeffrey D,"EVP, Pres Tools, Storage",S - Sale,$158.23,"-1,333","19,297",-6%,"-$210,921",,,,
31,D,2019-12-05 17:15:31,2019-12-04,SWK,Ansell Jeffrey D,"EVP, Pres Tools, Storage",S - Sale+OE,$153.56,-702,"27,875",-2%,"-$107,799",,,,
32,,2019-11-26 17:04:51,2019-11-26,SWK,Belisle Jocelyn,"VP, Chief Accounting Officer",S - Sale,$158.72,-206,"12,329",-2%,"-$32,697",,,,
33,D,2019-11-26 17:01:34,2019-11-25,SWK,Ramirez Jaime A,"SVP, Pres, GEM, Elu",S - Sale+OE,$158.93,"-16,108","34,755",-32%,"-$2,560,045",,,,
34,DM,2019-11-14 16:53:22,2019-11-12,SWK,Allan Donald,"EVP, CFO",S - Sale+OE,$157.57,"-49,051","96,087",-34%,"-$7,728,848",,,,
35,D,2019-11-12 16:42:41,2019-11-07,SWK,Ansell Jeffrey D,"EVP, Pres Tools, Storage",S - Sale+OE,$161.90,"-20,000","26,574",-43%,"-$3,238,000",,,,
36,D,2019-11-06 17:02:38,2019-11-05,SWK,Wyatt John H,Pres-SEF,S - Sale+OE,$159.87,"-17,500","63,851",-22%,"-$2,797,709",,,,
37,D,2019-10-31 17:14:03,2019-10-29,SWK,Raff Robert H Jr,"Pres, Stanley Security",S - Sale+OE,$151.36,"-3,661","14,100",-21%,"-$554,129",,,,
38,,2019-08-29 16:04:00,2019-08-28,SWK,Belisle Jocelyn,"VP, Chief Accounting Officer",S - Sale,$129.61,-268,"12,535",-2%,"-$34,734",,,,
39,D,2019-07-31 16:18:20,2019-07-29,SWK,Ramirez Jaime A,"SVP, Pres, GEM, Elu",S - Sale+OE,$151.04,"-9,850","38,356",-20%,"-$1,487,765",,,,
40,,2019-05-23 16:23:06,2019-05-21,SWK,Ramirez Jaime A,"SVP, Pres, GEM, Elu",S - Sale,$136.94,"-1,000","38,356",-3%,"-$136,939",,,,
41,,2019-05-06 16:15:04,2019-05-03,SWK,Raff Robert H Jr,"Pres, Stanley Security",S - Sale,$151.66,"-6,179","14,886",-29%,"-$937,128",,,,
42,D,2019-05-01 16:23:43,2019-04-29,SWK,Voelker Joseph R,"SVP, CHRO",S - Sale+OE,$147.17,"-27,750","11,005",-72%,"-$4,083,912",,,,
43,AD,2019-04-30 16:54:26,2019-04-26,SWK,Loree James M,"Pres, CEO",S - Sale+OE,$145.14,"-56,699","139,384",-29%,"-$8,229,283",,,,
44,,2019-04-29 16:10:55,2019-04-26,SWK,Loree James M,"Pres, CEO",S - Sale,$145.14,"-56,699","89,384",-39%,"-$8,229,276",,,,
45,,2019-04-25 16:20:28,2019-04-24,SWK,Ansell Jeffrey D,"EVP, Pres Tools, Storage",S - Sale,$150.30,"-15,639","26,574",-37%,"-$2,350,542",,,,
46,,2019-04-12 16:06:08,2019-04-11,SWK,Ansell Jeffrey D,"EVP, Pres Tools, Storage",S - Sale,$145.01,"-9,549","43,332",-18%,"-$1,384,700",,,,
47,,2019-02-27 16:21:31,2019-02-25,SWK,Voelker Joseph R,"SVP, CHRO",S - Sale,$137.48,"-3,488","19,998",-15%,"-$479,532",,,,
48,,2019-02-27 16:09:18,2019-02-25,SWK,Ansell Jeffrey D,"EVP, Pres Tools, Storage",S - Sale,$139.80,"-9,527","52,876",-15%,"-$1,331,875",,,,
49,D,2019-02-20 16:09:29,2019-02-19,SWK,Ramirez Jaime A,"SVP, Pres, GEM, Elu",S - Sale+OE,$136.26,"-1,000","35,749",-3%,"-$136,258",,,,
50,D,2019-01-28 08:43:48,2019-01-24,SWK,Ramirez Jaime A,"SVP, Pres, GEM, Elu",S - Sale+OE,$118.69,-600,"35,743",-2%,"-$71,212",,,,
51,,2018-10-30 17:36:37,2018-10-29,SWK,Ramirez Jaime A,"SVP, Pres Global Emerg Mkts",S - Sale,$111.29,"-8,251","36,566",-18%,"-$918,219",,,,
52,,2018-10-30 16:11:42,2018-10-29,SWK,Hankin Michael David,Dir,P - Purchase,$112.93,+907,"2,157",+73%,"+$102,428",,,,
53,,2018-09-11 16:34:27,2018-09-07,SWK,Belisle Jocelyn,"VP, Chief Accounting Officer",S - Sale,$139.04,"-1,185","12,766",-8%,"-$164,766",,,,
54,,2018-04-27 16:23:03,2018-04-27,SWK,Hankin Michael David,Dir,P - Purchase,$143.28,+350,"1,250",+39%,"+$50,148",,,,
55,,2018-03-06 16:51:29,2018-03-05,SWK,Voelker Joseph R,"SVP, CHRO",S - Sale,$151.44,"-3,284","18,253",-15%,"-$497,329",,,,
56,DM,2017-12-07 15:04:17,2017-12-05,SWK,Ansell Jeffrey D,"EVP, Group Exec-GT, S",S - Sale+OE,$169.20,"-5,737","49,470",-10%,"-$970,676",,,,
57,D,2017-11-13 16:56:48,2017-11-10,SWK,Allan Donald,"EVP, CFO",S - Sale+OE,$163.11,"-30,090","99,113",-23%,"-$4,908,010",,,,
58,D,2017-11-08 16:27:36,2017-11-07,SWK,Belisle Jocelyn,"VP, Chief Accounting Officer",S - Sale+OE,$164.79,"-6,845","11,449",-37%,"-$1,127,978",,,,
59,D,2017-10-31 17:28:07,2017-10-30,SWK,Loree James M,"Pres, CEO",S - Sale+OE,$161.80,"-70,531","105,280",-40%,"-$11,412,032",,,,
60,,2017-10-26 16:08:33,2017-10-25,SWK,Voelker Joseph R,"SVP, CHRO",S - Sale,$162.91,"-4,182","18,355",-19%,"-$681,300",,,,
