,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-03 18:31:07,2021-09-01,SWKS,Bori Carlos S,"SVP, Sales, Marketing",S - Sale+OE,$184.07,"-9,247","15,656",-37%,"-$1,702,095",,,,
2,,2021-08-20 18:36:59,2021-08-18,SWKS,Bori Carlos S,"SVP, Sales, Marketing",S - Sale,$177.75,"-10,696","15,651",-41%,"-$1,901,225",,,,
3,,2021-08-18 18:30:39,2021-08-16,SWKS,Durham Karilee A,"SVP, HR",S - Sale,$181.72,"-4,000","8,203",-33%,"-$726,880",,,,
4,,2021-08-12 18:36:27,2021-08-10,SWKS,Griffin Liam,"COB, CEO, Pres",S - Sale,$186.02,"-10,000","43,164",-19%,"-$1,860,232",,,,
5,,2021-08-09 18:31:08,2021-08-06,SWKS,Furey Timothy R,Dir,S - Sale,$186.05,"-2,000","18,758",-10%,"-$372,100",,,,
6,D,2021-08-06 18:54:18,2021-08-04,SWKS,Bori Carlos S,"SVP, Sales, Marketing",S - Sale+OE,$186.66,"-12,591","26,347",-32%,"-$2,350,169",,,,
7,,2021-08-06 18:39:21,2021-08-04,SWKS,Terry Robert John,"SVP, Gen. Counsel, Secretary",S - Sale,$186.69,"-3,033","8,124",-27%,"-$566,231",,,,
8,,2021-02-10 18:31:34,2021-02-08,SWKS,Griffin Liam,"Pres, CEO",S - Sale,$180.35,"-3,750","53,109",-7%,"-$676,300",,,,
9,D,2021-01-06 18:34:04,2021-01-04,SWKS,Terry Robert John,"SVP, Gen. Counsel, Secretary",S - Sale+OE,$152.94,"-1,000","11,150",-8%,"-$152,940",,,,
10,,2020-12-23 18:35:23,2020-12-21,SWKS,Durham Karilee A,"SVP, HR",S - Sale,$146.41,"-6,500","9,810",-40%,"-$951,678",,,,
11,,2020-11-25 19:04:50,2020-11-24,SWKS,Griffin Liam,"Pres, CEO",S - Sale,$136.69,"-13,800","56,687",-20%,"-$1,886,274",,,,
12,,2020-11-20 18:44:15,2020-11-18,SWKS,Griffin Liam,"Pres, CEO",S - Sale,$139.98,"-12,000","70,487",-15%,"-$1,679,814",,,,
13,,2020-11-18 19:05:48,2020-11-16,SWKS,Terry Robert John,"SVP, Gen. Counsel, Secretary",S - Sale,$142.04,"-3,000","11,145",-21%,"-$426,125",,,,
14,DM,2020-11-13 18:58:22,2020-11-10,SWKS,Terry Robert John,"SVP, Gen. Counsel, Secretary",S - Sale+OE,$143.68,"-1,761","14,145",-11%,"-$253,017",,,,
15,D,2020-11-13 18:51:25,2020-11-12,SWKS,Griffin Liam,"Pres, CEO",S - Sale+OE,$143.04,"-15,321","82,487",-16%,"-$2,191,478",,,,
16,DM,2020-11-09 20:01:36,2020-11-06,SWKS,Terry Robert John,"SVP, Gen. Counsel, Secretary",S - Sale+OE,$147.15,"-9,412","13,499",-41%,"-$1,385,017",,,,
17,,2020-10-09 18:28:54,2020-10-07,SWKS,Griffin Liam,"Pres, CEO",S - Sale,$150.49,"-5,000","60,430",-8%,"-$752,449",,,,
18,D,2020-09-18 18:37:50,2020-09-16,SWKS,Griffin Liam,"Pres, CEO",S - Sale+OE,$141.68,"-9,125","65,433",-12%,"-$1,292,809",,,,
19,,2020-09-11 18:47:34,2020-09-11,SWKS,Bori Carlos S,"SVP, Sales, Marketing",S - Sale,$137.17,"-6,500","18,187",-26%,"-$891,605",,,,
20,,2020-09-04 18:40:42,2020-09-02,SWKS,David P McGlade,Dir,S - Sale,$153.01,"-12,500","37,792",-25%,"-$1,912,625",,,,
21,,2020-08-28 18:30:15,2020-08-26,SWKS,Furey Timothy R,Dir,S - Sale,$143.64,"-2,500","18,618",-12%,"-$359,100",,,,
22,,2020-08-14 18:37:04,2020-08-12,SWKS,Terry Robert John,"SVP, Gen. Counsel, Secretary",S - Sale,$142.30,"-1,000","12,808",-7%,"-$142,300",,,,
23,,2020-08-14 18:34:05,2020-08-12,SWKS,Griffin Liam,"Pres, CEO",S - Sale,$142.60,"-2,500","65,392",-4%,"-$356,499",,,,
24,,2020-08-07 19:35:22,2020-08-05,SWKS,Aldrich David J,Dir,S - Sale,$144.42,"-15,100","155,739",-9%,"-$2,180,742",,,,
25,,2020-08-05 18:36:38,2020-08-03,SWKS,King Christine,Dir,S - Sale,$147.88,"-3,477","15,855",-18%,"-$514,165",,,,
26,D,2020-07-17 18:35:15,2020-07-15,SWKS,Griffin Liam,"Pres, CEO",S - Sale+OE,$130.42,"-9,125","67,918",-12%,"-$1,190,113",,,,
27,,2020-06-24 18:54:02,2020-06-22,SWKS,Griffin Liam,"Pres, CEO",S - Sale,$126.36,"-12,500","67,937",-16%,"-$1,579,512",,,,
28,,2020-06-09 18:48:29,2020-06-05,SWKS,David P McGlade,Dir,S - Sale,$134.14,"-21,800","50,292",-30%,"-$2,924,330",,,,
29,,2020-05-28 18:30:23,2020-05-26,SWKS,Bori Carlos S,"SVP, Sales, Marketing",S - Sale,$120.00,"-5,000","24,640",-17%,"-$600,000",,,,
30,,2020-04-30 18:57:04,2020-04-28,SWKS,Terry Robert John,"SVP, Gen. Counsel, Secretary",S - Sale,$101.00,"-2,000","13,821",-13%,"-$202,000",,,,
31,D,2020-01-29 19:00:34,2020-01-27,SWKS,Griffin Liam,"Pres, CEO",S - Sale+OE,$117.88,"-11,922","76,733",-13%,"-$1,405,357",,,,
32,,2020-01-23 19:00:45,2020-01-21,SWKS,Terry Robert John,"SVP, Gen. Counsel, Secretary",S - Sale,$124.01,"-1,000","15,790",-6%,"-$124,010",,,,
33,D,2020-01-03 18:47:28,2020-01-03,SWKS,Aldrich David J,Dir,S - Sale+OE,$120.01,"-7,560","168,412",-4%,"-$907,286",,,,
34,D,2019-12-27 16:19:34,2019-12-27,SWKS,Aldrich David J,Dir,S - Sale+OE,$121.49,"-30,000","168,409",-15%,"-$3,644,589",,,,
35,D,2019-12-20 18:49:24,2019-12-20,SWKS,Aldrich David J,Dir,S - Sale+OE,$117.79,"-30,000","168,409",-15%,"-$3,533,700",,,,
36,D,2019-12-16 19:18:58,2019-12-12,SWKS,Griffin Liam,"Pres, CEO",S - Sale+OE,$109.94,"-30,000","81,731",-27%,"-$3,298,067",,,,
37,DM,2019-12-13 19:32:38,2019-12-11,SWKS,Aldrich David J,Dir,S - Sale+OE,$109.98,"-45,000","168,409",-21%,"-$4,948,903",,,,
38,D,2019-12-06 19:12:51,2019-12-06,SWKS,Aldrich David J,Dir,S - Sale+OE,$101.06,"-10,000","193,409",-5%,"-$1,010,600",,,,
39,D,2019-12-03 19:20:40,2019-11-29,SWKS,Griffin Liam,"Pres, CEO",S - Sale+OE,$98.87,"-10,000","81,731",-11%,"-$988,700",,,,
40,D,2019-12-03 19:08:24,2019-11-29,SWKS,Aldrich David J,Dir,S - Sale+OE,$98.93,"-10,000","193,409",-5%,"-$989,273",,,,
41,,2019-11-26 18:59:26,2019-11-25,SWKS,Furey Timothy R,Dir,S - Sale,$100.76,"-2,000","18,824",-10%,"-$201,520",,,,
42,D,2019-11-22 19:06:06,2019-11-22,SWKS,Aldrich David J,Dir,S - Sale+OE,$97.47,"-40,000","193,441",-17%,"-$3,898,900",,,,
43,,2019-11-22 19:01:13,2019-11-21,SWKS,Griffin Liam,"Pres, CEO",S - Sale,$96.34,"-15,000","81,750",-16%,"-$1,445,100",,,,
44,DM,2019-11-15 18:59:43,2019-11-14,SWKS,Griffin Liam,"Pres, CEO",S - Sale+OE,$100.00,"-25,000","96,750",-21%,"-$2,500,106",,,,
45,D,2019-11-15 18:54:59,2019-11-15,SWKS,Aldrich David J,Dir,S - Sale+OE,$99.35,"-10,000","223,441",-4%,"-$993,504",,,,
46,D,2019-11-12 19:21:21,2019-11-08,SWKS,Aldrich David J,Dir,S - Sale+OE,$99.07,"-10,000","223,441",-4%,"-$990,694",,,,
47,DM,2019-11-12 19:17:42,2019-11-08,SWKS,Terry Robert John,"SVP, Gen. Counsel, Secretary",S - Sale+OE,$100.04,"-10,320","16,793",-38%,"-$1,032,442",,,,
48,D,2019-11-12 19:14:26,2019-11-07,SWKS,Griffin Liam,"Pres, CEO",S - Sale+OE,$99.01,"-20,000","96,750",-17%,"-$1,980,200",,,,
