,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-03 16:55:26,2021-09-01,SYF,Casellas Alberto,See remarks,S - Sale+OE,$49.09,"-39,977","56,347",-42%,"-$1,962,471",,,,
2,D,2021-09-03 16:54:56,2021-09-01,SYF,Keane Margaret M,See Remarks,S - Sale+OE,$49.11,"-145,747","768,540",-16%,"-$7,157,210",,,,
3,D,2021-09-03 16:53:26,2021-09-01,SYF,Whynott Paul,See remarks,S - Sale+OE,$49.09,"-23,534","58,898",-29%,"-$1,155,284",,,,
4,D,2021-09-03 16:53:02,2021-09-01,SYF,Greig Henry F,See Remarks,S - Sale+OE,$49.09,"-21,121","186,112",-10%,"-$1,036,830",,,,
5,D,2021-06-30 16:13:47,2021-06-28,SYF,Juel Carol,See remarks,S - Sale+OE,$49.63,"-8,708","51,230",-15%,"-$432,178",,,,
6,,2021-04-07 16:07:45,2021-04-05,SYF,Melito David P,See Remarks,S - Sale,$42.16,"-2,205","17,342",-11%,"-$92,963",,,,
7,D,2021-03-03 16:47:12,2021-03-01,SYF,Quindlen Thomas M,See Remarks,S - Sale+OE,$39.80,"-144,307","166,704",-46%,"-$5,743,419",,,,
8,D,2021-03-03 16:45:54,2021-03-01,SYF,Wenzel Brian J. Sr.,See remarks,S - Sale+OE,$39.69,"-59,533","70,033",-46%,"-$2,363,066",,,,
9,D,2021-03-03 16:45:17,2021-03-01,SYF,Greig Henry F,See Remarks,S - Sale+OE,$39.46,"-35,000","189,505",-16%,"-$1,381,100",,,,
10,D,2021-03-03 16:44:57,2021-03-01,SYF,Keane Margaret M,See Remarks,S - Sale+OE,$39.87,"-151,423","813,225",-16%,"-$6,037,235",,,,
11,DM,2021-03-03 16:44:13,2021-03-01,SYF,Howse Curtis,See remarks,S - Sale+OE,$39.80,"-83,814","65,694",-56%,"-$3,335,948",,,,
12,D,2021-03-03 16:43:02,2021-03-01,SYF,Mothner Jonathan S,See Remarks,S - Sale+OE,$39.69,"-30,000","140,965",-18%,"-$1,190,600",,,,
13,DM,2021-03-03 16:42:26,2021-03-01,SYF,Casellas Alberto,See remarks,S - Sale+OE,$39.53,"-51,695","57,688",-47%,"-$2,043,541",,,,
14,DM,2021-03-03 16:41:34,2021-03-01,SYF,Whynott Paul,See remarks,S - Sale+OE,$39.76,"-20,480","61,096",-25%,"-$814,372",,,,
15,,2021-01-29 16:04:38,2021-01-28,SYF,Melito David P,See Remarks,S - Sale,$34.83,"-4,737","19,702",-19%,"-$164,990",,,,
16,D,2020-11-18 16:20:45,2020-11-16,SYF,Greig Henry F,See Remarks,S - Sale+OE,$31.00,"-35,000","164,770",-18%,"-$1,085,000",,,,
17,D,2020-11-16 16:14:38,2020-11-12,SYF,Greig Henry F,See Remarks,S - Sale+OE,$29.00,"-35,000","329,540",-10%,"-$1,015,000",,,,
18,,2020-11-16 16:12:17,2020-11-12,SYF,Whynott Paul,See remarks,S - Sale,$28.92,"-20,000","146,540",-12%,"-$578,400",,,,
19,D,2020-11-12 16:03:00,2020-11-09,SYF,Melito David P,See Remarks,S - Sale+OE,$30.00,"-40,175","19,554",-67%,"-$1,205,250",,,,
20,,2020-07-31 08:40:00,2020-07-28,SYF,Parker P.W.,Dir,P - Purchase,$23.32,"+10,000","10,000",New,"+$233,200",,,,
