,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-10 20:13:59,2021-08-06,SYK,Stryker Ronda E,Dir,S - Sale,$262.26,"-150,000","6,019,309",-2%,"-$39,339,090",,,,
2,,2021-08-06 20:56:18,2021-08-05,SYK,Fletcher Robert S,"VP, GC",S - Sale,$261.10,"-1,120","4,598",-20%,"-$292,436",,,,
3,D,2021-05-06 20:36:08,2021-05-04,SYK,Lobo Kevin,"Chair, CEO",S - Sale+OE,$255.79,"-107,795","64,576",-63%,"-$27,573,142",,,,
4,,2021-05-04 16:48:06,2021-04-30,SYK,Berry William E Jr,"VP, Corporate Controller",S - Sale,$261.28,"-5,011",0,-100%,"-$1,309,256",,,,
5,,2021-04-12 11:42:10,2021-04-08,SYK,Fink M Kathryn,"VP, CHRO",S - Sale,$250.00,"-4,000","10,556",-27%,"-$1,000,000",,,,
6,,2021-03-03 19:49:32,2021-03-01,SYK,Boehnlein Glenn S,"VP, CFO",S - Sale,$246.01,"-2,000","13,720",-13%,"-$492,028",,,,
7,,2020-12-29 14:19:10,2020-12-28,SYK,Boehnlein Glenn S,"VP, CFO",S - Sale,$239.11,"-2,000","15,712",-11%,"-$478,209",,,,
8,D,2020-12-09 13:20:45,2020-12-07,SYK,Lobo Kevin,"COB, CEO",S - Sale+OE,$236.28,"-10,697","70,958",-13%,"-$2,527,534",,,,
9,D,2020-11-24 10:08:13,2020-11-23,SYK,Scannell Timothy J,"Pres, COO",S - Sale+OE,$232.61,"-5,000","219,025",-2%,"-$1,163,038",,,,
10,,2020-11-17 15:00:11,2020-11-13,SYK,Berry William E Jr,"VP, Corporate Controller",S - Sale,$231.84,"-1,275",780,-62%,"-$295,597",,,,
11,,2020-08-10 14:40:40,2020-08-06,SYK,Stryker Ronda E,Dir,S - Sale,$186.14,"-140,000","22,739,970",-1%,"-$26,059,442",,,,
12,,2020-08-03 17:45:57,2020-07-31,SYK,Doliveux Roch,Dir,P - Purchase,$191.94,+53,"22,070",0%,"+$10,173",,,,
13,D,2020-08-03 17:38:36,2020-07-31,SYK,Lobo Kevin,"COB, CEO",S - Sale+OE,$190.80,"-25,855","70,914",-27%,"-$4,933,046",,,,
14,,2020-06-17 15:24:11,2020-06-15,SYK,Boehnlein Glenn S,"VP, CFO",S - Sale,$185.24,"-10,351","17,715",-37%,"-$1,917,375",,,,
15,D,2020-06-02 17:39:15,2020-05-29,SYK,Golston Allan C.,Dir,S - Sale+OE,$193.23,"-7,299","9,027",-45%,"-$1,410,386",,,,
16,DM,2020-05-22 19:32:40,2020-05-19,SYK,Datar Srikant M.,Dir,S - Sale+OE,$191.23,-750,"23,733",-3%,"-$143,420",,,,
17,DM,2020-05-08 18:59:05,2020-05-06,SYK,Datar Srikant M.,Dir,S - Sale+OE,$190.07,-900,"23,633",-4%,"-$171,061",,,,
18,D,2020-05-08 17:09:43,2020-05-07,SYK,Owen Katherine Ann,"VP, Strategy, IR",S - Sale+OE,$190.81,"-3,121","2,058",-60%,"-$595,504",,,,
19,,2020-05-07 21:18:30,2020-05-05,SYK,Owen Katherine Ann,"VP, Strategy, IR",S - Sale,$186.79,"-9,149","2,058",-82%,"-$1,708,910",,,,
20,D,2020-05-04 20:25:29,2020-04-30,SYK,Doliveux Roch,Dir,P - Purchase,$190.09,+51,"22,017",0%,"+$9,694",,,,
21,D,2020-02-10 15:39:16,2020-02-06,SYK,Doliveux Roch,Dir,S - Sale+OE,$217.87,"-3,540","21,029",-14%,"-$771,258",,,,
22,D,2020-02-05 09:04:07,2020-01-31,SYK,Francesconi Louise,Dir,S - Sale+OE,$213.65,"-7,513","16,646",-31%,"-$1,605,163",,,,
23,,2020-02-04 21:59:36,2020-01-31,SYK,Doliveux Roch,Dir,P - Purchase,$216.67,+45,"20,912",0%,"+$9,750",,,,
24,D,2019-11-19 12:56:28,2019-11-18,SYK,Scannell Timothy J,"Pres, COO",S - Sale+OE,$206.28,"-4,666","160,876",-3%,"-$962,510",,,,
25,,2019-11-01 12:39:54,2019-10-31,SYK,Doliveux Roch,Dir,P - Purchase,$216.77,+40,"20,867",0%,"+$8,671",,,,
26,,2019-11-01 10:50:00,2019-10-30,SYK,Boehnlein Glenn S,"VP, CFO",S - Sale,$215.85,"-2,700","19,271",-12%,"-$582,793",,,,
27,,2019-10-31 16:37:16,2019-10-31,SYK,Lobo Kevin,"COB, CEO",S - Sale,$215.71,"-19,286","31,002",-38%,"-$4,160,121",,,,
28,D,2019-10-17 10:59:03,2019-10-16,SYK,Scannell Timothy J,"Pres, COO",S - Sale+OE,$214.50,"-4,666","160,258",-3%,"-$1,000,839",,,,
29,,2019-09-30 17:55:31,2019-09-26,SYK,Owen Katherine Ann,"VP, Strategy, IR",S - Sale,$216.30,"-2,500","6,270",-29%,"-$540,742",,,,
30,D,2019-09-23 16:14:43,2019-09-19,SYK,Fink M Kathryn,"VP, CHRO",S - Sale+OE,$220.97,"-28,690","9,390",-75%,"-$6,339,612",,,,
31,D,2019-09-18 21:18:54,2019-09-17,SYK,Scannell Timothy J,"Pres, COO",S - Sale+OE,$218.51,"-4,666","159,631",-3%,"-$1,019,583",,,,
32,,2019-09-03 09:37:03,2019-08-30,SYK,Berry William E Jr,"VP, Corporate Controller",S - Sale,$223.20,-500,"1,067",-32%,"-$111,600",,,,
33,D,2019-08-19 11:19:28,2019-08-16,SYK,Scannell Timothy J,"Pres, COO",S - Sale+OE,$217.08,"-4,666","159,015",-3%,"-$1,012,872",,,,
34,,2019-08-16 11:38:29,2019-08-15,SYK,Datar Srikant M.,Dir,S - Sale,$215.00,-350,"14,486",-2%,"-$75,250",,,,
35,D,2019-08-07 16:52:21,2019-08-07,SYK,Golston Allan C.,Dir,S - Sale+OE,$209.84,"-3,399","9,027",-27%,"-$713,232",,,,
36,,2019-08-02 14:30:32,2019-07-31,SYK,Stryker Ronda E,Dir,S - Sale,$211.58,"-39,818","23,565,638",0%,"-$8,424,489",,,,
37,,2019-08-01 12:14:58,2019-07-31,SYK,Doliveux Roch,Dir,P - Purchase,$212.84,+41,"20,827",0%,"+$8,726",,,,
38,,2019-08-01 12:05:39,2019-07-30,SYK,Stryker Ronda E,Dir,S - Sale,$214.06,"-90,182","23,605,456",0%,"-$19,304,711",,,,
39,,2019-07-31 09:19:16,2019-07-30,SYK,Boehnlein Glenn S,"VP, CFO",S - Sale,$214.16,"-2,700","21,965",-11%,"-$578,221",,,,
40,D,2019-07-17 17:09:47,2019-07-16,SYK,Scannell Timothy J,"Pres, COO",S - Sale+OE,$205.88,"-4,666","156,600",-3%,"-$960,656",,,,
41,D,2019-06-19 11:41:17,2019-06-18,SYK,Scannell Timothy J,"Pres, COO",S - Sale+OE,$197.68,"-4,666","155,984",-3%,"-$922,387",,,,
42,D,2019-05-17 12:45:18,2019-05-16,SYK,Scannell Timothy J,"Pres, COO",S - Sale+OE,$186.71,"-4,666","155,368",-3%,"-$871,210",,,,
43,,2019-05-09 13:07:24,2019-05-08,SYK,Boehnlein Glenn S,"VP, CFO",S - Sale,$188.21,"-2,700","24,665",-10%,"-$508,172",,,,
44,,2019-05-07 11:17:46,2019-05-06,SYK,Sagar Bijoy,"VP, Chief Digital Tech Officer",S - Sale,$190.43,"-2,000","3,556",-36%,"-$380,855",,,,
45,D,2019-05-02 20:57:52,2019-04-30,SYK,Doliveux Roch,Dir,P - Purchase,$188.77,+43,"20,786",0%,"+$8,117",,,,
46,,2019-04-29 16:32:26,2019-04-25,SYK,Francesconi Louise,Dir,S - Sale,$187.25,"-2,679","15,598",-15%,"-$501,648",,,,
47,D,2019-04-17 12:35:56,2019-04-16,SYK,Scannell Timothy J,"Pres, COO",S - Sale+OE,$192.40,"-4,666","154,718",-3%,"-$897,727",,,,
48,,2019-03-25 17:55:50,2019-03-25,SYK,Owen Katherine Ann,"VP, Strategy, IR",S - Sale,$194.07,"-4,544","8,735",-34%,"-$881,866",,,,
49,,2019-03-25 17:33:58,2019-03-25,SYK,Lobo Kevin,"COB, CEO",S - Sale,$194.11,"-41,750","50,105",-45%,"-$8,103,884",,,,
