,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-17 16:31:22,2021-08-16,NLOK,Derse Natalie Marie,CFO,S - Sale,$26.23,-895,"135,198",-1%,"-$23,476",,,,
2,,2021-05-19 21:05:30,2021-05-18,NLOK,Feld Peter A,Dir,S - Sale,$26.48,"-416,877","16,756,680",-2%,"-$11,037,069",,,,
3,M,2021-05-19 21:03:10,2021-05-17,NLOK,Feld Peter A,Dir,S - Sale,$26.11,"-3,983,123","17,173,557",-19%,"-$103,994,208",,,,
4,,2021-02-17 16:30:32,2021-02-16,NLOK,Derse Natalie Marie,CFO,S - Sale,$21.48,"-1,286","103,912",-1%,"-$27,623",,,,
5,D,2020-08-18 16:32:37,2020-08-17,NLOK,Brown Matthew Charles,CAO,S - Sale+OE,$22.94,-531,"114,675",0%,"-$12,181",,,,
6,D,2020-08-12 16:31:32,2020-08-11,NLOK,Brown Matthew Charles,CAO,S - Sale+OE,$22.63,"-31,598","83,077",-28%,"-$714,968",,,,
7,D,2020-06-09 17:51:15,2020-06-08,NLOK,Feld Peter A,Dir,S - Sale+OE,$20.97,"-10,900,195","24,124,942",-31%,"-$228,577,089",,,,
8,,2020-06-04 16:32:10,2020-06-03,NLOK,Kapuria Samir,Pres,S - Sale,$20.84,"-67,926","263,270",-21%,"-$1,415,591",,,,
9,DM,2020-06-02 16:35:08,2019-08-16,NLOK,Brown Matthew Charles,"Interim VP, CFO",S - Sale+OE,$21.39,"-2,619","77,886",-3%,"-$56,032",,,,
10,,2020-05-21 16:36:27,2020-05-20,NLOK,Kapuria Samir,Pres,S - Sale,$20.61,"-45,162","291,481",-13%,"-$930,938",,,,
11,D,2019-12-06 17:29:48,2019-12-05,NLOK,Feld Peter A,Dir,S - Sale+OE,$25.49,"-16,658,519","26,692,776",-38%,"-$424,625,649",,,,
12,M,2019-10-24 18:53:40,2019-10-22,SYMC,Kapuria Samir,"EVP, GM, CBU, Cyber Sec.Svcs",S - Sale,$23.04,"-19,350","338,794",-5%,"-$445,867",,,,
13,M,2019-10-21 16:32:07,2019-10-17,SYMC,Kapuria Samir,"EVP, GM, CBU, Cyber Sec.Svcs",S - Sale,$23.46,"-19,348","358,144",-5%,"-$453,969",,,,
14,M,2019-10-11 16:33:56,2019-10-10,SYMC,Kapuria Samir,"EVP, GM, CBU, Cyber Sec.Svcs",S - Sale,$23.56,"-19,348","377,492",-5%,"-$455,875",,,,
15,D,2019-08-15 18:35:25,2019-08-14,SYMC,Feld Peter A,Dir,P - Purchase,$22.95,"+1,325,814","43,351,295",+3%,"+$30,428,227",,,,
16,,2019-08-15 18:32:08,2019-08-13,SYMC,Feld Peter A,Dir,P - Purchase,$22.60,"+985,809","22,600,235",+5%,"+$22,280,762",,,,
17,,2019-08-15 18:29:53,2019-08-13,SYMC,Feld Peter A,Dir,P - Purchase,$22.60,"+3,014,191","19,449,931",+18%,"+$68,125,238",,,,
18,,2019-05-16 16:06:49,2019-05-16,SYMC,Feld Peter A,Dir,P - Purchase,$19.73,"+650,000","38,025,481",+2%,"+$12,825,830",,,,
19,,2019-05-16 16:04:39,2019-05-15,SYMC,Feld Peter A,Dir,P - Purchase,$19.51,"+650,000","37,375,481",+2%,"+$12,678,450",,,,
20,,2019-05-16 16:01:18,2019-05-14,SYMC,Feld Peter A,Dir,P - Purchase,$19.53,"+700,000","36,725,481",+2%,"+$13,669,480",,,,
21,D,2019-04-15 16:31:13,2019-04-12,SYMC,Clark Gregory S.,"Pres, CEO",S - Sale+OE,$24.00,"-61,170","2,626,775",-2%,"-$1,468,251",,,,
22,D,2019-04-11 16:30:41,2019-04-10,SYMC,Clark Gregory S.,"Pres, CEO",S - Sale+OE,$23.69,"-636,209","2,626,775",-19%,"-$15,071,091",,,,
23,,2019-04-09 16:30:29,2019-04-08,SYMC,Vautrinot Suzanne M,Dir,S - Sale,$24.01,"-18,000","18,145",-50%,"-$432,160",,,,
24,D,2019-03-15 16:31:49,2019-03-14,SYMC,Noviello Nicholas R,"EVP, CFO",S - Sale+OE,$22.50,"-332,155","548,540",-38%,"-$7,473,488",,,,
25,D,2019-03-08 16:36:30,2019-03-07,SYMC,Brown Matthew Charles,"VP, Finance, CAO",S - Sale+OE,$21.90,"-5,393","58,514",-8%,"-$118,107",,,,
26,,2019-02-15 16:36:08,2019-02-14,SYMC,Kapuria Samir,"EVP, GM, CBU, Cyber Sec.Svcs",S - Sale,$23.05,"-45,455","313,931",-13%,"-$1,047,533",,,,
27,,2019-02-15 16:32:03,2019-02-14,SYMC,Cappellanti-Wolf Amy L.,"SVP, Chief Human Resource Offi",S - Sale,$23.05,"-18,321","276,640",-6%,"-$422,327",,,,
28,,2018-04-18 16:30:23,2018-04-16,SYMC,Taylor Scott C,"EVP, Gen. Counsel, Secretary",S - Sale,$27.61,"-41,284","188,426",-18%,"-$1,139,942",,,,
29,,2018-03-12 16:30:27,2018-03-09,SYMC,Vautrinot Suzanne M,Dir,S - Sale,$27.72,"-4,000","23,825",-14%,"-$110,880",,,,
30,,2018-03-06 16:36:48,2018-03-05,SYMC,Rosch Francis C,"EVP, Consumer Business",S - Sale,$26.59,"-51,899","213,026",-20%,"-$1,379,782",,,,
31,D,2017-12-07 16:32:43,2017-12-06,SYMC,Rosch Francis C,"EVP, Consumer Business",S - Sale+OE,$27.42,"-57,103","267,923",-18%,"-$1,565,972",,,,
32,D,2017-11-08 16:39:30,2017-11-06,SYMC,Noviello Nicholas R,"EVP, CFO",S - Sale+OE,$29.38,"-375,000","190,319",-66%,"-$11,018,400",,,,
33,,2017-10-03 16:29:44,2017-10-02,SYMC,Vautrinot Suzanne M,Dir,S - Sale,$32.81,"-2,500","27,825",-8%,"-$82,025",,,,
34,,2017-09-26 16:31:31,2017-09-25,SYMC,Taylor Scott C,"EVP, Gen. Counsel, Secretary",S - Sale,$32.83,"-10,622","232,609",-4%,"-$348,668",,,,
35,,2017-09-19 16:48:47,2017-09-18,SYMC,Sands Anita M,Dir,S - Sale,$33.51,"-2,000","37,386",-5%,"-$67,016",,,,
