,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-18 16:28:48,2021-10-15,TDG,Howley W Nicholas,Dir,S - Sale+OE,$641.27,"-11,500","21,548",-35%,"-$7,374,589",,,,
2,D,2021-09-17 10:13:05,2021-09-15,TDG,Howley W Nicholas,Dir,S - Sale+OE,$608.24,"-11,500","21,548",-35%,"-$6,994,743",,,,
3,A,2021-09-09 10:48:03,2021-09-07,TDG,Lisman Michael,CFO,P - Purchase,$591.19,+850,"2,309",+58%,"+$502,515",,,,
4,,2021-09-09 10:15:01,2021-09-07,TDG,Lisman Michael,CFO,P - Purchase,$591.19,+850,"2,309",+58%,"+$502,515",,,,
5,D,2021-08-16 14:26:18,2021-08-16,TDG,Howley W Nicholas,Dir,S - Sale+OE,$601.55,"-11,500","21,548",-35%,"-$6,917,794",,,,
6,D,2021-08-03 12:20:14,2021-08-02,TDG,Henderson Robert S,Exec.VP,S - Sale+OE,$643.99,"-10,000",0,-100%,"-$6,439,928",,,,
7,D,2021-07-16 13:57:38,2021-07-15,TDG,Howley W Nicholas,Exec. COB,S - Sale+OE,$639.34,"-11,500","22,358",-34%,"-$7,352,411",,,,
8,D,2021-07-02 13:22:43,2021-07-01,TDG,Henderson Robert S,Exec.VP,S - Sale+OE,$654.67,"-10,000",0,-100%,"-$6,546,653",,,,
9,D,2021-06-16 15:58:54,2021-06-15,TDG,Howley W Nicholas,Exec. COB,S - Sale+OE,$670.42,"-11,500","21,548",-35%,"-$7,709,875",,,,
10,D,2021-06-09 10:28:53,2021-06-07,TDG,Henderson Robert S,Exec.VP,S - Sale+OE,$664.65,"-10,000",0,-100%,"-$6,646,514",,,,
11,D,2021-06-08 10:11:24,2021-06-07,TDG,Stein Kevin M,"Pres, CEO",S - Sale+OE,$664.50,"-40,000","1,347",-97%,"-$26,579,841",,,,
12,D,2021-05-18 16:06:04,2021-05-17,TDG,Howley W Nicholas,Exec. COB,S - Sale+OE,$592.04,"-11,500","21,548",-35%,"-$6,808,439",,,,
13,D,2021-04-16 14:01:50,2021-04-15,TDG,Howley W Nicholas,Exec. COB,S - Sale+OE,$622.13,"-11,500","21,548",-35%,"-$7,154,495",,,,
14,D,2021-03-18 14:01:37,2021-03-17,TDG,Stein Kevin M,"Pres, CEO",S - Sale+OE,$609.49,"-9,900","1,347",-88%,"-$6,033,983",,,,
15,,2021-03-17 16:21:53,2021-03-15,TDG,Small Robert J,Dir,P - Purchase,$615.99,+1,"2,677,293",0%,+$616,,,,
16,D,2021-03-16 17:30:43,2021-03-15,TDG,Howley W Nicholas,Exec. COB,S - Sale+OE,$619.79,"-11,500","21,548",-35%,"-$7,127,575",,,,
17,D,2021-03-15 10:33:37,2021-03-12,TDG,Valladares Jorge,COO,S - Sale+OE,$615.00,"-10,000","11,000",-48%,"-$6,150,006",,,,
18,,2021-03-04 12:06:46,2021-03-03,TDG,Henderson Robert S,Exec.VP,S - Sale,$601.56,"-15,000","10,000",-60%,"-$9,023,346",,,,
19,D,2021-02-18 15:49:29,2021-02-17,TDG,Stein Kevin M,"Pres, CEO",S - Sale+OE,$571.13,"-9,900","1,347",-88%,"-$5,654,208",,,,
20,D,2021-02-17 10:26:15,2021-02-16,TDG,Howley W Nicholas,Exec. COB,S - Sale+OE,$574.54,"-11,500",0,-100%,"-$6,607,172",,,,
21,D,2021-01-20 09:44:10,2021-01-19,TDG,Stein Kevin M,"Pres, CEO",S - Sale+OE,$580.52,"-9,900","1,347",-88%,"-$5,747,184",,,,
22,D,2021-01-19 11:22:28,2021-01-15,TDG,Howley W Nicholas,Exec. COB,S - Sale+OE,$588.51,"-11,500",0,-100%,"-$6,767,880",,,,
23,D,2020-12-22 11:07:46,2020-12-17,TDG,Stein Kevin M,"Pres, CEO",S - Sale+OE,$600.29,"-9,900","1,347",-88%,"-$5,942,879",,,,
24,,2020-12-17 16:36:11,2020-12-15,TDG,Small Robert J,Dir,P - Purchase,$600.63,+1,"2,677,292",0%,+$601,,,,
25,D,2020-12-07 12:07:57,2020-12-03,TDG,Henderson Robert S,Exec.VP,S - Sale+OE,$599.93,"-17,500",0,-100%,"-$10,498,742",,,,
26,D,2020-11-30 10:31:46,2020-11-27,TDG,Howley W Nicholas,Exec. COB,S - Sale+OE,$597.14,"-20,000",0,-100%,"-$11,942,709",,,,
27,D,2020-11-24 20:37:58,2020-11-24,TDG,Terrion Halle Fine,"GC, CCO, Secretary",S - Sale+OE,$608.72,"-1,195",878,-58%,"-$727,425",,,,
