,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-24 16:30:53,2021-09-22,TECH,Kelderman Kim,"Pres Diagnostics, Genom",S - Sale+OE,$529.04,-822,0,-100%,"-$434,871",,,,
2,D,2021-09-09 16:26:56,2021-09-07,TECH,Steer Randolph C,Dir,S - Sale+OE,$509.98,"-8,000","5,112",-61%,"-$4,079,823",,,,
3,D,2021-09-07 16:59:34,2021-09-02,TECH,Hippel James,CFO,S - Sale+OE,$507.22,"-10,000","10,855",-48%,"-$5,072,165",,,,
4,D,2021-08-25 16:42:02,2021-08-23,TECH,Baumgartner Robert V,Dir,S - Sale+OE,$485.55,"-4,000","9,612",-29%,"-$1,942,183",,,,
5,D,2021-08-23 16:15:56,2021-08-19,TECH,Furlow Brenda S.,SVP - GC,S - Sale+OE,$473.95,"-3,538","7,620",-32%,"-$1,676,849",,,,
6,D,2021-08-10 18:21:50,2021-08-09,TECH,Hippel James,CFO,S - Sale+OE,$478.90,"-10,000","10,855",-48%,"-$4,788,992",,,,
7,DM,2021-06-21 16:36:53,2021-06-17,TECH,Kummeth Charles R.,CEO,S - Sale+OE,$449.67,"-12,498","154,606",-7%,"-$5,620,006",,,,
8,D,2021-06-16 19:22:16,2021-06-14,TECH,Kummeth Charles R.,CEO,S - Sale+OE,$449.15,"-7,481","167,104",-4%,"-$3,360,066",,,,
9,D,2021-06-11 16:59:49,2021-06-09,TECH,Kelderman Kim,"Pres Diagnostics, Genom",S - Sale+OE,$433.00,-811,0,-100%,"-$351,163",,,,
10,D,2021-06-09 16:48:41,2021-06-07,TECH,Hippel James,CFO,S - Sale+OE,$421.93,"-9,942","9,137",-52%,"-$4,194,831",,,,
11,D,2021-05-27 16:26:50,2021-05-25,TECH,Kelderman Kim,"Pres Diagnostics, Genom",S - Sale+OE,$424.00,-845,811,-51%,"-$358,280",,,,
12,D,2021-02-17 16:46:40,2021-02-12,TECH,Hippel James,CFO,S - Sale+OE,$400.39,"-10,000","9,137",-52%,"-$4,003,908",,,,
13,D,2021-02-17 16:42:04,2021-02-12,TECH,Furlow Brenda S.,SVP - GC,S - Sale+OE,$398.64,"-10,000","6,124",-62%,"-$3,986,352",,,,
14,D,2021-02-10 16:26:08,2021-02-08,TECH,Nusse Roeland,Dir,S - Sale+OE,$385.08,"-6,000","6,765",-47%,"-$2,310,481",,,,
15,D,2021-02-09 18:31:01,2021-02-05,TECH,Kelderman Kim,"Pres Diagnostics, Genom",S - Sale+OE,$388.45,-823,845,-49%,"-$319,694",,,,
16,D,2021-02-09 17:24:13,2021-02-05,TECH,Eansor Norman David,Pres-Protein Sciences,S - Sale+OE,$380.68,"-32,933","1,318",-96%,"-$12,537,023",,,,
17,D,2021-01-20 16:42:59,2021-01-15,TECH,Kummeth Charles R.,CEO,S - Sale+OE,$344.00,"-20,000","146,469",-12%,"-$6,880,000",,,,
