,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-25 16:15:51,2021-08-24,TEL,Merkt Steven T,"Pres, Transportation Sol.",S - Sale+OE,$151.09,"-52,280","40,122",-57%,"-$7,898,985",,,,
2,D,2021-08-12 16:11:11,2021-08-11,TEL,Jenkins John S,"EVP, GC",S - Sale+OE,$150.47,"-25,025","15,570",-62%,"-$3,765,512",,,,
3,D,2021-08-06 16:10:35,2021-08-05,TEL,Lynch Thomas J,Dir,S - Sale+OE,$148.31,"-100,000","161,602",-38%,"-$14,830,549",,,,
4,D,2021-08-04 16:20:40,2021-08-03,TEL,Curtin Terrence R,"Chief Exec. Officer, Dir",S - Sale+OE,$148.65,"-111,900","94,969",-54%,"-$16,634,101",,,,
5,D,2021-08-03 16:36:16,2021-08-02,TEL,Stucki Aaron Kyle,Pres Communications Solutions,S - Sale+OE,$150.00,"-14,900","11,896",-56%,"-$2,235,000",,,,
6,,2021-05-28 07:33:30,2021-05-27,TEL,Jenkins John S,"EVP, GC",S - Sale,$135.65,"-9,140","15,570",-37%,"-$1,239,843",,,,
7,D,2021-05-28 07:33:25,2021-05-27,TEL,Resch Eric,"SVP, Chief Tax Officer",S - Sale+OE,$136.00,"-23,900","37,763",-39%,"-$3,250,400",,,,
8,,2021-04-27 09:18:55,2021-04-26,TEL,Phelan Daniel J,Dir,P - Purchase,$135.11,+118,"33,920",0%,"+$15,943",,,,
9,D,2021-02-23 12:46:37,2021-02-22,TEL,Merkt Steven T,"Pres, Transportation Sol.",S - Sale+OE,$130.53,"-142,545","40,055",-78%,"-$18,605,958",,,,
10,D,2021-02-22 11:51:51,2021-02-19,TEL,Ott Robert J,"SVP, Corporate Controller",S - Sale+OE,$131.50,"-32,500","20,707",-61%,"-$4,273,597",,,,
11,D,2021-02-05 17:02:29,2021-02-04,TEL,Curtin Terrence R,"Chief Exec. Officer, Dir",S - Sale+OE,$127.75,"-70,250","94,969",-43%,"-$8,974,171",,,,
12,D,2021-02-04 15:22:40,2021-02-03,TEL,Lynch Thomas J,Dir,S - Sale+OE,$128.49,"-56,150","178,353",-24%,"-$7,214,589",,,,
13,D,2021-02-04 15:22:36,2021-02-03,TEL,Jenkins John S,"EVP, GC",S - Sale+OE,$126.36,"-58,300","25,460",-70%,"-$7,367,021",,,,
14,,2021-02-01 16:20:39,2021-02-01,TEL,Murphy Tim,"SVP, CHRO",S - Sale,$122.19,"-5,000","14,741",-25%,"-$610,930",,,,
15,D,2021-01-08 08:56:59,2021-01-06,TEL,Stucki Aaron Kyle,Pres Communications Solutions,S - Sale+OE,$125.00,"-13,150","11,790",-53%,"-$1,643,750",,,,
16,D,2021-01-05 13:50:10,2021-01-04,TEL,Stucki Aaron Kyle,Pres Communications Solutions,S - Sale+OE,$120.65,"-5,275","11,790",-31%,"-$636,419",,,,
17,,2020-12-15 12:07:48,2020-12-11,TEL,Curtin Terrence R,"Chief Exec. Officer, Dir",S - Sale,$118.21,"-13,001","94,969",-12%,"-$1,536,867",,,,
18,D,2020-11-24 14:50:55,2020-11-24,TEL,Calastri Mario,"SVP, Treasurer",S - Sale+OE,$115.52,"-48,387",0,-100%,"-$5,589,802",,,,
19,D,2020-11-18 16:56:41,2020-11-18,TEL,Ott Robert J,"SVP, Corporate Controller",S - Sale+OE,$111.86,"-23,900","19,909",-55%,"-$2,673,356",,,,
20,D,2020-11-12 16:22:52,2020-11-09,TEL,Calastri Mario,"SVP, Treasurer",S - Sale+OE,$111.12,"-11,950",0,-100%,"-$1,327,828",,,,
21,D,2020-11-12 16:20:54,2020-11-09,TEL,Lynch Thomas J,Dir,S - Sale+OE,$107.58,"-179,800","192,640",-48%,"-$19,343,512",,,,
22,D,2020-11-12 16:20:47,2020-11-11,TEL,Curtin Terrence R,"Chief Exec. Officer, Dir",S - Sale+OE,$108.64,"-90,350","94,969",-49%,"-$9,815,916",,,,
23,D,2020-11-12 16:05:24,2020-11-09,TEL,Jenkins John S,"EVP, GC",S - Sale+OE,$107.71,"-57,603","23,901",-71%,"-$6,204,367",,,,
24,A,2020-11-12 16:03:13,2019-08-16,TEL,Merkt Steven T,"Pres, Transportation Sol.",S - Sale,$88.75,"-7,000","29,932",-19%,"-$621,271",,,,
25,D,2020-11-05 10:35:40,2020-11-04,TEL,Calastri Mario,"SVP, Treasurer",S - Sale+OE,$102.84,"-11,200",0,-100%,"-$1,151,752",,,,
26,D,2020-11-05 09:24:59,2020-11-03,TEL,Lynch Thomas J,Dir,S - Sale+OE,$101.55,"-100,000","191,302",-34%,"-$10,154,766",,,,
27,,2020-11-04 16:47:01,2020-11-03,TEL,Phelan Daniel J,Dir,P - Purchase,$101.44,+150,"32,464",0%,"+$15,215",,,,
28,D,2020-08-27 10:06:57,2020-08-26,TEL,Rock Kevin N,"Pres, Industrial Solution",S - Sale+OE,$95.25,"-25,413","90,156",-22%,"-$2,420,588",,,,
29,,2020-08-24 13:49:14,2020-08-24,TEL,Calastri Mario,"SVP, Treasurer",S - Sale,$94.60,"-10,757",0,-100%,"-$1,017,633",,,,
30,D,2020-08-14 11:38:26,2020-08-13,TEL,Resch Eric,"SVP, Chief Tax Officer",S - Sale+OE,$96.00,"-53,100","37,210",-59%,"-$5,097,600",,,,
31,D,2020-08-11 10:59:45,2020-08-10,TEL,Rock Kevin N,"Pres, Industrial Solution",S - Sale+OE,$93.29,"-28,000","82,769",-25%,"-$2,612,198",,,,
32,,2020-08-04 11:36:38,2020-08-03,TEL,Phelan Daniel J,Dir,P - Purchase,$89.62,+170,"32,314",+1%,"+$15,235",,,,
33,,2020-05-05 16:04:27,2020-05-05,TEL,Phelan Daniel J,Dir,P - Purchase,$71.61,+203,"32,144",+1%,"+$14,537",,,,
34,,2020-02-14 11:36:07,2020-02-13,TEL,Merkt Steven T,"Pres, Transportation Sol.",S - Sale,$94.46,"-10,000","36,608",-21%,"-$944,641",,,,
35,,2020-02-12 09:28:12,2020-02-11,TEL,Phelan Daniel J,Dir,P - Purchase,$93.73,+154,"31,941",0%,"+$14,434",,,,
36,,2020-02-05 16:05:20,2020-02-04,TEL,Mitts Heath A,"EVP, CFO",S - Sale,$94.75,"-16,000","10,560",-60%,"-$1,516,038",,,,
37,,2020-02-04 16:10:03,2020-02-03,TEL,Lynch Thomas J,Dir,S - Sale,$93.70,"-43,000","191,195",-18%,"-$4,028,997",,,,
38,,2019-12-13 16:33:21,2019-12-12,TEL,Jenkins John S,"EVP, GC",S - Sale,$94.11,"-9,835","28,329",-26%,"-$925,525",,,,
39,,2019-12-13 16:33:17,2019-12-12,TEL,Curtin Terrence R,"Chief Exec. Officer, Dir",S - Sale,$94.11,"-34,853","94,969",-27%,"-$3,279,967",,,,
40,,2019-11-06 15:10:24,2019-11-06,TEL,Phelan Daniel J,Dir,P - Purchase,$93.62,+146,"30,296",0%,"+$13,668",,,,
41,D,2019-08-30 13:29:25,2019-08-30,TEL,Ott Robert J,"SVP, Corporate Controller",S - Sale+OE,$92.01,"-22,400","17,154",-57%,"-$2,060,966",,,,
42,,2019-08-20 16:18:10,2019-08-19,TEL,Phelan Daniel J,Dir,P - Purchase,$91.10,+150,"30,150",+1%,"+$13,665",,,,
43,D,2019-08-20 16:18:05,2019-08-19,TEL,Jenkins John S,"EVP, GC",S - Sale+OE,$91.18,"-38,050","27,465",-58%,"-$3,469,273",,,,
44,,2019-08-19 16:12:32,2019-08-16,TEL,Merkt Steven T,"Pres, Transportation Sol.",S - Sale,$89.02,"-5,000","32,154",-13%,"-$445,111",,,,
45,D,2019-07-31 16:02:32,2019-07-30,TEL,Lynch Thomas J,Dir,S - Sale+OE,$93.41,"-124,400","202,216",-38%,"-$11,620,346",,,,
46,D,2019-07-30 16:07:48,2019-07-29,TEL,Merkt Steven T,"Pres, Transportation Sol.",S - Sale+OE,$93.55,"-65,650","37,154",-64%,"-$6,141,354",,,,
47,M,2019-05-20 16:35:52,2015-12-11,TEL,Phelan Daniel J,Dir,P - Purchase,$78.94,"+1,499","30,000",+5%,"+$118,308",,,,
48,A,2019-05-09 17:07:24,2019-05-02,TEL,Rock Kevin N,"Pres, Industrial Solution",S - Sale,$95.08,"-26,803","68,854",-28%,"-$2,548,429",,,,
49,D,2019-05-06 11:04:52,2019-05-03,TEL,Lynch Thomas J,Dir,S - Sale+OE,$95.36,"-68,516","202,182",-25%,"-$6,534,021",,,,
50,D,2019-05-03 14:08:09,2019-05-02,TEL,Lynch Thomas J,Dir,S - Sale+OE,$95.06,"-13,645","202,182",-6%,"-$1,297,159",,,,
